symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"AARTIIND"," EQ"," 23-Mar-2022"," 908.35"," 915.40"," 920.00"," 905.45"," 910.00"," 912.55"," 912.63"," 426212"," 3889.74"," 18537"," 183283"," 43.00",23,26,39.54,03/23/2022,F
"AARTIIND"," EQ"," 22-Mar-2022"," 911.35"," 912.00"," 916.05"," 893.00"," 910.25"," 908.35"," 903.64"," 527993"," 4771.18"," 25562"," 151829"," 28.76",21,26,39.37,03/22/2022,F
"AARTIIND"," EQ"," 21-Mar-2022"," 891.60"," 892.00"," 935.00"," 888.00"," 913.70"," 911.35"," 914.16"," 2014155"," 18412.58"," 57728"," 922102"," 45.78",35,26,39.45,03/21/2022,T
"AARTIIND"," EQ"," 17-Mar-2022"," 859.45"," 875.00"," 898.55"," 868.50"," 892.00"," 891.60"," 889.52"," 1550992"," 13796.33"," 78547"," 872216"," 56.24",20,25,39.49,03/17/2022,F
"AARTIIND"," EQ"," 16-Mar-2022"," 859.40"," 867.70"," 873.10"," 850.20"," 860.00"," 859.45"," 862.72"," 637838"," 5502.74"," 21228"," 281581"," 44.15",30,25,39.19,03/16/2022,T
"AARTIIND"," EQ"," 15-Mar-2022"," 870.60"," 875.75"," 882.00"," 851.45"," 858.15"," 859.40"," 868.39"," 816692"," 7092.09"," 33678"," 297967"," 36.48",24,25,39.08,03/15/2022,F
"AARTIIND"," EQ"," 14-Mar-2022"," 845.20"," 845.15"," 878.70"," 835.20"," 871.00"," 870.60"," 861.01"," 1208308"," 10403.64"," 45107"," 426824"," 35.32",27,25,39.00,03/14/2022,F
"AARTIIND"," EQ"," 11-Mar-2022"," 828.00"," 824.85"," 848.00"," 818.00"," 845.00"," 845.20"," 838.56"," 951265"," 7976.94"," 31374"," 472182"," 49.64",30,25,38.89,03/11/2022,T
"AARTIIND"," EQ"," 10-Mar-2022"," 829.95"," 860.00"," 863.00"," 818.00"," 824.20"," 828.00"," 846.23"," 1222549"," 10345.59"," 40909"," 549735"," 44.97",30,25,38.69,03/10/2022,T
"AARTIIND"," EQ"," 09-Mar-2022"," 817.40"," 827.00"," 837.70"," 812.00"," 830.00"," 829.95"," 822.01"," 1092734"," 8982.33"," 40537"," 596453"," 54.58",27,26,38.31,03/09/2022,T
