symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"ABBOTINDIA"," EQ"," 25-Mar-2022"," 16469.25"," 16501.05"," 16593.75"," 16000.00"," 16048.95"," 16021.85"," 16234.65"," 42490"," 6898.10"," 6222"," 32876"," 77.37",7,3,44.13,03/25/2022,T
"ABBOTINDIA"," EQ"," 24-Mar-2022"," 16642.05"," 16642.05"," 16698.90"," 16400.00"," 16460.00"," 16469.25"," 16539.32"," 9497"," 1570.74"," 3542"," 3667"," 38.61",3,3,43.48,03/24/2022,F
"ABBOTINDIA"," EQ"," 23-Mar-2022"," 16685.60"," 16670.00"," 16879.90"," 16500.00"," 16586.30"," 16642.05"," 16753.83"," 10867"," 1820.64"," 4204"," 3652"," 33.61",3,3,43.84,03/23/2022,F
"ABBOTINDIA"," EQ"," 22-Mar-2022"," 17251.90"," 17285.95"," 17285.95"," 16650.50"," 16700.00"," 16685.60"," 16784.04"," 19462"," 3266.51"," 6191"," 9512"," 48.87",3,3,44.28,03/22/2022,F
"ABBOTINDIA"," EQ"," 21-Mar-2022"," 17257.90"," 17398.85"," 17449.00"," 17144.95"," 17180.00"," 17251.90"," 17321.77"," 9665"," 1674.15"," 2856"," 5510"," 57.01",3,3,44.39,03/21/2022,F
"ABBOTINDIA"," EQ"," 17-Mar-2022"," 17322.40"," 17360.00"," 17498.35"," 17115.00"," 17314.00"," 17257.90"," 17312.97"," 14542"," 2517.65"," 3479"," 8246"," 56.70",4,3,44.14,03/17/2022,T
"ABBOTINDIA"," EQ"," 16-Mar-2022"," 17203.95"," 17307.90"," 17491.90"," 17250.00"," 17299.00"," 17322.40"," 17326.74"," 17657"," 3059.38"," 4172"," 12170"," 68.92",4,3,43.93,03/16/2022,T
"ABBOTINDIA"," EQ"," 15-Mar-2022"," 17041.45"," 17198.60"," 17294.60"," 17070.00"," 17200.00"," 17203.95"," 17146.65"," 15049"," 2580.40"," 4206"," 7895"," 52.46",4,3,43.60,03/15/2022,T
"ABBOTINDIA"," EQ"," 14-Mar-2022"," 17268.65"," 17349.00"," 17700.00"," 17000.00"," 17085.05"," 17041.45"," 17192.86"," 16615"," 2856.59"," 5788"," 6138"," 36.94",3,3,43.51,03/14/2022,F
"ABBOTINDIA"," EQ"," 11-Mar-2022"," 17496.70"," 17505.00"," 17649.70"," 17124.00"," 17249.65"," 17268.65"," 17308.91"," 25377"," 4392.48"," 5690"," 12920"," 50.91",4,3,43.72,03/11/2022,T
"ABBOTINDIA"," EQ"," 10-Mar-2022"," 17833.70"," 17900.00"," 17999.00"," 17440.00"," 17505.00"," 17496.70"," 17658.61"," 15943"," 2815.31"," 5200"," 6513"," 40.85",3,3,43.69,03/10/2022,F
"ABBOTINDIA"," EQ"," 09-Mar-2022"," 17705.85"," 17824.95"," 17948.00"," 17701.00"," 17760.00"," 17833.70"," 17832.87"," 13991"," 2495.00"," 5037"," 4722"," 33.75",3,3,43.66,03/09/2022,F
"ABBOTINDIA"," EQ"," 08-Mar-2022"," 17415.30"," 17416.00"," 17758.80"," 17285.45"," 17700.00"," 17705.85"," 17544.88"," 20115"," 3529.15"," 7193"," 7432"," 36.95",3,3,43.82,03/08/2022,F
"ABBOTINDIA"," EQ"," 04-Mar-2022"," 17432.30"," 17301.10"," 17648.00"," 16908.00"," 17476.75"," 17459.40"," 17407.88"," 23670"," 4120.44"," 7345"," 8220"," 34.73",3,3,43.79,03/04/2022,F
"ABBOTINDIA"," EQ"," 03-Mar-2022"," 17200.25"," 17175.00"," 17485.10"," 17120.45"," 17400.00"," 17432.30"," 17365.84"," 22904"," 3977.47"," 6974"," 10012"," 43.71",3,3,43.80,03/03/2022,F
"ABBOTINDIA"," EQ"," 02-Mar-2022"," 17556.50"," 17500.00"," 17500.00"," 16900.10"," 17176.20"," 17200.25"," 17154.86"," 29193"," 5008.02"," 10804"," 10015"," 34.31",3,3,43.69,03/02/2022,F
"ABBOTINDIA"," EQ"," 28-Feb-2022"," 17379.80"," 17379.80"," 17774.95"," 17180.00"," 17444.45"," 17556.50"," 17549.56"," 24091"," 4227.86"," 8760"," 7119"," 29.55",3,3,43.68,02/28/2022,F
"ABBOTINDIA"," EQ"," 25-Feb-2022"," 16777.60"," 16800.00"," 17504.80"," 16800.00"," 17371.80"," 17379.80"," 17302.23"," 26214"," 4535.61"," 8314"," 8927"," 34.05",3,3,43.76,02/25/2022,F
"ABBOTINDIA"," EQ"," 24-Feb-2022"," 17021.25"," 16300.00"," 16950.00"," 16300.00"," 16750.00"," 16777.60"," 16794.79"," 43783"," 7353.26"," 16102"," 16945"," 38.70",3,3,43.69,02/24/2022,F
"ABBOTINDIA"," EQ"," 23-Feb-2022"," 16714.75"," 16751.10"," 17069.90"," 16625.05"," 17000.15"," 17021.25"," 16941.23"," 27205"," 4608.86"," 7932"," 9908"," 36.42",3,3,43.64,02/23/2022,F
"ABBOTINDIA"," EQ"," 22-Feb-2022"," 16292.30"," 16000.00"," 16757.00"," 15981.00"," 16707.00"," 16714.75"," 16445.56"," 32935"," 5416.35"," 11762"," 12160"," 36.92",3,3,43.69,02/22/2022,F
"ABBOTINDIA"," EQ"," 21-Feb-2022"," 16379.15"," 16379.15"," 16763.00"," 16180.00"," 16295.00"," 16292.30"," 16451.09"," 29533"," 4858.50"," 10301"," 7965"," 26.97",3,3,43.61,02/21/2022,F
"ABBOTINDIA"," EQ"," 18-Feb-2022"," 16762.30"," 16762.30"," 16762.30"," 16300.00"," 16300.05"," 16379.15"," 16526.28"," 14857"," 2455.31"," 5207"," 3341"," 22.49",3,3,44.02,02/18/2022,F
"ABBOTINDIA"," EQ"," 17-Feb-2022"," 16992.20"," 16992.20"," 17250.00"," 16666.75"," 16743.00"," 16762.30"," 16866.89"," 22194"," 3743.44"," 7642"," 6455"," 29.08",3,3,44.36,02/17/2022,F
"ABBOTINDIA"," EQ"," 16-Feb-2022"," 16464.80"," 16534.00"," 17287.95"," 16534.00"," 16980.00"," 16992.20"," 16982.88"," 60602"," 10291.96"," 19964"," 16850"," 27.80",3,3,44.57,02/16/2022,F
"ABBOTINDIA"," EQ"," 15-Feb-2022"," 16137.50"," 16200.00"," 16535.90"," 16047.20"," 16532.90"," 16464.80"," 16322.46"," 15150"," 2472.85"," 5776"," 3909"," 25.80",3,3,44.83,02/15/2022,F
"ABBOTINDIA"," EQ"," 14-Feb-2022"," 16537.05"," 16218.00"," 16399.60"," 16058.45"," 16100.00"," 16137.50"," 16202.45"," 33856"," 5485.50"," 7679"," 19449"," 57.45",4,3,45.24,02/14/2022,T
"ABBOTINDIA"," EQ"," 11-Feb-2022"," 16615.00"," 16600.00"," 16783.00"," 16300.05"," 16450.05"," 16537.05"," 16532.84"," 22038"," 3643.51"," 7853"," 4093"," 18.57",3,3,45.25,02/11/2022,F
"ABBOTINDIA"," EQ"," 10-Feb-2022"," 16672.40"," 16830.00"," 16900.00"," 16215.05"," 16614.00"," 16615.00"," 16588.60"," 72856"," 12085.79"," 22945"," 15684"," 21.53",3,3,45.51,02/10/2022,F
"ABBOTINDIA"," EQ"," 09-Feb-2022"," 15562.60"," 15660.00"," 16811.00"," 15545.05"," 16750.00"," 16672.40"," 16365.05"," 110598"," 18099.42"," 31505"," 23923"," 21.63",4,3,46.41,02/09/2022,F
"ABBOTINDIA"," EQ"," 08-Feb-2022"," 15775.35"," 15885.00"," 15898.45"," 15514.00"," 15550.00"," 15562.60"," 15614.11"," 20754"," 3240.55"," 4786"," 13441"," 64.76",4,3,46.75,02/08/2022,T
"ABBOTINDIA"," EQ"," 07-Feb-2022"," 15864.05"," 15864.00"," 15964.10"," 15516.10"," 15790.00"," 15775.35"," 15638.54"," 27259"," 4262.91"," 6783"," 17262"," 63.33",4,3,46.39,02/07/2022,T
"ABBOTINDIA"," EQ"," 04-Feb-2022"," 16083.35"," 16214.90"," 16214.90"," 15794.70"," 15850.10"," 15864.05"," 15920.95"," 19876"," 3164.45"," 7364"," 10045"," 50.54",3,3,46.16,02/04/2022,F
"ABBOTINDIA"," EQ"," 03-Feb-2022"," 16201.30"," 16179.00"," 16398.95"," 16018.80"," 16080.00"," 16083.35"," 16197.74"," 22333"," 3617.44"," 6437"," 12786"," 57.25",3,3,46.09,02/03/2022,F
"ABBOTINDIA"," EQ"," 02-Feb-2022"," 16140.15"," 16234.00"," 16471.05"," 16066.10"," 16220.00"," 16201.30"," 16247.15"," 22394"," 3638.39"," 6757"," 12433"," 55.52",3,3,46.05,02/02/2022,F
"ABBOTINDIA"," EQ"," 01-Feb-2022"," 16079.75"," 16200.00"," 16200.00"," 15986.00"," 16196.00"," 16140.15"," 16062.62"," 20818"," 3343.92"," 5215"," 13578"," 65.22",4,3,45.92,02/01/2022,T
"ABBOTINDIA"," EQ"," 31-Jan-2022"," 16083.20"," 16199.00"," 16229.90"," 15983.00"," 16078.00"," 16079.75"," 16039.08"," 34117"," 5472.05"," 6176"," 24078"," 70.57",6,3,45.34,01/31/2022,T
"ABBOTINDIA"," EQ"," 28-Jan-2022"," 16219.20"," 16444.00"," 16495.30"," 15960.00"," 16056.05"," 16083.20"," 16199.20"," 26606"," 4309.96"," 8118"," 12662"," 47.59",3,3,44.91,01/28/2022,F
"ABBOTINDIA"," EQ"," 27-Jan-2022"," 16718.90"," 16485.00"," 16594.75"," 15951.05"," 16245.00"," 16219.20"," 16226.22"," 35683"," 5790.00"," 14017"," 14251"," 39.94",3,3,44.81,01/27/2022,F
"ABBOTINDIA"," EQ"," 25-Jan-2022"," 16335.65"," 16349.85"," 16939.50"," 15965.00"," 16780.05"," 16718.90"," 16336.14"," 35045"," 5725.00"," 11281"," 15225"," 43.44",3,3,44.67,01/25/2022,F
"ABBOTINDIA"," EQ"," 24-Jan-2022"," 16980.85"," 16970.00"," 16996.00"," 16111.10"," 16379.40"," 16335.65"," 16421.46"," 30513"," 5010.68"," 10886"," 14338"," 46.99",3,3,44.70,01/24/2022,F
"ABBOTINDIA"," EQ"," 21-Jan-2022"," 16819.85"," 16800.00"," 17356.70"," 16662.05"," 16865.40"," 16980.85"," 17032.12"," 46825"," 7975.29"," 11959"," 20555"," 43.90",4,3,44.36,01/21/2022,F
"ABBOTINDIA"," EQ"," 20-Jan-2022"," 17018.30"," 17049.00"," 17123.75"," 16581.35"," 16711.00"," 16819.85"," 16854.42"," 31644"," 5333.41"," 8104"," 17279"," 54.60",4,3,44.09,01/20/2022,T
"ABBOTINDIA"," EQ"," 19-Jan-2022"," 17181.10"," 17239.00"," 17342.40"," 16993.00"," 17050.00"," 17018.30"," 17090.33"," 24104"," 4119.45"," 7114"," 11376"," 47.20",3,3,43.76,01/19/2022,F
"ABBOTINDIA"," EQ"," 18-Jan-2022"," 17515.40"," 17670.00"," 17670.00"," 17150.00"," 17199.00"," 17181.10"," 17318.71"," 28817"," 4990.73"," 9450"," 16473"," 57.16",3,3,43.25,01/18/2022,F
"ABBOTINDIA"," EQ"," 17-Jan-2022"," 17690.45"," 17839.85"," 17889.95"," 17466.00"," 17564.90"," 17515.40"," 17652.61"," 24521"," 4328.60"," 8824"," 12475"," 50.87",3,3,43.02,01/17/2022,F
"ABBOTINDIA"," EQ"," 14-Jan-2022"," 17809.90"," 17850.00"," 17950.00"," 17670.00"," 17682.00"," 17690.45"," 17770.85"," 17547"," 3118.25"," 5911"," 10942"," 62.36",3,3,42.72,01/14/2022,F
"ABBOTINDIA"," EQ"," 13-Jan-2022"," 17888.20"," 17908.00"," 18097.25"," 17790.00"," 17840.00"," 17809.90"," 17910.17"," 19661"," 3521.32"," 5677"," 10780"," 54.83",3,3,42.40,01/13/2022,F
"ABBOTINDIA"," EQ"," 12-Jan-2022"," 18169.40"," 18200.00"," 18306.65"," 17839.00"," 17880.30"," 17888.20"," 17949.11"," 29172"," 5236.11"," 8414"," 17807"," 61.04",3,3,42.19,01/12/2022,F
"ABBOTINDIA"," EQ"," 11-Jan-2022"," 18314.05"," 18399.80"," 18449.95"," 18065.05"," 18200.00"," 18169.40"," 18180.46"," 19994"," 3635.00"," 5684"," 11144"," 55.74",4,3,41.63,01/11/2022,T
"ABBOTINDIA"," EQ"," 10-Jan-2022"," 18372.90"," 18426.00"," 18549.00"," 18300.00"," 18325.45"," 18314.05"," 18400.37"," 11833"," 2177.32"," 4987"," 5708"," 48.24",2,3,41.31,01/10/2022,F
"ABBOTINDIA"," EQ"," 07-Jan-2022"," 18725.70"," 18750.00"," 18850.70"," 18299.95"," 18351.00"," 18372.90"," 18543.31"," 13554"," 2513.36"," 5021"," 5282"," 38.97",3,3,40.92,01/07/2022,F
"ABBOTINDIA"," EQ"," 06-Jan-2022"," 18866.35"," 18866.00"," 19112.40"," 18661.25"," 18720.75"," 18725.70"," 18872.11"," 14037"," 2649.08"," 5480"," 4352"," 31.00",3,3,40.69,01/06/2022,F
"ABBOTINDIA"," EQ"," 05-Jan-2022"," 18986.20"," 19048.70"," 19221.60"," 18781.55"," 18840.00"," 18866.35"," 18996.08"," 10135"," 1925.25"," 3958"," 3204"," 31.61",3,3,40.56,01/05/2022,F
"ABBOTINDIA"," EQ"," 04-Jan-2022"," 19285.10"," 19397.95"," 19397.95"," 18909.05"," 19040.00"," 18986.20"," 19113.87"," 12711"," 2429.56"," 3475"," 6067"," 47.73",4,3,40.36,01/04/2022,T
"ABBOTINDIA"," EQ"," 03-Jan-2022"," 19485.65"," 19550.00"," 19620.00"," 19233.10"," 19286.00"," 19285.10"," 19439.45"," 9259"," 1799.90"," 3150"," 3999"," 43.19",3,3,39.93,01/03/2022,F
"ABBOTINDIA"," EQ"," 31-Dec-2021"," 19381.95"," 19381.95"," 19604.50"," 19381.95"," 19498.00"," 19485.65"," 19497.81"," 6185"," 1205.94"," 2308"," 2400"," 38.80",3,3,39.42,12/31/2021,F
"ABBOTINDIA"," EQ"," 30-Dec-2021"," 19316.65"," 19298.80"," 19500.00"," 19161.00"," 19470.00"," 19381.95"," 19353.92"," 10120"," 1958.62"," 4228"," 3506"," 34.64",2,3,39.17,12/30/2021,F
"ABBOTINDIA"," EQ"," 29-Dec-2021"," 19050.65"," 19000.00"," 19397.95"," 18955.65"," 19160.05"," 19316.65"," 19190.41"," 11006"," 2112.10"," 3685"," 4536"," 41.21",3,3,38.94,12/29/2021,F
"ABBOTINDIA"," EQ"," 28-Dec-2021"," 18794.25"," 18756.20"," 19105.00"," 18756.20"," 19060.00"," 19050.65"," 18947.66"," 14103"," 2672.19"," 5130"," 5984"," 42.43",3,3,39.03,12/28/2021,F
"ABBOTINDIA"," EQ"," 27-Dec-2021"," 18423.45"," 18399.00"," 19099.00"," 18184.55"," 18746.10"," 18794.25"," 18724.98"," 20383"," 3816.71"," 6849"," 5789"," 28.40",3,3,39.67,12/27/2021,F
"ABBOTINDIA"," EQ"," 24-Dec-2021"," 18714.80"," 18750.00"," 18750.00"," 18352.05"," 18430.00"," 18423.45"," 18476.70"," 5807"," 1072.94"," 2542"," 2213"," 38.11",2,3,39.78,12/24/2021,F
"ABBOTINDIA"," EQ"," 23-Dec-2021"," 18219.75"," 18349.00"," 18798.00"," 18260.00"," 18533.00"," 18714.80"," 18622.36"," 22104"," 4116.29"," 5141"," 13406"," 60.65",4,3,39.86,12/23/2021,T
