symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"ABB"," EQ"," 23-Mar-2022"," 2077.15"," 2089.95"," 2096.30"," 2029.35"," 2037.00"," 2050.80"," 2057.10"," 512732"," 10547.41"," 13654"," 102037"," 19.90",38,13,55.57,03/23/2022,F
"ABB"," EQ"," 22-Mar-2022"," 2091.45"," 2100.00"," 2101.15"," 2058.00"," 2066.00"," 2077.15"," 2079.33"," 96849"," 2013.81"," 13761"," 46720"," 48.24",7,13,56.03,03/22/2022,F
"ABB"," EQ"," 21-Mar-2022"," 2101.35"," 2120.30"," 2124.85"," 2079.40"," 2080.00"," 2091.45"," 2099.97"," 208149"," 4371.07"," 11364"," 139109"," 66.83",18,13,56.08,03/21/2022,T
"ABB"," EQ"," 17-Mar-2022"," 2190.95"," 2205.00"," 2208.00"," 2090.00"," 2096.90"," 2101.35"," 2145.55"," 603010"," 12937.88"," 29710"," 378379"," 62.75",20,13,56.03,03/17/2022,T
"ABB"," EQ"," 16-Mar-2022"," 2091.70"," 2102.00"," 2202.60"," 2102.00"," 2187.00"," 2190.95"," 2177.63"," 231640"," 5044.26"," 26268"," 114365"," 49.37",9,13,56.34,03/16/2022,F
"ABB"," EQ"," 15-Mar-2022"," 2078.50"," 2078.50"," 2095.10"," 2041.05"," 2092.95"," 2091.70"," 2075.66"," 178988"," 3715.18"," 19092"," 97429"," 54.43",9,13,56.19,03/15/2022,F
"ABB"," EQ"," 14-Mar-2022"," 2119.95"," 2125.55"," 2125.55"," 2063.45"," 2064.00"," 2078.50"," 2082.38"," 237058"," 4936.46"," 12772"," 187251"," 78.99",19,13,55.99,03/14/2022,T
"ABB"," EQ"," 11-Mar-2022"," 2157.95"," 2155.00"," 2174.95"," 2110.00"," 2112.45"," 2119.95"," 2133.93"," 78426"," 1673.55"," 10029"," 37596"," 47.94",8,13,55.39,03/11/2022,F
"ABB"," EQ"," 10-Mar-2022"," 2142.75"," 2160.00"," 2177.85"," 2142.00"," 2151.25"," 2157.95"," 2156.55"," 145468"," 3137.09"," 19698"," 84479"," 58.07",7,13,55.04,03/10/2022,F
"ABB"," EQ"," 09-Mar-2022"," 2135.05"," 2150.00"," 2163.75"," 2101.00"," 2138.00"," 2142.75"," 2137.57"," 310556"," 6638.37"," 26963"," 237257"," 76.40",12,13,54.52,03/09/2022,F
"ABB"," EQ"," 08-Mar-2022"," 2108.95"," 2104.00"," 2158.00"," 2104.00"," 2140.05"," 2135.05"," 2134.96"," 132359"," 2825.81"," 18481"," 71749"," 54.21",7,13,54.27,03/08/2022,F
"ABB"," EQ"," 04-Mar-2022"," 2159.45"," 2145.00"," 2199.00"," 2125.10"," 2151.00"," 2155.40"," 2166.19"," 88675"," 1920.87"," 13371"," 29394"," 33.15",7,13,54.19,03/04/2022,F
"ABB"," EQ"," 03-Mar-2022"," 2179.20"," 2200.00"," 2239.00"," 2146.00"," 2165.00"," 2159.45"," 2203.52"," 217987"," 4803.38"," 29740"," 106643"," 48.92",7,13,54.12,03/03/2022,F
"ABB"," EQ"," 02-Mar-2022"," 2159.45"," 2153.00"," 2212.50"," 2153.00"," 2181.00"," 2179.20"," 2185.12"," 157039"," 3431.49"," 14962"," 64847"," 41.29",10,13,54.59,03/02/2022,F
"ABB"," EQ"," 28-Feb-2022"," 2131.90"," 2096.00"," 2171.60"," 2089.20"," 2153.30"," 2159.45"," 2150.44"," 180990"," 3892.08"," 30789"," 89646"," 49.53",6,13,54.73,02/28/2022,F
"ABB"," EQ"," 25-Feb-2022"," 2045.55"," 2068.60"," 2149.95"," 2065.35"," 2115.00"," 2131.90"," 2105.44"," 313838"," 6607.68"," 25652"," 186064"," 59.29",12,13,54.65,02/25/2022,F
"ABB"," EQ"," 24-Feb-2022"," 2097.20"," 2040.00"," 2098.95"," 2000.00"," 2042.00"," 2045.55"," 2065.35"," 360203"," 7439.46"," 48747"," 217311"," 60.33",7,13,54.45,02/24/2022,F
"ABB"," EQ"," 23-Feb-2022"," 2067.30"," 2076.00"," 2120.00"," 2076.00"," 2100.25"," 2097.20"," 2103.36"," 192678"," 4052.72"," 25281"," 102515"," 53.21",8,14,54.83,02/23/2022,F
"ABB"," EQ"," 22-Feb-2022"," 2101.10"," 2030.00"," 2123.25"," 2030.00"," 2051.00"," 2067.30"," 2081.11"," 306750"," 6383.82"," 47940"," 175162"," 57.10",6,14,55.11,02/22/2022,F
"ABB"," EQ"," 21-Feb-2022"," 2065.65"," 2046.00"," 2118.90"," 2025.00"," 2100.00"," 2101.10"," 2081.07"," 375444"," 7813.27"," 30864"," 234750"," 62.53",12,14,55.11,02/21/2022,F
"ABB"," EQ"," 18-Feb-2022"," 2055.90"," 2030.00"," 2079.05"," 2030.00"," 2058.00"," 2065.65"," 2058.17"," 177031"," 3643.60"," 14704"," 108538"," 61.31",12,14,55.06,02/18/2022,F
"ABB"," EQ"," 17-Feb-2022"," 2033.30"," 2033.30"," 2068.00"," 2023.30"," 2054.85"," 2055.90"," 2047.16"," 350822"," 7181.90"," 21876"," 214014"," 61.00",16,14,54.96,02/17/2022,T
"ABB"," EQ"," 16-Feb-2022"," 2045.85"," 2059.00"," 2084.00"," 2011.30"," 2031.00"," 2033.30"," 2030.00"," 565198"," 11473.50"," 29022"," 399229"," 70.64",19,14,54.72,02/16/2022,T
"ABB"," EQ"," 15-Feb-2022"," 2091.00"," 2110.00"," 2135.95"," 2025.55"," 2048.00"," 2045.85"," 2068.71"," 378170"," 7823.25"," 29931"," 269224"," 71.19",13,14,54.70,02/15/2022,F
"ABB"," EQ"," 14-Feb-2022"," 2179.25"," 2095.00"," 2136.40"," 2006.55"," 2083.80"," 2091.00"," 2097.22"," 289217"," 6065.51"," 25969"," 165184"," 57.11",11,14,54.94,02/14/2022,F
