symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"ABCAPITAL"," EQ"," 23-Mar-2022"," 108.95"," 109.00"," 110.70"," 108.60"," 109.65"," 109.40"," 109.51"," 2494590"," 2731.70"," 14929"," 866135"," 34.72",167,178,33.70,03/23/2022,F
"ABCAPITAL"," EQ"," 22-Mar-2022"," 107.80"," 107.20"," 110.00"," 106.40"," 108.50"," 108.95"," 108.15"," 2884197"," 3119.16"," 16310"," 773261"," 26.81",177,177,33.69,03/22/2022,F
"ABCAPITAL"," EQ"," 21-Mar-2022"," 109.85"," 110.70"," 110.70"," 107.45"," 107.80"," 107.80"," 108.68"," 2695208"," 2929.25"," 16624"," 927868"," 34.43",162,176,33.78,03/21/2022,F
"ABCAPITAL"," EQ"," 17-Mar-2022"," 108.55"," 110.00"," 110.85"," 108.00"," 109.85"," 109.85"," 109.67"," 4259155"," 4670.97"," 22695"," 1519358"," 35.67",188,174,33.85,03/17/2022,T
"ABCAPITAL"," EQ"," 16-Mar-2022"," 104.70"," 106.00"," 110.50"," 105.20"," 108.35"," 108.55"," 108.17"," 6827647"," 7385.68"," 32721"," 1699824"," 24.90",209,173,33.89,03/16/2022,F
"ABCAPITAL"," EQ"," 15-Mar-2022"," 103.95"," 104.85"," 105.95"," 103.70"," 104.45"," 104.70"," 105.00"," 3913921"," 4109.67"," 25454"," 1342180"," 34.29",154,172,33.92,03/15/2022,F
"ABCAPITAL"," EQ"," 14-Mar-2022"," 103.45"," 104.05"," 104.50"," 101.95"," 103.75"," 103.95"," 103.03"," 3065321"," 3158.06"," 15052"," 1401661"," 45.73",204,172,34.00,03/14/2022,T
"ABCAPITAL"," EQ"," 11-Mar-2022"," 103.80"," 103.50"," 104.45"," 103.00"," 103.50"," 103.45"," 103.65"," 2084612"," 2160.69"," 12397"," 650883"," 31.22",168,171,33.87,03/11/2022,F
"ABCAPITAL"," EQ"," 10-Mar-2022"," 102.65"," 105.30"," 106.55"," 103.10"," 103.75"," 103.80"," 104.91"," 3703566"," 3885.52"," 19838"," 1288608"," 34.79",187,171,33.79,03/10/2022,T
"ABCAPITAL"," EQ"," 09-Mar-2022"," 100.10"," 101.50"," 103.35"," 100.30"," 103.00"," 102.65"," 102.00"," 3296331"," 3362.32"," 17634"," 1086441"," 32.96",187,171,33.80,03/09/2022,F
