symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"ABFRL"," EQ"," 23-Mar-2022"," 288.70"," 291.95"," 291.95"," 282.85"," 287.80"," 289.55"," 287.46"," 2132897"," 6131.23"," 21007"," 716933"," 33.61",102,95,28.83,03/23/2022,T
"ABFRL"," EQ"," 22-Mar-2022"," 286.50"," 287.70"," 290.20"," 281.20"," 288.30"," 288.70"," 286.38"," 1951163"," 5587.80"," 25924"," 635035"," 32.55",75,94,28.67,03/22/2022,F
"ABFRL"," EQ"," 21-Mar-2022"," 285.25"," 287.00"," 291.60"," 283.40"," 285.95"," 286.50"," 287.89"," 1845577"," 5313.16"," 18616"," 569196"," 30.84",99,95,28.43,03/21/2022,T
"ABFRL"," EQ"," 17-Mar-2022"," 278.30"," 282.00"," 289.70"," 280.65"," 285.00"," 285.25"," 286.45"," 3121789"," 8942.23"," 34418"," 1144323"," 36.66",91,95,28.36,03/17/2022,F
"ABFRL"," EQ"," 16-Mar-2022"," 273.15"," 278.00"," 281.15"," 276.25"," 278.50"," 278.30"," 278.28"," 1368471"," 3808.21"," 13934"," 490199"," 35.82",98,95,28.41,03/16/2022,T
"ABFRL"," EQ"," 15-Mar-2022"," 276.85"," 279.70"," 279.70"," 268.80"," 273.60"," 273.15"," 274.16"," 1231973"," 3377.56"," 13973"," 285691"," 23.19",88,95,28.17,03/15/2022,F
"ABFRL"," EQ"," 14-Mar-2022"," 279.35"," 282.00"," 282.00"," 273.60"," 277.30"," 276.85"," 276.83"," 1412546"," 3910.30"," 15241"," 464349"," 32.87",93,96,27.98,03/14/2022,F
"ABFRL"," EQ"," 11-Mar-2022"," 276.00"," 277.70"," 281.95"," 268.70"," 278.00"," 279.35"," 278.25"," 1220006"," 3394.66"," 14454"," 203731"," 16.70",84,96,28.11,03/11/2022,F
"ABFRL"," EQ"," 10-Mar-2022"," 278.35"," 282.00"," 288.00"," 274.75"," 277.00"," 276.00"," 280.30"," 2191964"," 6144.02"," 26240"," 491103"," 22.40",84,95,28.44,03/10/2022,F
"ABFRL"," EQ"," 09-Mar-2022"," 266.30"," 267.90"," 279.75"," 266.55"," 277.00"," 278.35"," 275.66"," 4144465"," 11424.45"," 49681"," 1124015"," 27.12",83,95,28.38,03/09/2022,F
"ABFRL"," EQ"," 08-Mar-2022"," 261.35"," 262.70"," 270.05"," 261.95"," 266.00"," 266.30"," 266.51"," 2275142"," 6063.46"," 28496"," 873814"," 38.41",80,96,28.48,03/08/2022,F
"ABFRL"," EQ"," 04-Mar-2022"," 267.30"," 267.75"," 267.75"," 256.25"," 261.85"," 264.35"," 263.37"," 3447343"," 9079.33"," 42111"," 1545828"," 44.84",82,96,28.36,03/04/2022,F
"ABFRL"," EQ"," 03-Mar-2022"," 272.80"," 275.00"," 276.95"," 265.05"," 268.30"," 267.30"," 270.63"," 2115861"," 5726.24"," 19900"," 843619"," 39.87",106,95,27.93,03/03/2022,T
"ABFRL"," EQ"," 02-Mar-2022"," 268.40"," 266.50"," 274.90"," 265.75"," 273.00"," 272.80"," 270.01"," 2757606"," 7445.82"," 39457"," 1366895"," 49.57",70,95,27.70,03/02/2022,F
"ABFRL"," EQ"," 28-Feb-2022"," 265.20"," 263.70"," 271.95"," 260.00"," 268.50"," 268.40"," 268.18"," 3853921"," 10335.32"," 31957"," 856468"," 22.22",121,96,27.39,02/28/2022,F
"ABFRL"," EQ"," 25-Feb-2022"," 250.80"," 257.00"," 268.70"," 256.00"," 266.00"," 265.20"," 264.97"," 2094244"," 5549.22"," 20859"," 481536"," 22.99",100,95,27.70,02/25/2022,F
"ABFRL"," EQ"," 24-Feb-2022"," 269.10"," 260.50"," 267.70"," 250.00"," 250.90"," 250.80"," 255.47"," 5633430"," 14391.93"," 44307"," 2547376"," 45.22",127,95,27.98,02/24/2022,T
"ABFRL"," EQ"," 23-Feb-2022"," 263.00"," 266.95"," 271.40"," 263.50"," 269.90"," 269.10"," 268.78"," 1658245"," 4456.95"," 18279"," 504382"," 30.42",91,95,28.31,02/23/2022,F
"ABFRL"," EQ"," 22-Feb-2022"," 268.30"," 260.00"," 266.55"," 257.00"," 263.70"," 263.00"," 262.50"," 2000691"," 5251.79"," 34436"," 664253"," 33.20",58,95,28.30,02/22/2022,F
"ABFRL"," EQ"," 21-Feb-2022"," 272.35"," 270.00"," 274.20"," 266.20"," 268.35"," 268.30"," 270.23"," 1739662"," 4701.05"," 20478"," 679514"," 39.06",85,95,28.38,02/21/2022,F
"ABFRL"," EQ"," 18-Feb-2022"," 274.30"," 271.80"," 276.45"," 270.80"," 271.50"," 272.35"," 274.04"," 727808"," 1994.46"," 8003"," 180143"," 24.75",91,96,28.80,02/18/2022,F
"ABFRL"," EQ"," 17-Feb-2022"," 276.60"," 278.80"," 279.95"," 272.40"," 274.00"," 274.30"," 277.37"," 1468321"," 4072.69"," 17039"," 487483"," 33.20",86,96,28.87,02/17/2022,F
