symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"ACC"," EQ"," 23-Mar-2022"," 2058.30"," 2064.10"," 2086.00"," 2050.00"," 2063.50"," 2069.75"," 2066.10"," 232620"," 4806.15"," 15847"," 62930"," 27.05",15,17,36.89,03/23/2022,F
"ACC"," EQ"," 22-Mar-2022"," 2055.75"," 2054.95"," 2074.70"," 2025.00"," 2062.45"," 2058.30"," 2048.80"," 452916"," 9279.33"," 31723"," 156505"," 34.55",14,17,37.34,03/22/2022,F
"ACC"," EQ"," 21-Mar-2022"," 2122.65"," 2101.00"," 2141.75"," 2046.65"," 2056.95"," 2055.75"," 2074.19"," 1043891"," 21652.25"," 32039"," 387081"," 37.08",33,17,37.60,03/21/2022,F
"ACC"," EQ"," 17-Mar-2022"," 2129.15"," 2166.00"," 2166.00"," 2118.00"," 2123.10"," 2122.65"," 2136.68"," 820627"," 17534.16"," 33007"," 374278"," 45.61",25,17,37.64,03/17/2022,T
"ACC"," EQ"," 16-Mar-2022"," 2060.35"," 2088.35"," 2132.35"," 2066.50"," 2127.00"," 2129.15"," 2104.82"," 395803"," 8330.94"," 18771"," 117819"," 29.77",21,17,37.72,03/16/2022,F
"ACC"," EQ"," 15-Mar-2022"," 2058.05"," 2070.00"," 2109.70"," 2043.70"," 2060.80"," 2060.35"," 2077.11"," 358798"," 7452.64"," 23276"," 124563"," 34.72",15,17,38.04,03/15/2022,F
"ACC"," EQ"," 14-Mar-2022"," 2041.90"," 2054.00"," 2065.00"," 2025.00"," 2059.75"," 2058.05"," 2048.87"," 184932"," 3789.01"," 11615"," 67472"," 36.48",16,17,38.40,03/14/2022,F
"ACC"," EQ"," 11-Mar-2022"," 2047.60"," 2044.50"," 2061.85"," 2016.00"," 2038.40"," 2041.90"," 2036.40"," 372130"," 7578.04"," 21127"," 181938"," 48.89",18,17,38.60,03/11/2022,T
"ACC"," EQ"," 10-Mar-2022"," 2000.85"," 2050.00"," 2073.95"," 2001.00"," 2046.00"," 2047.60"," 2047.33"," 315957"," 6468.69"," 20003"," 77898"," 24.65",16,17,38.53,03/10/2022,F
"ACC"," EQ"," 09-Mar-2022"," 1962.10"," 1976.00"," 2015.90"," 1956.65"," 2000.00"," 2000.85"," 1985.06"," 419651"," 8330.32"," 23817"," 192230"," 45.81",18,17,38.90,03/09/2022,T
"ACC"," EQ"," 08-Mar-2022"," 1950.15"," 1940.00"," 1968.95"," 1902.00"," 1964.00"," 1962.10"," 1940.55"," 330394"," 6411.45"," 22564"," 74444"," 22.53",15,17,38.86,03/08/2022,F
"ACC"," EQ"," 04-Mar-2022"," 1956.00"," 1940.00"," 2020.00"," 1926.20"," 2004.75"," 2010.55"," 1966.47"," 801645"," 15764.09"," 45137"," 259470"," 32.37",18,16,39.21,03/04/2022,F
"ACC"," EQ"," 03-Mar-2022"," 2067.75"," 2088.00"," 2092.70"," 1950.00"," 1963.00"," 1956.00"," 2009.10"," 728165"," 14629.53"," 41045"," 311265"," 42.75",18,16,39.28,03/03/2022,T
"ACC"," EQ"," 02-Mar-2022"," 2089.15"," 2073.80"," 2099.95"," 2043.00"," 2057.45"," 2067.75"," 2067.28"," 494931"," 10231.59"," 31949"," 227008"," 45.87",15,16,39.23,03/02/2022,F
"ACC"," EQ"," 28-Feb-2022"," 2059.55"," 2044.00"," 2095.00"," 2020.35"," 2095.00"," 2089.15"," 2064.71"," 349612"," 7218.49"," 23603"," 150857"," 43.15",15,16,39.18,02/28/2022,F
"ACC"," EQ"," 25-Feb-2022"," 2014.00"," 2045.00"," 2084.45"," 2030.00"," 2067.70"," 2059.55"," 2061.38"," 286586"," 5907.62"," 18856"," 91727"," 32.01",15,16,38.91,02/25/2022,F
"ACC"," EQ"," 24-Feb-2022"," 2151.30"," 2085.10"," 2120.65"," 2002.00"," 2011.00"," 2014.00"," 2066.10"," 474202"," 9797.48"," 42192"," 182172"," 38.42",11,16,38.79,02/24/2022,F
"ACC"," EQ"," 23-Feb-2022"," 2165.40"," 2169.05"," 2197.00"," 2143.70"," 2148.20"," 2151.30"," 2165.68"," 376034"," 8143.69"," 37479"," 149210"," 39.68",10,16,38.81,02/23/2022,F
"ACC"," EQ"," 22-Feb-2022"," 2184.90"," 2154.90"," 2180.80"," 2100.10"," 2153.80"," 2165.40"," 2156.17"," 323721"," 6979.99"," 27112"," 110305"," 34.07",12,16,38.87,02/22/2022,F
"ACC"," EQ"," 21-Feb-2022"," 2181.15"," 2178.70"," 2205.25"," 2151.00"," 2182.00"," 2184.90"," 2186.80"," 291112"," 6366.05"," 25810"," 74351"," 25.54",11,17,38.89,02/21/2022,F
"ACC"," EQ"," 18-Feb-2022"," 2226.85"," 2208.75"," 2220.00"," 2172.00"," 2184.70"," 2181.15"," 2186.27"," 295149"," 6452.75"," 14390"," 125806"," 42.62",21,17,39.00,02/18/2022,T
"ACC"," EQ"," 17-Feb-2022"," 2239.40"," 2240.40"," 2267.55"," 2215.75"," 2231.05"," 2226.85"," 2234.69"," 218668"," 4886.55"," 16693"," 98474"," 45.03",13,16,38.95,02/17/2022,F
"ACC"," EQ"," 16-Feb-2022"," 2234.30"," 2250.00"," 2266.25"," 2215.40"," 2240.00"," 2239.40"," 2240.09"," 218682"," 4898.68"," 14997"," 57990"," 26.52",15,17,38.67,02/16/2022,F
"ACC"," EQ"," 15-Feb-2022"," 2153.90"," 2156.50"," 2240.00"," 2156.50"," 2236.50"," 2234.30"," 2195.69"," 259988"," 5708.52"," 18337"," 76843"," 29.56",14,17,38.94,02/15/2022,F
"ACC"," EQ"," 14-Feb-2022"," 2249.35"," 2217.80"," 2220.15"," 2145.00"," 2150.80"," 2153.90"," 2180.22"," 279841"," 6101.15"," 20528"," 77366"," 27.65",14,17,38.89,02/14/2022,F
"ACC"," EQ"," 11-Feb-2022"," 2303.55"," 2290.00"," 2297.00"," 2240.00"," 2245.30"," 2249.35"," 2265.86"," 359096"," 8136.62"," 27438"," 179550"," 50.00",13,17,38.98,02/11/2022,F
"ACC"," EQ"," 10-Feb-2022"," 2310.30"," 2280.00"," 2324.80"," 2265.00"," 2298.00"," 2303.55"," 2302.25"," 876424"," 20177.51"," 47079"," 350881"," 40.04",19,17,38.85,02/10/2022,T
"ACC"," EQ"," 09-Feb-2022"," 2304.75"," 2317.30"," 2338.80"," 2290.20"," 2320.00"," 2310.30"," 2313.76"," 367725"," 8508.26"," 19685"," 97993"," 26.65",19,16,39.01,02/09/2022,F
"ACC"," EQ"," 08-Feb-2022"," 2282.20"," 2286.00"," 2310.00"," 2262.20"," 2307.00"," 2304.75"," 2287.25"," 608392"," 13915.44"," 25086"," 364410"," 59.90",24,17,39.38,02/08/2022,T
"ACC"," EQ"," 07-Feb-2022"," 2274.75"," 2282.70"," 2292.75"," 2239.25"," 2279.85"," 2282.20"," 2270.05"," 201382"," 4571.47"," 13911"," 76541"," 38.01",14,16,39.11,02/07/2022,F
"ACC"," EQ"," 04-Feb-2022"," 2293.60"," 2298.20"," 2322.45"," 2270.00"," 2275.00"," 2274.75"," 2291.04"," 184813"," 4234.14"," 16556"," 51401"," 27.81",11,16,39.06,02/04/2022,F
"ACC"," EQ"," 03-Feb-2022"," 2306.55"," 2308.90"," 2328.00"," 2286.25"," 2293.15"," 2293.60"," 2303.04"," 253714"," 5843.12"," 13054"," 125753"," 49.56",19,16,39.24,02/03/2022,T
"ACC"," EQ"," 02-Feb-2022"," 2332.55"," 2348.75"," 2350.05"," 2300.00"," 2309.00"," 2306.55"," 2318.32"," 274847"," 6371.82"," 17543"," 91175"," 33.17",16,16,39.24,02/02/2022,F
"ACC"," EQ"," 01-Feb-2022"," 2285.75"," 2300.05"," 2355.00"," 2272.70"," 2337.05"," 2332.55"," 2317.55"," 491690"," 11395.15"," 29691"," 154535"," 31.43",17,16,39.29,02/01/2022,F
"ACC"," EQ"," 31-Jan-2022"," 2215.95"," 2230.40"," 2292.70"," 2227.00"," 2280.90"," 2285.75"," 2273.18"," 428789"," 9747.14"," 19066"," 216716"," 50.54",22,16,39.28,01/31/2022,T
"ACC"," EQ"," 28-Jan-2022"," 2167.70"," 2179.90"," 2238.55"," 2173.85"," 2214.75"," 2215.95"," 2220.23"," 272371"," 6047.28"," 21912"," 85794"," 31.50",12,16,39.05,01/28/2022,F
"ACC"," EQ"," 27-Jan-2022"," 2179.95"," 2156.00"," 2179.00"," 2127.65"," 2171.05"," 2167.70"," 2157.94"," 298193"," 6434.81"," 18014"," 155101"," 52.01",17,16,39.05,01/27/2022,T
"ACC"," EQ"," 25-Jan-2022"," 2167.45"," 2160.10"," 2192.60"," 2120.05"," 2170.50"," 2179.95"," 2169.33"," 262179"," 5687.54"," 22169"," 66152"," 25.23",12,16,38.74,01/25/2022,F
