symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"ADANIENT"," EQ"," 23-Mar-2022"," 1831.55"," 1848.05"," 1848.05"," 1800.85"," 1806.10"," 1811.00"," 1823.79"," 1553366"," 28330.17"," 29291"," 709842"," 45.70",53,40,24.41,03/23/2022,T
"ADANIENT"," EQ"," 22-Mar-2022"," 1802.95"," 1802.95"," 1837.00"," 1790.00"," 1832.00"," 1831.55"," 1815.39"," 964066"," 17501.54"," 28508"," 153298"," 15.90",34,40,23.91,03/22/2022,F
"ADANIENT"," EQ"," 21-Mar-2022"," 1819.65"," 1836.05"," 1841.90"," 1796.15"," 1805.00"," 1802.95"," 1812.59"," 1081052"," 19595.06"," 28646"," 293259"," 27.13",38,40,23.79,03/21/2022,F
"ADANIENT"," EQ"," 17-Mar-2022"," 1758.00"," 1775.60"," 1823.60"," 1760.00"," 1820.00"," 1819.65"," 1798.04"," 2392329"," 43015.15"," 50563"," 1077820"," 45.05",47,39,23.60,03/17/2022,T
"ADANIENT"," EQ"," 16-Mar-2022"," 1701.40"," 1724.00"," 1764.00"," 1718.65"," 1755.65"," 1758.00"," 1750.78"," 1269866"," 22232.57"," 38410"," 227327"," 17.90",33,39,23.07,03/16/2022,F
"ADANIENT"," EQ"," 15-Mar-2022"," 1736.10"," 1740.00"," 1754.20"," 1686.65"," 1698.35"," 1701.40"," 1722.96"," 1085901"," 18709.60"," 36494"," 248627"," 22.90",30,39,22.94,03/15/2022,F
"ADANIENT"," EQ"," 14-Mar-2022"," 1734.10"," 1732.00"," 1752.45"," 1722.45"," 1734.00"," 1736.10"," 1735.11"," 659190"," 11437.65"," 24530"," 115269"," 17.49",27,39,22.81,03/14/2022,F
"ADANIENT"," EQ"," 11-Mar-2022"," 1742.85"," 1750.00"," 1757.00"," 1721.20"," 1731.00"," 1734.10"," 1737.53"," 1354129"," 23528.45"," 37195"," 254037"," 18.76",36,39,22.81,03/11/2022,F
"ADANIENT"," EQ"," 10-Mar-2022"," 1656.55"," 1682.00"," 1749.60"," 1678.25"," 1733.00"," 1742.85"," 1723.34"," 2294474"," 39541.60"," 57105"," 504623"," 21.99",40,39,22.68,03/10/2022,F
"ADANIENT"," EQ"," 09-Mar-2022"," 1601.60"," 1609.60"," 1669.95"," 1608.00"," 1660.00"," 1656.55"," 1641.32"," 1498176"," 24589.80"," 38209"," 417787"," 27.89",39,39,22.57,03/09/2022,F
"ADANIENT"," EQ"," 08-Mar-2022"," 1564.05"," 1574.90"," 1607.40"," 1553.40"," 1602.00"," 1601.60"," 1585.53"," 1396347"," 22139.44"," 38500"," 312974"," 22.41",36,39,22.47,03/08/2022,F
"ADANIENT"," EQ"," 04-Mar-2022"," 1643.80"," 1621.80"," 1655.50"," 1601.20"," 1611.00"," 1615.00"," 1625.44"," 1433490"," 23300.46"," 35706"," 366019"," 25.53",40,39,22.45,03/04/2022,T
"ADANIENT"," EQ"," 03-Mar-2022"," 1641.80"," 1670.00"," 1678.20"," 1634.95"," 1643.80"," 1643.80"," 1658.26"," 1333325"," 22109.95"," 35854"," 388772"," 29.16",37,39,22.64,03/03/2022,F
"ADANIENT"," EQ"," 02-Mar-2022"," 1644.45"," 1638.00"," 1664.25"," 1615.50"," 1647.00"," 1641.80"," 1648.05"," 1249817"," 20597.62"," 30797"," 371854"," 29.75",41,39,22.73,03/02/2022,T
"ADANIENT"," EQ"," 28-Feb-2022"," 1618.70"," 1603.75"," 1651.10"," 1592.25"," 1639.00"," 1644.45"," 1626.98"," 1869037"," 30408.82"," 40203"," 616199"," 32.97",46,39,22.91,02/28/2022,T
"ADANIENT"," EQ"," 25-Feb-2022"," 1543.95"," 1594.00"," 1638.10"," 1578.80"," 1620.00"," 1618.70"," 1618.92"," 1741584"," 28194.89"," 44055"," 384094"," 22.05",40,38,22.76,02/25/2022,F
"ADANIENT"," EQ"," 24-Feb-2022"," 1688.70"," 1626.00"," 1648.60"," 1528.80"," 1555.00"," 1543.95"," 1597.12"," 2798065"," 44688.32"," 88960"," 617885"," 22.08",31,38,22.90,02/24/2022,F
"ADANIENT"," EQ"," 23-Feb-2022"," 1667.70"," 1682.00"," 1717.50"," 1670.00"," 1692.00"," 1688.70"," 1698.31"," 1285012"," 21823.52"," 34509"," 292236"," 22.74",37,38,22.81,02/23/2022,F
"ADANIENT"," EQ"," 22-Feb-2022"," 1685.20"," 1636.10"," 1678.90"," 1630.00"," 1666.00"," 1667.70"," 1656.50"," 1717579"," 28451.63"," 46698"," 367919"," 21.42",37,38,22.71,02/22/2022,F
"ADANIENT"," EQ"," 21-Feb-2022"," 1736.30"," 1738.80"," 1738.80"," 1671.30"," 1679.00"," 1685.20"," 1700.68"," 1449291"," 24647.74"," 37180"," 368276"," 25.41",39,38,22.81,02/21/2022,T
"ADANIENT"," EQ"," 18-Feb-2022"," 1730.95"," 1739.00"," 1754.60"," 1725.00"," 1735.35"," 1736.30"," 1744.39"," 945100"," 16486.23"," 23552"," 205950"," 21.79",40,38,22.92,02/18/2022,F
"ADANIENT"," EQ"," 17-Feb-2022"," 1738.10"," 1750.00"," 1762.00"," 1724.00"," 1731.00"," 1730.95"," 1749.78"," 1075487"," 18818.67"," 27297"," 274747"," 25.55",39,38,22.94,02/17/2022,T
"ADANIENT"," EQ"," 16-Feb-2022"," 1744.25"," 1744.25"," 1776.00"," 1730.00"," 1734.00"," 1738.10"," 1756.26"," 1663614"," 29217.37"," 38159"," 360485"," 21.67",44,39,23.02,02/16/2022,F
"ADANIENT"," EQ"," 15-Feb-2022"," 1663.95"," 1636.00"," 1751.40"," 1627.85"," 1739.90"," 1744.25"," 1690.94"," 2261554"," 38241.61"," 63405"," 359169"," 15.88",36,38,22.98,02/15/2022,F
"ADANIENT"," EQ"," 14-Feb-2022"," 1764.30"," 1736.30"," 1737.90"," 1653.00"," 1660.00"," 1663.95"," 1698.44"," 1919476"," 32601.14"," 52289"," 497956"," 25.94",37,38,23.04,02/14/2022,F
"ADANIENT"," EQ"," 11-Feb-2022"," 1786.10"," 1764.00"," 1774.90"," 1743.35"," 1758.95"," 1764.30"," 1760.67"," 1196002"," 21057.68"," 34655"," 331716"," 27.74",35,39,23.05,02/11/2022,F
"ADANIENT"," EQ"," 10-Feb-2022"," 1783.15"," 1799.00"," 1809.00"," 1766.00"," 1781.00"," 1786.10"," 1788.91"," 1747943"," 31269.21"," 44387"," 396828"," 22.70",39,39,23.00,02/10/2022,F
"ADANIENT"," EQ"," 09-Feb-2022"," 1716.00"," 1724.60"," 1791.90"," 1718.10"," 1784.00"," 1783.15"," 1766.82"," 1674022"," 29576.92"," 44563"," 315114"," 18.82",38,39,22.97,02/09/2022,F
