symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"ADANIPORTS"," EQ"," 25-Mar-2022"," 733.45"," 737.00"," 746.90"," 730.05"," 744.50"," 743.25"," 738.23"," 4003497"," 29555.20"," 56980"," 1094839"," 27.35",70,60,28.74,03/25/2022,F
"ADANIPORTS"," EQ"," 24-Mar-2022"," 733.75"," 733.00"," 742.30"," 731.00"," 732.80"," 733.45"," 736.05"," 2914647"," 21453.30"," 60268"," 947349"," 32.50",48,60,28.66,03/24/2022,F
"ADANIPORTS"," EQ"," 23-Mar-2022"," 739.15"," 747.95"," 751.00"," 731.80"," 733.80"," 733.75"," 740.43"," 4698808"," 34791.60"," 76232"," 1117113"," 23.77",62,60,28.36,03/23/2022,F
"ADANIPORTS"," EQ"," 22-Mar-2022"," 735.15"," 735.00"," 743.90"," 723.05"," 739.00"," 739.15"," 733.94"," 5010054"," 36770.58"," 83770"," 1215863"," 24.27",60,60,28.35,03/22/2022,F
"ADANIPORTS"," EQ"," 21-Mar-2022"," 740.10"," 741.00"," 750.45"," 725.40"," 734.45"," 735.15"," 738.78"," 6662688"," 49222.90"," 101109"," 2280807"," 34.23",66,61,28.62,03/21/2022,T
"ADANIPORTS"," EQ"," 17-Mar-2022"," 723.80"," 730.50"," 743.80"," 729.55"," 738.50"," 740.10"," 738.79"," 4957379"," 36624.37"," 83927"," 2153753"," 43.45",59,61,28.67,03/17/2022,F
"ADANIPORTS"," EQ"," 16-Mar-2022"," 721.30"," 726.00"," 729.50"," 721.00"," 724.40"," 723.80"," 724.45"," 2693057"," 19509.86"," 46850"," 1222433"," 45.39",57,61,28.36,03/16/2022,F
"ADANIPORTS"," EQ"," 15-Mar-2022"," 730.55"," 733.00"," 736.00"," 716.25"," 719.90"," 721.30"," 728.37"," 4228582"," 30799.92"," 62879"," 1969193"," 46.57",67,61,28.27,03/15/2022,T
"ADANIPORTS"," EQ"," 14-Mar-2022"," 729.45"," 725.95"," 733.50"," 724.00"," 731.35"," 730.55"," 729.75"," 1905433"," 13904.83"," 47272"," 552515"," 29.00",40,61,27.86,03/14/2022,F
"ADANIPORTS"," EQ"," 11-Mar-2022"," 730.40"," 729.50"," 731.75"," 722.30"," 726.00"," 729.45"," 727.90"," 2864685"," 20852.04"," 55397"," 889458"," 31.05",52,62,27.79,03/11/2022,F
"ADANIPORTS"," EQ"," 10-Mar-2022"," 714.10"," 727.90"," 737.65"," 720.60"," 729.50"," 730.40"," 730.32"," 5850213"," 42725.44"," 90840"," 1864448"," 31.87",64,62,27.49,03/10/2022,T
"ADANIPORTS"," EQ"," 09-Mar-2022"," 688.85"," 697.00"," 718.00"," 692.70"," 714.00"," 714.10"," 708.34"," 5351552"," 37907.29"," 103313"," 1058194"," 19.77",52,62,27.33,03/09/2022,F
"ADANIPORTS"," EQ"," 08-Mar-2022"," 677.80"," 679.65"," 692.00"," 670.60"," 689.55"," 688.85"," 683.05"," 3831397"," 26170.38"," 79726"," 660212"," 17.23",48,62,27.38,03/08/2022,F
"ADANIPORTS"," EQ"," 04-Mar-2022"," 706.70"," 699.90"," 710.70"," 689.05"," 698.00"," 700.15"," 699.98"," 7941457"," 55588.81"," 99357"," 3779340"," 47.59",80,62,27.35,03/04/2022,T
"ADANIPORTS"," EQ"," 03-Mar-2022"," 710.30"," 718.80"," 724.60"," 703.00"," 708.00"," 706.70"," 709.72"," 7533817"," 53469.09"," 85752"," 4096611"," 54.38",88,62,26.87,03/03/2022,T
"ADANIPORTS"," EQ"," 02-Mar-2022"," 707.50"," 702.95"," 717.90"," 697.60"," 710.05"," 710.30"," 709.26"," 4448558"," 31551.79"," 68822"," 1487649"," 33.44",65,62,26.24,03/02/2022,T
"ADANIPORTS"," EQ"," 28-Feb-2022"," 695.15"," 690.00"," 709.65"," 684.50"," 707.20"," 707.50"," 700.10"," 4288186"," 30021.59"," 78628"," 1002590"," 23.38",55,62,26.09,02/28/2022,F
"ADANIPORTS"," EQ"," 25-Feb-2022"," 654.85"," 674.50"," 703.00"," 670.25"," 697.50"," 695.15"," 692.34"," 5738223"," 39728.28"," 108630"," 947897"," 16.52",53,62,26.02,02/25/2022,F
"ADANIPORTS"," EQ"," 24-Feb-2022"," 706.70"," 682.00"," 688.00"," 651.95"," 656.80"," 654.85"," 668.81"," 9547717"," 63856.12"," 147255"," 4006902"," 41.97",65,62,26.23,02/24/2022,T
"ADANIPORTS"," EQ"," 23-Feb-2022"," 705.55"," 711.00"," 719.40"," 705.00"," 707.00"," 706.70"," 712.18"," 2978284"," 21210.67"," 60389"," 635521"," 21.34",49,62,25.87,02/23/2022,F
"ADANIPORTS"," EQ"," 22-Feb-2022"," 711.10"," 698.00"," 711.10"," 685.00"," 711.00"," 705.55"," 696.86"," 6112926"," 42598.34"," 101897"," 2340374"," 38.29",60,62,25.81,02/22/2022,F
"ADANIPORTS"," EQ"," 21-Feb-2022"," 727.50"," 722.70"," 726.75"," 709.55"," 712.00"," 711.10"," 716.56"," 2805791"," 20105.11"," 51846"," 346778"," 12.36",54,62,25.80,02/21/2022,F
