symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"ALKEM"," EQ"," 25-Mar-2022"," 3609.50"," 3630.95"," 3636.35"," 3591.65"," 3620.00"," 3620.40"," 3611.91"," 88609"," 3200.48"," 9500"," 59577"," 67.24",9,9,48.06,03/25/2022,F
"ALKEM"," EQ"," 24-Mar-2022"," 3649.25"," 3649.25"," 3688.55"," 3570.80"," 3595.00"," 3609.50"," 3622.45"," 67094"," 2430.44"," 15745"," 24841"," 37.02",4,9,47.92,03/24/2022,F
"ALKEM"," EQ"," 23-Mar-2022"," 3550.55"," 3560.00"," 3670.00"," 3552.00"," 3652.00"," 3649.25"," 3643.97"," 173064"," 6306.41"," 19866"," 75388"," 43.56",9,9,48.70,03/23/2022,F
"ALKEM"," EQ"," 22-Mar-2022"," 3496.85"," 3496.85"," 3564.95"," 3487.20"," 3553.20"," 3550.55"," 3543.95"," 150611"," 5337.58"," 11582"," 105155"," 69.82",13,9,48.62,03/22/2022,T
"ALKEM"," EQ"," 21-Mar-2022"," 3438.95"," 3421.05"," 3525.95"," 3408.30"," 3489.10"," 3496.85"," 3485.27"," 74130"," 2583.63"," 10118"," 29393"," 39.65",7,9,48.31,03/21/2022,F
"ALKEM"," EQ"," 17-Mar-2022"," 3414.90"," 3435.00"," 3468.75"," 3415.35"," 3441.05"," 3438.95"," 3442.30"," 120404"," 4144.66"," 8655"," 93058"," 77.29",14,9,48.34,03/17/2022,T
"ALKEM"," EQ"," 16-Mar-2022"," 3374.60"," 3405.00"," 3435.55"," 3361.60"," 3408.40"," 3414.90"," 3404.00"," 99979"," 3403.28"," 8654"," 71456"," 71.47",12,9,47.65,03/16/2022,T
"ALKEM"," EQ"," 15-Mar-2022"," 3380.80"," 3385.00"," 3427.95"," 3350.00"," 3361.40"," 3374.60"," 3383.14"," 84389"," 2855.00"," 11127"," 53167"," 63.00",8,9,47.35,03/15/2022,F
"ALKEM"," EQ"," 14-Mar-2022"," 3381.00"," 3398.00"," 3410.95"," 3360.00"," 3377.25"," 3380.80"," 3381.00"," 83284"," 2815.83"," 9518"," 55896"," 67.11",9,9,47.35,03/14/2022,F
"ALKEM"," EQ"," 11-Mar-2022"," 3300.30"," 3317.70"," 3389.80"," 3290.05"," 3389.80"," 3381.00"," 3339.64"," 76836"," 2566.05"," 9288"," 39547"," 51.47",8,9,47.18,03/11/2022,F
"ALKEM"," EQ"," 10-Mar-2022"," 3276.60"," 3350.00"," 3350.00"," 3272.05"," 3292.00"," 3300.30"," 3304.92"," 48413"," 1600.01"," 8772"," 22303"," 46.07",6,9,46.92,03/10/2022,F
"ALKEM"," EQ"," 09-Mar-2022"," 3265.40"," 3288.00"," 3375.00"," 3244.05"," 3297.90"," 3276.60"," 3319.88"," 122653"," 4071.94"," 16773"," 56975"," 46.45",7,10,46.45,03/09/2022,F
"ALKEM"," EQ"," 08-Mar-2022"," 3261.30"," 3206.15"," 3283.20"," 3206.15"," 3260.35"," 3265.40"," 3249.78"," 86400"," 2807.81"," 10007"," 58193"," 67.35",9,10,46.04,03/08/2022,F
"ALKEM"," EQ"," 04-Mar-2022"," 3249.65"," 3215.05"," 3267.95"," 3154.45"," 3244.00"," 3176.60"," 3223.00"," 36487"," 1175.98"," 5352"," 16610"," 45.52",7,10,45.80,03/04/2022,F
"ALKEM"," EQ"," 03-Mar-2022"," 3259.00"," 3280.00"," 3289.10"," 3208.00"," 3242.05"," 3249.65"," 3246.59"," 48593"," 1577.62"," 6133"," 31198"," 64.20",8,10,45.70,03/03/2022,F
"ALKEM"," EQ"," 02-Mar-2022"," 3277.95"," 3239.00"," 3293.00"," 3230.00"," 3245.00"," 3259.00"," 3261.66"," 22773"," 742.78"," 3799"," 7675"," 33.70",6,10,45.19,03/02/2022,F
"ALKEM"," EQ"," 28-Feb-2022"," 3299.40"," 3290.40"," 3305.80"," 3200.00"," 3278.90"," 3277.95"," 3272.97"," 33559"," 1098.38"," 8139"," 12730"," 37.93",4,10,45.33,02/28/2022,F
"ALKEM"," EQ"," 25-Feb-2022"," 3171.45"," 3171.45"," 3340.00"," 3171.45"," 3308.50"," 3299.40"," 3274.20"," 121298"," 3971.54"," 8577"," 82647"," 68.14",14,10,45.54,02/25/2022,T
"ALKEM"," EQ"," 24-Feb-2022"," 3265.00"," 3135.00"," 3254.00"," 3135.00"," 3166.80"," 3171.45"," 3204.31"," 49307"," 1579.95"," 7412"," 11772"," 23.87",7,10,45.00,02/24/2022,F
