symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"AMARAJABAT"," EQ"," 25-Mar-2022"," 568.00"," 571.35"," 571.35"," 555.15"," 556.25"," 556.30"," 561.93"," 598263"," 3361.82"," 21037"," 234626"," 39.22",28,35,31.78,03/25/2022,F
"AMARAJABAT"," EQ"," 24-Mar-2022"," 576.60"," 564.95"," 575.95"," 564.05"," 566.70"," 568.00"," 570.46"," 531259"," 3030.61"," 15711"," 200880"," 37.81",34,35,31.40,03/24/2022,F
"AMARAJABAT"," EQ"," 23-Mar-2022"," 578.65"," 581.90"," 588.70"," 575.15"," 575.60"," 576.60"," 581.55"," 732574"," 4260.31"," 18096"," 185818"," 25.37",40,35,31.12,03/23/2022,F
"AMARAJABAT"," EQ"," 22-Mar-2022"," 579.95"," 575.00"," 580.30"," 570.10"," 578.00"," 578.65"," 575.34"," 466104"," 2681.69"," 14604"," 155915"," 33.45",32,35,31.24,03/22/2022,F
"AMARAJABAT"," EQ"," 21-Mar-2022"," 579.75"," 583.90"," 584.95"," 575.35"," 580.00"," 579.95"," 580.69"," 554247"," 3218.46"," 14317"," 164941"," 29.76",39,34,31.21,03/21/2022,F
"AMARAJABAT"," EQ"," 17-Mar-2022"," 581.65"," 585.00"," 590.80"," 578.25"," 580.35"," 579.75"," 583.96"," 973110"," 5682.62"," 20000"," 370513"," 38.08",49,34,31.61,03/17/2022,T
"AMARAJABAT"," EQ"," 16-Mar-2022"," 569.95"," 574.40"," 583.55"," 573.90"," 581.60"," 581.65"," 580.58"," 445835"," 2588.41"," 12497"," 187442"," 42.04",36,34,31.40,03/16/2022,T
"AMARAJABAT"," EQ"," 15-Mar-2022"," 575.50"," 577.10"," 584.95"," 566.05"," 569.85"," 569.95"," 577.48"," 612662"," 3537.99"," 15931"," 136713"," 22.31",38,34,31.12,03/15/2022,F
"AMARAJABAT"," EQ"," 14-Mar-2022"," 575.25"," 576.00"," 580.95"," 570.30"," 575.00"," 575.50"," 575.20"," 375170"," 2157.99"," 11807"," 112953"," 30.11",32,34,31.47,03/14/2022,F
"AMARAJABAT"," EQ"," 11-Mar-2022"," 574.65"," 570.05"," 581.90"," 570.05"," 575.00"," 575.25"," 576.31"," 380271"," 2191.53"," 10925"," 87602"," 23.04",35,34,31.70,03/11/2022,F
"AMARAJABAT"," EQ"," 10-Mar-2022"," 564.85"," 570.00"," 583.45"," 570.00"," 573.80"," 574.65"," 577.52"," 783664"," 4525.79"," 21849"," 192612"," 24.58",36,34,31.75,03/10/2022,F
"AMARAJABAT"," EQ"," 09-Mar-2022"," 557.55"," 563.80"," 570.00"," 559.05"," 564.00"," 564.85"," 564.96"," 519388"," 2934.35"," 17621"," 172457"," 33.20",29,34,31.80,03/09/2022,F
"AMARAJABAT"," EQ"," 08-Mar-2022"," 547.70"," 538.00"," 559.00"," 538.00"," 556.00"," 557.55"," 550.37"," 811009"," 4463.53"," 18284"," 182066"," 22.45",44,34,32.11,03/08/2022,F
"AMARAJABAT"," EQ"," 04-Mar-2022"," 561.25"," 558.25"," 561.60"," 548.20"," 556.60"," 555.20"," 554.33"," 700492"," 3883.01"," 21502"," 124622"," 17.79",33,33,32.11,03/04/2022,F
"AMARAJABAT"," EQ"," 03-Mar-2022"," 561.60"," 565.45"," 568.80"," 559.10"," 560.35"," 561.25"," 563.64"," 403884"," 2276.44"," 12745"," 157462"," 38.99",32,34,32.19,03/03/2022,F
"AMARAJABAT"," EQ"," 02-Mar-2022"," 560.85"," 560.00"," 566.55"," 550.00"," 563.25"," 561.60"," 561.70"," 470655"," 2643.68"," 15164"," 133607"," 28.39",31,33,32.04,03/02/2022,F
"AMARAJABAT"," EQ"," 28-Feb-2022"," 553.10"," 548.50"," 562.25"," 542.15"," 560.85"," 560.85"," 556.14"," 734382"," 4084.18"," 21217"," 201012"," 27.37",35,33,31.95,02/28/2022,F
"AMARAJABAT"," EQ"," 25-Feb-2022"," 523.70"," 538.00"," 555.00"," 534.40"," 553.95"," 553.10"," 546.89"," 1065463"," 5826.89"," 29104"," 335069"," 31.45",37,33,32.01,02/25/2022,F
"AMARAJABAT"," EQ"," 24-Feb-2022"," 586.75"," 571.00"," 573.45"," 520.00"," 522.00"," 523.70"," 539.14"," 3315136"," 17873.16"," 106582"," 1325003"," 39.97",31,33,31.99,02/24/2022,F
"AMARAJABAT"," EQ"," 23-Feb-2022"," 581.15"," 585.00"," 593.85"," 581.15"," 586.70"," 586.75"," 588.45"," 601295"," 3538.33"," 14739"," 190508"," 31.68",41,33,32.07,02/23/2022,F
