symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"AMBUJACEM"," EQ"," 25-Mar-2022"," 297.05"," 299.90"," 299.90"," 294.55"," 298.50"," 297.80"," 297.05"," 3115402"," 9254.41"," 30166"," 1676864"," 53.82",103,74,46.39,03/25/2022,T
"AMBUJACEM"," EQ"," 24-Mar-2022"," 297.85"," 296.95"," 299.65"," 295.00"," 296.90"," 297.05"," 297.53"," 4048136"," 12044.36"," 36785"," 2434954"," 60.15",110,74,46.26,03/24/2022,T
"AMBUJACEM"," EQ"," 23-Mar-2022"," 300.90"," 303.00"," 303.35"," 295.55"," 297.50"," 297.85"," 298.83"," 4697043"," 14036.02"," 54232"," 2751056"," 58.57",87,73,46.10,03/23/2022,T
"AMBUJACEM"," EQ"," 22-Mar-2022"," 300.35"," 300.45"," 302.90"," 296.05"," 301.00"," 300.90"," 300.04"," 3537814"," 10614.95"," 43400"," 1445389"," 40.86",82,73,45.73,03/22/2022,F
"AMBUJACEM"," EQ"," 21-Mar-2022"," 306.20"," 306.00"," 309.20"," 300.00"," 300.45"," 300.35"," 302.31"," 4583683"," 13856.99"," 60127"," 2379794"," 51.92",76,73,45.80,03/21/2022,T
"AMBUJACEM"," EQ"," 17-Mar-2022"," 309.35"," 314.20"," 314.90"," 305.45"," 307.20"," 306.20"," 309.79"," 9901093"," 30672.78"," 67481"," 6357123"," 64.21",147,73,45.85,03/17/2022,T
"AMBUJACEM"," EQ"," 16-Mar-2022"," 295.10"," 300.00"," 311.45"," 297.00"," 309.70"," 309.35"," 304.37"," 6876362"," 20929.61"," 87700"," 3428614"," 49.86",78,71,45.86,03/16/2022,T
"AMBUJACEM"," EQ"," 15-Mar-2022"," 291.20"," 293.60"," 301.85"," 292.85"," 295.00"," 295.10"," 297.23"," 6826748"," 20290.92"," 78408"," 3197947"," 46.84",87,71,45.88,03/15/2022,T
"AMBUJACEM"," EQ"," 14-Mar-2022"," 293.45"," 294.65"," 297.50"," 289.05"," 291.60"," 291.20"," 291.61"," 2658414"," 7752.31"," 30749"," 1291071"," 48.57",86,70,45.99,03/14/2022,T
"AMBUJACEM"," EQ"," 11-Mar-2022"," 293.20"," 293.00"," 296.00"," 290.30"," 292.95"," 293.45"," 292.42"," 4357253"," 12741.44"," 71240"," 1961694"," 45.02",61,70,46.23,03/11/2022,F
"AMBUJACEM"," EQ"," 10-Mar-2022"," 291.65"," 300.00"," 302.00"," 291.00"," 293.00"," 293.20"," 296.11"," 5031572"," 14899.24"," 58994"," 1798289"," 35.74",85,70,46.24,03/10/2022,F
"AMBUJACEM"," EQ"," 09-Mar-2022"," 282.90"," 285.80"," 292.65"," 281.00"," 292.00"," 291.65"," 286.75"," 7788795"," 22334.42"," 61891"," 3489580"," 44.80",126,70,46.31,03/09/2022,F
"AMBUJACEM"," EQ"," 08-Mar-2022"," 281.20"," 281.05"," 284.55"," 274.00"," 282.80"," 282.90"," 279.72"," 6513565"," 18219.46"," 81596"," 3166123"," 48.61",80,68,46.37,03/08/2022,T
"AMBUJACEM"," EQ"," 04-Mar-2022"," 290.20"," 285.20"," 296.20"," 283.70"," 292.15"," 292.60"," 289.93"," 6171233"," 17892.55"," 77412"," 2002300"," 32.45",80,68,46.13,03/04/2022,F
"AMBUJACEM"," EQ"," 03-Mar-2022"," 304.15"," 308.60"," 311.10"," 287.90"," 290.30"," 290.20"," 295.61"," 11872107"," 35095.28"," 160570"," 5545411"," 46.71",74,68,46.30,03/03/2022,T
"AMBUJACEM"," EQ"," 02-Mar-2022"," 314.25"," 312.80"," 314.85"," 301.00"," 305.10"," 304.15"," 305.76"," 6623505"," 20251.99"," 107228"," 3306644"," 49.92",62,68,46.49,03/02/2022,F
"AMBUJACEM"," EQ"," 28-Feb-2022"," 308.70"," 306.30"," 315.95"," 302.95"," 315.45"," 314.25"," 310.51"," 7116898"," 22098.98"," 65609"," 4012613"," 56.38",108,68,46.86,02/28/2022,T
"AMBUJACEM"," EQ"," 25-Feb-2022"," 306.95"," 311.00"," 315.95"," 306.10"," 309.65"," 308.70"," 311.31"," 5240212"," 16313.29"," 63117"," 2534615"," 48.37",83,67,46.69,02/25/2022,T
"AMBUJACEM"," EQ"," 24-Feb-2022"," 330.95"," 316.00"," 322.35"," 302.05"," 307.35"," 306.95"," 311.99"," 12821969"," 40003.19"," 163333"," 6583056"," 51.34",79,66,46.86,02/24/2022,T
"AMBUJACEM"," EQ"," 23-Feb-2022"," 337.35"," 338.90"," 340.50"," 329.60"," 330.00"," 330.95"," 334.17"," 5312647"," 17753.36"," 55919"," 3259022"," 61.34",95,66,46.69,02/23/2022,T
"AMBUJACEM"," EQ"," 22-Feb-2022"," 338.55"," 334.00"," 338.45"," 331.10"," 337.30"," 337.35"," 335.32"," 3078034"," 10321.19"," 40636"," 1020919"," 33.17",76,65,46.55,02/22/2022,F
"AMBUJACEM"," EQ"," 21-Feb-2022"," 338.35"," 334.20"," 341.30"," 331.25"," 339.20"," 338.55"," 337.01"," 5812598"," 19589.06"," 86922"," 1214711"," 20.90",67,65,46.67,02/21/2022,F
"AMBUJACEM"," EQ"," 18-Feb-2022"," 359.80"," 352.70"," 354.00"," 337.20"," 338.50"," 338.35"," 342.56"," 11901556"," 40769.89"," 154766"," 2687259"," 22.58",77,65,47.23,02/18/2022,F
"AMBUJACEM"," EQ"," 17-Feb-2022"," 360.70"," 362.50"," 364.50"," 357.50"," 358.75"," 359.80"," 360.31"," 1439893"," 5188.07"," 20810"," 476026"," 33.06",69,64,47.62,02/17/2022,F
"AMBUJACEM"," EQ"," 16-Feb-2022"," 363.55"," 365.10"," 367.85"," 359.50"," 360.65"," 360.70"," 364.37"," 1368175"," 4985.28"," 23257"," 402259"," 29.40",59,64,47.68,02/16/2022,F
"AMBUJACEM"," EQ"," 15-Feb-2022"," 355.10"," 357.00"," 365.00"," 353.75"," 364.50"," 363.55"," 359.59"," 2027130"," 7289.26"," 31512"," 996585"," 49.16",64,64,47.78,02/15/2022,F
"AMBUJACEM"," EQ"," 14-Feb-2022"," 367.90"," 362.00"," 365.00"," 354.05"," 355.00"," 355.10"," 359.41"," 1341336"," 4820.87"," 28535"," 436803"," 32.56",47,64,47.61,02/14/2022,F
"AMBUJACEM"," EQ"," 11-Feb-2022"," 374.85"," 375.00"," 375.85"," 366.60"," 367.05"," 367.90"," 370.31"," 2050063"," 7591.57"," 38304"," 770306"," 37.57",54,64,47.83,02/11/2022,F
"AMBUJACEM"," EQ"," 10-Feb-2022"," 382.80"," 381.75"," 384.40"," 373.40"," 374.75"," 374.85"," 376.43"," 4638095"," 17459.40"," 63320"," 2884561"," 62.19",73,64,47.79,02/10/2022,T
"AMBUJACEM"," EQ"," 09-Feb-2022"," 376.30"," 379.35"," 385.90"," 376.85"," 383.50"," 382.80"," 382.27"," 2140597"," 8182.91"," 33325"," 1237125"," 57.79",64,64,47.52,02/09/2022,F
"AMBUJACEM"," EQ"," 08-Feb-2022"," 382.65"," 383.00"," 386.10"," 373.25"," 376.90"," 376.30"," 378.59"," 2089451"," 7910.53"," 27285"," 812498"," 38.89",77,64,47.39,02/08/2022,F
"AMBUJACEM"," EQ"," 07-Feb-2022"," 380.40"," 380.00"," 383.90"," 374.20"," 382.55"," 382.65"," 379.68"," 2535377"," 9626.38"," 65673"," 1201421"," 47.39",39,64,47.35,02/07/2022,F
"AMBUJACEM"," EQ"," 04-Feb-2022"," 381.90"," 383.00"," 384.90"," 378.00"," 379.25"," 380.40"," 382.58"," 5637748"," 21569.10"," 75719"," 3959499"," 70.23",74,64,47.41,02/04/2022,T
"AMBUJACEM"," EQ"," 03-Feb-2022"," 380.00"," 377.30"," 384.30"," 377.30"," 381.00"," 381.90"," 382.46"," 3772405"," 14427.99"," 56782"," 2716845"," 72.02",66,64,47.04,02/03/2022,T
