symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"APLLTD"," EQ"," 25-Mar-2022"," 765.35"," 775.00"," 775.15"," 747.95"," 754.00"," 757.60"," 758.13"," 415525"," 3150.24"," 12124"," 185842"," 44.72",34,28,39.54,03/25/2022,T
"APLLTD"," EQ"," 24-Mar-2022"," 737.10"," 731.50"," 771.00"," 731.50"," 764.25"," 765.35"," 755.94"," 369125"," 2790.37"," 14353"," 116279"," 31.50",26,28,39.13,03/24/2022,F
"APLLTD"," EQ"," 23-Mar-2022"," 735.70"," 736.20"," 744.85"," 732.40"," 740.00"," 737.10"," 737.65"," 148303"," 1093.96"," 5234"," 56056"," 37.80",28,28,39.17,03/23/2022,F
"APLLTD"," EQ"," 22-Mar-2022"," 753.85"," 753.00"," 753.05"," 725.80"," 735.95"," 735.70"," 735.18"," 488229"," 3589.36"," 15584"," 116865"," 23.94",31,28,38.81,03/22/2022,F
"APLLTD"," EQ"," 21-Mar-2022"," 726.40"," 730.20"," 765.90"," 728.75"," 754.45"," 753.85"," 753.23"," 539490"," 4063.63"," 16829"," 142706"," 26.45",32,28,38.60,03/21/2022,F
"APLLTD"," EQ"," 17-Mar-2022"," 734.25"," 737.95"," 742.45"," 724.60"," 730.00"," 726.40"," 730.73"," 261392"," 1910.07"," 6235"," 174072"," 66.59",42,28,37.94,03/17/2022,T
"APLLTD"," EQ"," 16-Mar-2022"," 732.55"," 736.40"," 739.80"," 731.45"," 733.05"," 734.25"," 734.78"," 91619"," 673.20"," 2371"," 46840"," 51.12",39,27,37.18,03/16/2022,T
"APLLTD"," EQ"," 15-Mar-2022"," 728.70"," 735.90"," 738.05"," 725.50"," 731.00"," 732.55"," 732.23"," 101332"," 741.99"," 5339"," 37781"," 37.28",19,27,36.98,03/15/2022,F
"APLLTD"," EQ"," 14-Mar-2022"," 733.80"," 733.80"," 740.10"," 725.15"," 729.90"," 728.70"," 731.59"," 148607"," 1087.20"," 5170"," 47277"," 31.81",29,27,36.70,03/14/2022,F
"APLLTD"," EQ"," 11-Mar-2022"," 722.80"," 722.80"," 735.80"," 717.55"," 730.55"," 733.80"," 728.01"," 202266"," 1472.51"," 6111"," 100763"," 49.82",33,27,36.70,03/11/2022,T
