symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"APOLLOHOSP"," EQ"," 25-Mar-2022"," 4628.55"," 4670.00"," 4764.00"," 4622.40"," 4681.05"," 4683.20"," 4690.07"," 968414"," 45419.28"," 102825"," 432575"," 44.67",9,12,36.56,03/25/2022,F
"APOLLOHOSP"," EQ"," 24-Mar-2022"," 4608.20"," 4599.95"," 4685.00"," 4558.60"," 4625.00"," 4628.55"," 4632.93"," 719101"," 33315.46"," 59471"," 348329"," 48.44",12,12,36.43,03/24/2022,F
"APOLLOHOSP"," EQ"," 23-Mar-2022"," 4677.60"," 4697.50"," 4716.05"," 4595.60"," 4602.00"," 4608.20"," 4631.39"," 896055"," 41499.77"," 87436"," 490345"," 54.72",10,12,36.12,03/23/2022,F
"APOLLOHOSP"," EQ"," 22-Mar-2022"," 4767.40"," 4798.00"," 4828.00"," 4471.85"," 4690.00"," 4677.60"," 4622.10"," 1255679"," 58038.71"," 88046"," 450719"," 35.89",14,12,35.71,03/22/2022,T
"APOLLOHOSP"," EQ"," 21-Mar-2022"," 4839.90"," 4875.00"," 4914.90"," 4755.05"," 4775.00"," 4767.40"," 4837.27"," 509842"," 24662.42"," 44494"," 258758"," 50.75",11,12,35.91,03/21/2022,F
"APOLLOHOSP"," EQ"," 17-Mar-2022"," 4943.65"," 4947.00"," 4998.00"," 4824.90"," 4844.00"," 4839.90"," 4889.25"," 852493"," 41680.48"," 74360"," 420676"," 49.35",11,12,35.66,03/17/2022,F
"APOLLOHOSP"," EQ"," 16-Mar-2022"," 4812.95"," 4893.60"," 4957.15"," 4832.20"," 4947.00"," 4943.65"," 4895.79"," 477521"," 23378.45"," 40758"," 170188"," 35.64",12,12,35.31,03/16/2022,F
"APOLLOHOSP"," EQ"," 15-Mar-2022"," 4923.50"," 4949.95"," 4999.00"," 4700.00"," 4840.00"," 4812.95"," 4865.40"," 686998"," 33425.22"," 74685"," 259392"," 37.76",9,12,35.05,03/15/2022,F
"APOLLOHOSP"," EQ"," 14-Mar-2022"," 4854.10"," 4890.00"," 5016.55"," 4864.05"," 4912.00"," 4923.50"," 4934.11"," 626924"," 30933.13"," 60707"," 152469"," 24.32",10,12,34.68,03/14/2022,F
"APOLLOHOSP"," EQ"," 11-Mar-2022"," 4769.70"," 4748.00"," 4863.00"," 4735.25"," 4852.00"," 4854.10"," 4824.63"," 436703"," 21069.30"," 42842"," 120543"," 27.60",10,12,34.77,03/11/2022,F
"APOLLOHOSP"," EQ"," 10-Mar-2022"," 4710.95"," 4805.60"," 4819.00"," 4745.00"," 4761.00"," 4769.70"," 4769.44"," 363906"," 17356.27"," 36486"," 142179"," 39.07",10,12,34.62,03/10/2022,F
"APOLLOHOSP"," EQ"," 09-Mar-2022"," 4722.25"," 4779.00"," 4814.90"," 4694.00"," 4710.05"," 4710.95"," 4751.45"," 447387"," 21257.35"," 51862"," 162830"," 36.40",9,12,34.43,03/09/2022,F
"APOLLOHOSP"," EQ"," 08-Mar-2022"," 4664.35"," 4660.00"," 4740.00"," 4595.40"," 4728.55"," 4722.25"," 4667.73"," 670238"," 31284.89"," 50598"," 317899"," 47.43",13,12,34.33,03/08/2022,T
"APOLLOHOSP"," EQ"," 04-Mar-2022"," 4917.80"," 4880.00"," 4889.40"," 4732.20"," 4745.00"," 4747.25"," 4779.50"," 738388"," 35291.26"," 63737"," 319275"," 43.24",12,12,33.78,03/04/2022,F
"APOLLOHOSP"," EQ"," 03-Mar-2022"," 4861.25"," 4880.00"," 4969.00"," 4875.05"," 4905.00"," 4917.80"," 4923.77"," 930907"," 45835.72"," 84747"," 414067"," 44.48",11,12,33.73,03/03/2022,F
"APOLLOHOSP"," EQ"," 02-Mar-2022"," 4802.80"," 4827.00"," 4903.95"," 4780.20"," 4862.15"," 4861.25"," 4846.18"," 1194676"," 57896.09"," 92312"," 544475"," 45.58",13,12,33.38,03/02/2022,T
"APOLLOHOSP"," EQ"," 28-Feb-2022"," 4633.45"," 4615.00"," 4826.00"," 4571.20"," 4780.15"," 4802.80"," 4742.48"," 1617666"," 76717.45"," 103388"," 544431"," 33.66",16,12,33.35,02/28/2022,T
"APOLLOHOSP"," EQ"," 25-Feb-2022"," 4381.95"," 4570.00"," 4747.60"," 4465.75"," 4630.40"," 4633.45"," 4628.01"," 1187316"," 54949.06"," 83696"," 224501"," 18.91",14,12,33.25,02/25/2022,F
"APOLLOHOSP"," EQ"," 24-Feb-2022"," 4610.80"," 4425.00"," 4535.00"," 4351.05"," 4388.00"," 4381.95"," 4446.72"," 814710"," 36227.91"," 86219"," 343740"," 42.19",9,12,33.49,02/24/2022,F
"APOLLOHOSP"," EQ"," 23-Feb-2022"," 4576.05"," 4595.00"," 4735.00"," 4590.50"," 4623.95"," 4610.80"," 4656.53"," 755051"," 35159.21"," 75402"," 167262"," 22.15",10,12,33.37,02/23/2022,F
"APOLLOHOSP"," EQ"," 22-Feb-2022"," 4426.65"," 4327.00"," 4605.55"," 4300.00"," 4594.95"," 4576.05"," 4469.11"," 833525"," 37251.11"," 60171"," 389352"," 46.71",14,12,33.78,02/22/2022,T
"APOLLOHOSP"," EQ"," 21-Feb-2022"," 4471.55"," 4471.00"," 4524.95"," 4390.65"," 4440.50"," 4426.65"," 4455.47"," 392246"," 17476.42"," 36527"," 77004"," 19.63",11,12,33.61,02/21/2022,F
"APOLLOHOSP"," EQ"," 18-Feb-2022"," 4564.70"," 4504.00"," 4592.80"," 4462.55"," 4475.00"," 4471.55"," 4531.09"," 388145"," 17587.22"," 48373"," 134297"," 34.60",8,12,33.98,02/18/2022,F
"APOLLOHOSP"," EQ"," 17-Feb-2022"," 4584.80"," 4584.00"," 4667.50"," 4550.00"," 4563.00"," 4564.70"," 4614.91"," 520450"," 24018.29"," 38346"," 151139"," 29.04",14,12,33.97,02/17/2022,F
"APOLLOHOSP"," EQ"," 16-Feb-2022"," 4663.40"," 4695.00"," 4724.00"," 4555.05"," 4570.10"," 4584.80"," 4608.30"," 584166"," 26920.10"," 51790"," 154215"," 26.40",11,12,33.93,02/16/2022,F
"APOLLOHOSP"," EQ"," 15-Feb-2022"," 4486.35"," 4530.00"," 4675.00"," 4501.90"," 4675.00"," 4663.40"," 4618.98"," 791080"," 36539.79"," 70679"," 187648"," 23.72",11,12,33.92,02/15/2022,F
"APOLLOHOSP"," EQ"," 14-Feb-2022"," 4514.90"," 4479.10"," 4678.00"," 4402.75"," 4472.00"," 4486.35"," 4559.96"," 1094132"," 49891.97"," 83478"," 178342"," 16.30",13,12,33.76,02/14/2022,F
"APOLLOHOSP"," EQ"," 11-Feb-2022"," 4590.65"," 4610.00"," 4613.45"," 4476.45"," 4505.00"," 4514.90"," 4522.16"," 572726"," 25899.60"," 37029"," 183718"," 32.08",15,12,33.76,02/11/2022,F
"APOLLOHOSP"," EQ"," 10-Feb-2022"," 4577.25"," 4576.05"," 4623.00"," 4528.10"," 4610.00"," 4590.65"," 4577.96"," 487802"," 22331.37"," 51815"," 180971"," 37.10",9,12,33.86,02/10/2022,F
"APOLLOHOSP"," EQ"," 09-Feb-2022"," 4399.50"," 4514.70"," 4587.00"," 4430.05"," 4570.00"," 4577.25"," 4545.39"," 842211"," 38281.74"," 62164"," 356516"," 42.33",14,12,33.88,02/09/2022,T
"APOLLOHOSP"," EQ"," 08-Feb-2022"," 4475.15"," 4497.50"," 4529.70"," 4380.00"," 4410.00"," 4399.50"," 4469.04"," 628869"," 28104.43"," 43825"," 223233"," 35.50",14,12,33.98,02/08/2022,T
"APOLLOHOSP"," EQ"," 07-Feb-2022"," 4687.90"," 4687.40"," 4724.55"," 4450.05"," 4460.85"," 4475.15"," 4544.76"," 597040"," 27134.01"," 51135"," 205322"," 34.39",12,12,34.05,02/07/2022,F
"APOLLOHOSP"," EQ"," 04-Feb-2022"," 4642.80"," 4640.00"," 4794.00"," 4601.75"," 4680.00"," 4687.90"," 4713.03"," 829635"," 39100.92"," 65409"," 229132"," 27.62",13,12,34.30,02/04/2022,F
"APOLLOHOSP"," EQ"," 03-Feb-2022"," 4666.30"," 4667.95"," 4704.75"," 4602.80"," 4615.00"," 4642.80"," 4637.94"," 777217"," 36046.87"," 81265"," 414983"," 53.39",10,12,34.41,02/03/2022,F
"APOLLOHOSP"," EQ"," 02-Feb-2022"," 4512.05"," 4530.00"," 4683.00"," 4520.65"," 4667.95"," 4666.30"," 4615.83"," 676206"," 31212.49"," 57074"," 177557"," 26.26",12,12,33.96,02/02/2022,F
"APOLLOHOSP"," EQ"," 01-Feb-2022"," 4457.35"," 4478.80"," 4532.25"," 4444.00"," 4510.50"," 4512.05"," 4498.27"," 548762"," 24684.81"," 56227"," 186226"," 33.94",10,12,34.09,02/01/2022,F
"APOLLOHOSP"," EQ"," 31-Jan-2022"," 4478.60"," 4584.00"," 4584.00"," 4358.05"," 4453.65"," 4457.35"," 4453.38"," 934551"," 41619.08"," 77254"," 267847"," 28.66",12,12,34.28,01/31/2022,F
"APOLLOHOSP"," EQ"," 28-Jan-2022"," 4292.25"," 4346.00"," 4565.00"," 4335.25"," 4480.00"," 4478.60"," 4497.15"," 932049"," 41915.66"," 71835"," 249038"," 26.72",13,12,34.42,01/28/2022,F
"APOLLOHOSP"," EQ"," 27-Jan-2022"," 4486.00"," 4427.00"," 4427.00"," 4150.00"," 4307.00"," 4292.25"," 4267.18"," 1244330"," 53097.80"," 115663"," 396618"," 31.87",11,12,34.61,01/27/2022,F
"APOLLOHOSP"," EQ"," 25-Jan-2022"," 4498.15"," 4415.00"," 4535.00"," 4250.10"," 4480.00"," 4486.00"," 4435.40"," 917284"," 40685.18"," 74408"," 269637"," 29.40",12,12,35.11,01/25/2022,F
"APOLLOHOSP"," EQ"," 24-Jan-2022"," 4691.65"," 4690.00"," 4710.80"," 4462.25"," 4476.45"," 4498.15"," 4594.21"," 737762"," 33894.30"," 67060"," 227861"," 30.89",11,12,35.24,01/24/2022,F
"APOLLOHOSP"," EQ"," 21-Jan-2022"," 4644.80"," 4649.95"," 4733.75"," 4544.85"," 4690.50"," 4691.65"," 4646.32"," 1008450"," 46855.86"," 98253"," 386806"," 38.36",10,12,35.30,01/21/2022,F
"APOLLOHOSP"," EQ"," 20-Jan-2022"," 4515.95"," 4525.00"," 4725.00"," 4490.00"," 4635.05"," 4644.80"," 4628.48"," 2747887"," 127185.27"," 207115"," 1348157"," 49.06",13,12,35.28,01/20/2022,T
"APOLLOHOSP"," EQ"," 19-Jan-2022"," 4615.80"," 4615.00"," 4615.00"," 4400.00"," 4520.00"," 4515.95"," 4481.36"," 2404880"," 107771.32"," 156191"," 1173288"," 48.79",15,12,35.00,01/19/2022,T
