symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"APOLLOTYRE"," EQ"," 23-Mar-2022"," 190.05"," 190.50"," 191.85"," 188.10"," 188.70"," 189.15"," 189.92"," 1612579"," 3062.67"," 16217"," 374441"," 23.22",99,112,26.63,03/23/2022,F
"APOLLOTYRE"," EQ"," 22-Mar-2022"," 188.55"," 188.10"," 190.50"," 183.05"," 189.90"," 190.05"," 187.19"," 4183713"," 7831.68"," 29224"," 1178834"," 28.18",143,113,26.81,03/22/2022,T
"APOLLOTYRE"," EQ"," 21-Mar-2022"," 193.75"," 193.75"," 193.95"," 188.15"," 188.60"," 188.55"," 190.04"," 2515370"," 4780.20"," 22288"," 751393"," 29.87",113,112,26.64,03/21/2022,T
"APOLLOTYRE"," EQ"," 17-Mar-2022"," 186.55"," 190.00"," 194.90"," 189.05"," 193.40"," 193.75"," 193.09"," 5449690"," 10522.71"," 41492"," 1581090"," 29.01",131,112,26.83,03/17/2022,T
"APOLLOTYRE"," EQ"," 16-Mar-2022"," 184.10"," 186.00"," 188.10"," 184.05"," 186.65"," 186.55"," 186.21"," 3590473"," 6685.89"," 19004"," 1492058"," 41.56",189,112,26.82,03/16/2022,T
"APOLLOTYRE"," EQ"," 15-Mar-2022"," 183.90"," 185.55"," 189.95"," 182.00"," 183.45"," 184.10"," 186.23"," 3835547"," 7142.93"," 28339"," 585918"," 15.28",135,110,26.56,03/15/2022,F
"APOLLOTYRE"," EQ"," 14-Mar-2022"," 184.25"," 184.90"," 185.30"," 181.00"," 183.55"," 183.90"," 182.82"," 2103886"," 3846.38"," 17371"," 520781"," 24.75",121,110,27.00,03/14/2022,F
"APOLLOTYRE"," EQ"," 11-Mar-2022"," 183.65"," 184.00"," 185.80"," 181.30"," 184.40"," 184.25"," 183.94"," 2443880"," 4495.34"," 17018"," 496928"," 20.33",144,109,27.20,03/11/2022,F
"APOLLOTYRE"," EQ"," 10-Mar-2022"," 177.10"," 185.85"," 187.90"," 182.30"," 183.50"," 183.65"," 185.18"," 5852786"," 10838.12"," 49079"," 1389981"," 23.75",119,108,27.25,03/10/2022,F
"APOLLOTYRE"," EQ"," 09-Mar-2022"," 171.55"," 173.95"," 179.85"," 171.15"," 177.85"," 177.10"," 175.47"," 6091824"," 10689.21"," 41554"," 2438525"," 40.03",147,108,27.25,03/09/2022,T
"APOLLOTYRE"," EQ"," 08-Mar-2022"," 173.80"," 172.00"," 175.30"," 165.85"," 171.25"," 171.55"," 169.51"," 6744510"," 11432.91"," 58106"," 2877690"," 42.67",116,108,27.19,03/08/2022,T
"APOLLOTYRE"," EQ"," 04-Mar-2022"," 178.85"," 177.20"," 177.75"," 170.65"," 174.20"," 174.40"," 173.61"," 7158636"," 12427.86"," 57217"," 2422731"," 33.84",125,107,26.94,03/04/2022,T
"APOLLOTYRE"," EQ"," 03-Mar-2022"," 181.40"," 184.80"," 184.80"," 178.00"," 179.00"," 178.85"," 180.88"," 3338662"," 6039.13"," 30615"," 1043125"," 31.24",109,107,26.74,03/03/2022,T
"APOLLOTYRE"," EQ"," 02-Mar-2022"," 184.70"," 183.70"," 184.50"," 179.35"," 182.00"," 181.40"," 181.90"," 2962027"," 5388.07"," 35166"," 779506"," 26.32",84,106,26.66,03/02/2022,F
