symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"ASHOKLEY"," EQ"," 23-Mar-2022"," 112.20"," 112.95"," 113.25"," 111.45"," 112.10"," 112.15"," 112.30"," 13156064"," 14773.95"," 47513"," 3006603"," 22.85",277,208,32.39,03/23/2022,F
"ASHOKLEY"," EQ"," 22-Mar-2022"," 110.80"," 110.10"," 113.50"," 107.45"," 112.15"," 112.20"," 110.03"," 22959620"," 25263.02"," 94297"," 4174561"," 18.18",243,206,32.36,03/22/2022,F
"ASHOKLEY"," EQ"," 21-Mar-2022"," 114.45"," 115.25"," 115.30"," 110.00"," 110.20"," 110.80"," 112.48"," 16323107"," 18359.43"," 79906"," 5293015"," 32.43",204,205,32.30,03/21/2022,F
"ASHOKLEY"," EQ"," 17-Mar-2022"," 115.50"," 117.00"," 117.20"," 113.45"," 114.40"," 114.45"," 115.22"," 29630619"," 34141.84"," 96607"," 8774620"," 29.61",307,204,32.32,03/17/2022,F
"ASHOKLEY"," EQ"," 16-Mar-2022"," 109.95"," 111.95"," 116.30"," 111.15"," 115.30"," 115.50"," 114.12"," 30375131"," 34663.70"," 107418"," 6557495"," 21.59",283,202,32.36,03/16/2022,F
"ASHOKLEY"," EQ"," 15-Mar-2022"," 107.30"," 107.90"," 110.95"," 107.65"," 109.65"," 109.95"," 109.55"," 28842972"," 31598.05"," 108281"," 5784867"," 20.06",266,200,32.52,03/15/2022,F
"ASHOKLEY"," EQ"," 14-Mar-2022"," 105.90"," 106.20"," 107.85"," 103.50"," 107.35"," 107.30"," 105.64"," 22229841"," 23483.44"," 88435"," 4531228"," 20.38",251,199,32.73,03/14/2022,F
"ASHOKLEY"," EQ"," 11-Mar-2022"," 106.55"," 106.00"," 107.00"," 103.75"," 106.15"," 105.90"," 105.49"," 22592586"," 23833.02"," 87383"," 3339162"," 14.78",259,198,33.18,03/11/2022,F
"ASHOKLEY"," EQ"," 10-Mar-2022"," 106.75"," 112.00"," 114.75"," 105.60"," 106.50"," 106.55"," 109.31"," 46463979"," 50791.57"," 174017"," 12623153"," 27.17",267,196,33.46,03/10/2022,F
"ASHOKLEY"," EQ"," 09-Mar-2022"," 99.30"," 101.00"," 107.75"," 99.85"," 106.60"," 106.75"," 104.41"," 32285510"," 33708.99"," 124373"," 6366970"," 19.72",260,195,33.57,03/09/2022,F
"ASHOKLEY"," EQ"," 08-Mar-2022"," 99.15"," 99.15"," 100.30"," 93.20"," 99.10"," 99.30"," 96.92"," 41664229"," 40381.48"," 214681"," 11870260"," 28.49",194,194,33.89,03/08/2022,F
"ASHOKLEY"," EQ"," 04-Mar-2022"," 110.20"," 109.70"," 109.70"," 102.10"," 106.30"," 105.85"," 105.43"," 46908806"," 49454.16"," 212052"," 13127417"," 27.98",221,193,33.82,03/04/2022,F
"ASHOKLEY"," EQ"," 03-Mar-2022"," 117.90"," 118.95"," 119.30"," 109.80"," 110.15"," 110.20"," 113.26"," 25673224"," 29078.66"," 144123"," 11569136"," 45.06",178,192,33.91,03/03/2022,F
"ASHOKLEY"," EQ"," 02-Mar-2022"," 118.65"," 118.00"," 118.35"," 116.35"," 117.70"," 117.90"," 117.58"," 13299580"," 15637.66"," 67584"," 5743949"," 43.19",197,193,33.72,03/02/2022,T
"ASHOKLEY"," EQ"," 28-Feb-2022"," 118.00"," 118.00"," 119.80"," 115.35"," 118.55"," 118.65"," 117.70"," 16841931"," 19822.92"," 74776"," 7381853"," 43.83",225,192,33.42,02/28/2022,T
"ASHOKLEY"," EQ"," 25-Feb-2022"," 113.65"," 115.40"," 119.55"," 115.40"," 118.00"," 118.00"," 117.98"," 18779033"," 22156.00"," 78495"," 7577962"," 40.35",239,191,33.31,02/25/2022,T
"ASHOKLEY"," EQ"," 24-Feb-2022"," 124.00"," 121.00"," 122.00"," 112.80"," 113.40"," 113.65"," 117.72"," 34031871"," 40061.37"," 160695"," 13380223"," 39.32",212,189,33.33,02/24/2022,T
"ASHOKLEY"," EQ"," 23-Feb-2022"," 124.35"," 125.00"," 126.45"," 123.00"," 124.10"," 124.00"," 124.50"," 18983673"," 23634.29"," 71773"," 7401893"," 38.99",264,189,33.17,02/23/2022,T
"ASHOKLEY"," EQ"," 22-Feb-2022"," 124.90"," 121.00"," 125.00"," 121.00"," 124.65"," 124.35"," 123.27"," 12570591"," 15496.04"," 73550"," 4640398"," 36.91",171,188,32.98,02/22/2022,F
