symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"ASIANPAINT"," EQ"," 25-Mar-2022"," 3025.35"," 3025.35"," 3064.55"," 2991.00"," 3047.00"," 3046.95"," 3018.28"," 1083275"," 32696.25"," 81137"," 493271"," 45.54",13,12,48.55,03/25/2022,F
"ASIANPAINT"," EQ"," 24-Mar-2022"," 3016.80"," 2969.50"," 3038.95"," 2950.55"," 3020.00"," 3025.35"," 3008.92"," 1243917"," 37428.41"," 93360"," 604573"," 48.60",13,12,48.37,03/24/2022,T
"ASIANPAINT"," EQ"," 23-Mar-2022"," 3051.15"," 3060.00"," 3079.90"," 3005.00"," 3013.70"," 3016.80"," 3026.53"," 948403"," 28703.72"," 70875"," 402499"," 42.44",13,12,48.59,03/23/2022,F
"ASIANPAINT"," EQ"," 22-Mar-2022"," 3045.75"," 3024.00"," 3062.70"," 2975.00"," 3049.45"," 3051.15"," 3017.34"," 1515772"," 45736.00"," 118777"," 608556"," 40.15",13,12,48.68,03/22/2022,F
"ASIANPAINT"," EQ"," 21-Mar-2022"," 3136.60"," 3117.30"," 3117.30"," 3030.10"," 3049.90"," 3045.75"," 3073.28"," 1259015"," 38693.06"," 111085"," 503479"," 39.99",11,12,48.86,03/21/2022,F
"ASIANPAINT"," EQ"," 17-Mar-2022"," 3042.00"," 3113.50"," 3163.30"," 3076.50"," 3131.10"," 3136.60"," 3136.49"," 2867519"," 89939.39"," 164756"," 1322072"," 46.11",17,12,48.95,03/17/2022,F
"ASIANPAINT"," EQ"," 16-Mar-2022"," 2987.15"," 3043.00"," 3050.00"," 3010.75"," 3040.00"," 3042.00"," 3032.39"," 1287234"," 39033.90"," 151047"," 674587"," 52.41",9,12,49.00,03/16/2022,F
"ASIANPAINT"," EQ"," 15-Mar-2022"," 2962.80"," 2998.00"," 3032.00"," 2966.00"," 2975.05"," 2987.15"," 2992.99"," 1857685"," 55600.39"," 138614"," 688075"," 37.04",13,12,49.03,03/15/2022,F
"ASIANPAINT"," EQ"," 14-Mar-2022"," 2932.00"," 2950.00"," 2972.35"," 2917.30"," 2960.00"," 2962.80"," 2954.17"," 1214217"," 35870.04"," 89553"," 611673"," 50.38",14,12,49.16,03/14/2022,T
"ASIANPAINT"," EQ"," 11-Mar-2022"," 2912.80"," 2917.00"," 2939.95"," 2882.35"," 2935.00"," 2932.00"," 2919.67"," 1265493"," 36948.20"," 87207"," 430929"," 34.05",15,12,49.11,03/11/2022,F
"ASIANPAINT"," EQ"," 10-Mar-2022"," 2874.95"," 3000.00"," 3040.00"," 2891.20"," 2898.95"," 2912.80"," 2949.92"," 3971987"," 117170.24"," 258798"," 1793354"," 45.15",15,12,49.04,03/10/2022,F
"ASIANPAINT"," EQ"," 09-Mar-2022"," 2723.40"," 2750.00"," 2890.00"," 2665.05"," 2890.00"," 2874.95"," 2775.70"," 4076068"," 113139.32"," 250624"," 2012575"," 49.38",16,12,49.03,03/09/2022,T
"ASIANPAINT"," EQ"," 08-Mar-2022"," 2708.45"," 2690.00"," 2736.95"," 2638.00"," 2727.00"," 2723.40"," 2675.67"," 2611102"," 69864.35"," 248903"," 1221645"," 46.79",10,12,49.11,03/08/2022,F
"ASIANPAINT"," EQ"," 04-Mar-2022"," 2871.90"," 2863.80"," 2863.80"," 2662.05"," 2744.00"," 2738.15"," 2728.62"," 6979253"," 190437.46"," 493884"," 3014315"," 43.19",14,12,49.53,03/04/2022,F
"ASIANPAINT"," EQ"," 03-Mar-2022"," 3028.95"," 3029.00"," 3051.00"," 2862.00"," 2871.75"," 2871.90"," 2913.77"," 4406840"," 128405.24"," 419117"," 2562584"," 58.15",11,12,49.80,03/03/2022,F
"ASIANPAINT"," EQ"," 02-Mar-2022"," 3174.65"," 3107.00"," 3111.20"," 2991.10"," 3041.00"," 3028.95"," 3035.18"," 3014206"," 91486.62"," 276388"," 1524916"," 50.59",11,12,49.74,03/02/2022,F
"ASIANPAINT"," EQ"," 28-Feb-2022"," 3119.20"," 3090.00"," 3190.50"," 3015.00"," 3172.00"," 3174.65"," 3119.54"," 1678348"," 52356.79"," 108076"," 722181"," 43.03",16,12,49.78,02/28/2022,F
"ASIANPAINT"," EQ"," 25-Feb-2022"," 3069.05"," 3105.00"," 3141.45"," 3083.05"," 3122.00"," 3119.20"," 3115.56"," 1239456"," 38616.05"," 88837"," 500137"," 40.35",14,12,49.61,02/25/2022,F
"ASIANPAINT"," EQ"," 24-Feb-2022"," 3237.20"," 3130.00"," 3197.80"," 3051.50"," 3064.00"," 3069.05"," 3112.21"," 1823450"," 56749.62"," 146060"," 842938"," 46.23",12,12,49.56,02/24/2022,F
"ASIANPAINT"," EQ"," 23-Feb-2022"," 3227.15"," 3236.90"," 3296.90"," 3230.00"," 3242.65"," 3237.20"," 3263.58"," 935896"," 30543.71"," 91015"," 483326"," 51.64",10,12,49.44,02/23/2022,F
"ASIANPAINT"," EQ"," 22-Feb-2022"," 3251.65"," 3120.00"," 3236.80"," 3120.00"," 3215.00"," 3227.15"," 3197.24"," 1147209"," 36678.97"," 106850"," 566445"," 49.38",11,12,49.45,02/22/2022,F
"ASIANPAINT"," EQ"," 21-Feb-2022"," 3258.45"," 3235.00"," 3278.45"," 3204.15"," 3258.00"," 3251.65"," 3247.19"," 547472"," 17777.47"," 53648"," 217601"," 39.75",10,12,49.48,02/21/2022,F
"ASIANPAINT"," EQ"," 18-Feb-2022"," 3265.85"," 3236.15"," 3272.00"," 3230.05"," 3255.30"," 3258.45"," 3252.84"," 423801"," 13785.58"," 42733"," 163180"," 38.50",10,12,49.57,02/18/2022,F
"ASIANPAINT"," EQ"," 17-Feb-2022"," 3252.85"," 3273.00"," 3294.95"," 3236.40"," 3255.00"," 3265.85"," 3265.24"," 636735"," 20790.90"," 50052"," 290431"," 45.61",13,12,49.75,02/17/2022,F
"ASIANPAINT"," EQ"," 16-Feb-2022"," 3264.60"," 3280.00"," 3285.10"," 3223.00"," 3242.20"," 3252.85"," 3257.74"," 624320"," 20338.73"," 65556"," 288017"," 46.13",10,12,49.82,02/16/2022,F
"ASIANPAINT"," EQ"," 15-Feb-2022"," 3143.45"," 3140.00"," 3270.00"," 3132.85"," 3258.85"," 3264.60"," 3207.01"," 676844"," 21706.43"," 85082"," 277234"," 40.96",8,12,49.71,02/15/2022,F
"ASIANPAINT"," EQ"," 14-Feb-2022"," 3216.30"," 3140.00"," 3182.70"," 3120.00"," 3132.80"," 3143.45"," 3158.76"," 681236"," 21518.60"," 77844"," 339632"," 49.86",9,12,49.89,02/14/2022,F
