symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"ASTRAL"," EQ"," 25-Mar-2022"," 2036.25"," 2050.00"," 2060.10"," 1920.05"," 1964.00"," 1957.10"," 1979.02"," 635229"," 12571.31"," 44009"," 335593"," 52.83",14,11,46.21,03/25/2022,T
"ASTRAL"," EQ"," 24-Mar-2022"," 2003.30"," 1990.00"," 2055.85"," 1987.15"," 2042.00"," 2036.25"," 2016.35"," 229606"," 4629.67"," 25696"," 133627"," 58.20",9,11,46.06,03/24/2022,F
"ASTRAL"," EQ"," 23-Mar-2022"," 2019.65"," 2030.30"," 2045.35"," 1996.40"," 2009.00"," 2003.30"," 2018.15"," 221539"," 4471.00"," 24932"," 98011"," 44.24",9,11,45.82,03/23/2022,F
"ASTRAL"," EQ"," 22-Mar-2022"," 2019.45"," 2004.90"," 2032.00"," 1979.00"," 2027.45"," 2019.65"," 2000.20"," 232524"," 4650.94"," 26539"," 108172"," 46.52",9,11,45.86,03/22/2022,F
"ASTRAL"," EQ"," 21-Mar-2022"," 2029.95"," 2029.95"," 2052.95"," 1998.00"," 2004.90"," 2019.45"," 2023.76"," 318153"," 6438.66"," 29952"," 138436"," 43.51",11,11,45.77,03/21/2022,F
"ASTRAL"," EQ"," 17-Mar-2022"," 2039.25"," 2047.95"," 2098.80"," 2017.75"," 2025.00"," 2029.95"," 2057.35"," 476699"," 9807.35"," 36550"," 257860"," 54.09",13,11,46.02,03/17/2022,T
"ASTRAL"," EQ"," 16-Mar-2022"," 1969.80"," 1975.05"," 2049.35"," 1975.05"," 2040.55"," 2039.25"," 2027.78"," 344284"," 6981.31"," 34420"," 135361"," 39.32",10,11,45.85,03/16/2022,F
"ASTRAL"," EQ"," 15-Mar-2022"," 1973.45"," 1990.00"," 1990.00"," 1923.05"," 1960.15"," 1969.80"," 1962.22"," 362577"," 7114.57"," 35573"," 184668"," 50.93",10,11,46.15,03/15/2022,F
"ASTRAL"," EQ"," 14-Mar-2022"," 1955.70"," 1955.70"," 1985.00"," 1912.90"," 1969.00"," 1973.45"," 1961.45"," 330439"," 6481.40"," 31771"," 129885"," 39.31",10,11,46.08,03/14/2022,F
"ASTRAL"," EQ"," 11-Mar-2022"," 1936.30"," 1949.50"," 1969.00"," 1897.35"," 1954.00"," 1955.70"," 1944.77"," 332671"," 6469.70"," 30881"," 76107"," 22.88",11,11,46.04,03/11/2022,F
"ASTRAL"," EQ"," 10-Mar-2022"," 1845.80"," 1885.00"," 1945.55"," 1883.65"," 1944.00"," 1936.30"," 1920.28"," 829262"," 15924.18"," 55822"," 453208"," 54.65",15,11,46.36,03/10/2022,T
"ASTRAL"," EQ"," 09-Mar-2022"," 1832.25"," 1844.00"," 1854.85"," 1826.25"," 1849.00"," 1845.80"," 1845.50"," 364179"," 6720.92"," 33105"," 237896"," 65.32",11,11,46.16,03/09/2022,F
"ASTRAL"," EQ"," 08-Mar-2022"," 1828.05"," 1825.00"," 1877.00"," 1816.00"," 1833.00"," 1832.25"," 1839.50"," 224504"," 4129.76"," 33552"," 84588"," 37.68",7,11,45.87,03/08/2022,F
"ASTRAL"," EQ"," 04-Mar-2022"," 1868.95"," 1868.95"," 1880.00"," 1828.00"," 1849.95"," 1848.80"," 1848.32"," 348052"," 6433.11"," 36271"," 186192"," 53.50",10,11,46.05,03/04/2022,F
"ASTRAL"," EQ"," 03-Mar-2022"," 1905.95"," 1940.00"," 1940.00"," 1860.05"," 1870.75"," 1868.95"," 1907.44"," 365730"," 6976.07"," 45819"," 183273"," 50.11",8,11,45.97,03/03/2022,F
"ASTRAL"," EQ"," 02-Mar-2022"," 1941.75"," 1926.00"," 1949.10"," 1885.00"," 1917.00"," 1905.95"," 1918.71"," 405345"," 7777.41"," 54114"," 205349"," 50.66",7,11,45.87,03/02/2022,F
"ASTRAL"," EQ"," 28-Feb-2022"," 1910.60"," 1900.00"," 1948.90"," 1856.00"," 1943.90"," 1941.75"," 1919.47"," 404752"," 7769.08"," 43229"," 170932"," 42.23",9,10,45.83,02/28/2022,F
"ASTRAL"," EQ"," 25-Feb-2022"," 1783.20"," 1850.00"," 1921.85"," 1820.00"," 1901.00"," 1910.60"," 1876.76"," 507127"," 9517.58"," 53005"," 227199"," 44.80",10,10,45.71,02/25/2022,F
"ASTRAL"," EQ"," 24-Feb-2022"," 1914.50"," 1821.00"," 1867.05"," 1765.10"," 1791.45"," 1783.20"," 1818.62"," 727156"," 13224.21"," 95332"," 377292"," 51.89",8,10,45.62,02/24/2022,F
"ASTRAL"," EQ"," 23-Feb-2022"," 1845.00"," 1860.00"," 1930.00"," 1841.70"," 1908.10"," 1914.50"," 1889.61"," 611392"," 11552.90"," 52740"," 316053"," 51.69",12,10,45.43,02/23/2022,T
"ASTRAL"," EQ"," 22-Feb-2022"," 1821.35"," 1768.55"," 1862.40"," 1753.55"," 1839.00"," 1845.00"," 1808.34"," 536773"," 9706.69"," 50092"," 281468"," 52.44",11,10,45.13,02/22/2022,T
"ASTRAL"," EQ"," 21-Feb-2022"," 1814.25"," 1800.00"," 1844.40"," 1783.05"," 1825.25"," 1821.35"," 1818.48"," 603962"," 10982.91"," 53044"," 209215"," 34.64",11,10,44.63,02/21/2022,F
"ASTRAL"," EQ"," 18-Feb-2022"," 1876.60"," 1855.30"," 1873.00"," 1805.05"," 1810.75"," 1814.25"," 1841.23"," 732937"," 13495.05"," 64399"," 394387"," 53.81",11,10,44.61,02/18/2022,T
"ASTRAL"," EQ"," 17-Feb-2022"," 1905.50"," 1925.00"," 1932.95"," 1867.25"," 1873.00"," 1876.60"," 1896.80"," 556912"," 10563.49"," 45196"," 258778"," 46.47",12,10,44.47,02/17/2022,T
"ASTRAL"," EQ"," 16-Feb-2022"," 1940.70"," 1968.00"," 1978.35"," 1900.00"," 1900.05"," 1905.50"," 1922.45"," 618568"," 11891.66"," 67635"," 271419"," 43.88",9,10,44.42,02/16/2022,F
"ASTRAL"," EQ"," 15-Feb-2022"," 1976.25"," 1980.00"," 2000.00"," 1915.15"," 1940.00"," 1940.70"," 1939.22"," 687475"," 13331.62"," 59565"," 392268"," 57.06",12,11,44.09,02/15/2022,T
"ASTRAL"," EQ"," 14-Feb-2022"," 2073.85"," 2031.00"," 2038.35"," 1966.00"," 1985.00"," 1976.25"," 1992.09"," 528852"," 10535.21"," 54390"," 290460"," 54.92",10,11,44.04,02/14/2022,F
"ASTRAL"," EQ"," 11-Feb-2022"," 2122.95"," 2111.55"," 2111.55"," 2060.00"," 2069.80"," 2073.85"," 2085.99"," 361675"," 7544.51"," 31338"," 219521"," 60.70",12,11,43.58,02/11/2022,T
"ASTRAL"," EQ"," 10-Feb-2022"," 2134.45"," 2150.50"," 2160.00"," 2103.15"," 2120.55"," 2122.95"," 2120.70"," 288130"," 6110.37"," 22557"," 165879"," 57.57",13,11,42.99,02/10/2022,T
"ASTRAL"," EQ"," 09-Feb-2022"," 2120.15"," 2120.15"," 2155.00"," 2100.85"," 2145.80"," 2134.45"," 2125.12"," 395723"," 8409.61"," 41303"," 224741"," 56.79",10,11,42.69,02/09/2022,F
