symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"ATUL"," EQ"," 25-Mar-2022"," 9877.15"," 9950.00"," 10289.60"," 9730.00"," 10250.00"," 10117.80"," 9978.79"," 108817"," 10858.62"," 18321"," 36765"," 33.79",6,6,38.25,03/25/2022,F
"ATUL"," EQ"," 24-Mar-2022"," 9686.95"," 9721.60"," 9952.50"," 9640.00"," 9870.00"," 9877.15"," 9776.00"," 35311"," 3452.00"," 7765"," 13196"," 37.37",5,6,38.43,03/24/2022,F
"ATUL"," EQ"," 23-Mar-2022"," 9972.25"," 9965.00"," 10026.85"," 9580.00"," 9762.70"," 9686.95"," 9775.25"," 42167"," 4121.93"," 8034"," 17160"," 40.70",5,6,38.50,03/23/2022,F
"ATUL"," EQ"," 22-Mar-2022"," 9841.90"," 9840.00"," 10012.00"," 9772.35"," 9970.00"," 9972.25"," 9907.16"," 30096"," 2981.66"," 6541"," 9084"," 30.18",5,6,38.92,03/22/2022,F
"ATUL"," EQ"," 21-Mar-2022"," 9738.90"," 9900.00"," 9994.40"," 9764.45"," 9847.00"," 9841.90"," 9849.79"," 33525"," 3302.14"," 8075"," 8148"," 24.30",4,6,39.11,03/21/2022,F
"ATUL"," EQ"," 17-Mar-2022"," 9913.80"," 9940.00"," 10049.50"," 9600.00"," 9689.95"," 9738.90"," 9791.48"," 91365"," 8945.99"," 13415"," 51136"," 55.97",7,6,40.05,03/17/2022,T
"ATUL"," EQ"," 16-Mar-2022"," 9722.50"," 9774.00"," 10000.00"," 9652.05"," 9980.00"," 9913.80"," 9825.16"," 97722"," 9601.34"," 12791"," 40108"," 41.04",8,6,39.83,03/16/2022,T
"ATUL"," EQ"," 15-Mar-2022"," 9499.15"," 9549.80"," 9774.05"," 9504.75"," 9750.00"," 9722.50"," 9658.81"," 58881"," 5687.20"," 10569"," 18350"," 31.16",6,6,39.90,03/15/2022,F
"ATUL"," EQ"," 14-Mar-2022"," 9537.30"," 9498.90"," 9637.25"," 9230.55"," 9611.05"," 9499.15"," 9409.54"," 46374"," 4363.58"," 9386"," 13991"," 30.17",5,6,40.12,03/14/2022,F
"ATUL"," EQ"," 11-Mar-2022"," 8946.25"," 8944.00"," 9600.00"," 8902.30"," 9500.00"," 9537.30"," 9344.89"," 71842"," 6713.55"," 13662"," 21017"," 29.25",5,6,40.78,03/11/2022,F
"ATUL"," EQ"," 10-Mar-2022"," 8979.50"," 9181.80"," 9181.80"," 8865.00"," 8899.00"," 8946.25"," 9028.18"," 27958"," 2524.10"," 6482"," 5744"," 20.55",4,6,40.89,03/10/2022,F
"ATUL"," EQ"," 09-Mar-2022"," 9106.85"," 9164.50"," 9210.00"," 8780.05"," 8990.00"," 8979.50"," 8953.52"," 51768"," 4635.06"," 10418"," 18031"," 34.83",5,6,40.75,03/09/2022,F
"ATUL"," EQ"," 08-Mar-2022"," 8600.80"," 8645.00"," 9180.00"," 8502.55"," 9117.65"," 9106.85"," 8924.05"," 37614"," 3356.69"," 8952"," 13660"," 36.32",4,6,40.96,03/08/2022,F
"ATUL"," EQ"," 04-Mar-2022"," 8854.30"," 8850.00"," 8850.00"," 8500.00"," 8538.00"," 8545.55"," 8645.60"," 35712"," 3087.52"," 7825"," 12008"," 33.62",5,6,40.73,03/04/2022,F
"ATUL"," EQ"," 03-Mar-2022"," 9082.05"," 9223.90"," 9223.90"," 8650.00"," 8973.00"," 8854.30"," 8941.56"," 25914"," 2317.12"," 5239"," 9632"," 37.17",5,6,40.96,03/03/2022,F
"ATUL"," EQ"," 02-Mar-2022"," 9256.55"," 9255.00"," 9345.15"," 8959.85"," 9093.25"," 9082.05"," 9098.72"," 20585"," 1872.97"," 6472"," 5992"," 29.11",3,6,41.06,03/02/2022,F
