symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"AUBANK"," EQ"," 23-Mar-2022"," 1196.05"," 1201.05"," 1240.55"," 1201.05"," 1234.25"," 1235.75"," 1228.32"," 1841322"," 22617.33"," 58704"," 483443"," 26.26",31,30,26.68,03/23/2022,F
"AUBANK"," EQ"," 22-Mar-2022"," 1177.75"," 1177.75"," 1199.70"," 1164.05"," 1198.30"," 1196.05"," 1182.80"," 881785"," 10429.72"," 37191"," 212317"," 24.08",24,30,26.54,03/22/2022,F
"AUBANK"," EQ"," 21-Mar-2022"," 1163.40"," 1180.00"," 1183.85"," 1140.00"," 1177.00"," 1177.75"," 1161.13"," 1277266"," 14830.68"," 40341"," 199764"," 15.64",32,30,26.79,03/21/2022,F
"AUBANK"," EQ"," 17-Mar-2022"," 1178.85"," 1200.00"," 1205.00"," 1159.75"," 1164.00"," 1163.40"," 1182.81"," 1142117"," 13509.03"," 42554"," 395118"," 34.60",27,30,26.86,03/17/2022,F
"AUBANK"," EQ"," 16-Mar-2022"," 1169.50"," 1180.00"," 1194.90"," 1161.65"," 1175.80"," 1178.85"," 1175.69"," 1607035"," 18893.82"," 40180"," 690546"," 42.97",40,30,26.45,03/16/2022,T
"AUBANK"," EQ"," 15-Mar-2022"," 1121.10"," 1132.50"," 1182.00"," 1131.15"," 1163.15"," 1169.50"," 1164.50"," 1973576"," 22982.28"," 63038"," 263231"," 13.34",31,30,26.08,03/15/2022,F
"AUBANK"," EQ"," 14-Mar-2022"," 1193.05"," 1195.90"," 1203.95"," 1076.10"," 1119.80"," 1121.10"," 1133.12"," 2769019"," 31376.19"," 67714"," 679637"," 24.54",41,30,26.62,03/14/2022,F
"AUBANK"," EQ"," 11-Mar-2022"," 1162.10"," 1150.00"," 1196.00"," 1146.05"," 1192.00"," 1193.05"," 1174.07"," 1265589"," 14858.96"," 38885"," 133999"," 10.59",33,30,26.74,03/11/2022,F
"AUBANK"," EQ"," 10-Mar-2022"," 1145.10"," 1172.00"," 1195.00"," 1150.60"," 1156.00"," 1162.10"," 1174.92"," 1611603"," 18935.12"," 60433"," 315036"," 19.55",27,30,27.42,03/10/2022,F
"AUBANK"," EQ"," 09-Mar-2022"," 1098.35"," 1110.00"," 1150.00"," 1081.60"," 1145.85"," 1145.10"," 1117.94"," 1216648"," 13601.37"," 36313"," 221504"," 18.21",34,30,27.80,03/09/2022,F
"AUBANK"," EQ"," 08-Mar-2022"," 1064.90"," 1051.00"," 1106.20"," 1050.00"," 1100.00"," 1098.35"," 1077.65"," 1375778"," 14826.12"," 54063"," 254768"," 18.52",25,29,28.17,03/08/2022,F
"AUBANK"," EQ"," 04-Mar-2022"," 1158.15"," 1154.00"," 1161.95"," 1115.00"," 1121.00"," 1125.05"," 1137.75"," 1095213"," 12460.82"," 41490"," 171752"," 15.68",26,29,28.43,03/04/2022,F
"AUBANK"," EQ"," 03-Mar-2022"," 1209.35"," 1214.10"," 1224.35"," 1148.00"," 1160.25"," 1158.15"," 1177.46"," 1519135"," 17887.15"," 44555"," 548362"," 36.10",34,29,28.50,03/03/2022,T
"AUBANK"," EQ"," 02-Mar-2022"," 1203.60"," 1185.00"," 1221.00"," 1169.05"," 1209.00"," 1209.35"," 1192.89"," 1217121"," 14518.86"," 59942"," 390596"," 32.09",20,29,28.81,03/02/2022,F
"AUBANK"," EQ"," 28-Feb-2022"," 1234.70"," 1228.00"," 1230.00"," 1185.80"," 1198.70"," 1203.60"," 1202.36"," 1118005"," 13442.39"," 33217"," 286621"," 25.64",34,29,29.17,02/28/2022,F
"AUBANK"," EQ"," 25-Feb-2022"," 1179.55"," 1195.95"," 1245.80"," 1191.85"," 1233.95"," 1234.70"," 1231.71"," 871613"," 10735.72"," 33375"," 128487"," 14.74",26,29,29.39,02/25/2022,F
"AUBANK"," EQ"," 24-Feb-2022"," 1273.45"," 1230.00"," 1264.90"," 1165.00"," 1168.00"," 1179.55"," 1204.11"," 1308463"," 15755.30"," 42655"," 311853"," 23.83",31,29,29.68,02/24/2022,F
"AUBANK"," EQ"," 23-Feb-2022"," 1261.00"," 1274.00"," 1290.00"," 1262.00"," 1276.00"," 1273.45"," 1277.88"," 612001"," 7820.66"," 15762"," 125959"," 20.58",39,29,29.61,02/23/2022,F
"AUBANK"," EQ"," 22-Feb-2022"," 1262.05"," 1247.00"," 1265.00"," 1226.20"," 1263.00"," 1261.00"," 1246.45"," 763028"," 9510.73"," 27182"," 182150"," 23.87",28,28,29.74,02/22/2022,F
"AUBANK"," EQ"," 21-Feb-2022"," 1261.10"," 1261.10"," 1276.85"," 1243.55"," 1265.90"," 1262.05"," 1262.17"," 486529"," 6140.85"," 14212"," 46484"," 9.55",34,28,30.18,02/21/2022,F
"AUBANK"," EQ"," 18-Feb-2022"," 1269.65"," 1265.00"," 1280.00"," 1253.00"," 1262.00"," 1261.10"," 1268.13"," 541758"," 6870.18"," 18661"," 43463"," 8.02",29,28,30.73,02/18/2022,F
"AUBANK"," EQ"," 17-Feb-2022"," 1276.45"," 1276.10"," 1293.00"," 1252.10"," 1266.15"," 1269.65"," 1275.31"," 813352"," 10372.77"," 41928"," 278228"," 34.21",19,28,31.09,02/17/2022,F
"AUBANK"," EQ"," 16-Feb-2022"," 1307.10"," 1307.10"," 1314.75"," 1271.10"," 1276.05"," 1276.45"," 1295.94"," 777425"," 10074.95"," 39863"," 162199"," 20.86",20,28,31.16,02/16/2022,F
"AUBANK"," EQ"," 15-Feb-2022"," 1253.75"," 1255.00"," 1317.00"," 1243.00"," 1312.60"," 1307.10"," 1276.70"," 731366"," 9337.34"," 48157"," 191501"," 26.18",15,28,31.50,02/15/2022,F
"AUBANK"," EQ"," 14-Feb-2022"," 1320.30"," 1290.20"," 1300.00"," 1247.35"," 1248.00"," 1253.75"," 1274.75"," 861950"," 10987.69"," 42898"," 213380"," 24.76",20,28,31.55,02/14/2022,F
"AUBANK"," EQ"," 11-Feb-2022"," 1377.95"," 1367.00"," 1377.95"," 1316.00"," 1319.00"," 1320.30"," 1342.49"," 838862"," 11261.68"," 37711"," 168203"," 20.05",22,28,31.79,02/11/2022,F
"AUBANK"," EQ"," 10-Feb-2022"," 1366.90"," 1368.00"," 1383.85"," 1357.00"," 1376.55"," 1377.95"," 1374.03"," 754309"," 10364.41"," 37170"," 284498"," 37.72",20,28,32.15,02/10/2022,F
"AUBANK"," EQ"," 09-Feb-2022"," 1334.35"," 1342.90"," 1373.65"," 1338.00"," 1367.00"," 1366.90"," 1356.81"," 804292"," 10912.68"," 49339"," 280372"," 34.86",16,29,32.06,02/09/2022,F
"AUBANK"," EQ"," 08-Feb-2022"," 1339.00"," 1346.00"," 1361.25"," 1303.00"," 1336.00"," 1334.35"," 1333.00"," 1047707"," 13965.98"," 31966"," 208340"," 19.89",33,29,32.03,02/08/2022,F
"AUBANK"," EQ"," 07-Feb-2022"," 1343.90"," 1351.40"," 1364.00"," 1318.40"," 1334.50"," 1339.00"," 1342.46"," 960983"," 12900.86"," 39762"," 225660"," 23.48",24,29,32.10,02/07/2022,F
"AUBANK"," EQ"," 04-Feb-2022"," 1380.85"," 1384.50"," 1389.85"," 1333.60"," 1343.90"," 1343.90"," 1361.17"," 881399"," 11997.37"," 35213"," 231952"," 26.32",25,29,32.19,02/04/2022,F
"AUBANK"," EQ"," 03-Feb-2022"," 1396.80"," 1395.00"," 1421.00"," 1371.05"," 1375.00"," 1380.85"," 1398.75"," 1488776"," 20824.28"," 71246"," 351470"," 23.61",21,29,32.28,02/03/2022,F
"AUBANK"," EQ"," 02-Feb-2022"," 1347.00"," 1350.00"," 1404.05"," 1347.00"," 1390.00"," 1396.80"," 1388.89"," 2258497"," 31368.03"," 114355"," 964709"," 42.71",20,29,32.54,02/02/2022,F
"AUBANK"," EQ"," 01-Feb-2022"," 1309.55"," 1324.00"," 1357.00"," 1301.10"," 1344.20"," 1347.00"," 1336.67"," 1887604"," 25231.11"," 83271"," 543734"," 28.81",23,29,32.25,02/01/2022,F
"AUBANK"," EQ"," 31-Jan-2022"," 1271.55"," 1270.00"," 1338.00"," 1260.75"," 1311.00"," 1309.55"," 1301.72"," 3133280"," 40786.59"," 139495"," 1090998"," 34.82",22,29,32.27,01/31/2022,F
"AUBANK"," EQ"," 28-Jan-2022"," 1275.70"," 1289.70"," 1300.00"," 1260.40"," 1274.70"," 1271.55"," 1281.59"," 1255720"," 16093.13"," 49698"," 358949"," 28.59",25,29,32.14,01/28/2022,F
"AUBANK"," EQ"," 27-Jan-2022"," 1246.45"," 1235.00"," 1284.40"," 1227.20"," 1282.00"," 1275.70"," 1257.36"," 1811988"," 22783.13"," 93424"," 625789"," 34.54",19,29,32.02,01/27/2022,F
"AUBANK"," EQ"," 25-Jan-2022"," 1229.50"," 1224.70"," 1262.95"," 1202.00"," 1248.75"," 1246.45"," 1236.65"," 1157237"," 14310.94"," 58963"," 477354"," 41.25",20,29,31.58,01/25/2022,F
"AUBANK"," EQ"," 24-Jan-2022"," 1256.70"," 1256.70"," 1269.30"," 1218.80"," 1227.00"," 1229.50"," 1240.04"," 824692"," 10226.52"," 31824"," 238894"," 28.97",26,29,31.36,01/24/2022,F
"AUBANK"," EQ"," 21-Jan-2022"," 1254.05"," 1247.85"," 1270.65"," 1230.20"," 1255.25"," 1256.70"," 1253.08"," 869743"," 10898.60"," 29367"," 253197"," 29.11",30,29,31.24,01/21/2022,F
"AUBANK"," EQ"," 20-Jan-2022"," 1264.15"," 1266.90"," 1277.00"," 1249.60"," 1255.35"," 1254.05"," 1266.06"," 1117470"," 14147.81"," 36640"," 604928"," 54.13",30,28,31.23,01/20/2022,T
"AUBANK"," EQ"," 19-Jan-2022"," 1258.30"," 1263.50"," 1279.70"," 1242.55"," 1267.30"," 1264.15"," 1259.66"," 1005242"," 12662.65"," 35877"," 364301"," 36.24",28,28,30.71,01/19/2022,F
"AUBANK"," EQ"," 18-Jan-2022"," 1273.90"," 1273.80"," 1314.40"," 1250.00"," 1263.00"," 1258.30"," 1293.88"," 1740394"," 22518.59"," 61091"," 515002"," 29.59",28,28,30.57,01/18/2022,F
"AUBANK"," EQ"," 17-Jan-2022"," 1262.40"," 1262.40"," 1284.95"," 1259.65"," 1271.05"," 1273.90"," 1274.34"," 747046"," 9519.93"," 25980"," 125204"," 16.76",29,28,30.67,01/17/2022,F
"AUBANK"," EQ"," 14-Jan-2022"," 1308.40"," 1302.50"," 1302.50"," 1259.00"," 1259.65"," 1262.40"," 1273.80"," 1131618"," 14414.51"," 31049"," 445507"," 39.37",36,28,31.19,01/14/2022,T
"AUBANK"," EQ"," 13-Jan-2022"," 1297.30"," 1295.00"," 1319.70"," 1292.05"," 1302.50"," 1308.40"," 1307.94"," 1196526"," 15649.79"," 38524"," 440839"," 36.84",31,28,31.06,01/13/2022,T
"AUBANK"," EQ"," 12-Jan-2022"," 1298.80"," 1311.80"," 1314.05"," 1286.75"," 1294.25"," 1297.30"," 1299.46"," 1512428"," 19653.38"," 49121"," 516507"," 34.15",31,28,31.11,01/12/2022,T
