symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"AUROPHARMA"," EQ"," 23-Mar-2022"," 687.50"," 687.35"," 707.00"," 682.50"," 693.00"," 692.50"," 695.30"," 3137915"," 21817.96"," 65817"," 1104409"," 35.20",48,43,37.94,03/23/2022,F
"AUROPHARMA"," EQ"," 22-Mar-2022"," 679.40"," 680.00"," 694.25"," 674.90"," 685.70"," 687.50"," 684.37"," 3270480"," 22382.19"," 60165"," 1032756"," 31.58",54,43,37.98,03/22/2022,F
"AUROPHARMA"," EQ"," 21-Mar-2022"," 640.35"," 654.00"," 689.00"," 647.80"," 679.00"," 679.40"," 676.05"," 8041469"," 54364.54"," 145845"," 1794672"," 22.32",55,43,37.83,03/21/2022,F
"AUROPHARMA"," EQ"," 17-Mar-2022"," 637.50"," 643.00"," 655.00"," 638.45"," 639.65"," 640.35"," 643.92"," 3025169"," 19479.77"," 70224"," 1583451"," 52.34",43,43,38.15,03/17/2022,F
"AUROPHARMA"," EQ"," 16-Mar-2022"," 621.75"," 627.00"," 639.95"," 619.50"," 636.15"," 637.50"," 631.24"," 1785074"," 11268.08"," 38721"," 577492"," 32.35",46,43,37.93,03/16/2022,F
"AUROPHARMA"," EQ"," 15-Mar-2022"," 631.30"," 630.00"," 640.85"," 617.50"," 619.50"," 621.75"," 630.46"," 1724237"," 10870.59"," 44454"," 789629"," 45.80",39,43,38.14,03/15/2022,F
"AUROPHARMA"," EQ"," 14-Mar-2022"," 642.25"," 642.95"," 649.70"," 627.40"," 631.90"," 631.30"," 634.36"," 1074965"," 6819.17"," 32420"," 311324"," 28.96",33,43,37.83,03/14/2022,F
"AUROPHARMA"," EQ"," 11-Mar-2022"," 630.40"," 629.90"," 645.00"," 622.20"," 642.20"," 642.25"," 639.29"," 2310876"," 14773.20"," 45687"," 1017283"," 44.02",51,43,38.05,03/11/2022,T
"AUROPHARMA"," EQ"," 10-Mar-2022"," 635.25"," 644.00"," 644.00"," 625.80"," 629.40"," 630.40"," 632.87"," 1663339"," 10526.85"," 37223"," 685644"," 41.22",45,43,37.68,03/10/2022,T
"AUROPHARMA"," EQ"," 09-Mar-2022"," 625.80"," 627.20"," 639.35"," 625.50"," 634.05"," 635.25"," 631.77"," 1946987"," 12300.56"," 41955"," 837420"," 43.01",46,43,37.49,03/09/2022,T
"AUROPHARMA"," EQ"," 08-Mar-2022"," 608.95"," 608.95"," 630.00"," 608.05"," 625.00"," 625.80"," 620.97"," 2395443"," 14875.05"," 50515"," 1164571"," 48.62",47,43,37.47,03/08/2022,T
"AUROPHARMA"," EQ"," 04-Mar-2022"," 618.45"," 612.00"," 618.30"," 605.80"," 609.00"," 609.35"," 611.50"," 1318206"," 8060.79"," 43730"," 564526"," 42.83",30,43,37.62,03/04/2022,F
"AUROPHARMA"," EQ"," 03-Mar-2022"," 620.15"," 628.60"," 628.60"," 613.75"," 617.60"," 618.45"," 621.42"," 1444017"," 8973.39"," 33864"," 595669"," 41.25",43,43,37.66,03/03/2022,F
"AUROPHARMA"," EQ"," 02-Mar-2022"," 625.25"," 616.00"," 625.95"," 614.00"," 619.35"," 620.15"," 619.44"," 1459733"," 9042.22"," 32540"," 760826"," 52.12",45,43,37.68,03/02/2022,T
"AUROPHARMA"," EQ"," 28-Feb-2022"," 625.05"," 619.95"," 627.95"," 610.30"," 625.00"," 625.25"," 619.66"," 1761801"," 10917.17"," 51050"," 718407"," 40.78",35,42,37.52,02/28/2022,F
"AUROPHARMA"," EQ"," 25-Feb-2022"," 605.45"," 605.45"," 632.00"," 604.05"," 624.10"," 625.05"," 623.38"," 1965799"," 12254.30"," 33673"," 926404"," 47.13",58,42,37.26,02/25/2022,T
"AUROPHARMA"," EQ"," 24-Feb-2022"," 637.05"," 620.05"," 627.45"," 601.10"," 606.00"," 605.45"," 615.41"," 2494850"," 15353.53"," 60397"," 1235614"," 49.53",41,42,37.03,02/24/2022,F
"AUROPHARMA"," EQ"," 23-Feb-2022"," 637.55"," 640.00"," 644.65"," 634.30"," 635.70"," 637.05"," 639.72"," 1200529"," 7679.98"," 25442"," 596198"," 49.66",47,42,36.83,02/23/2022,T
