symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"AXISBANK"," EQ"," 23-Mar-2022"," 731.40"," 736.10"," 742.90"," 724.65"," 725.15"," 726.75"," 731.77"," 5886245"," 43073.58"," 114951"," 1808671"," 30.73",51,60,49.35,03/23/2022,F
"AXISBANK"," EQ"," 22-Mar-2022"," 725.90"," 729.00"," 736.00"," 706.35"," 735.00"," 731.40"," 718.46"," 11117081"," 79871.28"," 200498"," 4668675"," 42.00",55,60,49.69,03/22/2022,F
"AXISBANK"," EQ"," 21-Mar-2022"," 739.25"," 745.00"," 749.40"," 723.70"," 726.10"," 725.90"," 730.84"," 7495685"," 54781.69"," 154450"," 3643454"," 48.61",49,60,49.64,03/21/2022,F
"AXISBANK"," EQ"," 17-Mar-2022"," 723.85"," 737.00"," 746.75"," 736.45"," 737.50"," 739.25"," 741.29"," 13657428"," 101241.72"," 184582"," 7184658"," 52.61",74,59,49.51,03/17/2022,T
"AXISBANK"," EQ"," 16-Mar-2022"," 698.15"," 711.00"," 726.00"," 709.10"," 722.95"," 723.85"," 721.66"," 10038170"," 72441.10"," 161737"," 3487241"," 34.74",62,59,49.36,03/16/2022,F
"AXISBANK"," EQ"," 15-Mar-2022"," 710.05"," 713.00"," 718.00"," 695.00"," 695.40"," 698.15"," 706.29"," 12157425"," 85866.95"," 241874"," 5411560"," 44.51",50,59,49.31,03/15/2022,F
"AXISBANK"," EQ"," 14-Mar-2022"," 690.85"," 694.70"," 712.40"," 685.00"," 711.45"," 710.05"," 701.81"," 10720884"," 75240.30"," 188062"," 4107029"," 38.31",57,59,49.33,03/14/2022,F
"AXISBANK"," EQ"," 11-Mar-2022"," 694.95"," 691.90"," 706.65"," 687.45"," 691.25"," 690.85"," 696.85"," 14224356"," 99123.01"," 228382"," 6339949"," 44.57",62,59,49.40,03/11/2022,F
"AXISBANK"," EQ"," 10-Mar-2022"," 674.20"," 707.90"," 720.40"," 688.25"," 694.95"," 694.95"," 704.02"," 23224756"," 163507.25"," 303588"," 9974817"," 42.95",77,59,49.43,03/10/2022,F
"AXISBANK"," EQ"," 09-Mar-2022"," 670.40"," 671.50"," 680.50"," 659.10"," 677.00"," 674.20"," 669.80"," 20438651"," 136898.19"," 291044"," 10764333"," 52.67",70,59,49.45,03/09/2022,T
"AXISBANK"," EQ"," 08-Mar-2022"," 667.55"," 665.00"," 673.75"," 637.00"," 671.00"," 670.40"," 655.68"," 24828458"," 162795.31"," 334903"," 11222658"," 45.20",74,59,49.45,03/08/2022,F
"AXISBANK"," EQ"," 04-Mar-2022"," 737.65"," 723.00"," 732.50"," 710.05"," 713.75"," 715.00"," 718.91"," 11660648"," 83829.16"," 221679"," 4611990"," 39.55",53,58,49.72,03/04/2022,F
"AXISBANK"," EQ"," 03-Mar-2022"," 750.25"," 756.00"," 759.45"," 732.40"," 736.05"," 737.65"," 740.74"," 8357181"," 61904.82"," 214427"," 3723900"," 44.56",39,59,49.87,03/03/2022,F
"AXISBANK"," EQ"," 02-Mar-2022"," 742.40"," 728.70"," 756.45"," 725.00"," 753.25"," 750.25"," 738.43"," 11691602"," 86334.57"," 208746"," 5706479"," 48.81",56,59,49.95,03/02/2022,F
"AXISBANK"," EQ"," 28-Feb-2022"," 758.05"," 749.90"," 749.90"," 736.20"," 741.70"," 742.40"," 742.23"," 14463418"," 107351.23"," 179739"," 8787747"," 60.76",80,59,50.08,02/28/2022,T
"AXISBANK"," EQ"," 25-Feb-2022"," 730.30"," 742.30"," 764.85"," 737.40"," 760.20"," 758.05"," 757.67"," 10066136"," 76268.28"," 178385"," 5202218"," 51.68",56,59,50.05,02/25/2022,F
"AXISBANK"," EQ"," 24-Feb-2022"," 777.20"," 752.40"," 769.15"," 725.30"," 727.55"," 730.30"," 746.05"," 13085009"," 97620.91"," 236851"," 7377803"," 56.38",55,59,50.16,02/24/2022,F
"AXISBANK"," EQ"," 23-Feb-2022"," 779.15"," 783.50"," 785.50"," 772.25"," 777.20"," 777.20"," 778.40"," 6303173"," 49063.95"," 144252"," 3265638"," 51.81",44,59,50.26,02/23/2022,F
"AXISBANK"," EQ"," 22-Feb-2022"," 788.85"," 766.10"," 787.00"," 766.10"," 779.05"," 779.15"," 778.99"," 6923558"," 53933.81"," 153744"," 3495844"," 50.49",45,59,50.46,02/22/2022,F
"AXISBANK"," EQ"," 21-Feb-2022"," 787.40"," 783.55"," 796.80"," 776.10"," 790.20"," 788.85"," 787.85"," 5635224"," 44397.02"," 121330"," 1680027"," 29.81",46,59,50.77,02/21/2022,F
"AXISBANK"," EQ"," 18-Feb-2022"," 782.80"," 781.15"," 790.55"," 779.00"," 787.10"," 787.40"," 785.96"," 5466662"," 42965.55"," 110728"," 2472208"," 45.22",49,59,51.28,02/18/2022,F
"AXISBANK"," EQ"," 17-Feb-2022"," 797.05"," 797.00"," 802.00"," 780.50"," 781.40"," 782.80"," 786.53"," 6516308"," 51252.41"," 97099"," 2376736"," 36.47",67,60,51.38,02/17/2022,F
"AXISBANK"," EQ"," 16-Feb-2022"," 796.95"," 795.00"," 808.30"," 789.30"," 794.30"," 797.05"," 799.10"," 7457765"," 59594.98"," 125732"," 3436794"," 46.08",59,59,51.64,02/16/2022,F
"AXISBANK"," EQ"," 15-Feb-2022"," 773.35"," 777.00"," 799.10"," 764.30"," 795.90"," 796.95"," 782.84"," 7426563"," 58137.79"," 172081"," 3267881"," 44.00",43,60,51.84,02/15/2022,F
"AXISBANK"," EQ"," 14-Feb-2022"," 803.80"," 790.00"," 803.00"," 769.95"," 772.40"," 773.35"," 780.17"," 8617389"," 67230.22"," 159533"," 4017345"," 46.62",54,60,52.20,02/14/2022,F
"AXISBANK"," EQ"," 11-Feb-2022"," 809.80"," 800.95"," 809.90"," 798.50"," 801.00"," 803.80"," 804.61"," 9717894"," 78191.12"," 125113"," 5439771"," 55.98",78,60,52.58,02/11/2022,T
"AXISBANK"," EQ"," 10-Feb-2022"," 803.85"," 807.55"," 815.95"," 803.10"," 807.95"," 809.80"," 810.31"," 12848281"," 104110.43"," 197237"," 8084474"," 62.92",65,59,52.78,02/10/2022,T
"AXISBANK"," EQ"," 09-Feb-2022"," 798.55"," 801.00"," 809.50"," 800.15"," 803.65"," 803.85"," 805.26"," 9399830"," 75693.17"," 194648"," 5590343"," 59.47",48,59,52.60,02/09/2022,F
