symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"BAJAJ-AUTO"," EQ"," 25-Mar-2022"," 3583.90"," 3592.00"," 3659.15"," 3592.00"," 3652.00"," 3654.35"," 3639.25"," 492945"," 17939.48"," 39668"," 164324"," 33.34",12,11,40.24,03/25/2022,F
"BAJAJ-AUTO"," EQ"," 24-Mar-2022"," 3601.50"," 3590.30"," 3637.90"," 3569.70"," 3584.00"," 3583.90"," 3603.26"," 385957"," 13907.05"," 51494"," 193753"," 50.20",7,11,40.26,03/24/2022,F
"BAJAJ-AUTO"," EQ"," 23-Mar-2022"," 3656.45"," 3664.95"," 3683.35"," 3590.00"," 3593.40"," 3601.50"," 3623.16"," 281347"," 10193.65"," 23181"," 96460"," 34.29",12,11,40.15,03/23/2022,F
"BAJAJ-AUTO"," EQ"," 22-Mar-2022"," 3589.05"," 3580.00"," 3662.00"," 3564.50"," 3650.00"," 3656.45"," 3611.89"," 213667"," 7717.42"," 19816"," 46126"," 21.59",11,11,40.29,03/22/2022,F
"BAJAJ-AUTO"," EQ"," 21-Mar-2022"," 3650.45"," 3650.45"," 3718.00"," 3580.25"," 3585.10"," 3589.05"," 3654.16"," 432309"," 15797.24"," 36804"," 190075"," 43.97",12,11,40.61,03/21/2022,T
"BAJAJ-AUTO"," EQ"," 17-Mar-2022"," 3569.80"," 3580.00"," 3664.85"," 3575.65"," 3642.00"," 3650.45"," 3642.53"," 429272"," 15636.37"," 31425"," 208287"," 48.52",14,11,41.03,03/17/2022,T
"BAJAJ-AUTO"," EQ"," 16-Mar-2022"," 3454.05"," 3490.05"," 3592.20"," 3481.00"," 3569.80"," 3569.80"," 3532.62"," 262987"," 9290.33"," 30017"," 103591"," 39.39",9,11,40.99,03/16/2022,F
"BAJAJ-AUTO"," EQ"," 15-Mar-2022"," 3452.55"," 3441.00"," 3494.00"," 3426.35"," 3450.00"," 3454.05"," 3461.34"," 229544"," 7945.31"," 21762"," 75708"," 32.98",11,11,41.04,03/15/2022,F
"BAJAJ-AUTO"," EQ"," 14-Mar-2022"," 3423.00"," 3402.00"," 3464.95"," 3368.00"," 3454.45"," 3452.55"," 3419.73"," 245299"," 8388.57"," 21776"," 75224"," 30.67",11,11,41.35,03/14/2022,F
"BAJAJ-AUTO"," EQ"," 11-Mar-2022"," 3422.35"," 3400.00"," 3445.50"," 3386.45"," 3425.00"," 3423.00"," 3421.96"," 156038"," 5339.56"," 16176"," 54470"," 34.91",10,11,41.62,03/11/2022,F
"BAJAJ-AUTO"," EQ"," 10-Mar-2022"," 3339.00"," 3399.00"," 3440.00"," 3385.40"," 3420.00"," 3422.35"," 3412.31"," 350154"," 11948.35"," 32504"," 145736"," 41.62",11,11,41.80,03/10/2022,F
"BAJAJ-AUTO"," EQ"," 09-Mar-2022"," 3317.10"," 3320.00"," 3360.00"," 3293.00"," 3350.00"," 3339.00"," 3327.17"," 508262"," 16910.72"," 35230"," 233815"," 46.00",14,11,41.90,03/09/2022,T
"BAJAJ-AUTO"," EQ"," 08-Mar-2022"," 3234.65"," 3229.00"," 3354.45"," 3175.70"," 3300.20"," 3317.10"," 3244.04"," 557492"," 18085.27"," 56980"," 276229"," 49.55",10,11,41.92,03/08/2022,F
"BAJAJ-AUTO"," EQ"," 04-Mar-2022"," 3297.10"," 3251.00"," 3285.95"," 3151.00"," 3252.05"," 3242.10"," 3242.46"," 509620"," 16524.23"," 46587"," 236852"," 46.48",11,11,41.74,03/04/2022,F
"BAJAJ-AUTO"," EQ"," 03-Mar-2022"," 3372.30"," 3399.00"," 3404.80"," 3279.00"," 3302.00"," 3297.10"," 3319.32"," 536758"," 17816.70"," 42706"," 271007"," 50.49",13,11,41.70,03/03/2022,T
"BAJAJ-AUTO"," EQ"," 02-Mar-2022"," 3530.35"," 3498.30"," 3498.30"," 3333.00"," 3367.15"," 3372.30"," 3387.38"," 982580"," 33283.67"," 86459"," 414452"," 42.18",11,11,41.95,03/02/2022,F
"BAJAJ-AUTO"," EQ"," 28-Feb-2022"," 3508.40"," 3497.70"," 3561.00"," 3448.05"," 3530.40"," 3530.35"," 3517.60"," 387040"," 13614.52"," 29968"," 189221"," 48.89",13,11,42.46,02/28/2022,T
"BAJAJ-AUTO"," EQ"," 25-Feb-2022"," 3478.90"," 3490.10"," 3560.00"," 3490.10"," 3512.00"," 3508.40"," 3524.01"," 327777"," 11550.88"," 30526"," 132934"," 40.56",11,11,42.42,02/25/2022,F
"BAJAJ-AUTO"," EQ"," 24-Feb-2022"," 3580.30"," 3485.50"," 3559.30"," 3435.00"," 3435.00"," 3478.90"," 3505.66"," 628362"," 22028.25"," 49664"," 301238"," 47.94",13,11,42.53,02/24/2022,T
"BAJAJ-AUTO"," EQ"," 23-Feb-2022"," 3600.70"," 3615.10"," 3639.90"," 3570.00"," 3580.00"," 3580.30"," 3608.71"," 209392"," 7556.35"," 24310"," 75445"," 36.03",9,11,42.54,02/23/2022,F
