symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"BAJAJFINSV"," EQ"," 23-Mar-2022"," 16494.60"," 16600.00"," 16728.75"," 16344.20"," 16370.00"," 16407.35"," 16521.63"," 229079"," 37847.59"," 40329"," 43867"," 19.15",6,6,19.53,03/23/2022,F
"BAJAJFINSV"," EQ"," 22-Mar-2022"," 16180.80"," 16250.00"," 16590.00"," 15951.00"," 16570.50"," 16494.60"," 16262.71"," 265279"," 43141.57"," 44503"," 45978"," 17.33",6,6,19.51,03/22/2022,F
"BAJAJFINSV"," EQ"," 21-Mar-2022"," 16370.80"," 16399.95"," 16443.95"," 16150.00"," 16182.00"," 16180.80"," 16250.74"," 201635"," 32767.18"," 29887"," 42951"," 21.30",7,6,19.43,03/21/2022,T
"BAJAJFINSV"," EQ"," 17-Mar-2022"," 16124.85"," 16399.00"," 16589.00"," 16255.00"," 16344.00"," 16370.80"," 16429.70"," 402068"," 66058.56"," 54788"," 146373"," 36.41",7,6,19.53,03/17/2022,T
"BAJAJFINSV"," EQ"," 16-Mar-2022"," 15708.90"," 15900.60"," 16240.00"," 15851.05"," 16071.00"," 16124.85"," 16101.37"," 298317"," 48033.12"," 49730"," 60446"," 20.26",6,5,19.40,03/16/2022,T
"BAJAJFINSV"," EQ"," 15-Mar-2022"," 15678.50"," 15749.00"," 15950.00"," 15534.05"," 15684.65"," 15708.90"," 15754.42"," 296511"," 46713.59"," 59391"," 56524"," 19.06",5,5,19.56,03/15/2022,F
"BAJAJFINSV"," EQ"," 14-Mar-2022"," 15569.00"," 15475.60"," 15735.00"," 15411.50"," 15719.90"," 15678.50"," 15604.89"," 285201"," 44505.30"," 54324"," 50521"," 17.71",5,5,19.58,03/14/2022,F
"BAJAJFINSV"," EQ"," 11-Mar-2022"," 15467.45"," 15400.00"," 15750.00"," 15280.00"," 15550.00"," 15569.00"," 15588.22"," 329632"," 51383.75"," 60369"," 57426"," 17.42",5,5,19.73,03/11/2022,F
"BAJAJFINSV"," EQ"," 10-Mar-2022"," 15015.20"," 15649.00"," 15850.00"," 15305.05"," 15478.00"," 15467.45"," 15606.58"," 476405"," 74350.51"," 83323"," 110571"," 23.21",6,5,19.88,03/10/2022,T
"BAJAJFINSV"," EQ"," 09-Mar-2022"," 14450.70"," 14501.10"," 15199.55"," 14400.00"," 15028.00"," 15015.20"," 14808.42"," 391341"," 57951.44"," 77581"," 86270"," 22.04",5,5,19.76,03/09/2022,F
"BAJAJFINSV"," EQ"," 08-Mar-2022"," 14373.20"," 14400.00"," 14525.00"," 13951.05"," 14435.50"," 14450.70"," 14283.98"," 462569"," 66073.25"," 94017"," 110129"," 23.81",5,5,19.82,03/08/2022,F
"BAJAJFINSV"," EQ"," 04-Mar-2022"," 15704.10"," 15590.00"," 15672.30"," 15212.00"," 15311.00"," 15333.20"," 15426.71"," 338059"," 52151.37"," 65983"," 60200"," 17.81",5,6,19.91,03/04/2022,F
"BAJAJFINSV"," EQ"," 03-Mar-2022"," 16053.00"," 16300.00"," 16347.95"," 15646.80"," 15680.00"," 15704.10"," 15894.61"," 340014"," 54043.90"," 58555"," 61523"," 18.09",6,6,19.99,03/03/2022,F
"BAJAJFINSV"," EQ"," 02-Mar-2022"," 16012.55"," 15705.00"," 16157.15"," 15632.00"," 16070.00"," 16053.00"," 15844.20"," 281715"," 44635.48"," 58311"," 59150"," 21.00",5,6,20.06,03/02/2022,F
"BAJAJFINSV"," EQ"," 28-Feb-2022"," 15772.15"," 15700.00"," 16084.85"," 15365.00"," 16000.00"," 16012.55"," 15739.98"," 373257"," 58750.57"," 67030"," 77737"," 20.83",6,6,20.25,02/28/2022,F
"BAJAJFINSV"," EQ"," 25-Feb-2022"," 15245.20"," 15788.00"," 16065.00"," 15570.00"," 15760.00"," 15772.15"," 15814.55"," 320337"," 50659.86"," 56356"," 74662"," 23.31",6,6,20.14,02/25/2022,F
"BAJAJFINSV"," EQ"," 24-Feb-2022"," 16133.60"," 15600.00"," 15895.90"," 15200.00"," 15250.00"," 15245.20"," 15533.06"," 361563"," 56161.80"," 73228"," 80072"," 22.15",5,6,20.12,02/24/2022,F
"BAJAJFINSV"," EQ"," 23-Feb-2022"," 16189.45"," 16390.00"," 16390.00"," 16035.05"," 16048.85"," 16133.60"," 16227.12"," 241830"," 39242.04"," 46829"," 79712"," 32.96",5,6,19.99,02/23/2022,F
"BAJAJFINSV"," EQ"," 22-Feb-2022"," 16012.25"," 15300.00"," 16270.00"," 15275.00"," 16201.00"," 16189.45"," 15902.65"," 322374"," 51266.00"," 65932"," 63013"," 19.55",5,6,19.78,02/22/2022,F
"BAJAJFINSV"," EQ"," 21-Feb-2022"," 16096.55"," 16038.00"," 16238.15"," 15780.00"," 15988.00"," 16012.25"," 16000.21"," 227592"," 36415.20"," 43038"," 25641"," 11.27",5,6,19.68,02/21/2022,F
"BAJAJFINSV"," EQ"," 18-Feb-2022"," 16181.20"," 16061.00"," 16289.00"," 16025.85"," 16082.00"," 16096.55"," 16165.47"," 174327"," 28180.78"," 35662"," 21875"," 12.55",5,6,19.97,02/18/2022,F
"BAJAJFINSV"," EQ"," 17-Feb-2022"," 16272.45"," 16366.00"," 16418.30"," 16081.00"," 16178.70"," 16181.20"," 16245.55"," 214433"," 34835.82"," 41817"," 19749"," 9.21",5,6,20.08,02/17/2022,F
"BAJAJFINSV"," EQ"," 16-Feb-2022"," 16375.25"," 16428.00"," 16589.90"," 16190.10"," 16255.00"," 16272.45"," 16388.17"," 273874"," 44882.95"," 52931"," 24507"," 8.95",5,6,20.30,02/16/2022,F
"BAJAJFINSV"," EQ"," 15-Feb-2022"," 15674.15"," 15890.00"," 16427.50"," 15649.00"," 16385.10"," 16375.25"," 16018.34"," 359213"," 57539.94"," 67466"," 61242"," 17.05",5,6,20.45,02/15/2022,F
"BAJAJFINSV"," EQ"," 14-Feb-2022"," 16113.10"," 15805.00"," 15887.95"," 15451.00"," 15650.00"," 15674.15"," 15708.00"," 296115"," 46513.75"," 54654"," 54723"," 18.48",5,6,20.52,02/14/2022,F
"BAJAJFINSV"," EQ"," 11-Feb-2022"," 16393.60"," 16000.00"," 16200.00"," 15910.00"," 16119.95"," 16113.10"," 16104.67"," 244696"," 39407.47"," 49340"," 53305"," 21.78",5,6,20.71,02/11/2022,F
"BAJAJFINSV"," EQ"," 10-Feb-2022"," 16257.80"," 16344.90"," 16550.00"," 16033.00"," 16394.00"," 16393.60"," 16368.61"," 299770"," 49068.18"," 58366"," 55925"," 18.66",5,6,20.75,02/10/2022,F
"BAJAJFINSV"," EQ"," 09-Feb-2022"," 15989.15"," 16180.00"," 16414.90"," 16120.00"," 16268.25"," 16257.80"," 16275.89"," 251023"," 40856.23"," 51311"," 53249"," 21.21",5,6,20.80,02/09/2022,F
"BAJAJFINSV"," EQ"," 08-Feb-2022"," 15711.35"," 15810.00"," 16119.80"," 15720.00"," 15978.00"," 15989.15"," 15927.24"," 410373"," 65361.09"," 87076"," 76410"," 18.62",5,6,20.71,02/08/2022,F
"BAJAJFINSV"," EQ"," 07-Feb-2022"," 16205.75"," 16160.00"," 16364.05"," 15650.00"," 15732.00"," 15711.35"," 15925.53"," 356664"," 56800.65"," 66454"," 99435"," 27.88",5,6,20.69,02/07/2022,F
"BAJAJFINSV"," EQ"," 04-Feb-2022"," 16348.10"," 16348.00"," 16469.35"," 16145.00"," 16160.00"," 16205.75"," 16289.75"," 294505"," 47974.12"," 50305"," 78332"," 26.60",6,6,20.57,02/04/2022,F
"BAJAJFINSV"," EQ"," 03-Feb-2022"," 16706.00"," 16706.00"," 16717.00"," 16263.70"," 16320.00"," 16348.10"," 16555.64"," 289137"," 47868.47"," 51326"," 72797"," 25.18",6,6,20.47,02/03/2022,F
"BAJAJFINSV"," EQ"," 02-Feb-2022"," 15903.85"," 16030.10"," 16750.00"," 15925.00"," 16696.05"," 16706.00"," 16559.75"," 525745"," 87062.03"," 84649"," 91443"," 17.39",6,6,20.39,02/02/2022,F
"BAJAJFINSV"," EQ"," 01-Feb-2022"," 15689.55"," 15828.95"," 16014.95"," 15500.00"," 15924.15"," 15903.85"," 15853.93"," 357187"," 56628.19"," 71292"," 69927"," 19.58",5,6,20.46,02/01/2022,F
"BAJAJFINSV"," EQ"," 31-Jan-2022"," 15198.75"," 15590.00"," 15741.00"," 15329.70"," 15700.10"," 15689.55"," 15579.62"," 312992"," 48762.96"," 58902"," 58200"," 18.59",5,6,20.47,01/31/2022,F
"BAJAJFINSV"," EQ"," 28-Jan-2022"," 15359.85"," 15601.00"," 15787.65"," 15150.00"," 15190.00"," 15198.75"," 15484.62"," 350931"," 54340.33"," 65639"," 65286"," 18.60",5,6,20.48,01/28/2022,F
"BAJAJFINSV"," EQ"," 27-Jan-2022"," 15528.95"," 15386.00"," 15570.40"," 15012.00"," 15379.35"," 15359.85"," 15258.07"," 349727"," 53361.58"," 75458"," 63609"," 18.19",5,6,20.37,01/27/2022,F
"BAJAJFINSV"," EQ"," 25-Jan-2022"," 15707.15"," 15550.50"," 15682.45"," 15250.30"," 15484.00"," 15528.95"," 15500.14"," 409064"," 63405.51"," 77070"," 92757"," 22.68",5,6,20.28,01/25/2022,F
"BAJAJFINSV"," EQ"," 24-Jan-2022"," 16335.20"," 16388.50"," 16433.95"," 15444.00"," 15660.00"," 15707.15"," 15787.16"," 473643"," 74774.76"," 99635"," 97872"," 20.66",5,6,20.38,01/24/2022,F
"BAJAJFINSV"," EQ"," 21-Jan-2022"," 17258.95"," 17000.00"," 17095.00"," 16220.00"," 16379.95"," 16335.20"," 16547.67"," 558291"," 92384.13"," 108958"," 149410"," 26.76",5,6,20.56,01/21/2022,F
"BAJAJFINSV"," EQ"," 20-Jan-2022"," 18077.30"," 18075.00"," 18262.00"," 17080.00"," 17250.00"," 17258.95"," 17538.30"," 544473"," 95491.33"," 103533"," 126539"," 23.24",5,6,20.41,01/20/2022,F
"BAJAJFINSV"," EQ"," 19-Jan-2022"," 18153.55"," 18240.00"," 18621.00"," 17875.35"," 18054.45"," 18077.30"," 18229.39"," 348174"," 63469.99"," 64847"," 49365"," 14.18",5,6,20.44,01/19/2022,F
