symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"BAJFINANCE"," EQ"," 25-Mar-2022"," 6997.55"," 7059.00"," 7067.45"," 6940.00"," 6982.00"," 6973.50"," 6991.83"," 702373"," 49108.73"," 58670"," 212721"," 30.29",12,11,32.41,03/25/2022,F
"BAJFINANCE"," EQ"," 24-Mar-2022"," 7004.80"," 6969.00"," 7035.55"," 6881.25"," 6986.00"," 6997.55"," 6985.54"," 783716"," 54746.81"," 68202"," 161874"," 20.65",11,11,32.21,03/24/2022,F
"BAJFINANCE"," EQ"," 23-Mar-2022"," 6985.80"," 7050.00"," 7104.00"," 6970.00"," 6985.00"," 7004.80"," 7032.44"," 1176750"," 82754.27"," 87121"," 391803"," 33.30",14,11,32.35,03/23/2022,T
"BAJFINANCE"," EQ"," 22-Mar-2022"," 6870.40"," 6870.00"," 7010.00"," 6767.00"," 6998.00"," 6985.80"," 6893.67"," 1273796"," 87811.32"," 105600"," 325253"," 25.53",12,11,32.29,03/22/2022,F
"BAJFINANCE"," EQ"," 21-Mar-2022"," 6994.40"," 7000.00"," 7018.75"," 6850.00"," 6883.00"," 6870.40"," 6920.21"," 962019"," 66573.69"," 72204"," 313072"," 32.54",13,11,32.43,03/21/2022,T
"BAJFINANCE"," EQ"," 17-Mar-2022"," 6840.60"," 6947.70"," 7056.90"," 6930.10"," 6992.00"," 6994.40"," 6999.08"," 1670678"," 116932.06"," 134599"," 705800"," 42.25",12,11,32.70,03/17/2022,T
"BAJFINANCE"," EQ"," 16-Mar-2022"," 6666.55"," 6780.00"," 6899.40"," 6743.35"," 6824.75"," 6840.60"," 6829.54"," 1633596"," 111567.06"," 135401"," 628552"," 38.48",12,11,32.46,03/16/2022,T
"BAJFINANCE"," EQ"," 15-Mar-2022"," 6665.45"," 6677.20"," 6750.00"," 6605.00"," 6652.00"," 6666.55"," 6677.97"," 1479270"," 98785.20"," 166813"," 548486"," 37.08",9,11,32.59,03/15/2022,F
"BAJFINANCE"," EQ"," 14-Mar-2022"," 6628.00"," 6601.00"," 6689.00"," 6500.00"," 6657.90"," 6665.45"," 6582.43"," 1266846"," 83389.31"," 134273"," 393949"," 31.10",9,11,32.71,03/14/2022,F
"BAJFINANCE"," EQ"," 11-Mar-2022"," 6584.90"," 6550.00"," 6685.00"," 6490.05"," 6615.00"," 6628.00"," 6614.52"," 1264771"," 83658.49"," 104323"," 271796"," 21.49",12,11,32.94,03/11/2022,F
"BAJFINANCE"," EQ"," 10-Mar-2022"," 6472.50"," 6794.00"," 6794.00"," 6501.00"," 6568.00"," 6584.90"," 6657.93"," 2091561"," 139254.77"," 175955"," 693593"," 33.16",12,11,33.24,03/10/2022,F
"BAJFINANCE"," EQ"," 09-Mar-2022"," 6161.85"," 6219.50"," 6525.00"," 6121.85"," 6485.00"," 6472.50"," 6312.35"," 2280131"," 143929.80"," 190284"," 819021"," 35.92",12,11,33.18,03/09/2022,T
"BAJFINANCE"," EQ"," 08-Mar-2022"," 6125.00"," 6128.00"," 6217.35"," 5912.90"," 6180.00"," 6161.85"," 6073.80"," 2885783"," 175276.57"," 250061"," 1086708"," 37.66",12,11,33.06,03/08/2022,T
