symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"BALKRISIND"," EQ"," 23-Mar-2022"," 2050.45"," 2069.35"," 2080.40"," 2046.40"," 2065.05"," 2068.05"," 2061.71"," 182251"," 3757.49"," 18491"," 101265"," 55.56",10,11,43.51,03/23/2022,F
"BALKRISIND"," EQ"," 22-Mar-2022"," 2055.35"," 2042.50"," 2067.90"," 1996.20"," 2052.00"," 2050.45"," 2030.65"," 458904"," 9318.74"," 51976"," 222028"," 48.38",9,11,43.12,03/22/2022,F
"BALKRISIND"," EQ"," 21-Mar-2022"," 2132.50"," 2133.00"," 2151.00"," 2050.25"," 2059.90"," 2055.35"," 2086.22"," 209437"," 4369.32"," 24638"," 97132"," 46.38",9,11,43.11,03/21/2022,F
"BALKRISIND"," EQ"," 17-Mar-2022"," 2059.10"," 2084.80"," 2145.05"," 2071.40"," 2133.55"," 2132.50"," 2113.76"," 445339"," 9413.40"," 31035"," 289315"," 64.97",14,11,43.15,03/17/2022,T
"BALKRISIND"," EQ"," 16-Mar-2022"," 2005.20"," 2022.10"," 2070.00"," 2022.10"," 2064.50"," 2059.10"," 2047.24"," 255679"," 5234.36"," 26825"," 99124"," 38.77",10,11,42.65,03/16/2022,F
"BALKRISIND"," EQ"," 15-Mar-2022"," 1977.25"," 1977.25"," 2038.05"," 1977.20"," 2000.00"," 2005.20"," 2006.84"," 332922"," 6681.22"," 31147"," 121999"," 36.64",11,11,42.88,03/15/2022,F
"BALKRISIND"," EQ"," 14-Mar-2022"," 1970.25"," 1971.00"," 1996.60"," 1944.45"," 1971.00"," 1977.25"," 1969.43"," 184271"," 3629.09"," 20687"," 78806"," 42.77",9,11,43.16,03/14/2022,F
"BALKRISIND"," EQ"," 11-Mar-2022"," 1958.75"," 1945.00"," 1978.00"," 1926.75"," 1960.00"," 1970.25"," 1961.74"," 165045"," 3237.75"," 26040"," 46733"," 28.32",6,11,43.38,03/11/2022,F
"BALKRISIND"," EQ"," 10-Mar-2022"," 1941.35"," 1999.00"," 2020.00"," 1938.45"," 1949.00"," 1958.75"," 1969.72"," 346265"," 6820.46"," 32148"," 158315"," 45.72",11,12,43.68,03/10/2022,F
"BALKRISIND"," EQ"," 09-Mar-2022"," 1880.90"," 1898.65"," 1962.70"," 1880.10"," 1952.00"," 1941.35"," 1927.02"," 275690"," 5312.59"," 28143"," 124509"," 45.16",10,12,43.24,03/09/2022,F
"BALKRISIND"," EQ"," 08-Mar-2022"," 1824.80"," 1811.30"," 1893.95"," 1808.00"," 1887.00"," 1880.90"," 1838.86"," 407231"," 7488.39"," 47051"," 154699"," 37.99",9,12,43.37,03/08/2022,F
"BALKRISIND"," EQ"," 04-Mar-2022"," 1798.00"," 1784.10"," 1796.05"," 1752.25"," 1767.35"," 1766.85"," 1766.88"," 317802"," 5615.19"," 28525"," 183748"," 57.82",11,12,43.30,03/04/2022,F
"BALKRISIND"," EQ"," 03-Mar-2022"," 1806.70"," 1835.40"," 1835.40"," 1770.10"," 1791.10"," 1798.00"," 1797.98"," 397981"," 7155.63"," 39295"," 234892"," 59.02",10,12,43.37,03/03/2022,F
"BALKRISIND"," EQ"," 02-Mar-2022"," 1822.55"," 1785.00"," 1815.00"," 1781.00"," 1812.05"," 1806.70"," 1800.55"," 347685"," 6260.24"," 29541"," 221076"," 63.59",12,12,43.38,03/02/2022,F
"BALKRISIND"," EQ"," 28-Feb-2022"," 1769.70"," 1758.00"," 1829.50"," 1743.00"," 1819.00"," 1822.55"," 1804.39"," 379707"," 6851.41"," 29510"," 162035"," 42.67",13,12,43.57,02/28/2022,F
"BALKRISIND"," EQ"," 25-Feb-2022"," 1757.70"," 1790.00"," 1830.45"," 1753.15"," 1772.00"," 1769.70"," 1788.23"," 353499"," 6321.38"," 39928"," 145565"," 41.18",9,12,43.93,02/25/2022,F
"BALKRISIND"," EQ"," 24-Feb-2022"," 1905.70"," 1830.00"," 1869.90"," 1750.00"," 1778.00"," 1757.70"," 1803.36"," 455920"," 8221.90"," 54413"," 219145"," 48.07",8,12,44.05,02/24/2022,F
"BALKRISIND"," EQ"," 23-Feb-2022"," 1898.90"," 1912.00"," 1937.75"," 1889.00"," 1914.00"," 1905.70"," 1910.21"," 246039"," 4699.86"," 21761"," 94173"," 38.28",11,12,44.41,02/23/2022,F
"BALKRISIND"," EQ"," 22-Feb-2022"," 1943.45"," 1900.00"," 1910.00"," 1855.00"," 1906.00"," 1898.90"," 1881.85"," 367425"," 6914.38"," 33495"," 175625"," 47.80",11,12,44.87,02/22/2022,F
"BALKRISIND"," EQ"," 21-Feb-2022"," 1976.45"," 1963.00"," 1980.00"," 1894.35"," 1943.00"," 1943.45"," 1937.81"," 755992"," 14649.69"," 36175"," 433614"," 57.36",21,12,44.63,02/21/2022,T
"BALKRISIND"," EQ"," 18-Feb-2022"," 2005.70"," 2000.00"," 2009.00"," 1963.00"," 1981.95"," 1976.45"," 1987.61"," 397389"," 7898.54"," 33448"," 209653"," 52.76",12,12,44.30,02/18/2022,F
"BALKRISIND"," EQ"," 17-Feb-2022"," 2002.90"," 2002.90"," 2057.00"," 1980.75"," 2009.00"," 2005.70"," 2009.84"," 747232"," 15018.15"," 45768"," 257689"," 34.49",16,12,44.17,02/17/2022,F
"BALKRISIND"," EQ"," 16-Feb-2022"," 2126.80"," 2153.40"," 2162.00"," 1995.00"," 2001.30"," 2002.90"," 2038.88"," 609354"," 12424.01"," 55706"," 286979"," 47.10",11,12,44.32,02/16/2022,F
"BALKRISIND"," EQ"," 15-Feb-2022"," 2084.95"," 2075.00"," 2135.00"," 2035.10"," 2127.00"," 2126.80"," 2080.77"," 433392"," 9017.88"," 33782"," 159122"," 36.72",13,12,44.37,02/15/2022,F
"BALKRISIND"," EQ"," 14-Feb-2022"," 2179.05"," 2115.00"," 2147.50"," 2075.00"," 2076.00"," 2084.95"," 2109.94"," 277290"," 5850.65"," 35643"," 118724"," 42.82",8,12,44.79,02/14/2022,F
"BALKRISIND"," EQ"," 11-Feb-2022"," 2271.35"," 2250.00"," 2257.85"," 2166.00"," 2167.00"," 2179.05"," 2198.86"," 230260"," 5063.09"," 36137"," 92074"," 39.99",6,12,44.62,02/11/2022,F
"BALKRISIND"," EQ"," 10-Feb-2022"," 2293.50"," 2309.70"," 2309.90"," 2248.50"," 2266.00"," 2271.35"," 2271.30"," 140576"," 3192.91"," 18492"," 61277"," 43.59",8,12,44.79,02/10/2022,F
"BALKRISIND"," EQ"," 09-Feb-2022"," 2246.15"," 2259.90"," 2298.50"," 2246.40"," 2298.00"," 2293.50"," 2279.19"," 80941"," 1844.80"," 9880"," 28882"," 35.68",8,12,44.68,02/09/2022,F
"BALKRISIND"," EQ"," 08-Feb-2022"," 2245.20"," 2262.80"," 2279.90"," 2224.75"," 2237.25"," 2246.15"," 2246.87"," 95043"," 2135.49"," 16798"," 33979"," 35.75",6,13,44.65,02/08/2022,F
"BALKRISIND"," EQ"," 07-Feb-2022"," 2290.50"," 2298.90"," 2304.85"," 2236.00"," 2246.60"," 2245.20"," 2259.94"," 67721"," 1530.46"," 11242"," 20042"," 29.59",6,13,44.92,02/07/2022,F
"BALKRISIND"," EQ"," 04-Feb-2022"," 2333.55"," 2344.10"," 2345.20"," 2276.40"," 2285.00"," 2290.50"," 2302.18"," 75715"," 1743.09"," 10835"," 20344"," 26.87",7,13,45.49,02/04/2022,F
"BALKRISIND"," EQ"," 03-Feb-2022"," 2320.75"," 2280.05"," 2355.00"," 2280.05"," 2323.50"," 2333.55"," 2338.72"," 148853"," 3481.25"," 18676"," 48687"," 32.71",8,13,45.79,02/03/2022,F
"BALKRISIND"," EQ"," 02-Feb-2022"," 2393.65"," 2385.20"," 2385.95"," 2315.80"," 2321.00"," 2320.75"," 2335.72"," 160659"," 3752.55"," 20795"," 65941"," 41.04",8,13,45.81,02/02/2022,F
"BALKRISIND"," EQ"," 01-Feb-2022"," 2337.05"," 2359.00"," 2426.90"," 2320.00"," 2366.05"," 2393.65"," 2364.39"," 143675"," 3397.04"," 16509"," 57927"," 40.32",9,13,45.87,02/01/2022,F
"BALKRISIND"," EQ"," 31-Jan-2022"," 2255.25"," 2279.10"," 2363.00"," 2278.00"," 2333.05"," 2337.05"," 2335.74"," 194481"," 4542.57"," 19972"," 70043"," 36.02",10,13,45.70,01/31/2022,F
"BALKRISIND"," EQ"," 28-Jan-2022"," 2251.75"," 2258.10"," 2333.00"," 2244.85"," 2250.05"," 2255.25"," 2281.83"," 244455"," 5578.06"," 18213"," 164760"," 67.40",13,13,45.73,01/28/2022,F
"BALKRISIND"," EQ"," 27-Jan-2022"," 2337.10"," 2320.40"," 2323.95"," 2222.05"," 2244.65"," 2251.75"," 2254.72"," 213736"," 4819.15"," 28624"," 103019"," 48.20",7,13,45.54,01/27/2022,F
