symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"BALRAMCHIN"," EQ"," 23-Mar-2022"," 491.40"," 494.00"," 504.00"," 489.10"," 494.60"," 494.45"," 494.91"," 3258594"," 16126.97"," 57765"," 770582"," 23.65",56,72,19.75,03/23/2022,F
"BALRAMCHIN"," EQ"," 22-Mar-2022"," 499.55"," 499.70"," 499.90"," 486.30"," 490.55"," 491.40"," 491.58"," 3849048"," 18921.09"," 59188"," 640379"," 16.64",65,71,19.85,03/22/2022,F
"BALRAMCHIN"," EQ"," 21-Mar-2022"," 479.35"," 487.10"," 521.40"," 485.85"," 497.90"," 499.55"," 510.32"," 15651929"," 79874.27"," 191231"," 2631660"," 16.81",82,71,20.08,03/21/2022,F
"BALRAMCHIN"," EQ"," 17-Mar-2022"," 485.50"," 488.10"," 489.80"," 475.25"," 479.50"," 479.35"," 480.08"," 3851226"," 18488.88"," 71000"," 960758"," 24.95",54,70,20.64,03/17/2022,F
"BALRAMCHIN"," EQ"," 16-Mar-2022"," 466.70"," 474.00"," 489.45"," 471.25"," 487.25"," 485.50"," 480.54"," 6348479"," 30507.12"," 98089"," 1020332"," 16.07",65,70,20.77,03/16/2022,F
"BALRAMCHIN"," EQ"," 15-Mar-2022"," 502.05"," 505.00"," 506.70"," 460.10"," 463.80"," 466.70"," 479.63"," 10917242"," 52362.89"," 182210"," 2518293"," 23.07",60,70,21.18,03/15/2022,F
"BALRAMCHIN"," EQ"," 14-Mar-2022"," 487.35"," 490.00"," 515.00"," 477.60"," 499.35"," 502.05"," 503.72"," 19010121"," 95758.36"," 238370"," 2184486"," 11.49",80,69,21.37,03/14/2022,F
"BALRAMCHIN"," EQ"," 11-Mar-2022"," 449.30"," 451.40"," 491.30"," 447.75"," 487.65"," 487.35"," 474.71"," 13441617"," 63808.78"," 167654"," 1899680"," 14.13",80,69,21.81,03/11/2022,F
"BALRAMCHIN"," EQ"," 10-Mar-2022"," 445.80"," 451.00"," 462.00"," 444.00"," 447.65"," 449.30"," 453.90"," 6321734"," 28694.05"," 96240"," 986877"," 15.61",66,69,22.05,03/10/2022,F
"BALRAMCHIN"," EQ"," 09-Mar-2022"," 433.20"," 439.00"," 456.75"," 431.65"," 444.05"," 445.80"," 445.68"," 6731888"," 30002.55"," 91192"," 1286655"," 19.11",74,69,22.38,03/09/2022,F
"BALRAMCHIN"," EQ"," 08-Mar-2022"," 443.80"," 448.00"," 455.75"," 422.40"," 433.10"," 433.20"," 440.09"," 6716028"," 29556.65"," 105991"," 1001352"," 14.91",63,69,22.70,03/08/2022,F
"BALRAMCHIN"," EQ"," 04-Mar-2022"," 424.90"," 430.00"," 433.90"," 416.00"," 420.00"," 420.65"," 424.43"," 4125091"," 17508.01"," 55879"," 433297"," 10.50",74,68,23.13,03/04/2022,F
"BALRAMCHIN"," EQ"," 03-Mar-2022"," 410.45"," 415.00"," 439.75"," 415.00"," 424.00"," 424.90"," 429.00"," 7242193"," 31069.11"," 97728"," 1011709"," 13.97",74,67,23.57,03/03/2022,F
"BALRAMCHIN"," EQ"," 02-Mar-2022"," 397.00"," 397.00"," 413.50"," 393.70"," 409.85"," 410.45"," 407.45"," 2476038"," 10088.51"," 35591"," 571423"," 23.08",70,67,23.84,03/02/2022,F
"BALRAMCHIN"," EQ"," 28-Feb-2022"," 391.90"," 385.15"," 399.65"," 381.00"," 396.00"," 397.00"," 391.50"," 2427000"," 9501.73"," 32556"," 339931"," 14.01",75,66,24.20,02/28/2022,F
