symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"BANDHANBNK"," EQ"," 25-Mar-2022"," 297.25"," 300.10"," 306.65"," 297.40"," 299.75"," 299.95"," 301.30"," 12106375"," 36476.27"," 88864"," 5254254"," 43.40",136,112,28.28,03/25/2022,T
"BANDHANBNK"," EQ"," 24-Mar-2022"," 303.10"," 301.50"," 303.90"," 294.00"," 297.50"," 297.25"," 298.34"," 10325063"," 30803.46"," 118496"," 3853128"," 37.32",87,112,27.73,03/24/2022,F
"BANDHANBNK"," EQ"," 23-Mar-2022"," 303.30"," 305.55"," 313.50"," 301.35"," 303.00"," 303.10"," 305.36"," 9696403"," 29608.85"," 84852"," 2069860"," 21.35",114,112,27.43,03/23/2022,F
"BANDHANBNK"," EQ"," 22-Mar-2022"," 294.95"," 290.00"," 306.00"," 280.25"," 305.60"," 303.30"," 290.73"," 18303607"," 53214.94"," 156430"," 4464441"," 24.39",117,111,27.57,03/22/2022,F
"BANDHANBNK"," EQ"," 21-Mar-2022"," 301.50"," 303.20"," 303.75"," 292.50"," 294.00"," 294.95"," 295.55"," 7126956"," 21063.67"," 59227"," 2313974"," 32.47",120,111,27.55,03/21/2022,T
"BANDHANBNK"," EQ"," 17-Mar-2022"," 294.45"," 298.00"," 303.30"," 296.00"," 302.00"," 301.50"," 299.60"," 11616791"," 34803.37"," 80428"," 5127990"," 44.14",144,110,27.66,03/17/2022,T
"BANDHANBNK"," EQ"," 16-Mar-2022"," 281.15"," 283.80"," 295.95"," 283.50"," 294.50"," 294.45"," 289.10"," 10063462"," 29093.42"," 82182"," 2055569"," 20.43",122,109,27.39,03/16/2022,F
"BANDHANBNK"," EQ"," 15-Mar-2022"," 264.95"," 269.75"," 288.50"," 269.25"," 280.00"," 281.15"," 282.40"," 31825606"," 89875.29"," 243902"," 6805556"," 21.38",130,109,27.42,03/15/2022,F
"BANDHANBNK"," EQ"," 14-Mar-2022"," 262.90"," 265.00"," 268.05"," 259.25"," 267.30"," 264.95"," 264.28"," 7899515"," 20876.60"," 86014"," 2367184"," 29.97",92,108,27.56,03/14/2022,F
"BANDHANBNK"," EQ"," 11-Mar-2022"," 266.50"," 264.50"," 267.35"," 259.20"," 265.05"," 262.90"," 262.62"," 9429721"," 24763.97"," 67508"," 3617680"," 38.36",140,108,27.72,03/11/2022,T
"BANDHANBNK"," EQ"," 10-Mar-2022"," 266.75"," 278.50"," 281.55"," 263.50"," 265.15"," 266.50"," 274.01"," 16663614"," 45659.87"," 118854"," 5876109"," 35.26",140,108,27.79,03/10/2022,T
"BANDHANBNK"," EQ"," 09-Mar-2022"," 261.60"," 263.00"," 268.70"," 259.15"," 268.00"," 266.75"," 263.96"," 7238404"," 19106.83"," 68565"," 3032163"," 41.89",106,107,27.81,03/09/2022,F
"BANDHANBNK"," EQ"," 08-Mar-2022"," 253.85"," 255.00"," 263.05"," 249.00"," 262.00"," 261.60"," 255.23"," 6467134"," 16506.03"," 68784"," 1471066"," 22.75",94,108,27.91,03/08/2022,F
"BANDHANBNK"," EQ"," 04-Mar-2022"," 284.05"," 280.00"," 280.00"," 269.55"," 272.15"," 273.20"," 274.32"," 10829056"," 29706.05"," 102251"," 3117301"," 28.79",106,107,28.06,03/04/2022,F
"BANDHANBNK"," EQ"," 03-Mar-2022"," 292.50"," 298.00"," 298.80"," 282.10"," 282.95"," 284.05"," 289.75"," 7232673"," 20956.91"," 72645"," 2031419"," 28.09",100,107,28.12,03/03/2022,F
"BANDHANBNK"," EQ"," 02-Mar-2022"," 306.30"," 300.60"," 304.55"," 286.40"," 292.40"," 292.50"," 295.16"," 7537231"," 22247.19"," 78282"," 1782694"," 23.65",96,107,28.14,03/02/2022,F
"BANDHANBNK"," EQ"," 28-Feb-2022"," 307.25"," 303.85"," 307.25"," 299.50"," 305.75"," 306.30"," 304.22"," 4838277"," 14718.77"," 49193"," 1419300"," 29.33",98,107,28.32,02/28/2022,F
"BANDHANBNK"," EQ"," 25-Feb-2022"," 291.15"," 300.00"," 309.65"," 295.05"," 306.30"," 307.25"," 305.00"," 6859866"," 20922.69"," 58889"," 2119937"," 30.90",116,107,28.36,02/25/2022,T
"BANDHANBNK"," EQ"," 24-Feb-2022"," 315.45"," 305.75"," 312.85"," 287.50"," 291.05"," 291.15"," 299.14"," 10805931"," 32324.98"," 125965"," 3231310"," 29.90",86,106,28.43,02/24/2022,F
"BANDHANBNK"," EQ"," 23-Feb-2022"," 307.60"," 309.00"," 317.75"," 308.35"," 315.15"," 315.45"," 314.75"," 5019186"," 15798.00"," 48681"," 1553430"," 30.95",103,107,28.42,02/23/2022,F
"BANDHANBNK"," EQ"," 22-Feb-2022"," 314.00"," 305.00"," 310.00"," 301.40"," 308.20"," 307.60"," 306.08"," 4949446"," 15149.18"," 48575"," 1456229"," 29.42",102,106,28.32,02/22/2022,F
"BANDHANBNK"," EQ"," 21-Feb-2022"," 319.35"," 319.00"," 321.30"," 312.30"," 313.25"," 314.00"," 316.99"," 4287790"," 13591.97"," 43179"," 1274629"," 29.73",99,106,28.19,02/21/2022,F
"BANDHANBNK"," EQ"," 18-Feb-2022"," 321.95"," 319.90"," 324.00"," 316.00"," 319.45"," 319.35"," 320.12"," 3968649"," 12704.54"," 48077"," 988847"," 24.92",83,106,28.58,02/18/2022,F
"BANDHANBNK"," EQ"," 17-Feb-2022"," 323.00"," 326.00"," 327.50"," 320.80"," 321.95"," 321.95"," 323.19"," 4535683"," 14658.76"," 55822"," 1622212"," 35.77",81,107,28.64,02/17/2022,F
"BANDHANBNK"," EQ"," 16-Feb-2022"," 326.35"," 329.80"," 331.75"," 321.05"," 321.40"," 323.00"," 326.15"," 7038807"," 22957.14"," 96020"," 1822264"," 25.89",73,107,28.54,02/16/2022,F
"BANDHANBNK"," EQ"," 15-Feb-2022"," 310.60"," 314.00"," 328.35"," 309.95"," 327.00"," 326.35"," 319.70"," 7750928"," 24779.51"," 70168"," 1949687"," 25.15",110,106,28.54,02/15/2022,F
"BANDHANBNK"," EQ"," 14-Feb-2022"," 317.85"," 310.00"," 315.80"," 306.35"," 310.00"," 310.60"," 311.68"," 6585364"," 20525.39"," 75342"," 2070174"," 31.44",87,106,28.64,02/14/2022,F
"BANDHANBNK"," EQ"," 11-Feb-2022"," 321.45"," 320.90"," 326.80"," 314.40"," 317.50"," 317.85"," 321.15"," 7932739"," 25476.20"," 72249"," 2764451"," 34.85",110,106,28.55,02/11/2022,T
"BANDHANBNK"," EQ"," 10-Feb-2022"," 321.20"," 322.70"," 324.00"," 317.25"," 321.65"," 321.45"," 321.80"," 4107513"," 13217.89"," 51835"," 1729056"," 42.09",79,106,28.44,02/10/2022,F
"BANDHANBNK"," EQ"," 09-Feb-2022"," 319.15"," 320.70"," 326.55"," 319.00"," 321.05"," 321.20"," 321.90"," 2541512"," 8181.09"," 26171"," 562382"," 22.13",97,106,28.29,02/09/2022,F
"BANDHANBNK"," EQ"," 08-Feb-2022"," 320.75"," 321.00"," 325.75"," 315.00"," 318.20"," 319.15"," 320.90"," 4676458"," 15006.55"," 45965"," 969271"," 20.73",102,107,28.25,02/08/2022,F
"BANDHANBNK"," EQ"," 07-Feb-2022"," 319.40"," 320.00"," 325.90"," 315.65"," 319.90"," 320.75"," 320.34"," 5473093"," 17532.46"," 52112"," 1738055"," 31.76",105,108,28.66,02/07/2022,F
"BANDHANBNK"," EQ"," 04-Feb-2022"," 324.25"," 326.40"," 329.00"," 318.40"," 318.95"," 319.40"," 323.03"," 5051213"," 16316.69"," 48773"," 1755416"," 34.75",104,108,28.64,02/04/2022,F
"BANDHANBNK"," EQ"," 03-Feb-2022"," 320.55"," 321.00"," 330.70"," 319.75"," 324.75"," 324.25"," 326.39"," 8925674"," 29132.80"," 87809"," 2427846"," 27.20",102,108,28.54,02/03/2022,F
"BANDHANBNK"," EQ"," 02-Feb-2022"," 319.25"," 320.80"," 324.00"," 316.70"," 320.50"," 320.55"," 320.50"," 4475986"," 14345.42"," 51164"," 1406385"," 31.42",87,107,28.55,02/02/2022,F
"BANDHANBNK"," EQ"," 01-Feb-2022"," 315.55"," 318.85"," 321.45"," 313.40"," 319.15"," 319.25"," 318.40"," 4905804"," 15619.89"," 44597"," 1155021"," 23.54",110,107,28.46,02/01/2022,F
"BANDHANBNK"," EQ"," 31-Jan-2022"," 316.95"," 318.00"," 321.80"," 314.35"," 315.75"," 315.55"," 317.43"," 4131810"," 13115.68"," 47530"," 1101092"," 26.65",87,108,28.41,01/31/2022,F
"BANDHANBNK"," EQ"," 28-Jan-2022"," 322.35"," 324.40"," 327.50"," 314.00"," 317.25"," 316.95"," 320.27"," 5985247"," 19168.71"," 56090"," 1467788"," 24.52",107,108,28.45,01/28/2022,F
"BANDHANBNK"," EQ"," 27-Jan-2022"," 324.15"," 319.90"," 327.00"," 317.50"," 321.20"," 322.35"," 322.90"," 11189926"," 36132.41"," 101447"," 3264184"," 29.17",110,108,28.52,01/27/2022,T
"BANDHANBNK"," EQ"," 25-Jan-2022"," 307.85"," 305.00"," 326.00"," 303.50"," 322.80"," 324.15"," 316.29"," 16869427"," 53356.83"," 159794"," 4510873"," 26.74",106,107,28.68,01/25/2022,F
"BANDHANBNK"," EQ"," 24-Jan-2022"," 295.50"," 299.90"," 311.00"," 295.50"," 306.50"," 307.85"," 304.13"," 33321083"," 101339.41"," 237584"," 10052784"," 30.17",140,107,28.91,01/24/2022,T
