symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"BANKBARODA"," EQ"," 23-Mar-2022"," 106.80"," 107.25"," 109.15"," 105.90"," 106.30"," 106.25"," 107.32"," 27104882"," 29089.70"," 59503"," 3690418"," 13.62",456,401,22.57,03/23/2022,F
"BANKBARODA"," EQ"," 22-Mar-2022"," 106.50"," 106.20"," 107.45"," 103.50"," 107.20"," 106.80"," 105.55"," 32477182"," 34278.70"," 68521"," 5154235"," 15.87",474,399,22.77,03/22/2022,F
"BANKBARODA"," EQ"," 21-Mar-2022"," 107.95"," 107.90"," 108.35"," 105.75"," 106.05"," 106.50"," 106.93"," 24879006"," 26603.43"," 56399"," 5576996"," 22.42",441,397,22.89,03/21/2022,F
"BANKBARODA"," EQ"," 17-Mar-2022"," 107.70"," 109.75"," 109.80"," 107.45"," 107.60"," 107.95"," 108.71"," 32425892"," 35249.88"," 81715"," 8552109"," 26.37",397,395,23.03,03/17/2022,T
"BANKBARODA"," EQ"," 16-Mar-2022"," 105.90"," 107.50"," 108.70"," 106.95"," 107.35"," 107.70"," 107.81"," 27985666"," 30170.32"," 89014"," 3772969"," 13.48",314,394,22.93,03/16/2022,F
"BANKBARODA"," EQ"," 15-Mar-2022"," 106.90"," 107.40"," 108.90"," 105.25"," 105.40"," 105.90"," 107.11"," 46827034"," 50157.38"," 115669"," 6040839"," 12.90",405,396,23.02,03/15/2022,F
"BANKBARODA"," EQ"," 14-Mar-2022"," 104.40"," 104.95"," 107.50"," 103.55"," 106.85"," 106.90"," 105.51"," 45750608"," 48270.32"," 107845"," 10231249"," 22.36",424,395,23.01,03/14/2022,F
"BANKBARODA"," EQ"," 11-Mar-2022"," 101.85"," 101.80"," 104.70"," 100.95"," 104.20"," 104.40"," 103.46"," 40767554"," 42179.39"," 106631"," 6742024"," 16.54",382,394,23.05,03/11/2022,F
"BANKBARODA"," EQ"," 10-Mar-2022"," 98.85"," 102.20"," 105.45"," 101.20"," 101.35"," 101.85"," 103.28"," 71291981"," 73629.73"," 158663"," 13089295"," 18.36",449,396,23.25,03/10/2022,F
"BANKBARODA"," EQ"," 09-Mar-2022"," 97.45"," 98.00"," 99.20"," 96.70"," 98.90"," 98.85"," 98.02"," 51266334"," 50250.10"," 131714"," 9791418"," 19.10",389,395,23.19,03/09/2022,F
"BANKBARODA"," EQ"," 08-Mar-2022"," 92.80"," 93.70"," 98.55"," 92.20"," 97.60"," 97.45"," 94.57"," 72203819"," 68286.09"," 171606"," 14601276"," 20.22",421,396,23.29,03/08/2022,F
"BANKBARODA"," EQ"," 04-Mar-2022"," 102.60"," 100.55"," 103.15"," 100.05"," 100.60"," 100.55"," 101.57"," 47496069"," 48242.44"," 115071"," 10955046"," 23.07",413,396,23.13,03/04/2022,F
"BANKBARODA"," EQ"," 03-Mar-2022"," 103.10"," 104.50"," 105.30"," 102.15"," 102.60"," 102.60"," 103.44"," 41511333"," 42940.26"," 127817"," 9922473"," 23.90",325,397,23.09,03/03/2022,F
"BANKBARODA"," EQ"," 02-Mar-2022"," 106.55"," 105.95"," 106.40"," 101.75"," 103.50"," 103.10"," 103.46"," 47475131"," 49119.62"," 125970"," 10431852"," 21.97",377,399,22.98,03/02/2022,F
"BANKBARODA"," EQ"," 28-Feb-2022"," 106.80"," 104.50"," 108.00"," 104.10"," 106.65"," 106.55"," 106.51"," 41283452"," 43969.00"," 95192"," 6172628"," 14.95",434,400,22.86,02/28/2022,F
"BANKBARODA"," EQ"," 25-Feb-2022"," 100.50"," 104.00"," 108.65"," 103.05"," 106.95"," 106.80"," 106.77"," 61465709"," 65627.58"," 167335"," 13066748"," 21.26",367,399,22.91,02/25/2022,F
