symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"BATAINDIA"," EQ"," 25-Mar-2022"," 1915.35"," 1928.00"," 1954.95"," 1915.35"," 1944.00"," 1934.70"," 1937.82"," 283993"," 5503.27"," 15538"," 76730"," 27.02",18,19,33.30,03/25/2022,F
"BATAINDIA"," EQ"," 24-Mar-2022"," 1925.70"," 1919.05"," 1933.35"," 1911.55"," 1916.55"," 1915.35"," 1921.42"," 153718"," 2953.56"," 11862"," 52939"," 34.44",13,19,33.32,03/24/2022,F
"BATAINDIA"," EQ"," 23-Mar-2022"," 1936.05"," 1953.70"," 1970.00"," 1908.55"," 1919.05"," 1925.70"," 1929.83"," 522866"," 10090.44"," 31016"," 220093"," 42.09",17,19,33.25,03/23/2022,F
"BATAINDIA"," EQ"," 22-Mar-2022"," 1956.35"," 1952.15"," 1975.75"," 1910.00"," 1936.50"," 1936.05"," 1942.61"," 452707"," 8794.32"," 27093"," 96863"," 21.40",17,19,33.37,03/22/2022,F
"BATAINDIA"," EQ"," 21-Mar-2022"," 1941.40"," 1943.20"," 1985.00"," 1927.00"," 1954.00"," 1956.35"," 1961.41"," 338189"," 6633.27"," 17777"," 92722"," 27.42",19,19,33.60,03/21/2022,F
"BATAINDIA"," EQ"," 17-Mar-2022"," 1911.50"," 1929.20"," 1972.05"," 1919.00"," 1942.00"," 1941.40"," 1949.98"," 574126"," 11195.32"," 29049"," 287558"," 50.09",20,19,34.26,03/17/2022,T
"BATAINDIA"," EQ"," 16-Mar-2022"," 1836.45"," 1860.00"," 1916.00"," 1836.50"," 1910.00"," 1911.50"," 1898.52"," 747417"," 14189.85"," 36204"," 260910"," 34.91",21,19,34.18,03/16/2022,T
"BATAINDIA"," EQ"," 15-Mar-2022"," 1844.30"," 1863.15"," 1866.85"," 1820.00"," 1838.00"," 1836.45"," 1847.82"," 224926"," 4156.22"," 14024"," 41503"," 18.45",16,20,34.72,03/15/2022,F
"BATAINDIA"," EQ"," 14-Mar-2022"," 1807.80"," 1807.80"," 1852.00"," 1777.00"," 1843.00"," 1844.30"," 1823.34"," 236219"," 4307.08"," 18085"," 58083"," 24.59",13,20,35.34,03/14/2022,F
"BATAINDIA"," EQ"," 11-Mar-2022"," 1808.95"," 1808.95"," 1830.00"," 1796.05"," 1804.65"," 1807.80"," 1816.25"," 435213"," 7904.54"," 20056"," 280556"," 64.46",22,20,35.65,03/11/2022,T
"BATAINDIA"," EQ"," 10-Mar-2022"," 1786.45"," 1792.70"," 1837.75"," 1792.70"," 1815.00"," 1808.95"," 1823.00"," 577711"," 10531.68"," 43966"," 275884"," 47.75",13,20,35.07,03/10/2022,F
"BATAINDIA"," EQ"," 09-Mar-2022"," 1724.70"," 1744.00"," 1794.95"," 1725.00"," 1778.10"," 1786.45"," 1762.57"," 157387"," 2774.05"," 10669"," 30865"," 19.61",15,20,35.02,03/09/2022,F
"BATAINDIA"," EQ"," 08-Mar-2022"," 1699.05"," 1690.25"," 1735.45"," 1690.25"," 1723.25"," 1724.70"," 1717.48"," 262654"," 4511.04"," 17851"," 65348"," 24.88",15,21,35.30,03/08/2022,F
"BATAINDIA"," EQ"," 04-Mar-2022"," 1776.55"," 1765.00"," 1769.85"," 1716.00"," 1724.60"," 1722.50"," 1738.95"," 308589"," 5366.20"," 21522"," 98328"," 31.86",14,21,35.66,03/04/2022,F
"BATAINDIA"," EQ"," 03-Mar-2022"," 1819.80"," 1842.00"," 1849.90"," 1771.70"," 1781.00"," 1776.55"," 1800.76"," 172829"," 3112.23"," 13751"," 42809"," 24.77",13,21,35.76,03/03/2022,F
"BATAINDIA"," EQ"," 02-Mar-2022"," 1813.50"," 1800.00"," 1843.30"," 1792.70"," 1815.30"," 1819.80"," 1825.82"," 371564"," 6784.08"," 19610"," 138324"," 37.23",19,21,35.79,03/02/2022,F
"BATAINDIA"," EQ"," 28-Feb-2022"," 1823.70"," 1805.10"," 1820.95"," 1767.15"," 1809.10"," 1813.50"," 1794.81"," 623785"," 11195.77"," 16651"," 368922"," 59.14",37,21,35.39,02/28/2022,T
"BATAINDIA"," EQ"," 25-Feb-2022"," 1776.60"," 1794.00"," 1844.00"," 1794.00"," 1819.90"," 1823.70"," 1824.68"," 294479"," 5373.29"," 12197"," 136915"," 46.49",24,20,35.09,02/25/2022,T
"BATAINDIA"," EQ"," 24-Feb-2022"," 1867.50"," 1821.00"," 1859.95"," 1762.55"," 1775.00"," 1776.60"," 1799.30"," 309020"," 5560.19"," 22443"," 71071"," 23.00",14,20,35.07,02/24/2022,F
"BATAINDIA"," EQ"," 23-Feb-2022"," 1883.50"," 1895.00"," 1906.50"," 1858.35"," 1861.00"," 1867.50"," 1883.71"," 457011"," 8608.76"," 15607"," 288265"," 63.08",29,20,34.93,02/23/2022,T
"BATAINDIA"," EQ"," 22-Feb-2022"," 1888.30"," 1822.00"," 1892.00"," 1822.00"," 1880.05"," 1883.50"," 1869.47"," 242531"," 4534.05"," 15257"," 47122"," 19.43",16,20,34.15,02/22/2022,F
"BATAINDIA"," EQ"," 21-Feb-2022"," 1920.50"," 1915.00"," 1920.50"," 1867.95"," 1885.70"," 1888.30"," 1893.04"," 324903"," 6150.54"," 12816"," 144794"," 44.57",25,20,34.64,02/21/2022,T
"BATAINDIA"," EQ"," 18-Feb-2022"," 1908.20"," 1900.00"," 1928.00"," 1885.15"," 1921.60"," 1920.50"," 1916.37"," 171287"," 3282.49"," 10299"," 38029"," 22.20",17,20,34.30,02/18/2022,F
"BATAINDIA"," EQ"," 17-Feb-2022"," 1916.70"," 1937.00"," 1939.90"," 1895.55"," 1905.00"," 1908.20"," 1915.36"," 258642"," 4953.92"," 16663"," 67775"," 26.20",16,20,34.49,02/17/2022,F
"BATAINDIA"," EQ"," 16-Feb-2022"," 1887.80"," 1898.00"," 1938.00"," 1885.20"," 1911.25"," 1916.70"," 1914.18"," 385815"," 7385.18"," 26543"," 94639"," 24.53",15,20,34.54,02/16/2022,F
"BATAINDIA"," EQ"," 15-Feb-2022"," 1809.35"," 1805.10"," 1893.35"," 1791.00"," 1882.00"," 1887.80"," 1838.03"," 551724"," 10140.87"," 30944"," 84774"," 15.37",18,20,34.45,02/15/2022,F
"BATAINDIA"," EQ"," 14-Feb-2022"," 1859.45"," 1810.00"," 1853.95"," 1797.80"," 1808.75"," 1809.35"," 1825.44"," 351907"," 6423.85"," 29018"," 113741"," 32.32",12,20,34.61,02/14/2022,F
"BATAINDIA"," EQ"," 11-Feb-2022"," 1900.80"," 1895.00"," 1895.00"," 1850.00"," 1854.00"," 1859.45"," 1867.10"," 297755"," 5559.40"," 20777"," 69929"," 23.49",14,20,34.67,02/11/2022,F
"BATAINDIA"," EQ"," 10-Feb-2022"," 1895.40"," 1910.55"," 1918.00"," 1892.05"," 1901.00"," 1900.80"," 1906.63"," 500272"," 9538.35"," 33449"," 124019"," 24.79",15,21,34.63,02/10/2022,F
"BATAINDIA"," EQ"," 09-Feb-2022"," 1885.45"," 1894.00"," 1924.95"," 1853.00"," 1901.00"," 1895.40"," 1884.37"," 1153593"," 21737.95"," 55781"," 241797"," 20.96",21,21,34.51,02/09/2022,F
"BATAINDIA"," EQ"," 08-Feb-2022"," 1921.90"," 1929.85"," 1941.65"," 1860.10"," 1878.95"," 1885.45"," 1900.06"," 334836"," 6362.09"," 22663"," 59347"," 17.72",15,21,34.50,02/08/2022,F
"BATAINDIA"," EQ"," 07-Feb-2022"," 1942.25"," 1931.00"," 1957.25"," 1893.00"," 1924.00"," 1921.90"," 1917.38"," 303211"," 5813.70"," 17904"," 69177"," 22.81",17,21,34.66,02/07/2022,F
"BATAINDIA"," EQ"," 04-Feb-2022"," 1995.65"," 1995.00"," 1995.65"," 1935.00"," 1937.35"," 1942.25"," 1958.24"," 475094"," 9303.46"," 22272"," 194094"," 40.85",21,21,34.49,02/04/2022,F
"BATAINDIA"," EQ"," 03-Feb-2022"," 2026.20"," 2029.90"," 2045.90"," 1980.05"," 1989.20"," 1995.65"," 2013.80"," 356130"," 7171.74"," 15597"," 119919"," 33.67",23,21,34.39,02/03/2022,F
"BATAINDIA"," EQ"," 02-Feb-2022"," 2024.65"," 2025.10"," 2053.30"," 2012.40"," 2026.30"," 2026.20"," 2030.81"," 216289"," 4392.42"," 12994"," 54923"," 25.39",17,21,34.26,02/02/2022,F
"BATAINDIA"," EQ"," 01-Feb-2022"," 2064.05"," 2075.35"," 2079.95"," 2003.75"," 2028.15"," 2024.65"," 2033.26"," 321288"," 6532.61"," 22677"," 53176"," 16.55",14,21,34.13,02/01/2022,F
"BATAINDIA"," EQ"," 31-Jan-2022"," 2072.75"," 2099.00"," 2122.00"," 2056.60"," 2065.00"," 2064.05"," 2088.19"," 672351"," 14039.95"," 34207"," 161662"," 24.04",20,21,34.12,01/31/2022,F
"BATAINDIA"," EQ"," 28-Jan-2022"," 1955.90"," 1975.80"," 2089.95"," 1970.00"," 2080.00"," 2072.75"," 2066.58"," 896304"," 18522.80"," 41516"," 273589"," 30.52",22,21,34.01,01/28/2022,F
"BATAINDIA"," EQ"," 27-Jan-2022"," 2029.80"," 2009.55"," 2009.55"," 1911.35"," 1955.00"," 1955.90"," 1946.67"," 525187"," 10223.68"," 38788"," 161801"," 30.81",14,21,33.78,01/27/2022,F
"BATAINDIA"," EQ"," 25-Jan-2022"," 1931.90"," 1919.00"," 2054.50"," 1872.15"," 2017.85"," 2029.80"," 1996.01"," 1139726"," 22749.02"," 47677"," 466254"," 40.91",24,21,33.41,01/25/2022,T
"BATAINDIA"," EQ"," 24-Jan-2022"," 2028.60"," 2015.50"," 2028.20"," 1909.05"," 1932.00"," 1931.90"," 1945.90"," 423414"," 8239.22"," 42864"," 146265"," 34.54",10,21,33.05,01/24/2022,F
"BATAINDIA"," EQ"," 21-Jan-2022"," 2052.55"," 2059.00"," 2078.95"," 2003.00"," 2030.00"," 2028.60"," 2052.79"," 1262475"," 25915.95"," 70036"," 338388"," 26.80",18,21,33.05,01/21/2022,F
"BATAINDIA"," EQ"," 20-Jan-2022"," 2030.90"," 2030.00"," 2067.95"," 2025.00"," 2065.00"," 2052.55"," 2039.03"," 487144"," 9933.03"," 22525"," 185165"," 38.01",22,21,33.29,01/20/2022,T
"BATAINDIA"," EQ"," 19-Jan-2022"," 1981.00"," 1980.00"," 2042.30"," 1963.65"," 2030.00"," 2030.90"," 2020.95"," 598112"," 12087.56"," 30594"," 183126"," 30.62",20,21,33.33,01/19/2022,F
"BATAINDIA"," EQ"," 18-Jan-2022"," 2041.50"," 2049.80"," 2056.35"," 1970.00"," 1975.65"," 1981.00"," 2008.23"," 422382"," 8482.40"," 24508"," 151787"," 35.94",17,21,33.32,01/18/2022,F
"BATAINDIA"," EQ"," 17-Jan-2022"," 2000.95"," 2010.00"," 2051.50"," 2007.15"," 2043.00"," 2041.50"," 2032.73"," 544536"," 11068.95"," 35484"," 95860"," 17.60",15,21,33.11,01/17/2022,F
"BATAINDIA"," EQ"," 14-Jan-2022"," 1980.25"," 1975.00"," 2015.00"," 1954.95"," 2000.00"," 2000.95"," 1999.34"," 385563"," 7708.72"," 20014"," 124105"," 32.19",19,21,33.31,01/14/2022,F
"BATAINDIA"," EQ"," 13-Jan-2022"," 1983.60"," 1982.85"," 1992.00"," 1960.05"," 1982.90"," 1980.25"," 1975.92"," 305542"," 6037.28"," 18582"," 101850"," 33.33",16,21,33.33,01/13/2022,F
"BATAINDIA"," EQ"," 12-Jan-2022"," 1921.40"," 1933.00"," 1987.65"," 1925.45"," 1978.65"," 1983.60"," 1963.24"," 811194"," 15925.72"," 34631"," 270800"," 33.38",23,22,33.41,01/12/2022,F
"BATAINDIA"," EQ"," 11-Jan-2022"," 1916.40"," 1920.00"," 1938.70"," 1907.45"," 1925.00"," 1921.40"," 1925.74"," 422485"," 8135.96"," 22969"," 134098"," 31.74",18,21,33.27,01/11/2022,F
"BATAINDIA"," EQ"," 10-Jan-2022"," 1869.50"," 1870.00"," 1927.00"," 1869.00"," 1919.80"," 1916.40"," 1910.35"," 557804"," 10655.98"," 37705"," 145392"," 26.07",15,21,33.11,01/10/2022,F
"BATAINDIA"," EQ"," 07-Jan-2022"," 1856.95"," 1862.90"," 1874.95"," 1835.45"," 1863.50"," 1869.50"," 1857.81"," 661422"," 12287.94"," 25377"," 299945"," 45.35",26,22,33.06,01/07/2022,T
"BATAINDIA"," EQ"," 06-Jan-2022"," 1813.80"," 1801.00"," 1863.55"," 1776.15"," 1858.90"," 1856.95"," 1820.30"," 785904"," 14305.84"," 40693"," 271862"," 34.59",19,21,32.64,01/06/2022,F
"BATAINDIA"," EQ"," 05-Jan-2022"," 1845.55"," 1845.55"," 1852.00"," 1810.00"," 1814.80"," 1813.80"," 1817.91"," 464891"," 8451.30"," 21486"," 253715"," 54.58",22,22,32.46,01/05/2022,F
"BATAINDIA"," EQ"," 04-Jan-2022"," 1859.10"," 1865.55"," 1874.00"," 1834.25"," 1846.00"," 1845.55"," 1854.82"," 225583"," 4184.16"," 11542"," 67670"," 30.00",20,21,32.10,01/04/2022,F
"BATAINDIA"," EQ"," 03-Jan-2022"," 1871.65"," 1871.65"," 1883.70"," 1852.20"," 1858.00"," 1859.10"," 1868.07"," 583390"," 10898.15"," 14652"," 281492"," 48.25",40,22,32.23,01/03/2022,T
"BATAINDIA"," EQ"," 31-Dec-2021"," 1817.10"," 1820.00"," 1892.85"," 1820.00"," 1871.00"," 1871.65"," 1864.11"," 723678"," 13490.18"," 30413"," 271449"," 37.51",24,21,31.87,12/31/2021,T
