symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"BEL"," EQ"," 25-Mar-2022"," 207.50"," 208.10"," 208.20"," 204.95"," 205.80"," 206.00"," 206.19"," 7471123"," 15404.47"," 91305"," 3839142"," 51.39",82,118,45.09,03/25/2022,F
"BEL"," EQ"," 24-Mar-2022"," 207.40"," 205.90"," 209.05"," 204.25"," 207.20"," 207.50"," 207.18"," 5203100"," 10779.83"," 54874"," 1816586"," 34.91",95,118,44.72,03/24/2022,F
"BEL"," EQ"," 23-Mar-2022"," 209.80"," 213.90"," 213.90"," 206.85"," 207.40"," 207.40"," 209.54"," 11093258"," 23245.11"," 70076"," 5199691"," 46.87",158,118,44.79,03/23/2022,T
"BEL"," EQ"," 22-Mar-2022"," 208.90"," 209.30"," 210.65"," 205.00"," 209.55"," 209.80"," 208.35"," 6544026"," 13634.15"," 57512"," 2538843"," 38.80",114,117,44.55,03/22/2022,F
"BEL"," EQ"," 21-Mar-2022"," 209.40"," 210.00"," 214.40"," 206.90"," 209.05"," 208.90"," 211.13"," 12804611"," 27034.40"," 72816"," 7393665"," 57.74",176,117,44.53,03/21/2022,T
"BEL"," EQ"," 17-Mar-2022"," 209.00"," 210.20"," 211.80"," 207.00"," 208.95"," 209.40"," 208.74"," 12089842"," 25236.06"," 107510"," 8156226"," 67.46",112,117,44.20,03/17/2022,F
"BEL"," EQ"," 16-Mar-2022"," 205.55"," 208.90"," 209.90"," 206.60"," 208.70"," 209.00"," 208.62"," 7885382"," 16450.85"," 105132"," 4129324"," 52.37",75,118,43.99,03/16/2022,F
"BEL"," EQ"," 15-Mar-2022"," 209.80"," 208.00"," 210.15"," 203.25"," 206.10"," 205.55"," 206.81"," 7776163"," 16081.52"," 114241"," 4091640"," 52.62",68,119,44.06,03/15/2022,F
"BEL"," EQ"," 14-Mar-2022"," 214.80"," 216.00"," 216.10"," 209.20"," 209.50"," 209.80"," 210.47"," 9497188"," 19988.73"," 58187"," 5571471"," 58.66",163,119,43.91,03/14/2022,T
"BEL"," EQ"," 11-Mar-2022"," 216.75"," 218.25"," 218.80"," 214.10"," 214.85"," 214.80"," 215.62"," 9782797"," 21094.04"," 64328"," 4266102"," 43.61",152,118,43.97,03/11/2022,F
