symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"BERGEPAINT"," EQ"," 25-Mar-2022"," 684.05"," 686.00"," 690.50"," 680.15"," 690.00"," 688.60"," 684.74"," 386216"," 2644.58"," 15045"," 108856"," 28.19",26,24,35.24,03/25/2022,F
"BERGEPAINT"," EQ"," 24-Mar-2022"," 683.00"," 675.85"," 689.90"," 671.00"," 683.50"," 684.05"," 684.75"," 614363"," 4206.82"," 20087"," 164442"," 26.77",31,24,35.15,03/24/2022,F
"BERGEPAINT"," EQ"," 23-Mar-2022"," 697.65"," 691.00"," 701.55"," 682.00"," 683.35"," 683.00"," 688.62"," 759093"," 5227.29"," 27927"," 205775"," 27.11",27,24,35.35,03/23/2022,F
"BERGEPAINT"," EQ"," 22-Mar-2022"," 693.55"," 689.65"," 699.95"," 678.05"," 699.35"," 697.65"," 689.20"," 478565"," 3298.25"," 18429"," 117651"," 24.58",26,24,35.19,03/22/2022,F
"BERGEPAINT"," EQ"," 21-Mar-2022"," 717.95"," 710.00"," 712.90"," 691.65"," 695.30"," 693.55"," 700.10"," 868950"," 6083.48"," 26773"," 388139"," 44.67",32,24,35.32,03/21/2022,T
"BERGEPAINT"," EQ"," 17-Mar-2022"," 705.80"," 711.50"," 723.45"," 708.55"," 721.00"," 717.95"," 717.61"," 1081481"," 7760.76"," 34010"," 575080"," 53.18",32,24,35.50,03/17/2022,T
"BERGEPAINT"," EQ"," 16-Mar-2022"," 695.45"," 702.20"," 706.95"," 696.00"," 701.25"," 705.80"," 702.77"," 678768"," 4770.21"," 21331"," 139999"," 20.63",32,24,35.31,03/16/2022,F
"BERGEPAINT"," EQ"," 15-Mar-2022"," 677.35"," 691.80"," 702.00"," 683.10"," 694.00"," 695.45"," 693.07"," 1904049"," 13196.44"," 58912"," 257850"," 13.54",32,24,35.50,03/15/2022,F
"BERGEPAINT"," EQ"," 14-Mar-2022"," 679.25"," 684.00"," 684.00"," 664.35"," 679.25"," 677.35"," 670.62"," 808565"," 5422.36"," 24881"," 402836"," 49.82",32,24,36.08,03/14/2022,T
"BERGEPAINT"," EQ"," 11-Mar-2022"," 677.15"," 675.00"," 686.20"," 670.00"," 680.00"," 679.25"," 677.72"," 477733"," 3237.69"," 20758"," 141295"," 29.58",23,23,35.85,03/11/2022,F
"BERGEPAINT"," EQ"," 10-Mar-2022"," 657.90"," 682.55"," 707.00"," 665.00"," 676.00"," 677.15"," 680.68"," 2082024"," 14171.86"," 56282"," 677620"," 32.55",37,24,35.66,03/10/2022,F
"BERGEPAINT"," EQ"," 09-Mar-2022"," 639.55"," 645.00"," 661.80"," 631.30"," 659.70"," 657.90"," 648.05"," 1100721"," 7133.24"," 29645"," 507337"," 46.09",37,24,36.09,03/09/2022,T
