symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"BHARATFORG"," EQ"," 25-Mar-2022"," 694.25"," 699.00"," 700.85"," 683.35"," 688.50"," 690.30"," 692.19"," 1200801"," 8311.83"," 24800"," 380303"," 31.67",48,35,38.82,03/25/2022,F
"BHARATFORG"," EQ"," 24-Mar-2022"," 680.85"," 675.60"," 698.85"," 675.60"," 694.05"," 694.25"," 686.93"," 1613089"," 11080.82"," 37513"," 581081"," 36.02",43,35,38.88,03/24/2022,F
"BHARATFORG"," EQ"," 23-Mar-2022"," 689.50"," 696.75"," 698.80"," 677.30"," 681.10"," 680.85"," 683.93"," 1081529"," 7396.91"," 32352"," 357254"," 33.03",33,35,39.04,03/23/2022,F
"BHARATFORG"," EQ"," 22-Mar-2022"," 669.05"," 674.40"," 693.85"," 668.00"," 690.55"," 689.50"," 683.14"," 1249429"," 8535.41"," 29339"," 371694"," 29.75",43,35,38.98,03/22/2022,F
"BHARATFORG"," EQ"," 21-Mar-2022"," 681.90"," 684.00"," 686.70"," 666.00"," 669.80"," 669.05"," 674.01"," 690631"," 4654.93"," 18206"," 233552"," 33.82",38,35,39.30,03/21/2022,F
"BHARATFORG"," EQ"," 17-Mar-2022"," 674.95"," 690.00"," 693.50"," 676.00"," 680.00"," 681.90"," 684.48"," 1125022"," 7700.51"," 32788"," 472330"," 41.98",34,35,39.78,03/17/2022,F
"BHARATFORG"," EQ"," 16-Mar-2022"," 653.00"," 662.00"," 676.90"," 657.15"," 676.30"," 674.95"," 671.04"," 1094758"," 7346.29"," 36457"," 460782"," 42.09",30,35,39.43,03/16/2022,F
"BHARATFORG"," EQ"," 15-Mar-2022"," 649.45"," 651.85"," 668.80"," 645.35"," 652.95"," 653.00"," 658.55"," 2128873"," 14019.65"," 55426"," 762251"," 35.81",38,35,39.42,03/15/2022,F
"BHARATFORG"," EQ"," 14-Mar-2022"," 632.35"," 634.75"," 652.55"," 625.05"," 648.65"," 649.45"," 641.02"," 2124004"," 13615.29"," 52238"," 884647"," 41.65",41,34,39.40,03/14/2022,T
"BHARATFORG"," EQ"," 11-Mar-2022"," 637.95"," 637.95"," 640.90"," 629.15"," 632.20"," 632.35"," 634.06"," 1394422"," 8841.53"," 35821"," 738479"," 52.96",39,34,39.56,03/11/2022,T
"BHARATFORG"," EQ"," 10-Mar-2022"," 628.95"," 648.00"," 654.70"," 632.95"," 635.00"," 637.95"," 643.19"," 2912874"," 18735.22"," 60866"," 1427206"," 49.00",48,34,39.05,03/10/2022,T
"BHARATFORG"," EQ"," 09-Mar-2022"," 615.25"," 620.00"," 631.60"," 611.05"," 631.45"," 628.95"," 624.10"," 2503180"," 15622.32"," 133393"," 1613464"," 64.46",19,34,38.61,03/09/2022,F
"BHARATFORG"," EQ"," 08-Mar-2022"," 612.65"," 613.00"," 618.20"," 595.00"," 615.60"," 615.25"," 606.32"," 2905793"," 17618.27"," 76433"," 1603371"," 55.18",38,34,38.19,03/08/2022,T
"BHARATFORG"," EQ"," 04-Mar-2022"," 644.10"," 633.50"," 644.45"," 623.50"," 630.95"," 632.90"," 635.63"," 2726367"," 17329.47"," 144268"," 1306422"," 47.92",19,34,37.83,03/04/2022,F
"BHARATFORG"," EQ"," 03-Mar-2022"," 662.85"," 665.20"," 671.40"," 641.10"," 644.50"," 644.10"," 651.95"," 2398493"," 15636.87"," 99511"," 1248850"," 52.07",24,35,37.76,03/03/2022,F
"BHARATFORG"," EQ"," 02-Mar-2022"," 678.65"," 667.00"," 670.00"," 655.00"," 661.65"," 662.85"," 661.53"," 3323853"," 21988.30"," 73955"," 2081037"," 62.61",45,35,37.66,03/02/2022,T
"BHARATFORG"," EQ"," 28-Feb-2022"," 671.80"," 667.00"," 682.00"," 652.55"," 680.00"," 678.65"," 669.15"," 1962564"," 13132.45"," 49804"," 935173"," 47.65",39,35,37.41,02/28/2022,T
"BHARATFORG"," EQ"," 25-Feb-2022"," 667.60"," 686.90"," 694.20"," 667.65"," 670.50"," 671.80"," 677.18"," 1946167"," 13179.05"," 50397"," 768736"," 39.50",39,35,37.36,02/25/2022,T
