symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"BHARTIARTL"," EQ"," 25-Mar-2022"," 706.35"," 712.30"," 714.45"," 705.85"," 711.25"," 709.35"," 709.95"," 2930336"," 20803.98"," 75077"," 1240433"," 42.33",39,51,51.49,03/25/2022,F
"BHARTIARTL"," EQ"," 24-Mar-2022"," 704.95"," 698.00"," 708.85"," 697.85"," 705.80"," 706.35"," 704.70"," 3597143"," 25349.07"," 92634"," 2100059"," 58.38",39,51,51.44,03/24/2022,F
"BHARTIARTL"," EQ"," 23-Mar-2022"," 719.25"," 719.25"," 719.85"," 703.00"," 705.80"," 704.95"," 706.42"," 7974713"," 56335.01"," 128384"," 4976805"," 62.41",62,51,51.31,03/23/2022,T
"BHARTIARTL"," EQ"," 22-Mar-2022"," 708.20"," 708.50"," 721.00"," 705.85"," 717.50"," 719.25"," 714.25"," 3000133"," 21428.50"," 72315"," 1415443"," 47.18",41,51,51.16,03/22/2022,F
"BHARTIARTL"," EQ"," 21-Mar-2022"," 722.90"," 722.00"," 724.35"," 706.80"," 707.50"," 708.20"," 714.53"," 6317305"," 45139.23"," 134043"," 4365535"," 69.10",47,52,51.33,03/21/2022,F
"BHARTIARTL"," EQ"," 17-Mar-2022"," 712.00"," 720.00"," 727.95"," 715.00"," 723.85"," 722.90"," 723.45"," 8168953"," 59098.15"," 118266"," 5030378"," 61.58",69,52,51.32,03/17/2022,T
"BHARTIARTL"," EQ"," 16-Mar-2022"," 703.10"," 710.00"," 715.50"," 705.00"," 713.20"," 712.00"," 709.69"," 3843706"," 27278.48"," 58888"," 2144936"," 55.80",65,52,51.46,03/16/2022,T
"BHARTIARTL"," EQ"," 15-Mar-2022"," 700.40"," 699.00"," 709.50"," 695.50"," 701.00"," 703.10"," 703.60"," 6006439"," 42261.17"," 108680"," 3559067"," 59.25",55,53,51.50,03/15/2022,T
"BHARTIARTL"," EQ"," 14-Mar-2022"," 694.85"," 688.15"," 704.85"," 688.15"," 699.40"," 700.40"," 699.75"," 4016137"," 28103.04"," 82492"," 1838985"," 45.79",49,53,51.58,03/14/2022,F
"BHARTIARTL"," EQ"," 11-Mar-2022"," 697.75"," 696.70"," 702.40"," 691.50"," 694.40"," 694.85"," 696.36"," 3353880"," 23355.02"," 109928"," 1373120"," 40.94",31,53,51.85,03/11/2022,F
"BHARTIARTL"," EQ"," 10-Mar-2022"," 691.50"," 699.95"," 707.50"," 690.60"," 697.00"," 697.75"," 700.04"," 5989327"," 41927.89"," 141335"," 3034285"," 50.66",42,54,51.94,03/10/2022,F
"BHARTIARTL"," EQ"," 09-Mar-2022"," 683.00"," 682.00"," 698.00"," 674.30"," 691.35"," 691.50"," 690.95"," 9896395"," 68379.53"," 172243"," 6449606"," 65.17",57,54,52.06,03/09/2022,T
"BHARTIARTL"," EQ"," 08-Mar-2022"," 675.40"," 675.00"," 686.85"," 667.60"," 681.50"," 683.00"," 679.19"," 8462985"," 57479.56"," 172611"," 4638145"," 54.81",49,54,51.76,03/08/2022,F
"BHARTIARTL"," EQ"," 04-Mar-2022"," 672.05"," 665.00"," 667.95"," 650.00"," 654.75"," 653.70"," 657.18"," 7094874"," 46626.10"," 141743"," 3920731"," 55.26",50,54,51.74,03/04/2022,F
"BHARTIARTL"," EQ"," 03-Mar-2022"," 674.25"," 675.00"," 679.80"," 668.60"," 672.20"," 672.05"," 672.86"," 6517030"," 43850.24"," 170940"," 3873192"," 59.43",38,55,51.59,03/03/2022,F
"BHARTIARTL"," EQ"," 02-Mar-2022"," 686.50"," 684.00"," 684.00"," 666.00"," 675.00"," 674.25"," 672.92"," 10220908"," 68778.19"," 224046"," 6319929"," 61.83",46,55,51.39,03/02/2022,F
"BHARTIARTL"," EQ"," 28-Feb-2022"," 688.65"," 681.00"," 690.00"," 666.45"," 686.00"," 686.50"," 681.09"," 8301523"," 56540.65"," 193009"," 4327754"," 52.13",43,55,51.33,02/28/2022,F
"BHARTIARTL"," EQ"," 25-Feb-2022"," 670.90"," 677.50"," 695.15"," 677.50"," 689.00"," 688.65"," 689.84"," 6452099"," 44509.02"," 121428"," 3187317"," 49.40",53,55,51.38,02/25/2022,F
"BHARTIARTL"," EQ"," 24-Feb-2022"," 704.40"," 682.00"," 688.55"," 645.45"," 670.00"," 670.90"," 675.30"," 14139461"," 95483.17"," 257679"," 7314769"," 51.73",55,55,51.38,02/24/2022,F
"BHARTIARTL"," EQ"," 23-Feb-2022"," 699.25"," 700.10"," 708.95"," 699.50"," 701.20"," 704.40"," 704.91"," 4124469"," 29073.63"," 99194"," 2354887"," 57.10",42,56,51.07,02/23/2022,F
"BHARTIARTL"," EQ"," 22-Feb-2022"," 709.95"," 694.20"," 702.50"," 687.50"," 696.10"," 699.25"," 693.88"," 9148804"," 63482.05"," 162755"," 5648218"," 61.74",56,56,50.79,02/22/2022,F
