symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"BHEL"," EQ"," 25-Mar-2022"," 51.35"," 51.50"," 52.40"," 51.25"," 51.75"," 51.65"," 51.75"," 24798590"," 12833.69"," 35544"," 4615349"," 18.61",698,548,21.13,03/25/2022,F
"BHEL"," EQ"," 24-Mar-2022"," 51.25"," 51.05"," 52.00"," 50.90"," 51.20"," 51.35"," 51.41"," 17503276"," 8997.57"," 28811"," 3227850"," 18.44",608,544,21.16,03/24/2022,F
"BHEL"," EQ"," 23-Mar-2022"," 51.00"," 51.40"," 53.10"," 51.10"," 51.10"," 51.25"," 51.94"," 37287036"," 19365.51"," 62695"," 7834339"," 21.01",595,543,21.31,03/23/2022,F
"BHEL"," EQ"," 22-Mar-2022"," 50.70"," 50.75"," 51.15"," 50.10"," 50.85"," 51.00"," 50.66"," 18084732"," 9160.98"," 28261"," 3480360"," 19.24",640,542,21.36,03/22/2022,F
"BHEL"," EQ"," 21-Mar-2022"," 51.40"," 51.65"," 51.70"," 50.60"," 50.65"," 50.70"," 51.12"," 14160082"," 7238.11"," 27154"," 3406002"," 24.05",521,540,21.31,03/21/2022,F
"BHEL"," EQ"," 17-Mar-2022"," 51.20"," 51.85"," 51.95"," 51.20"," 51.55"," 51.40"," 51.54"," 16130728"," 8313.74"," 29517"," 4874568"," 30.22",546,537,21.28,03/17/2022,T
"BHEL"," EQ"," 16-Mar-2022"," 50.20"," 50.65"," 51.40"," 50.55"," 51.10"," 51.20"," 51.02"," 16457526"," 8396.66"," 31326"," 3531547"," 21.46",525,538,21.03,03/16/2022,F
"BHEL"," EQ"," 15-Mar-2022"," 51.05"," 51.45"," 51.75"," 49.70"," 50.00"," 50.20"," 50.79"," 21490509"," 10915.67"," 38400"," 3679548"," 17.12",560,538,20.89,03/15/2022,F
"BHEL"," EQ"," 14-Mar-2022"," 51.90"," 51.85"," 52.35"," 50.55"," 50.95"," 51.05"," 51.12"," 20912014"," 10689.23"," 35913"," 3883427"," 18.57",582,539,20.84,03/14/2022,F
"BHEL"," EQ"," 11-Mar-2022"," 51.05"," 51.05"," 52.15"," 50.85"," 51.85"," 51.90"," 51.70"," 23386870"," 12091.47"," 34368"," 4867763"," 20.81",680,537,20.86,03/11/2022,F
"BHEL"," EQ"," 10-Mar-2022"," 50.65"," 51.40"," 52.30"," 50.70"," 51.00"," 51.05"," 51.55"," 28489527"," 14685.37"," 46404"," 4320648"," 15.17",614,536,20.75,03/10/2022,F
"BHEL"," EQ"," 09-Mar-2022"," 50.10"," 50.45"," 51.00"," 49.85"," 50.65"," 50.65"," 50.49"," 25304136"," 12777.12"," 42485"," 3910056"," 15.45",596,536,20.80,03/09/2022,F
"BHEL"," EQ"," 08-Mar-2022"," 48.75"," 48.75"," 50.50"," 48.50"," 50.10"," 50.10"," 49.44"," 26663604"," 13182.56"," 48234"," 3443984"," 12.92",553,535,20.92,03/08/2022,F
"BHEL"," EQ"," 04-Mar-2022"," 50.45"," 49.95"," 50.60"," 49.00"," 49.25"," 49.20"," 49.73"," 25945200"," 12902.81"," 45666"," 3952688"," 15.23",568,535,20.82,03/04/2022,F
"BHEL"," EQ"," 03-Mar-2022"," 50.40"," 51.10"," 51.60"," 50.15"," 50.45"," 50.45"," 50.76"," 25803995"," 13099.03"," 44866"," 3734422"," 14.47",575,534,20.83,03/03/2022,F
"BHEL"," EQ"," 02-Mar-2022"," 49.85"," 49.70"," 51.00"," 49.05"," 50.55"," 50.40"," 50.31"," 33734292"," 16971.62"," 58769"," 4766709"," 14.13",574,534,20.88,03/02/2022,F
"BHEL"," EQ"," 28-Feb-2022"," 48.15"," 48.00"," 50.15"," 47.00"," 49.95"," 49.85"," 48.94"," 41519924"," 20321.24"," 70673"," 7168543"," 17.27",587,536,20.83,02/28/2022,F
"BHEL"," EQ"," 25-Feb-2022"," 44.35"," 47.60"," 49.45"," 46.10"," 48.10"," 48.15"," 48.00"," 61882199"," 29705.46"," 92232"," 10667310"," 17.24",671,534,20.82,02/25/2022,F
"BHEL"," EQ"," 24-Feb-2022"," 49.65"," 47.95"," 48.25"," 44.00"," 44.40"," 44.35"," 46.19"," 48563259"," 22430.19"," 104218"," 12516961"," 25.77",466,531,20.89,02/24/2022,F
"BHEL"," EQ"," 23-Feb-2022"," 49.45"," 49.75"," 50.90"," 49.55"," 49.65"," 49.65"," 50.14"," 31779044"," 15935.35"," 54672"," 7246643"," 22.80",581,533,20.70,02/23/2022,T
