symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"BIOCON"," EQ"," 25-Mar-2022"," 342.30"," 343.55"," 350.90"," 342.00"," 348.55"," 348.90"," 347.65"," 4089702"," 14217.86"," 33636"," 2209539"," 54.03",122,77,32.36,03/25/2022,T
"BIOCON"," EQ"," 24-Mar-2022"," 337.20"," 337.00"," 343.25"," 335.20"," 342.00"," 342.30"," 340.87"," 1779377"," 6065.29"," 21658"," 709306"," 39.86",82,76,31.70,03/24/2022,T
"BIOCON"," EQ"," 23-Mar-2022"," 334.70"," 336.00"," 341.90"," 335.70"," 337.00"," 337.20"," 338.78"," 2868421"," 9717.75"," 30774"," 1394946"," 48.63",93,76,31.34,03/23/2022,T
"BIOCON"," EQ"," 22-Mar-2022"," 329.80"," 331.00"," 335.65"," 328.70"," 334.40"," 334.70"," 332.55"," 1558965"," 5184.36"," 20768"," 528709"," 33.91",75,76,31.11,03/22/2022,F
"BIOCON"," EQ"," 21-Mar-2022"," 331.45"," 332.00"," 335.60"," 328.80"," 329.00"," 329.80"," 332.30"," 1872846"," 6223.46"," 19572"," 749215"," 40.00",96,76,31.00,03/21/2022,T
"BIOCON"," EQ"," 17-Mar-2022"," 329.20"," 332.00"," 332.70"," 330.00"," 330.90"," 331.45"," 331.60"," 3561872"," 11811.01"," 31465"," 2214520"," 62.17",113,76,30.80,03/17/2022,T
"BIOCON"," EQ"," 16-Mar-2022"," 327.45"," 330.60"," 330.85"," 327.50"," 328.85"," 329.20"," 328.92"," 1461561"," 4807.31"," 19203"," 636045"," 43.52",76,75,30.16,03/16/2022,T
"BIOCON"," EQ"," 15-Mar-2022"," 328.70"," 331.25"," 336.95"," 325.70"," 327.65"," 327.45"," 331.40"," 4762960"," 15784.28"," 56718"," 1359340"," 28.54",84,75,29.79,03/15/2022,F
"BIOCON"," EQ"," 14-Mar-2022"," 331.95"," 331.95"," 334.30"," 324.65"," 328.05"," 328.70"," 328.02"," 2757846"," 9046.42"," 29936"," 1200336"," 43.52",92,74,29.59,03/14/2022,T
"BIOCON"," EQ"," 11-Mar-2022"," 333.20"," 333.00"," 335.25"," 328.00"," 331.10"," 331.95"," 331.96"," 4955659"," 16451.00"," 52755"," 2186791"," 44.13",94,74,29.36,03/11/2022,T
"BIOCON"," EQ"," 10-Mar-2022"," 337.80"," 344.00"," 344.00"," 331.50"," 332.00"," 333.20"," 334.76"," 5133631"," 17185.46"," 66114"," 2268492"," 44.19",78,74,28.90,03/10/2022,T
"BIOCON"," EQ"," 09-Mar-2022"," 334.45"," 337.85"," 339.20"," 332.65"," 336.90"," 337.80"," 336.97"," 3009188"," 10140.00"," 30661"," 1540570"," 51.20",98,74,28.47,03/09/2022,T
"BIOCON"," EQ"," 08-Mar-2022"," 330.00"," 330.00"," 338.50"," 325.00"," 334.00"," 334.45"," 335.23"," 6020844"," 20183.53"," 62946"," 3341810"," 55.50",96,74,28.05,03/08/2022,T
"BIOCON"," EQ"," 04-Mar-2022"," 340.05"," 340.00"," 340.95"," 327.00"," 327.50"," 328.20"," 331.64"," 4510173"," 14957.64"," 60775"," 1217121"," 26.99",74,73,27.82,03/04/2022,F
"BIOCON"," EQ"," 03-Mar-2022"," 344.85"," 350.45"," 351.50"," 337.60"," 340.50"," 340.05"," 343.38"," 5683175"," 19514.60"," 58469"," 1696124"," 29.84",97,73,27.67,03/03/2022,T
"BIOCON"," EQ"," 02-Mar-2022"," 348.85"," 350.00"," 353.45"," 343.05"," 344.60"," 344.85"," 347.20"," 13122596"," 45562.07"," 113270"," 5254620"," 40.04",116,72,27.44,03/02/2022,T
"BIOCON"," EQ"," 28-Feb-2022"," 394.55"," 394.90"," 394.90"," 347.00"," 349.60"," 348.85"," 360.37"," 15809887"," 56973.37"," 163268"," 4230501"," 26.76",97,72,27.79,02/28/2022,F
"BIOCON"," EQ"," 25-Feb-2022"," 374.15"," 379.70"," 395.80"," 378.40"," 393.90"," 394.55"," 391.71"," 1945989"," 7622.67"," 37643"," 396383"," 20.37",52,71,27.56,02/25/2022,F
"BIOCON"," EQ"," 24-Feb-2022"," 395.45"," 389.00"," 394.85"," 372.90"," 374.80"," 374.15"," 383.24"," 2949622"," 11304.03"," 56803"," 914189"," 30.99",52,71,27.59,02/24/2022,F
"BIOCON"," EQ"," 23-Feb-2022"," 384.30"," 384.10"," 397.15"," 383.45"," 394.55"," 395.45"," 392.37"," 2297257"," 9013.83"," 45242"," 747210"," 32.53",51,71,27.68,02/23/2022,F
"BIOCON"," EQ"," 22-Feb-2022"," 387.50"," 380.95"," 385.50"," 377.25"," 382.45"," 384.30"," 382.10"," 1727260"," 6599.93"," 22027"," 385670"," 22.33",78,71,27.71,02/22/2022,F
"BIOCON"," EQ"," 21-Feb-2022"," 392.70"," 390.40"," 392.20"," 385.00"," 385.15"," 387.50"," 388.75"," 1125934"," 4377.02"," 15098"," 272890"," 24.24",75,71,27.85,02/21/2022,F
"BIOCON"," EQ"," 18-Feb-2022"," 395.70"," 394.95"," 397.20"," 387.65"," 391.75"," 392.70"," 392.38"," 1428851"," 5606.55"," 23929"," 254063"," 17.78",60,71,28.18,02/18/2022,F
"BIOCON"," EQ"," 17-Feb-2022"," 401.85"," 403.00"," 405.75"," 393.30"," 395.85"," 395.70"," 398.79"," 1131202"," 4511.10"," 13817"," 198802"," 17.57",82,71,28.35,02/17/2022,F
"BIOCON"," EQ"," 16-Feb-2022"," 403.90"," 404.00"," 406.85"," 400.25"," 401.00"," 401.85"," 403.61"," 1075794"," 4341.98"," 18899"," 308268"," 28.65",57,70,28.70,02/16/2022,F
"BIOCON"," EQ"," 15-Feb-2022"," 393.55"," 393.55"," 404.85"," 392.60"," 403.00"," 403.90"," 399.48"," 1702145"," 6799.73"," 30049"," 527684"," 31.00",57,71,28.96,02/15/2022,F
"BIOCON"," EQ"," 14-Feb-2022"," 402.90"," 395.00"," 402.75"," 392.00"," 392.80"," 393.55"," 397.49"," 1638123"," 6511.46"," 26322"," 530977"," 32.41",62,72,29.52,02/14/2022,F
"BIOCON"," EQ"," 11-Feb-2022"," 403.70"," 400.00"," 404.60"," 394.70"," 403.95"," 402.90"," 400.05"," 2008633"," 8035.44"," 45035"," 566299"," 28.19",45,72,29.47,02/11/2022,F
"BIOCON"," EQ"," 10-Feb-2022"," 407.25"," 406.10"," 408.00"," 401.25"," 402.95"," 403.70"," 404.34"," 1556043"," 6291.64"," 32679"," 688374"," 44.24",48,73,29.64,02/10/2022,F
"BIOCON"," EQ"," 09-Feb-2022"," 404.60"," 404.60"," 409.20"," 401.50"," 406.10"," 407.25"," 406.78"," 2428075"," 9877.01"," 34272"," 783267"," 32.26",71,73,29.36,02/09/2022,F
"BIOCON"," EQ"," 08-Feb-2022"," 399.30"," 403.90"," 410.70"," 399.70"," 403.15"," 404.60"," 406.65"," 7761396"," 31561.91"," 105556"," 1989944"," 25.64",74,73,29.24,02/08/2022,F
