symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"BOSCHLTD"," EQ"," 25-Mar-2022"," 14153.80"," 14200.10"," 14302.95"," 14010.00"," 14055.00"," 14052.85"," 14134.39"," 17789"," 2514.37"," 4862"," 7215"," 40.56",4,4,33.87,03/25/2022,F
"BOSCHLTD"," EQ"," 24-Mar-2022"," 14188.85"," 14138.00"," 14229.90"," 14000.00"," 14160.15"," 14153.80"," 14160.12"," 16425"," 2325.80"," 4327"," 6019"," 36.65",4,4,33.77,03/24/2022,F
"BOSCHLTD"," EQ"," 23-Mar-2022"," 14306.75"," 14400.00"," 14437.05"," 14138.10"," 14166.90"," 14188.85"," 14267.82"," 21070"," 3006.23"," 5653"," 7910"," 37.54",4,4,33.59,03/23/2022,F
"BOSCHLTD"," EQ"," 22-Mar-2022"," 14249.00"," 14299.00"," 14400.00"," 13957.55"," 14261.00"," 14306.75"," 14145.92"," 34108"," 4824.89"," 9618"," 10900"," 31.96",4,4,33.35,03/22/2022,F
"BOSCHLTD"," EQ"," 21-Mar-2022"," 14585.75"," 14620.00"," 14643.90"," 14200.00"," 14250.00"," 14249.00"," 14419.16"," 31935"," 4604.76"," 8585"," 13669"," 42.80",4,4,33.17,03/21/2022,F
"BOSCHLTD"," EQ"," 17-Mar-2022"," 14081.60"," 14257.90"," 14698.00"," 14220.85"," 14544.90"," 14585.75"," 14521.97"," 95719"," 13900.29"," 21963"," 36446"," 38.08",4,4,32.99,03/17/2022,F
"BOSCHLTD"," EQ"," 16-Mar-2022"," 13921.45"," 14100.00"," 14233.90"," 14006.00"," 14055.00"," 14081.60"," 14105.33"," 104762"," 14777.02"," 20583"," 72022"," 68.75",5,4,33.01,03/16/2022,T
"BOSCHLTD"," EQ"," 15-Mar-2022"," 14022.95"," 14058.00"," 14284.95"," 13865.85"," 13882.50"," 13921.45"," 14068.12"," 68263"," 9603.32"," 18365"," 33135"," 48.54",4,4,32.49,03/15/2022,F
"BOSCHLTD"," EQ"," 14-Mar-2022"," 14213.90"," 14225.00"," 14276.75"," 13890.00"," 14030.15"," 14022.95"," 14007.09"," 68198"," 9552.56"," 15592"," 37280"," 54.66",4,4,31.94,03/14/2022,F
"BOSCHLTD"," EQ"," 11-Mar-2022"," 14307.65"," 14324.00"," 14324.00"," 14152.15"," 14210.00"," 14213.90"," 14225.27"," 28496"," 4053.63"," 9088"," 12463"," 43.74",3,4,31.39,03/11/2022,F
"BOSCHLTD"," EQ"," 10-Mar-2022"," 14224.20"," 14550.00"," 14641.65"," 14233.05"," 14324.00"," 14307.65"," 14454.42"," 49214"," 7113.60"," 14292"," 20684"," 42.03",3,4,31.09,03/10/2022,F
"BOSCHLTD"," EQ"," 09-Mar-2022"," 14673.50"," 14700.00"," 14720.10"," 14064.00"," 14225.50"," 14224.20"," 14270.19"," 102323"," 14601.68"," 25381"," 56385"," 55.10",4,4,30.74,03/09/2022,F
"BOSCHLTD"," EQ"," 08-Mar-2022"," 14165.95"," 14165.95"," 14757.35"," 14032.65"," 14594.00"," 14673.50"," 14361.46"," 23021"," 3306.15"," 8000"," 6343"," 27.55",3,4,30.21,03/08/2022,F
"BOSCHLTD"," EQ"," 04-Mar-2022"," 15170.00"," 15175.00"," 15189.70"," 14700.00"," 14709.90"," 14731.45"," 14859.84"," 24004"," 3566.96"," 8747"," 8987"," 37.44",3,4,29.81,03/04/2022,F
"BOSCHLTD"," EQ"," 03-Mar-2022"," 15518.75"," 15642.90"," 15669.90"," 15100.00"," 15175.00"," 15170.00"," 15369.01"," 17555"," 2698.03"," 4807"," 4637"," 26.41",4,4,29.52,03/03/2022,F
"BOSCHLTD"," EQ"," 02-Mar-2022"," 15748.80"," 15492.10"," 15740.95"," 15420.00"," 15478.65"," 15518.75"," 15593.57"," 13753"," 2144.58"," 4535"," 4569"," 33.22",3,4,29.68,03/02/2022,F
"BOSCHLTD"," EQ"," 28-Feb-2022"," 15593.30"," 15250.00"," 15800.00"," 15170.45"," 15662.00"," 15748.80"," 15559.39"," 23677"," 3684.00"," 5776"," 8581"," 36.24",4,4,29.37,02/28/2022,F
"BOSCHLTD"," EQ"," 25-Feb-2022"," 15016.65"," 15317.00"," 15666.00"," 15223.80"," 15602.00"," 15593.30"," 15506.38"," 21886"," 3393.73"," 6247"," 4403"," 20.12",4,4,29.31,02/25/2022,F
"BOSCHLTD"," EQ"," 24-Feb-2022"," 15951.40"," 15500.00"," 15665.60"," 14975.00"," 15044.00"," 15016.65"," 15297.09"," 50909"," 7787.60"," 12231"," 23367"," 45.90",4,4,29.44,02/24/2022,F
"BOSCHLTD"," EQ"," 23-Feb-2022"," 15970.15"," 15970.00"," 16213.10"," 15840.00"," 15949.00"," 15951.40"," 16070.61"," 20424"," 3282.26"," 6378"," 5691"," 27.86",3,4,29.08,02/23/2022,F
"BOSCHLTD"," EQ"," 22-Feb-2022"," 15787.00"," 15580.00"," 16076.95"," 15399.00"," 15937.80"," 15970.15"," 15809.04"," 37505"," 5929.18"," 12049"," 10644"," 28.38",3,4,29.12,02/22/2022,F
"BOSCHLTD"," EQ"," 21-Feb-2022"," 15856.00"," 15850.00"," 15882.20"," 15580.15"," 15760.00"," 15787.00"," 15762.56"," 16251"," 2561.57"," 5826"," 4439"," 27.32",3,4,28.94,02/21/2022,F
"BOSCHLTD"," EQ"," 18-Feb-2022"," 16003.00"," 15950.00"," 16027.95"," 15780.55"," 15868.35"," 15856.00"," 15902.48"," 11702"," 1860.91"," 4181"," 3091"," 26.41",3,4,29.02,02/18/2022,F
"BOSCHLTD"," EQ"," 17-Feb-2022"," 15996.65"," 16060.65"," 16142.95"," 15900.00"," 15950.00"," 16003.00"," 16014.53"," 18033"," 2887.90"," 6127"," 4750"," 26.34",3,4,29.07,02/17/2022,F
"BOSCHLTD"," EQ"," 16-Feb-2022"," 16046.55"," 16270.00"," 16280.00"," 15925.15"," 15954.95"," 15996.65"," 16119.71"," 19365"," 3121.58"," 5894"," 3855"," 19.91",3,4,29.06,02/16/2022,F
"BOSCHLTD"," EQ"," 15-Feb-2022"," 15824.15"," 15824.00"," 16120.00"," 15532.05"," 16084.00"," 16046.55"," 15879.45"," 35897"," 5700.25"," 10382"," 11918"," 33.20",3,4,29.03,02/15/2022,F
"BOSCHLTD"," EQ"," 14-Feb-2022"," 16260.25"," 15999.00"," 16026.60"," 15700.05"," 15801.00"," 15824.15"," 15820.48"," 48691"," 7703.15"," 14017"," 26356"," 54.13",3,4,28.86,02/14/2022,F
"BOSCHLTD"," EQ"," 11-Feb-2022"," 16634.85"," 16398.00"," 16458.35"," 16230.00"," 16248.65"," 16260.25"," 16311.61"," 25471"," 4154.73"," 7593"," 8125"," 31.90",3,4,28.41,02/11/2022,F
"BOSCHLTD"," EQ"," 10-Feb-2022"," 16220.10"," 16320.10"," 16724.95"," 16037.60"," 16551.05"," 16634.85"," 16379.11"," 33726"," 5524.02"," 9029"," 9073"," 26.90",4,4,28.31,02/10/2022,F
"BOSCHLTD"," EQ"," 09-Feb-2022"," 16058.35"," 16170.75"," 16716.55"," 16040.00"," 16249.00"," 16220.10"," 16282.07"," 67238"," 10947.74"," 16184"," 13457"," 20.01",4,4,28.37,02/09/2022,F
"BOSCHLTD"," EQ"," 08-Feb-2022"," 16062.35"," 16118.55"," 16219.95"," 15960.05"," 16040.00"," 16058.35"," 16060.80"," 13313"," 2138.17"," 4572"," 3807"," 28.60",3,4,28.38,02/08/2022,F
"BOSCHLTD"," EQ"," 07-Feb-2022"," 16432.30"," 16415.60"," 16441.00"," 15960.00"," 16015.00"," 16062.35"," 16141.63"," 15529"," 2506.63"," 5688"," 5497"," 35.40",3,4,28.20,02/07/2022,F
"BOSCHLTD"," EQ"," 04-Feb-2022"," 16585.55"," 16618.70"," 16696.85"," 16400.00"," 16421.00"," 16432.30"," 16521.44"," 9011"," 1488.75"," 3154"," 2839"," 31.51",3,4,28.24,02/04/2022,F
"BOSCHLTD"," EQ"," 03-Feb-2022"," 16697.25"," 16690.00"," 16873.25"," 16549.05"," 16598.00"," 16585.55"," 16722.52"," 22185"," 3709.89"," 8375"," 8377"," 37.76",3,4,28.18,02/03/2022,F
"BOSCHLTD"," EQ"," 02-Feb-2022"," 16824.05"," 16890.00"," 17027.90"," 16635.00"," 16698.00"," 16697.25"," 16768.78"," 17997"," 3017.88"," 6572"," 6454"," 35.86",3,4,28.36,02/02/2022,F
"BOSCHLTD"," EQ"," 01-Feb-2022"," 16533.90"," 16725.00"," 16850.00"," 16417.70"," 16815.00"," 16824.05"," 16698.06"," 16446"," 2746.16"," 5917"," 4994"," 30.37",3,4,28.50,02/01/2022,F
"BOSCHLTD"," EQ"," 31-Jan-2022"," 16295.85"," 16480.00"," 16595.00"," 16410.15"," 16538.95"," 16533.90"," 16525.00"," 9687"," 1600.78"," 3933"," 3579"," 36.95",2,4,28.56,01/31/2022,F
"BOSCHLTD"," EQ"," 28-Jan-2022"," 16232.95"," 16290.00"," 16650.00"," 16262.50"," 16360.00"," 16295.85"," 16484.25"," 13654"," 2250.76"," 4812"," 2924"," 21.41",3,4,28.38,01/28/2022,F
"BOSCHLTD"," EQ"," 27-Jan-2022"," 16269.55"," 16100.00"," 16320.00"," 15822.05"," 16250.00"," 16232.95"," 16037.45"," 36739"," 5892.00"," 10322"," 13985"," 38.07",4,4,28.47,01/27/2022,F
"BOSCHLTD"," EQ"," 25-Jan-2022"," 16059.75"," 16040.00"," 16340.00"," 15773.35"," 16230.10"," 16269.55"," 16117.31"," 22180"," 3574.82"," 8594"," 4514"," 20.35",3,4,28.22,01/25/2022,F
"BOSCHLTD"," EQ"," 24-Jan-2022"," 16470.75"," 16470.75"," 16528.65"," 15801.30"," 16013.00"," 16059.75"," 16020.96"," 40889"," 6550.81"," 13268"," 18394"," 44.99",3,4,28.34,01/24/2022,F
"BOSCHLTD"," EQ"," 21-Jan-2022"," 16817.70"," 16515.00"," 16880.00"," 16330.05"," 16479.00"," 16470.75"," 16658.93"," 29796"," 4963.70"," 8094"," 10938"," 36.71",4,4,28.07,01/21/2022,F
"BOSCHLTD"," EQ"," 20-Jan-2022"," 16970.00"," 17000.00"," 17127.00"," 16612.05"," 16800.15"," 16817.70"," 16798.36"," 23497"," 3947.11"," 7944"," 8704"," 37.04",3,4,27.83,01/20/2022,F
"BOSCHLTD"," EQ"," 19-Jan-2022"," 17189.90"," 17240.00"," 17324.95"," 16929.05"," 17020.00"," 16970.00"," 17074.21"," 34034"," 5811.04"," 8905"," 16013"," 47.05",4,4,27.61,01/19/2022,F
"BOSCHLTD"," EQ"," 18-Jan-2022"," 17692.30"," 17849.50"," 17849.50"," 17003.85"," 17166.85"," 17189.90"," 17471.97"," 30371"," 5306.41"," 9270"," 11976"," 39.43",3,4,27.24,01/18/2022,F
"BOSCHLTD"," EQ"," 17-Jan-2022"," 17486.00"," 17630.00"," 17929.95"," 17599.50"," 17705.65"," 17692.30"," 17742.15"," 36236"," 6429.05"," 8743"," 7042"," 19.43",4,4,27.06,01/17/2022,F
"BOSCHLTD"," EQ"," 14-Jan-2022"," 17396.60"," 17350.00"," 17746.90"," 17318.00"," 17445.00"," 17486.00"," 17604.96"," 37139"," 6538.30"," 7910"," 9090"," 24.48",5,4,27.35,01/14/2022,F
"BOSCHLTD"," EQ"," 13-Jan-2022"," 17405.05"," 17364.95"," 17516.55"," 17230.00"," 17414.90"," 17396.60"," 17402.38"," 14882"," 2589.82"," 4108"," 5269"," 35.41",4,4,27.40,01/13/2022,F
"BOSCHLTD"," EQ"," 12-Jan-2022"," 17286.65"," 17390.00"," 17450.00"," 17300.00"," 17364.95"," 17405.05"," 17373.18"," 14693"," 2552.64"," 4110"," 5074"," 34.53",4,4,27.43,01/12/2022,F
"BOSCHLTD"," EQ"," 11-Jan-2022"," 17419.35"," 17420.00"," 17528.00"," 17239.25"," 17299.90"," 17286.65"," 17370.22"," 17202"," 2988.03"," 5133"," 6093"," 35.42",3,4,27.33,01/11/2022,F
"BOSCHLTD"," EQ"," 10-Jan-2022"," 17081.05"," 17150.00"," 17592.60"," 17100.00"," 17322.40"," 17419.35"," 17358.33"," 35333"," 6133.22"," 8751"," 11580"," 32.77",4,4,27.23,01/10/2022,F
"BOSCHLTD"," EQ"," 07-Jan-2022"," 17274.55"," 17308.00"," 17428.00"," 17000.00"," 17001.10"," 17081.05"," 17175.83"," 30563"," 5249.45"," 8744"," 12268"," 40.14",3,4,27.03,01/07/2022,F
"BOSCHLTD"," EQ"," 06-Jan-2022"," 17332.35"," 17435.00"," 17573.95"," 17230.00"," 17245.50"," 17274.55"," 17400.10"," 53694"," 9342.81"," 11981"," 9228"," 17.19",4,4,26.61,01/06/2022,F
"BOSCHLTD"," EQ"," 05-Jan-2022"," 17222.60"," 17220.00"," 17569.80"," 17150.00"," 17320.25"," 17332.35"," 17352.60"," 28716"," 4982.97"," 7273"," 10624"," 37.00",4,4,26.49,01/05/2022,F
"BOSCHLTD"," EQ"," 04-Jan-2022"," 17292.90"," 17419.00"," 17419.00"," 17105.00"," 17215.15"," 17222.60"," 17264.10"," 21725"," 3750.63"," 5516"," 5424"," 24.97",4,4,26.10,01/04/2022,F
"BOSCHLTD"," EQ"," 03-Jan-2022"," 17320.25"," 17320.25"," 17499.95"," 17250.20"," 17270.00"," 17292.90"," 17394.69"," 26614"," 4629.42"," 7708"," 7621"," 28.64",3,4,26.74,01/03/2022,F
"BOSCHLTD"," EQ"," 31-Dec-2021"," 16872.15"," 16890.00"," 17420.00"," 16725.00"," 17330.00"," 17320.25"," 17176.59"," 52947"," 9094.49"," 11361"," 22154"," 41.84",5,4,27.19,12/31/2021,T
"BOSCHLTD"," EQ"," 30-Dec-2021"," 16675.85"," 16799.90"," 17099.00"," 16420.05"," 16842.00"," 16872.15"," 16769.00"," 87023"," 14592.88"," 16724"," 19889"," 22.85",5,4,27.12,12/30/2021,F
