symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"BRITANNIA"," EQ"," 23-Mar-2022"," 3158.40"," 3167.40"," 3173.85"," 3092.00"," 3093.00"," 3102.25"," 3114.97"," 1044283"," 32529.10"," 69579"," 647785"," 62.03",15,10,49.37,03/23/2022,T
"BRITANNIA"," EQ"," 22-Mar-2022"," 3237.55"," 3230.00"," 3250.00"," 3132.25"," 3165.30"," 3158.40"," 3161.71"," 583821"," 18458.71"," 56823"," 308105"," 52.77",10,10,49.42,03/22/2022,F
"BRITANNIA"," EQ"," 21-Mar-2022"," 3355.95"," 3350.00"," 3350.00"," 3230.00"," 3240.00"," 3237.55"," 3275.05"," 354460"," 11608.73"," 35128"," 191752"," 54.10",10,10,49.43,03/21/2022,F
"BRITANNIA"," EQ"," 17-Mar-2022"," 3313.65"," 3322.00"," 3362.00"," 3300.55"," 3354.80"," 3355.95"," 3334.03"," 436218"," 14543.66"," 36707"," 262784"," 60.24",12,10,49.52,03/17/2022,T
"BRITANNIA"," EQ"," 16-Mar-2022"," 3222.85"," 3244.00"," 3318.35"," 3232.25"," 3307.00"," 3313.65"," 3277.00"," 239522"," 7849.13"," 21638"," 97383"," 40.66",11,10,49.22,03/16/2022,F
"BRITANNIA"," EQ"," 15-Mar-2022"," 3185.85"," 3186.00"," 3249.00"," 3181.65"," 3220.00"," 3222.85"," 3221.85"," 258636"," 8332.86"," 31146"," 130173"," 50.33",8,10,49.32,03/15/2022,F
"BRITANNIA"," EQ"," 14-Mar-2022"," 3199.90"," 3199.90"," 3215.00"," 3145.10"," 3195.00"," 3185.85"," 3176.35"," 335292"," 10650.05"," 25522"," 183795"," 54.82",13,10,49.49,03/14/2022,T
"BRITANNIA"," EQ"," 11-Mar-2022"," 3222.95"," 3250.00"," 3256.60"," 3192.80"," 3200.00"," 3199.90"," 3214.54"," 362091"," 11639.54"," 27573"," 146602"," 40.49",13,10,49.37,03/11/2022,F
"BRITANNIA"," EQ"," 10-Mar-2022"," 3123.85"," 3225.00"," 3248.00"," 3144.80"," 3200.00"," 3222.95"," 3190.03"," 490457"," 15645.75"," 40450"," 273801"," 55.83",12,10,49.66,03/10/2022,T
"BRITANNIA"," EQ"," 09-Mar-2022"," 3113.75"," 3144.00"," 3170.00"," 3093.70"," 3139.00"," 3123.85"," 3124.69"," 483468"," 15106.87"," 53980"," 273316"," 56.53",9,10,49.66,03/09/2022,F
"BRITANNIA"," EQ"," 08-Mar-2022"," 3153.45"," 3115.00"," 3180.00"," 3050.00"," 3114.95"," 3113.75"," 3096.69"," 541966"," 16782.99"," 63950"," 291240"," 53.74",8,10,49.61,03/08/2022,F
"BRITANNIA"," EQ"," 04-Mar-2022"," 3366.40"," 3350.00"," 3394.85"," 3275.00"," 3377.95"," 3371.35"," 3333.19"," 331936"," 11064.06"," 36119"," 130504"," 39.32",9,10,49.60,03/04/2022,F
"BRITANNIA"," EQ"," 03-Mar-2022"," 3391.75"," 3405.00"," 3439.55"," 3350.00"," 3366.00"," 3366.40"," 3393.51"," 429892"," 14588.43"," 44244"," 251768"," 58.57",10,10,49.99,03/03/2022,F
"BRITANNIA"," EQ"," 02-Mar-2022"," 3427.45"," 3420.95"," 3420.95"," 3371.75"," 3385.00"," 3391.75"," 3388.93"," 416582"," 14117.69"," 30285"," 276317"," 66.33",14,10,49.83,03/02/2022,T
"BRITANNIA"," EQ"," 28-Feb-2022"," 3422.75"," 3405.00"," 3440.00"," 3327.35"," 3418.00"," 3427.45"," 3389.23"," 426929"," 14469.62"," 37000"," 212719"," 49.83",12,10,49.68,02/28/2022,T
"BRITANNIA"," EQ"," 25-Feb-2022"," 3446.00"," 3435.00"," 3444.00"," 3350.40"," 3427.00"," 3422.75"," 3405.23"," 722637"," 24607.44"," 68859"," 221905"," 30.71",10,10,49.65,02/25/2022,F
"BRITANNIA"," EQ"," 24-Feb-2022"," 3511.15"," 3439.50"," 3504.00"," 3414.00"," 3435.00"," 3446.00"," 3461.63"," 529995"," 18346.45"," 47360"," 311153"," 58.71",11,10,49.76,02/24/2022,T
"BRITANNIA"," EQ"," 23-Feb-2022"," 3489.75"," 3497.75"," 3530.00"," 3470.00"," 3503.00"," 3511.15"," 3507.33"," 326853"," 11463.82"," 30657"," 174659"," 53.44",11,10,49.76,02/23/2022,T
"BRITANNIA"," EQ"," 22-Feb-2022"," 3475.25"," 3405.00"," 3498.00"," 3405.00"," 3476.30"," 3489.75"," 3469.31"," 246372"," 8547.40"," 27100"," 135732"," 55.09",9,10,49.63,02/22/2022,F
"BRITANNIA"," EQ"," 21-Feb-2022"," 3481.65"," 3431.10"," 3500.00"," 3430.00"," 3456.05"," 3475.25"," 3468.86"," 138287"," 4796.98"," 16836"," 56609"," 40.94",8,10,49.58,02/21/2022,F
