symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"BSOFT"," EQ"," 23-Mar-2022"," 465.90"," 470.60"," 474.95"," 461.65"," 465.50"," 467.55"," 469.53"," 3919329"," 18402.36"," 68526"," 1070569"," 27.32",57,60,26.51,03/23/2022,F
"BSOFT"," EQ"," 22-Mar-2022"," 443.75"," 443.80"," 468.85"," 443.35"," 467.10"," 465.90"," 460.73"," 6214056"," 28630.31"," 95936"," 1379041"," 22.19",65,60,26.40,03/22/2022,F
"BSOFT"," EQ"," 21-Mar-2022"," 443.95"," 448.95"," 453.00"," 441.50"," 443.00"," 443.75"," 446.07"," 1287493"," 5743.08"," 25656"," 420192"," 32.64",50,60,26.39,03/21/2022,F
"BSOFT"," EQ"," 17-Mar-2022"," 442.50"," 451.00"," 453.50"," 440.30"," 442.75"," 443.95"," 449.08"," 2495071"," 11204.95"," 34468"," 1082495"," 43.39",72,60,26.15,03/17/2022,T
"BSOFT"," EQ"," 16-Mar-2022"," 436.90"," 446.80"," 450.00"," 440.00"," 442.70"," 442.50"," 444.14"," 1319047"," 5858.45"," 21185"," 542786"," 41.15",62,60,25.73,03/16/2022,T
"BSOFT"," EQ"," 15-Mar-2022"," 452.25"," 452.25"," 454.90"," 433.20"," 437.25"," 436.90"," 443.84"," 1272469"," 5647.79"," 26083"," 314712"," 24.73",49,60,25.63,03/15/2022,F
"BSOFT"," EQ"," 14-Mar-2022"," 453.25"," 450.50"," 458.85"," 450.50"," 451.00"," 452.25"," 454.26"," 1536087"," 6977.83"," 25981"," 563307"," 36.67",59,60,25.52,03/14/2022,F
"BSOFT"," EQ"," 11-Mar-2022"," 450.00"," 448.60"," 457.85"," 444.10"," 452.90"," 453.25"," 453.07"," 1698204"," 7694.13"," 22363"," 607547"," 35.78",76,60,25.28,03/11/2022,T
"BSOFT"," EQ"," 10-Mar-2022"," 456.15"," 470.00"," 470.00"," 445.20"," 447.00"," 450.00"," 452.68"," 2765700"," 12519.64"," 53343"," 786512"," 28.44",52,60,25.34,03/10/2022,F
"BSOFT"," EQ"," 09-Mar-2022"," 451.20"," 457.00"," 460.50"," 452.30"," 453.90"," 456.15"," 457.17"," 2402749"," 10984.54"," 39664"," 881703"," 36.70",61,60,25.28,03/09/2022,T
"BSOFT"," EQ"," 08-Mar-2022"," 431.10"," 431.15"," 454.00"," 430.85"," 452.00"," 451.20"," 446.94"," 3155855"," 14104.93"," 66272"," 773099"," 24.50",48,60,25.11,03/08/2022,F
"BSOFT"," EQ"," 04-Mar-2022"," 429.85"," 424.10"," 445.50"," 416.45"," 437.85"," 437.95"," 434.93"," 4290597"," 18661.17"," 64726"," 1102804"," 25.70",66,60,24.96,03/04/2022,T
"BSOFT"," EQ"," 03-Mar-2022"," 421.15"," 430.10"," 437.00"," 425.10"," 429.10"," 429.85"," 431.29"," 3486602"," 15037.49"," 62125"," 706637"," 20.27",56,60,24.93,03/03/2022,F
"BSOFT"," EQ"," 02-Mar-2022"," 407.65"," 402.45"," 425.00"," 402.45"," 424.70"," 421.15"," 414.90"," 3465837"," 14379.86"," 55382"," 1090619"," 31.47",63,60,24.99,03/02/2022,T
"BSOFT"," EQ"," 28-Feb-2022"," 403.55"," 397.10"," 409.55"," 390.45"," 408.50"," 407.65"," 401.91"," 2654325"," 10667.94"," 36475"," 665481"," 25.07",73,60,24.65,02/28/2022,T
"BSOFT"," EQ"," 25-Feb-2022"," 382.20"," 399.00"," 411.00"," 397.20"," 405.00"," 403.55"," 404.67"," 3130605"," 12668.76"," 45123"," 849944"," 27.15",69,59,24.46,02/25/2022,T
"BSOFT"," EQ"," 24-Feb-2022"," 414.80"," 395.00"," 400.00"," 380.00"," 382.00"," 382.20"," 391.30"," 3598722"," 14081.96"," 76345"," 1349722"," 37.51",47,59,24.33,02/24/2022,F
"BSOFT"," EQ"," 23-Feb-2022"," 416.70"," 421.50"," 425.05"," 413.50"," 415.00"," 414.80"," 417.97"," 1928531"," 8060.67"," 34938"," 469261"," 24.33",55,59,23.94,02/23/2022,F
"BSOFT"," EQ"," 22-Feb-2022"," 412.90"," 395.10"," 419.55"," 392.60"," 414.10"," 416.70"," 406.65"," 3623024"," 14733.17"," 62977"," 838969"," 23.16",58,59,23.87,02/22/2022,F
"BSOFT"," EQ"," 21-Feb-2022"," 426.70"," 424.95"," 424.95"," 407.60"," 412.90"," 412.90"," 414.13"," 2951140"," 12221.50"," 44312"," 528263"," 17.90",67,59,23.80,02/21/2022,F
"BSOFT"," EQ"," 18-Feb-2022"," 439.85"," 435.90"," 438.80"," 422.65"," 425.00"," 426.70"," 432.17"," 1532920"," 6624.77"," 26807"," 468664"," 30.57",57,59,23.87,02/18/2022,F
"BSOFT"," EQ"," 17-Feb-2022"," 444.20"," 448.00"," 449.70"," 435.60"," 437.00"," 439.85"," 443.70"," 1440200"," 6390.20"," 22762"," 361385"," 25.09",63,59,23.77,02/17/2022,T
"BSOFT"," EQ"," 16-Feb-2022"," 447.15"," 457.00"," 459.00"," 440.30"," 441.50"," 444.20"," 449.12"," 2353074"," 10568.23"," 41765"," 443834"," 18.86",56,59,23.61,02/16/2022,F
"BSOFT"," EQ"," 15-Feb-2022"," 422.55"," 434.40"," 453.30"," 424.95"," 453.30"," 447.15"," 434.13"," 3614022"," 15689.48"," 56096"," 545620"," 15.10",64,60,23.60,02/15/2022,F
"BSOFT"," EQ"," 14-Feb-2022"," 453.00"," 430.00"," 444.00"," 418.55"," 420.00"," 422.55"," 432.95"," 1956388"," 8470.26"," 46059"," 614103"," 31.39",42,60,23.86,02/14/2022,F
"BSOFT"," EQ"," 11-Feb-2022"," 463.05"," 458.95"," 459.00"," 449.50"," 451.40"," 453.00"," 454.58"," 2074346"," 9429.46"," 47566"," 889088"," 42.86",44,60,23.93,02/11/2022,F
"BSOFT"," EQ"," 10-Feb-2022"," 455.75"," 458.05"," 465.90"," 456.00"," 464.50"," 463.05"," 459.83"," 2075464"," 9543.62"," 41148"," 733555"," 35.34",50,60,23.72,02/10/2022,F
"BSOFT"," EQ"," 09-Feb-2022"," 442.55"," 446.00"," 464.00"," 445.55"," 457.80"," 455.75"," 456.81"," 2815110"," 12859.82"," 58948"," 705879"," 25.07",48,60,23.63,02/09/2022,F
"BSOFT"," EQ"," 08-Feb-2022"," 452.75"," 453.00"," 457.20"," 440.45"," 443.45"," 442.55"," 446.29"," 1517358"," 6771.87"," 33321"," 455886"," 30.04",46,60,23.80,02/08/2022,F
"BSOFT"," EQ"," 07-Feb-2022"," 467.40"," 469.60"," 473.00"," 449.00"," 450.55"," 452.75"," 460.45"," 1295173"," 5963.65"," 26548"," 407897"," 31.49",49,60,23.79,02/07/2022,F
"BSOFT"," EQ"," 04-Feb-2022"," 475.20"," 468.60"," 478.00"," 461.20"," 468.75"," 467.40"," 469.72"," 1861340"," 8743.18"," 33150"," 315001"," 16.92",56,60,24.02,02/04/2022,F
"BSOFT"," EQ"," 03-Feb-2022"," 476.75"," 478.85"," 486.90"," 473.00"," 473.50"," 475.20"," 480.12"," 2113638"," 10148.05"," 41981"," 579334"," 27.41",50,60,24.14,02/03/2022,F
"BSOFT"," EQ"," 02-Feb-2022"," 472.00"," 475.05"," 479.90"," 472.05"," 477.40"," 476.75"," 476.53"," 1491646"," 7108.08"," 27733"," 413600"," 27.73",54,60,24.69,02/02/2022,F
"BSOFT"," EQ"," 01-Feb-2022"," 475.60"," 482.30"," 484.90"," 463.55"," 471.00"," 472.00"," 472.56"," 4056465"," 19169.13"," 69678"," 955108"," 23.55",58,60,25.06,02/01/2022,F
"BSOFT"," EQ"," 31-Jan-2022"," 445.10"," 457.30"," 482.00"," 451.35"," 479.00"," 475.60"," 467.32"," 6051319"," 28279.28"," 83191"," 1817185"," 30.03",73,60,25.30,01/31/2022,T
"BSOFT"," EQ"," 28-Jan-2022"," 437.90"," 453.15"," 462.00"," 443.10"," 445.00"," 445.10"," 450.65"," 5734166"," 25841.05"," 93353"," 1605738"," 28.00",61,59,25.50,01/28/2022,T
"BSOFT"," EQ"," 27-Jan-2022"," 461.10"," 461.00"," 462.00"," 431.00"," 442.00"," 437.90"," 440.02"," 4719874"," 20768.39"," 88478"," 1557618"," 33.00",53,59,25.82,01/27/2022,F
"BSOFT"," EQ"," 25-Jan-2022"," 450.50"," 443.00"," 467.80"," 431.00"," 461.05"," 461.10"," 458.55"," 4044257"," 18545.04"," 73383"," 1019878"," 25.22",55,59,26.26,01/25/2022,F
"BSOFT"," EQ"," 24-Jan-2022"," 487.25"," 478.55"," 483.00"," 441.85"," 452.00"," 450.50"," 458.43"," 6146783"," 28178.65"," 104803"," 1732704"," 28.19",59,59,26.79,01/24/2022,F
"BSOFT"," EQ"," 21-Jan-2022"," 502.10"," 497.00"," 505.55"," 482.10"," 489.40"," 487.25"," 495.00"," 2753113"," 13628.02"," 56988"," 667915"," 24.26",48,58,27.22,01/21/2022,F
"BSOFT"," EQ"," 20-Jan-2022"," 512.90"," 514.00"," 515.50"," 497.00"," 502.30"," 502.10"," 505.54"," 3023445"," 15284.78"," 71783"," 1088847"," 36.01",42,58,27.51,01/20/2022,F
"BSOFT"," EQ"," 19-Jan-2022"," 534.70"," 532.00"," 532.00"," 502.60"," 514.00"," 512.90"," 513.61"," 5539545"," 28451.71"," 99272"," 1855793"," 33.50",56,58,27.80,01/19/2022,F
"BSOFT"," EQ"," 18-Jan-2022"," 549.55"," 550.00"," 553.60"," 531.00"," 534.60"," 534.70"," 544.30"," 2514178"," 13684.55"," 44192"," 833048"," 33.13",57,58,28.21,01/18/2022,F
"BSOFT"," EQ"," 17-Jan-2022"," 557.00"," 557.00"," 562.95"," 545.60"," 549.50"," 549.55"," 553.99"," 3256402"," 18040.04"," 53618"," 1183528"," 36.34",61,58,28.34,01/17/2022,T
"BSOFT"," EQ"," 14-Jan-2022"," 569.60"," 568.90"," 568.90"," 553.00"," 555.45"," 557.00"," 560.87"," 2063358"," 11572.75"," 40360"," 809382"," 39.23",51,58,28.48,01/14/2022,F
"BSOFT"," EQ"," 13-Jan-2022"," 575.00"," 576.40"," 579.90"," 561.25"," 570.50"," 569.60"," 569.70"," 2189970"," 12476.33"," 39014"," 499598"," 22.81",56,58,28.31,01/13/2022,F
"BSOFT"," EQ"," 12-Jan-2022"," 571.85"," 574.90"," 579.30"," 568.80"," 573.35"," 575.00"," 574.45"," 1783139"," 10243.27"," 32661"," 396543"," 22.24",55,58,28.76,01/12/2022,F
"BSOFT"," EQ"," 11-Jan-2022"," 571.60"," 571.60"," 585.75"," 565.00"," 572.60"," 571.85"," 575.82"," 4125892"," 23757.71"," 64259"," 826284"," 20.03",64,57,29.24,01/11/2022,F
"BSOFT"," EQ"," 10-Jan-2022"," 577.30"," 579.80"," 585.85"," 570.00"," 570.25"," 571.60"," 576.73"," 2937337"," 16940.60"," 48121"," 713817"," 24.30",61,57,29.76,01/10/2022,F
"BSOFT"," EQ"," 07-Jan-2022"," 559.35"," 568.00"," 582.40"," 561.55"," 576.35"," 577.30"," 574.88"," 9110065"," 52371.87"," 128904"," 1281710"," 14.07",71,57,30.26,01/07/2022,F
"BSOFT"," EQ"," 06-Jan-2022"," 550.95"," 542.45"," 564.70"," 537.20"," 563.00"," 559.35"," 551.19"," 3262562"," 17982.86"," 54812"," 612367"," 18.77",60,56,30.60,01/06/2022,F
"BSOFT"," EQ"," 05-Jan-2022"," 559.60"," 558.30"," 558.30"," 547.00"," 551.00"," 550.95"," 551.69"," 1867208"," 10301.23"," 31035"," 444580"," 23.81",60,56,30.94,01/05/2022,F
