symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"CADILAHC"," EQ"," 04-Mar-2022"," 351.60"," 348.10"," 351.45"," 344.75"," 346.05"," 345.95"," 347.87"," 856777"," 2980.47"," 20801"," 259630"," 30.30",41,60,39.78,03/04/2022,F
"CADILAHC"," EQ"," 03-Mar-2022"," 355.05"," 357.90"," 360.15"," 350.80"," 351.70"," 351.60"," 354.48"," 661895"," 2346.29"," 15549"," 258040"," 38.99",43,60,39.75,03/03/2022,F
"CADILAHC"," EQ"," 02-Mar-2022"," 360.40"," 357.10"," 363.55"," 352.90"," 355.00"," 355.05"," 357.53"," 902427"," 3226.42"," 16864"," 350845"," 38.88",54,61,39.34,03/02/2022,F
"CADILAHC"," EQ"," 28-Feb-2022"," 356.05"," 352.00"," 361.00"," 349.25"," 360.60"," 360.40"," 356.33"," 941141"," 3353.61"," 17376"," 354038"," 37.62",54,61,38.74,02/28/2022,F
"CADILAHC"," EQ"," 25-Feb-2022"," 344.75"," 350.45"," 359.00"," 348.65"," 355.65"," 356.05"," 356.49"," 2619038"," 9336.61"," 24355"," 1537293"," 58.70",108,61,38.44,02/25/2022,T
"CADILAHC"," EQ"," 24-Feb-2022"," 371.70"," 355.00"," 363.95"," 342.85"," 343.40"," 344.75"," 351.71"," 2670819"," 9393.58"," 49754"," 1080933"," 40.47",54,60,37.71,02/24/2022,F
"CADILAHC"," EQ"," 23-Feb-2022"," 366.45"," 367.00"," 376.65"," 367.00"," 371.00"," 371.70"," 373.02"," 1591416"," 5936.38"," 27793"," 425590"," 26.74",57,60,37.43,02/23/2022,F
"CADILAHC"," EQ"," 22-Feb-2022"," 371.15"," 364.35"," 368.00"," 355.60"," 366.05"," 366.45"," 361.50"," 2866900"," 10363.91"," 42551"," 960699"," 33.51",67,60,37.39,02/22/2022,F
"CADILAHC"," EQ"," 21-Feb-2022"," 376.55"," 375.00"," 377.00"," 369.25"," 370.35"," 371.15"," 372.69"," 1582476"," 5897.71"," 25742"," 557537"," 35.23",61,59,37.20,02/21/2022,F
"CADILAHC"," EQ"," 18-Feb-2022"," 382.90"," 381.00"," 381.00"," 374.25"," 375.50"," 376.55"," 377.14"," 1933643"," 7292.61"," 39482"," 736822"," 38.11",49,59,37.09,02/18/2022,F
"CADILAHC"," EQ"," 17-Feb-2022"," 384.60"," 383.85"," 387.35"," 381.10"," 381.50"," 382.90"," 384.12"," 933757"," 3586.77"," 19881"," 365945"," 39.19",47,60,37.07,02/17/2022,F
"CADILAHC"," EQ"," 16-Feb-2022"," 387.20"," 399.95"," 399.95"," 383.35"," 383.85"," 384.60"," 387.86"," 2308182"," 8952.43"," 36897"," 643159"," 27.86",63,59,37.10,02/16/2022,F
"CADILAHC"," EQ"," 15-Feb-2022"," 382.65"," 384.00"," 388.35"," 379.15"," 387.95"," 387.20"," 384.41"," 1110094"," 4267.33"," 22816"," 421698"," 37.99",49,59,37.37,02/15/2022,F
"CADILAHC"," EQ"," 14-Feb-2022"," 392.35"," 386.95"," 392.40"," 380.70"," 381.00"," 382.65"," 387.35"," 1734945"," 6720.37"," 36509"," 729650"," 42.06",48,59,37.43,02/14/2022,F
"CADILAHC"," EQ"," 11-Feb-2022"," 401.30"," 399.00"," 399.00"," 390.55"," 391.35"," 392.35"," 392.71"," 1607589"," 6313.21"," 39320"," 500621"," 31.14",41,59,37.22,02/11/2022,F
"CADILAHC"," EQ"," 10-Feb-2022"," 405.50"," 407.20"," 408.60"," 400.00"," 400.15"," 401.30"," 403.60"," 1645393"," 6640.78"," 31040"," 730974"," 44.43",53,60,37.23,02/10/2022,F
"CADILAHC"," EQ"," 09-Feb-2022"," 400.75"," 402.40"," 406.80"," 401.50"," 405.85"," 405.50"," 404.62"," 904732"," 3660.71"," 20118"," 285868"," 31.60",45,60,37.30,02/09/2022,F
"CADILAHC"," EQ"," 08-Feb-2022"," 397.35"," 397.00"," 403.85"," 393.65"," 401.00"," 400.75"," 400.26"," 1425555"," 5705.86"," 24970"," 513050"," 35.99",57,60,37.43,02/08/2022,F
"CADILAHC"," EQ"," 07-Feb-2022"," 409.25"," 409.85"," 411.10"," 395.20"," 395.50"," 397.35"," 401.15"," 1302034"," 5223.09"," 31661"," 511775"," 39.31",41,60,37.20,02/07/2022,F
