symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"CANBK"," EQ"," 23-Mar-2022"," 226.00"," 227.40"," 230.40"," 224.30"," 224.40"," 225.30"," 227.30"," 8962738"," 20372.30"," 36186"," 2007691"," 22.40",248,184,18.57,03/23/2022,T
"CANBK"," EQ"," 22-Mar-2022"," 224.95"," 225.00"," 227.10"," 220.15"," 227.00"," 226.00"," 223.91"," 9686196"," 21688.66"," 45814"," 2112682"," 21.81",211,183,18.43,03/22/2022,T
"CANBK"," EQ"," 21-Mar-2022"," 226.05"," 227.30"," 228.15"," 224.00"," 224.05"," 224.95"," 226.00"," 9201763"," 20796.39"," 49835"," 2213596"," 24.06",185,183,18.36,03/21/2022,T
"CANBK"," EQ"," 17-Mar-2022"," 224.40"," 230.00"," 230.75"," 225.05"," 225.90"," 226.05"," 227.35"," 10495295"," 23861.32"," 47899"," 2766848"," 26.36",219,182,18.47,03/17/2022,T
"CANBK"," EQ"," 16-Mar-2022"," 218.90"," 221.40"," 225.85"," 221.30"," 223.80"," 224.40"," 224.36"," 8664324"," 19439.35"," 46850"," 1393958"," 16.09",185,182,18.22,03/16/2022,F
"CANBK"," EQ"," 15-Mar-2022"," 221.15"," 221.15"," 226.70"," 217.65"," 218.10"," 218.90"," 222.42"," 14828169"," 32980.13"," 69728"," 2261946"," 15.25",213,181,18.36,03/15/2022,F
"CANBK"," EQ"," 14-Mar-2022"," 217.95"," 218.00"," 222.50"," 215.20"," 220.95"," 221.15"," 219.11"," 12466233"," 27314.69"," 58443"," 1777778"," 14.26",213,181,18.40,03/14/2022,F
"CANBK"," EQ"," 11-Mar-2022"," 214.40"," 214.00"," 219.40"," 212.50"," 217.80"," 217.95"," 216.43"," 10960139"," 23721.22"," 51658"," 1861334"," 16.98",212,180,18.51,03/11/2022,F
"CANBK"," EQ"," 10-Mar-2022"," 212.00"," 219.50"," 221.95"," 213.05"," 213.40"," 214.40"," 217.49"," 17278570"," 37578.59"," 78680"," 2474479"," 14.32",220,181,18.66,03/10/2022,F
"CANBK"," EQ"," 09-Mar-2022"," 209.35"," 211.50"," 213.35"," 208.50"," 212.25"," 212.00"," 211.04"," 14003051"," 29552.19"," 63230"," 2634706"," 18.82",221,180,18.71,03/09/2022,T
