symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"CANFINHOME"," EQ"," 23-Mar-2022"," 601.55"," 608.70"," 611.95"," 595.90"," 605.00"," 605.00"," 604.20"," 519551"," 3139.11"," 15864"," 181556"," 34.94",33,38,28.31,03/23/2022,F
"CANFINHOME"," EQ"," 22-Mar-2022"," 600.20"," 600.00"," 611.45"," 593.95"," 602.70"," 601.55"," 602.73"," 583635"," 3517.75"," 17657"," 186359"," 31.93",33,38,28.13,03/22/2022,F
"CANFINHOME"," EQ"," 21-Mar-2022"," 609.75"," 611.95"," 613.00"," 593.50"," 600.00"," 600.20"," 599.18"," 460459"," 2759.00"," 24276"," 164081"," 35.63",19,38,27.95,03/21/2022,F
"CANFINHOME"," EQ"," 17-Mar-2022"," 600.35"," 606.20"," 622.00"," 602.10"," 608.95"," 609.75"," 612.09"," 788598"," 4826.94"," 24875"," 203527"," 25.81",32,39,28.20,03/17/2022,F
"CANFINHOME"," EQ"," 16-Mar-2022"," 578.80"," 590.00"," 602.00"," 579.10"," 600.90"," 600.35"," 597.71"," 934412"," 5585.09"," 28485"," 515659"," 55.19",33,39,28.41,03/16/2022,F
"CANFINHOME"," EQ"," 15-Mar-2022"," 591.60"," 591.60"," 607.90"," 566.00"," 577.20"," 578.80"," 583.51"," 916480"," 5347.78"," 26624"," 342889"," 37.41",34,39,28.10,03/15/2022,F
"CANFINHOME"," EQ"," 14-Mar-2022"," 586.90"," 585.00"," 596.50"," 579.30"," 588.65"," 591.60"," 586.03"," 385590"," 2259.67"," 13690"," 158998"," 41.23",28,39,28.02,03/14/2022,F
"CANFINHOME"," EQ"," 11-Mar-2022"," 591.20"," 585.70"," 597.50"," 578.00"," 584.20"," 586.90"," 586.48"," 495078"," 2903.56"," 14191"," 138855"," 28.05",35,39,27.82,03/11/2022,F
"CANFINHOME"," EQ"," 10-Mar-2022"," 573.35"," 586.60"," 606.60"," 585.40"," 586.30"," 591.20"," 596.01"," 1157062"," 6896.25"," 27135"," 331274"," 28.63",43,39,27.72,03/10/2022,T
"CANFINHOME"," EQ"," 09-Mar-2022"," 560.20"," 570.00"," 584.65"," 560.50"," 572.60"," 573.35"," 574.37"," 533606"," 3064.86"," 12566"," 168401"," 31.56",42,40,27.38,03/09/2022,T
"CANFINHOME"," EQ"," 08-Mar-2022"," 542.40"," 544.00"," 563.70"," 543.00"," 560.00"," 560.20"," 554.35"," 447423"," 2480.31"," 12305"," 140721"," 31.45",36,39,27.26,03/08/2022,F
"CANFINHOME"," EQ"," 04-Mar-2022"," 561.55"," 552.30"," 573.90"," 544.50"," 562.90"," 561.40"," 555.44"," 1057331"," 5872.87"," 15254"," 566793"," 53.61",69,39,27.09,03/04/2022,T
"CANFINHOME"," EQ"," 03-Mar-2022"," 572.80"," 580.00"," 580.70"," 555.00"," 558.00"," 561.55"," 567.84"," 325436"," 1847.97"," 6728"," 76068"," 23.37",48,39,26.72,03/03/2022,F
"CANFINHOME"," EQ"," 02-Mar-2022"," 580.50"," 569.70"," 582.30"," 561.60"," 571.50"," 572.80"," 571.86"," 301513"," 1724.24"," 7743"," 60649"," 20.11",39,39,26.95,03/02/2022,F
"CANFINHOME"," EQ"," 28-Feb-2022"," 573.05"," 570.50"," 583.35"," 560.45"," 580.00"," 580.50"," 576.13"," 540106"," 3111.72"," 12151"," 269282"," 49.86",44,38,27.37,02/28/2022,T
"CANFINHOME"," EQ"," 25-Feb-2022"," 547.30"," 559.00"," 578.55"," 557.20"," 570.85"," 573.05"," 568.61"," 723982"," 4116.60"," 26774"," 227650"," 31.44",27,38,27.07,02/25/2022,F
"CANFINHOME"," EQ"," 24-Feb-2022"," 589.80"," 569.80"," 582.50"," 542.10"," 548.05"," 547.30"," 560.72"," 1299065"," 7284.08"," 30221"," 448485"," 34.52",43,38,27.07,02/24/2022,T
"CANFINHOME"," EQ"," 23-Feb-2022"," 586.45"," 591.80"," 605.00"," 584.20"," 588.00"," 589.80"," 596.51"," 607240"," 3622.23"," 16319"," 170158"," 28.02",37,38,26.97,02/23/2022,F
"CANFINHOME"," EQ"," 22-Feb-2022"," 592.50"," 578.95"," 588.90"," 572.20"," 587.75"," 586.45"," 580.44"," 620643"," 3602.45"," 14474"," 136631"," 22.01",43,38,26.81,02/22/2022,F
"CANFINHOME"," EQ"," 21-Feb-2022"," 599.50"," 595.55"," 606.85"," 585.85"," 590.40"," 592.50"," 596.23"," 464557"," 2769.83"," 14043"," 80860"," 17.41",33,38,27.01,02/21/2022,F
"CANFINHOME"," EQ"," 18-Feb-2022"," 606.15"," 605.00"," 613.85"," 595.65"," 600.50"," 599.50"," 602.94"," 301083"," 1815.36"," 8326"," 45880"," 15.24",36,38,27.27,02/18/2022,F
"CANFINHOME"," EQ"," 17-Feb-2022"," 616.65"," 620.00"," 624.85"," 603.90"," 605.00"," 606.15"," 611.08"," 420282"," 2568.25"," 9746"," 72262"," 17.19",43,38,27.47,02/17/2022,F
"CANFINHOME"," EQ"," 16-Feb-2022"," 624.20"," 630.50"," 641.80"," 612.75"," 617.00"," 616.65"," 629.11"," 1211460"," 7621.38"," 28327"," 376599"," 31.09",43,38,27.73,02/16/2022,T
"CANFINHOME"," EQ"," 15-Feb-2022"," 593.25"," 594.00"," 627.90"," 580.00"," 620.00"," 624.20"," 609.70"," 1115065"," 6798.60"," 22075"," 454774"," 40.78",51,38,27.72,02/15/2022,T
"CANFINHOME"," EQ"," 14-Feb-2022"," 621.55"," 608.00"," 619.00"," 588.85"," 594.00"," 593.25"," 604.27"," 653140"," 3946.70"," 24242"," 161982"," 24.80",27,37,27.50,02/14/2022,F
"CANFINHOME"," EQ"," 11-Feb-2022"," 640.55"," 631.00"," 636.85"," 617.20"," 618.30"," 621.55"," 627.23"," 450527"," 2825.83"," 14360"," 140424"," 31.17",31,38,27.57,02/11/2022,F
"CANFINHOME"," EQ"," 10-Feb-2022"," 628.85"," 631.00"," 653.40"," 627.30"," 638.50"," 640.55"," 641.15"," 542867"," 3480.57"," 16036"," 74681"," 13.76",34,38,27.60,02/10/2022,F
"CANFINHOME"," EQ"," 09-Feb-2022"," 629.15"," 632.20"," 636.15"," 623.95"," 630.85"," 628.85"," 629.31"," 410572"," 2583.79"," 9396"," 62651"," 15.26",44,38,27.94,02/09/2022,F
"CANFINHOME"," EQ"," 08-Feb-2022"," 632.50"," 632.00"," 637.50"," 614.00"," 626.95"," 629.15"," 626.10"," 426956"," 2673.16"," 13382"," 82010"," 19.21",32,38,28.22,02/08/2022,F
"CANFINHOME"," EQ"," 07-Feb-2022"," 642.05"," 642.00"," 643.90"," 627.35"," 631.75"," 632.50"," 635.02"," 403952"," 2565.17"," 12467"," 93258"," 23.09",32,38,28.60,02/07/2022,F
"CANFINHOME"," EQ"," 04-Feb-2022"," 658.30"," 658.90"," 661.45"," 640.00"," 642.00"," 642.05"," 648.87"," 612782"," 3976.15"," 15119"," 206894"," 33.76",41,38,28.74,02/04/2022,T
"CANFINHOME"," EQ"," 03-Feb-2022"," 667.55"," 667.55"," 668.00"," 654.00"," 654.15"," 658.30"," 662.28"," 786241"," 5207.08"," 20522"," 243476"," 30.97",38,38,28.66,02/03/2022,F
