symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"CHAMBLFERT"," EQ"," 25-Mar-2022"," 415.30"," 416.90"," 420.00"," 406.50"," 409.25"," 409.85"," 412.45"," 1543814"," 6367.51"," 29660"," 371943"," 24.09",52,53,21.70,03/25/2022,F
"CHAMBLFERT"," EQ"," 24-Mar-2022"," 416.55"," 416.55"," 424.00"," 413.00"," 415.90"," 415.30"," 419.19"," 2833348"," 11877.25"," 50714"," 526722"," 18.59",56,54,21.64,03/24/2022,F
"CHAMBLFERT"," EQ"," 23-Mar-2022"," 436.25"," 438.00"," 438.45"," 413.45"," 415.00"," 416.55"," 422.71"," 2164999"," 9151.67"," 44568"," 499573"," 23.07",49,54,21.70,03/23/2022,F
"CHAMBLFERT"," EQ"," 22-Mar-2022"," 431.65"," 433.60"," 441.00"," 422.00"," 435.10"," 436.25"," 434.29"," 3268144"," 14193.08"," 58316"," 354498"," 10.85",56,54,21.65,03/22/2022,F
"CHAMBLFERT"," EQ"," 21-Mar-2022"," 418.15"," 420.95"," 439.90"," 414.00"," 430.80"," 431.65"," 430.36"," 4521172"," 19457.13"," 78301"," 756030"," 16.72",58,54,21.83,03/21/2022,F
"CHAMBLFERT"," EQ"," 17-Mar-2022"," 402.20"," 405.90"," 425.95"," 402.60"," 416.05"," 418.15"," 414.83"," 2343998"," 9723.55"," 39180"," 583280"," 24.88",60,54,21.89,03/17/2022,T
"CHAMBLFERT"," EQ"," 16-Mar-2022"," 406.40"," 410.10"," 413.95"," 399.55"," 401.50"," 402.20"," 405.54"," 1121269"," 4547.20"," 27907"," 280222"," 24.99",40,54,21.68,03/16/2022,F
"CHAMBLFERT"," EQ"," 15-Mar-2022"," 421.05"," 420.75"," 421.65"," 401.45"," 406.00"," 406.40"," 410.24"," 1408959"," 5780.12"," 29896"," 268860"," 19.08",47,54,21.50,03/15/2022,F
"CHAMBLFERT"," EQ"," 14-Mar-2022"," 423.00"," 425.90"," 429.45"," 416.10"," 417.05"," 421.05"," 422.00"," 1775258"," 7491.55"," 35265"," 454310"," 25.59",50,54,21.63,03/14/2022,F
"CHAMBLFERT"," EQ"," 11-Mar-2022"," 414.45"," 414.90"," 430.70"," 414.45"," 422.00"," 423.00"," 423.17"," 5237215"," 22162.52"," 69831"," 1062565"," 20.29",75,54,21.69,03/11/2022,F
"CHAMBLFERT"," EQ"," 10-Mar-2022"," 395.55"," 402.60"," 416.90"," 399.00"," 412.40"," 414.45"," 410.53"," 2826362"," 11603.16"," 46291"," 441045"," 15.60",61,53,21.56,03/10/2022,F
"CHAMBLFERT"," EQ"," 09-Mar-2022"," 394.60"," 399.00"," 404.80"," 392.10"," 395.80"," 395.55"," 397.30"," 1930215"," 7668.70"," 35252"," 276817"," 14.34",55,53,21.72,03/09/2022,F
"CHAMBLFERT"," EQ"," 08-Mar-2022"," 379.60"," 381.00"," 404.45"," 379.95"," 395.55"," 394.60"," 396.02"," 3076723"," 12184.34"," 51018"," 405489"," 13.18",60,53,21.74,03/08/2022,F
"CHAMBLFERT"," EQ"," 04-Mar-2022"," 389.40"," 386.95"," 392.75"," 380.30"," 389.10"," 390.45"," 386.63"," 1200404"," 4641.09"," 23437"," 304861"," 25.40",51,53,21.54,03/04/2022,F
"CHAMBLFERT"," EQ"," 03-Mar-2022"," 386.70"," 391.90"," 396.55"," 387.00"," 388.00"," 389.40"," 391.88"," 1325410"," 5193.97"," 25241"," 212254"," 16.01",53,53,21.29,03/03/2022,F
"CHAMBLFERT"," EQ"," 02-Mar-2022"," 377.70"," 373.00"," 390.00"," 373.00"," 390.00"," 386.70"," 384.32"," 1223447"," 4701.94"," 25742"," 263840"," 21.57",48,54,21.23,03/02/2022,F
"CHAMBLFERT"," EQ"," 28-Feb-2022"," 368.65"," 368.40"," 379.00"," 363.65"," 376.00"," 377.70"," 373.28"," 901022"," 3363.32"," 17508"," 161699"," 17.95",51,54,20.96,02/28/2022,F
"CHAMBLFERT"," EQ"," 25-Feb-2022"," 353.60"," 363.95"," 377.50"," 361.90"," 367.50"," 368.65"," 370.74"," 1376217"," 5102.14"," 30974"," 301105"," 21.88",44,54,20.94,02/25/2022,F
"CHAMBLFERT"," EQ"," 24-Feb-2022"," 380.30"," 369.00"," 376.00"," 348.75"," 354.95"," 353.60"," 363.52"," 2071608"," 7530.80"," 39894"," 480426"," 23.19",52,54,20.89,02/24/2022,F
"CHAMBLFERT"," EQ"," 23-Feb-2022"," 366.80"," 371.20"," 382.40"," 370.15"," 381.00"," 380.30"," 377.03"," 1337988"," 5044.59"," 23535"," 441378"," 32.99",57,54,20.75,02/23/2022,T
"CHAMBLFERT"," EQ"," 22-Feb-2022"," 372.50"," 359.00"," 372.55"," 357.00"," 366.90"," 366.80"," 367.43"," 1067779"," 3923.38"," 20885"," 378668"," 35.46",51,54,20.50,02/22/2022,F
"CHAMBLFERT"," EQ"," 21-Feb-2022"," 383.40"," 382.00"," 382.00"," 370.20"," 371.90"," 372.50"," 376.41"," 836480"," 3148.58"," 17075"," 192919"," 23.06",49,54,20.14,02/21/2022,F
"CHAMBLFERT"," EQ"," 18-Feb-2022"," 393.40"," 388.45"," 392.95"," 380.00"," 381.20"," 383.40"," 387.43"," 2144722"," 8309.27"," 26985"," 296779"," 13.84",79,54,20.01,02/18/2022,F
"CHAMBLFERT"," EQ"," 17-Feb-2022"," 389.25"," 389.25"," 398.40"," 389.25"," 393.35"," 393.40"," 395.05"," 1710786"," 6758.54"," 28714"," 432598"," 25.29",60,54,20.11,02/17/2022,T
"CHAMBLFERT"," EQ"," 16-Feb-2022"," 384.00"," 385.10"," 399.00"," 384.00"," 385.50"," 389.25"," 393.85"," 1724269"," 6791.05"," 35721"," 375233"," 21.76",48,54,19.87,02/16/2022,F
"CHAMBLFERT"," EQ"," 15-Feb-2022"," 373.15"," 378.70"," 384.95"," 367.90"," 383.95"," 384.00"," 376.81"," 1104294"," 4161.06"," 25646"," 328685"," 29.76",43,54,19.92,02/15/2022,F
"CHAMBLFERT"," EQ"," 14-Feb-2022"," 387.90"," 384.40"," 384.75"," 370.35"," 372.00"," 373.15"," 376.81"," 1490919"," 5617.98"," 31097"," 496360"," 33.29",48,54,19.68,02/14/2022,F
