symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"CHOLAFIN"," EQ"," 25-Mar-2022"," 731.35"," 732.90"," 739.95"," 725.30"," 730.20"," 732.25"," 732.97"," 1442309"," 10571.72"," 32889"," 500058"," 34.67",44,48,31.33,03/25/2022,F
"CHOLAFIN"," EQ"," 24-Mar-2022"," 721.75"," 717.60"," 734.50"," 716.50"," 729.50"," 731.35"," 728.62"," 1944920"," 14171.15"," 55268"," 540472"," 27.79",35,48,31.06,03/24/2022,F
"CHOLAFIN"," EQ"," 23-Mar-2022"," 711.95"," 716.50"," 730.35"," 714.40"," 720.00"," 721.75"," 722.72"," 3237859"," 23400.52"," 68325"," 703536"," 21.73",47,48,31.02,03/23/2022,F
"CHOLAFIN"," EQ"," 22-Mar-2022"," 697.85"," 697.00"," 720.00"," 685.15"," 713.00"," 711.95"," 702.48"," 1744155"," 12252.42"," 39258"," 516944"," 29.64",44,48,31.17,03/22/2022,F
"CHOLAFIN"," EQ"," 21-Mar-2022"," 719.85"," 717.90"," 719.85"," 696.25"," 697.40"," 697.85"," 703.63"," 1702087"," 11976.47"," 41802"," 645211"," 37.91",41,48,31.21,03/21/2022,F
"CHOLAFIN"," EQ"," 17-Mar-2022"," 697.40"," 708.00"," 723.95"," 704.10"," 718.65"," 719.85"," 714.57"," 2591783"," 18520.20"," 50463"," 934424"," 36.05",51,49,31.23,03/17/2022,T
"CHOLAFIN"," EQ"," 16-Mar-2022"," 685.80"," 692.00"," 713.50"," 690.70"," 695.95"," 697.40"," 702.75"," 2941360"," 20670.32"," 67883"," 698127"," 23.73",43,49,31.15,03/16/2022,F
"CHOLAFIN"," EQ"," 15-Mar-2022"," 679.25"," 679.50"," 698.85"," 675.70"," 682.00"," 685.80"," 687.37"," 3511719"," 24138.55"," 79570"," 1286615"," 36.64",44,49,31.46,03/15/2022,F
"CHOLAFIN"," EQ"," 14-Mar-2022"," 671.45"," 669.00"," 681.70"," 658.05"," 679.50"," 679.25"," 670.10"," 1608380"," 10777.82"," 44448"," 441838"," 27.47",36,49,31.79,03/14/2022,F
"CHOLAFIN"," EQ"," 11-Mar-2022"," 670.45"," 662.30"," 675.00"," 661.05"," 669.95"," 671.45"," 668.94"," 1452682"," 9717.59"," 30881"," 435332"," 29.97",47,49,31.97,03/11/2022,F
"CHOLAFIN"," EQ"," 10-Mar-2022"," 640.50"," 647.85"," 675.70"," 647.85"," 670.00"," 670.45"," 667.49"," 2425990"," 16193.17"," 68439"," 792801"," 32.68",35,50,32.17,03/10/2022,F
"CHOLAFIN"," EQ"," 09-Mar-2022"," 615.55"," 621.10"," 644.70"," 613.30"," 640.00"," 640.50"," 626.98"," 3413357"," 21401.23"," 63678"," 1600306"," 46.88",54,50,32.42,03/09/2022,T
"CHOLAFIN"," EQ"," 08-Mar-2022"," 607.30"," 607.30"," 621.55"," 595.10"," 616.00"," 615.55"," 610.34"," 2672403"," 16310.77"," 52945"," 820792"," 30.71",50,50,32.19,03/08/2022,F
"CHOLAFIN"," EQ"," 04-Mar-2022"," 675.90"," 669.95"," 673.95"," 644.10"," 657.80"," 658.50"," 660.48"," 2507093"," 16558.81"," 57494"," 881552"," 35.16",44,50,32.00,03/04/2022,F
"CHOLAFIN"," EQ"," 03-Mar-2022"," 679.45"," 695.00"," 695.00"," 673.10"," 674.70"," 675.90"," 682.45"," 1614018"," 11014.88"," 41586"," 644944"," 39.96",39,50,32.15,03/03/2022,F
"CHOLAFIN"," EQ"," 02-Mar-2022"," 690.95"," 680.00"," 697.80"," 668.30"," 680.00"," 679.45"," 680.78"," 2401524"," 16349.06"," 85699"," 947983"," 39.47",28,50,32.04,03/02/2022,F
"CHOLAFIN"," EQ"," 28-Feb-2022"," 683.80"," 680.00"," 693.00"," 668.00"," 689.00"," 690.95"," 683.98"," 2217246"," 15165.60"," 74762"," 842906"," 38.02",30,50,32.05,02/28/2022,F
"CHOLAFIN"," EQ"," 25-Feb-2022"," 647.85"," 659.00"," 688.45"," 657.00"," 685.00"," 683.80"," 678.90"," 1632149"," 11080.62"," 38560"," 240019"," 14.71",42,51,32.19,02/25/2022,F
"CHOLAFIN"," EQ"," 24-Feb-2022"," 684.30"," 663.00"," 676.75"," 643.00"," 645.30"," 647.85"," 657.38"," 2982071"," 19603.51"," 52882"," 845497"," 28.35",56,51,32.56,02/24/2022,F
"CHOLAFIN"," EQ"," 23-Feb-2022"," 691.60"," 697.95"," 703.90"," 681.75"," 683.95"," 684.30"," 689.32"," 2788938"," 19224.59"," 77994"," 764356"," 27.41",36,51,32.50,02/23/2022,F
"CHOLAFIN"," EQ"," 22-Feb-2022"," 674.15"," 664.15"," 701.00"," 649.85"," 689.00"," 691.60"," 682.56"," 6128200"," 41828.52"," 100663"," 2147601"," 35.04",61,51,32.65,02/22/2022,T
"CHOLAFIN"," EQ"," 21-Feb-2022"," 673.10"," 670.00"," 681.95"," 660.60"," 676.00"," 674.15"," 673.69"," 1251311"," 8429.92"," 31811"," 260556"," 20.82",39,50,32.55,02/21/2022,F
"CHOLAFIN"," EQ"," 18-Feb-2022"," 675.70"," 672.00"," 683.45"," 670.05"," 675.80"," 673.10"," 677.83"," 1074862"," 7285.77"," 19151"," 218900"," 20.37",56,50,32.66,02/18/2022,F
