symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"CIPLA"," EQ"," 25-Mar-2022"," 1029.00"," 1033.30"," 1033.30"," 1006.00"," 1017.00"," 1013.50"," 1013.59"," 1680031"," 17028.66"," 53697"," 849741"," 50.58",31,33,43.86,03/25/2022,F
"CIPLA"," EQ"," 24-Mar-2022"," 1014.45"," 1014.00"," 1040.10"," 1001.75"," 1028.00"," 1029.00"," 1023.11"," 3344649"," 34219.46"," 102752"," 1668279"," 49.88",33,33,43.65,03/24/2022,F
"CIPLA"," EQ"," 23-Mar-2022"," 1032.60"," 1044.90"," 1044.90"," 1011.25"," 1015.05"," 1014.45"," 1026.04"," 2781735"," 28541.77"," 84352"," 1499185"," 53.89",33,33,43.40,03/23/2022,F
"CIPLA"," EQ"," 22-Mar-2022"," 1050.30"," 1045.00"," 1049.25"," 1024.00"," 1034.00"," 1032.60"," 1033.05"," 2269544"," 23445.58"," 52551"," 1135440"," 50.03",43,33,43.19,03/22/2022,T
"CIPLA"," EQ"," 21-Mar-2022"," 1048.50"," 1067.80"," 1071.00"," 1049.10"," 1051.20"," 1050.30"," 1057.97"," 2039889"," 21581.32"," 59243"," 744653"," 36.50",34,33,42.90,03/21/2022,F
"CIPLA"," EQ"," 17-Mar-2022"," 1055.80"," 1056.00"," 1066.40"," 1045.70"," 1046.70"," 1048.50"," 1051.92"," 3712730"," 39054.91"," 98533"," 1984386"," 53.45",38,33,42.83,03/17/2022,T
"CIPLA"," EQ"," 16-Mar-2022"," 1068.05"," 1077.00"," 1078.00"," 1049.15"," 1053.70"," 1055.80"," 1056.28"," 3379138"," 35693.08"," 87930"," 1714828"," 50.75",38,33,42.75,03/16/2022,T
"CIPLA"," EQ"," 15-Mar-2022"," 1048.65"," 1045.00"," 1083.00"," 1045.00"," 1070.00"," 1068.05"," 1068.56"," 7945333"," 84900.93"," 186096"," 3648237"," 45.92",43,33,42.45,03/15/2022,T
"CIPLA"," EQ"," 14-Mar-2022"," 1043.95"," 1045.00"," 1058.00"," 1036.75"," 1047.60"," 1048.65"," 1046.67"," 5590771"," 58517.19"," 138196"," 2831151"," 50.64",40,33,42.13,03/14/2022,T
"CIPLA"," EQ"," 11-Mar-2022"," 987.05"," 984.25"," 1053.75"," 981.35"," 1045.00"," 1043.95"," 1023.44"," 11106725"," 113671.00"," 211764"," 3266177"," 29.41",52,32,42.14,03/11/2022,F
"CIPLA"," EQ"," 10-Mar-2022"," 981.55"," 982.05"," 992.90"," 975.00"," 985.00"," 987.05"," 985.08"," 4146797"," 40849.47"," 95573"," 2440016"," 58.84",43,32,42.18,03/10/2022,T
"CIPLA"," EQ"," 09-Mar-2022"," 969.55"," 969.55"," 987.55"," 960.05"," 981.50"," 981.55"," 979.44"," 3501351"," 34293.57"," 95960"," 1823521"," 52.08",36,32,42.03,03/09/2022,T
