symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"COALINDIA"," EQ"," 23-Mar-2022"," 183.35"," 182.60"," 184.25"," 179.30"," 183.50"," 183.05"," 181.46"," 13731315"," 24916.82"," 73127"," 4233232"," 30.83",188,155,35.12,03/23/2022,F
"COALINDIA"," EQ"," 22-Mar-2022"," 182.30"," 183.65"," 185.80"," 180.50"," 182.80"," 183.35"," 183.34"," 12372751"," 22684.01"," 76044"," 2109424"," 17.05",163,155,35.17,03/22/2022,F
"COALINDIA"," EQ"," 21-Mar-2022"," 176.55"," 177.85"," 186.35"," 177.50"," 182.35"," 182.30"," 182.49"," 20271556"," 36994.24"," 115017"," 4088944"," 20.17",176,154,35.52,03/21/2022,F
"COALINDIA"," EQ"," 17-Mar-2022"," 176.90"," 179.00"," 180.00"," 175.50"," 177.15"," 176.55"," 177.22"," 20052773"," 35536.85"," 89168"," 9970810"," 49.72",225,152,36.03,03/17/2022,T
"COALINDIA"," EQ"," 16-Mar-2022"," 172.90"," 173.00"," 177.80"," 172.90"," 176.30"," 176.90"," 175.60"," 11846738"," 20802.77"," 67148"," 3127097"," 26.40",176,152,35.85,03/16/2022,F
"COALINDIA"," EQ"," 15-Mar-2022"," 180.35"," 179.90"," 180.00"," 171.50"," 172.75"," 172.90"," 175.19"," 14074860"," 24657.11"," 105756"," 5131220"," 36.46",133,151,35.94,03/15/2022,F
"COALINDIA"," EQ"," 14-Mar-2022"," 181.75"," 181.00"," 182.15"," 177.85"," 179.80"," 180.35"," 179.91"," 8306420"," 14944.48"," 62771"," 2077287"," 25.01",132,150,36.04,03/14/2022,F
"COALINDIA"," EQ"," 11-Mar-2022"," 178.95"," 181.00"," 182.50"," 179.25"," 181.90"," 181.75"," 181.22"," 14663558"," 26573.18"," 106459"," 3135814"," 21.39",138,150,36.46,03/11/2022,F
"COALINDIA"," EQ"," 10-Mar-2022"," 186.65"," 184.00"," 184.00"," 177.05"," 179.65"," 178.95"," 179.14"," 30890343"," 55335.99"," 161095"," 10482616"," 33.93",192,150,36.78,03/10/2022,F
"COALINDIA"," EQ"," 09-Mar-2022"," 189.15"," 190.00"," 190.60"," 185.60"," 186.80"," 186.65"," 188.26"," 13870658"," 26113.54"," 90595"," 3193191"," 23.02",153,150,36.81,03/09/2022,F
"COALINDIA"," EQ"," 08-Mar-2022"," 188.70"," 189.00"," 191.70"," 186.60"," 188.55"," 189.15"," 189.21"," 22940456"," 43404.81"," 150061"," 6625912"," 28.88",153,149,37.09,03/08/2022,F
"COALINDIA"," EQ"," 04-Mar-2022"," 188.95"," 188.95"," 191.00"," 180.50"," 181.70"," 181.00"," 184.96"," 36095156"," 66761.42"," 197277"," 8609551"," 23.85",183,149,37.21,03/04/2022,F
"COALINDIA"," EQ"," 03-Mar-2022"," 184.80"," 189.60"," 197.75"," 186.85"," 188.85"," 188.95"," 191.31"," 74050073"," 141661.96"," 359441"," 18769740"," 25.35",206,150,37.72,03/03/2022,F
"COALINDIA"," EQ"," 02-Mar-2022"," 169.55"," 171.00"," 185.65"," 171.00"," 184.00"," 184.80"," 180.80"," 72648396"," 131350.26"," 381469"," 22202903"," 30.56",190,149,37.97,03/02/2022,F
"COALINDIA"," EQ"," 28-Feb-2022"," 163.45"," 162.45"," 169.95"," 160.55"," 169.20"," 169.55"," 166.72"," 20872239"," 34797.48"," 129815"," 5814295"," 27.86",161,151,38.34,02/28/2022,F
