symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"COFORGE"," EQ"," 23-Mar-2022"," 4457.70"," 4485.90"," 4497.00"," 4406.80"," 4408.75"," 4435.45"," 4449.93"," 165563"," 7367.44"," 19854"," 65875"," 39.79",8,9,32.30,03/23/2022,F
"COFORGE"," EQ"," 22-Mar-2022"," 4433.90"," 4425.00"," 4480.00"," 4388.00"," 4450.00"," 4457.70"," 4446.23"," 217962"," 9691.09"," 23716"," 55928"," 25.66",9,9,32.07,03/22/2022,F
"COFORGE"," EQ"," 21-Mar-2022"," 4411.05"," 4444.00"," 4485.00"," 4393.95"," 4410.00"," 4433.90"," 4442.91"," 285651"," 12691.23"," 31694"," 99285"," 34.76",9,9,32.11,03/21/2022,F
"COFORGE"," EQ"," 17-Mar-2022"," 4350.45"," 4425.00"," 4435.00"," 4365.00"," 4391.50"," 4411.05"," 4408.81"," 961418"," 42387.12"," 70980"," 533839"," 55.53",14,9,31.91,03/17/2022,T
"COFORGE"," EQ"," 16-Mar-2022"," 4151.60"," 4201.00"," 4359.90"," 4201.00"," 4348.00"," 4350.45"," 4302.94"," 860347"," 37020.23"," 77594"," 323704"," 37.62",11,9,31.47,03/16/2022,T
"COFORGE"," EQ"," 15-Mar-2022"," 4375.20"," 4387.00"," 4410.00"," 4084.10"," 4135.00"," 4151.60"," 4233.40"," 993833"," 42072.94"," 82825"," 411742"," 41.43",12,9,31.41,03/15/2022,T
"COFORGE"," EQ"," 14-Mar-2022"," 4298.30"," 4290.00"," 4394.75"," 4217.10"," 4365.00"," 4375.20"," 4318.12"," 721974"," 31175.71"," 60954"," 255294"," 35.36",12,9,31.25,03/14/2022,T
"COFORGE"," EQ"," 11-Mar-2022"," 4260.00"," 4258.80"," 4329.50"," 4235.20"," 4296.25"," 4298.30"," 4284.11"," 771438"," 33049.28"," 76998"," 178220"," 23.10",10,9,31.01,03/11/2022,F
"COFORGE"," EQ"," 10-Mar-2022"," 4556.10"," 4349.75"," 4350.00"," 4227.40"," 4234.80"," 4260.00"," 4296.46"," 3662287"," 157348.53"," 173847"," 1575103"," 43.01",21,9,31.03,03/10/2022,T
"COFORGE"," EQ"," 09-Mar-2022"," 4812.85"," 4857.20"," 4873.85"," 4526.00"," 4582.00"," 4556.10"," 4650.83"," 861200"," 40052.93"," 73240"," 458260"," 53.21",12,9,30.67,03/09/2022,T
"COFORGE"," EQ"," 08-Mar-2022"," 4722.40"," 4741.50"," 4842.80"," 4672.60"," 4825.00"," 4812.85"," 4781.96"," 460570"," 22024.26"," 56792"," 149007"," 32.35",8,9,30.08,03/08/2022,F
"COFORGE"," EQ"," 04-Mar-2022"," 4678.40"," 4646.00"," 4727.05"," 4554.75"," 4668.20"," 4662.45"," 4653.99"," 326327"," 15187.22"," 41986"," 89940"," 27.56",8,9,30.08,03/04/2022,F
"COFORGE"," EQ"," 03-Mar-2022"," 4492.45"," 4550.00"," 4693.65"," 4493.05"," 4665.00"," 4678.40"," 4625.65"," 630484"," 29164.00"," 72073"," 243623"," 38.64",9,9,30.28,03/03/2022,F
"COFORGE"," EQ"," 02-Mar-2022"," 4535.50"," 4500.00"," 4549.80"," 4480.00"," 4490.00"," 4492.45"," 4508.14"," 229823"," 10360.75"," 32203"," 82050"," 35.70",7,9,30.53,03/02/2022,F
"COFORGE"," EQ"," 28-Feb-2022"," 4501.90"," 4370.00"," 4561.20"," 4370.00"," 4524.00"," 4535.50"," 4502.19"," 294206"," 13245.72"," 31017"," 58250"," 19.80",9,9,30.73,02/28/2022,F
"COFORGE"," EQ"," 25-Feb-2022"," 4226.05"," 4325.00"," 4517.00"," 4260.00"," 4514.00"," 4501.90"," 4441.64"," 332829"," 14783.07"," 34982"," 88452"," 26.58",10,9,30.73,02/25/2022,F
"COFORGE"," EQ"," 24-Feb-2022"," 4436.65"," 4302.25"," 4319.40"," 4188.55"," 4225.00"," 4226.05"," 4229.24"," 358480"," 15160.98"," 38181"," 127627"," 35.60",9,9,30.99,02/24/2022,F
"COFORGE"," EQ"," 23-Feb-2022"," 4418.10"," 4455.00"," 4494.10"," 4390.00"," 4435.00"," 4436.65"," 4434.79"," 146695"," 6505.62"," 16002"," 32906"," 22.43",9,9,30.80,02/23/2022,F
"COFORGE"," EQ"," 22-Feb-2022"," 4412.90"," 4205.10"," 4448.65"," 4205.10"," 4427.00"," 4418.10"," 4391.15"," 283211"," 12436.21"," 30687"," 46045"," 16.26",9,9,31.06,02/22/2022,F
"COFORGE"," EQ"," 21-Feb-2022"," 4320.45"," 4300.00"," 4510.00"," 4240.00"," 4409.00"," 4412.90"," 4393.84"," 479555"," 21070.90"," 48346"," 104496"," 21.79",10,9,31.06,02/21/2022,F
"COFORGE"," EQ"," 18-Feb-2022"," 4388.60"," 4335.10"," 4419.95"," 4305.05"," 4317.00"," 4320.45"," 4363.88"," 217360"," 9485.32"," 20402"," 95897"," 44.12",11,9,30.98,02/18/2022,T
"COFORGE"," EQ"," 17-Feb-2022"," 4461.90"," 4473.00"," 4493.00"," 4364.00"," 4375.55"," 4388.60"," 4410.13"," 223742"," 9867.30"," 24473"," 89731"," 40.10",9,9,30.77,02/17/2022,F
"COFORGE"," EQ"," 16-Feb-2022"," 4504.40"," 4572.00"," 4590.55"," 4430.10"," 4436.20"," 4461.90"," 4486.58"," 263626"," 11827.78"," 28680"," 74681"," 28.33",9,9,30.63,02/16/2022,F
"COFORGE"," EQ"," 15-Feb-2022"," 4355.25"," 4390.00"," 4528.00"," 4331.50"," 4528.00"," 4504.40"," 4451.16"," 351084"," 15627.32"," 36824"," 90431"," 25.76",10,9,30.46,02/15/2022,F
"COFORGE"," EQ"," 14-Feb-2022"," 4541.60"," 4370.00"," 4513.20"," 4300.00"," 4373.00"," 4355.25"," 4425.22"," 257780"," 11407.34"," 30487"," 70442"," 27.33",8,9,30.29,02/14/2022,F
"COFORGE"," EQ"," 11-Feb-2022"," 4729.55"," 4645.00"," 4659.15"," 4525.00"," 4530.00"," 4541.60"," 4564.55"," 355001"," 16204.21"," 45363"," 142487"," 40.14",8,9,30.35,02/11/2022,F
"COFORGE"," EQ"," 10-Feb-2022"," 4763.80"," 4790.00"," 4819.15"," 4713.50"," 4730.00"," 4729.55"," 4735.71"," 188286"," 8916.69"," 15886"," 57734"," 30.66",12,9,30.06,02/10/2022,T
"COFORGE"," EQ"," 09-Feb-2022"," 4581.40"," 4625.00"," 4775.00"," 4610.05"," 4770.00"," 4763.80"," 4723.62"," 322221"," 15220.50"," 32946"," 103954"," 32.26",10,9,30.01,02/09/2022,T
"COFORGE"," EQ"," 08-Feb-2022"," 4658.85"," 4677.00"," 4717.00"," 4545.00"," 4570.00"," 4581.40"," 4597.81"," 276669"," 12720.70"," 28041"," 93036"," 33.63",10,9,30.12,02/08/2022,T
"COFORGE"," EQ"," 07-Feb-2022"," 4695.10"," 4690.00"," 4759.00"," 4613.00"," 4648.95"," 4658.85"," 4691.02"," 327157"," 15346.99"," 29775"," 140616"," 42.98",11,9,30.03,02/07/2022,T
"COFORGE"," EQ"," 04-Feb-2022"," 4678.50"," 4675.00"," 4739.00"," 4588.00"," 4693.00"," 4695.10"," 4686.93"," 411521"," 19287.70"," 47020"," 94239"," 22.90",9,9,29.86,02/04/2022,F
"COFORGE"," EQ"," 03-Feb-2022"," 4822.80"," 4829.00"," 4842.00"," 4660.05"," 4673.05"," 4678.50"," 4732.54"," 347569"," 16448.84"," 44071"," 118510"," 34.10",8,9,29.98,02/03/2022,F
"COFORGE"," EQ"," 02-Feb-2022"," 4790.90"," 4809.00"," 4862.90"," 4756.40"," 4829.00"," 4822.80"," 4819.57"," 413069"," 19908.17"," 53225"," 201136"," 48.69",8,9,29.99,02/02/2022,F
"COFORGE"," EQ"," 01-Feb-2022"," 4813.50"," 4925.00"," 4948.60"," 4715.05"," 4792.00"," 4790.90"," 4810.46"," 425010"," 20444.94"," 69081"," 132760"," 31.24",6,9,29.77,02/01/2022,F
"COFORGE"," EQ"," 31-Jan-2022"," 4713.25"," 4807.00"," 4910.00"," 4763.10"," 4830.85"," 4813.50"," 4826.42"," 466619"," 22520.97"," 59680"," 144240"," 30.91",8,9,29.84,01/31/2022,F
"COFORGE"," EQ"," 28-Jan-2022"," 4400.80"," 4601.50"," 4825.00"," 4560.00"," 4690.00"," 4713.25"," 4738.66"," 1344133"," 63693.84"," 143720"," 179030"," 13.32",9,9,29.88,01/28/2022,F
"COFORGE"," EQ"," 27-Jan-2022"," 4781.65"," 4775.00"," 4775.00"," 4371.00"," 4400.70"," 4400.80"," 4516.93"," 543551"," 24551.84"," 74082"," 186622"," 34.33",7,9,30.32,01/27/2022,F
"COFORGE"," EQ"," 25-Jan-2022"," 4824.95"," 4685.00"," 4878.25"," 4651.40"," 4791.60"," 4781.65"," 4785.23"," 263837"," 12625.21"," 37199"," 70445"," 26.70",7,9,30.73,01/25/2022,F
"COFORGE"," EQ"," 24-Jan-2022"," 5200.35"," 5200.00"," 5200.00"," 4801.00"," 4810.00"," 4824.95"," 4916.35"," 388087"," 19079.71"," 53269"," 105251"," 27.12",7,9,30.78,01/24/2022,F
"COFORGE"," EQ"," 21-Jan-2022"," 5310.85"," 5250.00"," 5385.00"," 5154.75"," 5185.00"," 5200.35"," 5259.91"," 249713"," 13134.68"," 40653"," 77689"," 31.11",6,9,30.68,01/21/2022,F
"COFORGE"," EQ"," 20-Jan-2022"," 5408.25"," 5398.00"," 5440.00"," 5222.50"," 5340.15"," 5310.85"," 5302.88"," 292397"," 15505.45"," 50035"," 95143"," 32.54",6,10,30.71,01/20/2022,F
"COFORGE"," EQ"," 19-Jan-2022"," 5410.20"," 5420.00"," 5459.15"," 5281.20"," 5410.00"," 5408.25"," 5356.19"," 338798"," 18146.65"," 48864"," 133175"," 39.31",7,10,30.60,01/19/2022,F
"COFORGE"," EQ"," 18-Jan-2022"," 5628.00"," 5675.00"," 5675.00"," 5381.70"," 5420.00"," 5410.20"," 5505.46"," 278602"," 15338.32"," 44189"," 111523"," 40.03",6,10,30.33,01/18/2022,F
"COFORGE"," EQ"," 17-Jan-2022"," 5688.55"," 5710.70"," 5720.00"," 5613.30"," 5625.25"," 5628.00"," 5642.11"," 170630"," 9627.13"," 24841"," 69550"," 40.76",7,10,30.10,01/17/2022,F
"COFORGE"," EQ"," 14-Jan-2022"," 5726.65"," 5650.00"," 5710.00"," 5625.00"," 5688.00"," 5688.55"," 5674.78"," 183286"," 10401.08"," 23699"," 50165"," 27.37",8,10,30.16,01/14/2022,F
"COFORGE"," EQ"," 13-Jan-2022"," 5788.35"," 5820.00"," 5864.80"," 5685.65"," 5725.00"," 5726.65"," 5743.29"," 209226"," 12016.46"," 28362"," 61000"," 29.16",7,10,30.21,01/13/2022,F
"COFORGE"," EQ"," 12-Jan-2022"," 5767.15"," 5800.00"," 5838.75"," 5732.00"," 5789.05"," 5788.35"," 5793.30"," 246096"," 14257.09"," 22151"," 101001"," 41.04",11,10,30.11,01/12/2022,T
"COFORGE"," EQ"," 11-Jan-2022"," 5580.55"," 5616.70"," 5887.90"," 5614.95"," 5764.00"," 5767.15"," 5788.20"," 768310"," 44471.31"," 74190"," 165520"," 21.54",10,10,29.96,01/11/2022,F
"COFORGE"," EQ"," 10-Jan-2022"," 5756.20"," 5813.50"," 5813.50"," 5560.00"," 5576.00"," 5580.55"," 5631.62"," 380344"," 21419.51"," 44309"," 143809"," 37.81",9,10,30.20,01/10/2022,F
"COFORGE"," EQ"," 07-Jan-2022"," 5931.15"," 5975.00"," 5975.00"," 5710.75"," 5747.00"," 5756.20"," 5837.56"," 251810"," 14699.55"," 31967"," 81280"," 32.28",8,10,30.05,01/07/2022,F
"COFORGE"," EQ"," 06-Jan-2022"," 5939.50"," 5850.00"," 5984.40"," 5756.65"," 5940.10"," 5931.15"," 5909.35"," 343998"," 20328.05"," 38446"," 119795"," 34.82",9,10,29.82,01/06/2022,F
