symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"COLPAL"," EQ"," 23-Mar-2022"," 1505.10"," 1505.00"," 1543.95"," 1501.10"," 1525.35"," 1527.80"," 1527.80"," 524647"," 8015.54"," 32315"," 274762"," 52.37",16,19,58.50,03/23/2022,F
"COLPAL"," EQ"," 22-Mar-2022"," 1521.20"," 1501.00"," 1518.65"," 1479.10"," 1499.95"," 1505.10"," 1496.94"," 416218"," 6230.53"," 20693"," 257161"," 61.79",20,19,58.74,03/22/2022,T
"COLPAL"," EQ"," 21-Mar-2022"," 1533.75"," 1533.75"," 1536.60"," 1514.00"," 1514.00"," 1521.20"," 1521.87"," 319535"," 4862.90"," 19815"," 216978"," 67.90",16,19,58.80,03/21/2022,F
"COLPAL"," EQ"," 17-Mar-2022"," 1530.65"," 1539.00"," 1541.00"," 1520.00"," 1536.70"," 1533.75"," 1532.80"," 482251"," 7391.94"," 32746"," 319178"," 66.19",15,19,58.78,03/17/2022,F
"COLPAL"," EQ"," 16-Mar-2022"," 1518.50"," 1521.00"," 1533.00"," 1502.55"," 1526.00"," 1530.65"," 1517.53"," 383351"," 5817.48"," 19891"," 220736"," 57.58",19,19,58.67,03/16/2022,F
"COLPAL"," EQ"," 15-Mar-2022"," 1518.90"," 1510.10"," 1535.60"," 1510.10"," 1516.00"," 1518.50"," 1524.92"," 448667"," 6841.82"," 36299"," 273402"," 60.94",12,19,58.75,03/15/2022,F
"COLPAL"," EQ"," 14-Mar-2022"," 1498.50"," 1502.50"," 1523.00"," 1487.65"," 1514.15"," 1518.90"," 1509.28"," 401454"," 6059.05"," 30485"," 271188"," 67.55",13,19,58.88,03/14/2022,F
"COLPAL"," EQ"," 11-Mar-2022"," 1496.95"," 1512.00"," 1525.00"," 1486.75"," 1502.50"," 1498.50"," 1501.35"," 785111"," 11787.23"," 38535"," 192229"," 24.48",20,19,58.90,03/11/2022,F
"COLPAL"," EQ"," 10-Mar-2022"," 1449.05"," 1465.00"," 1499.50"," 1458.80"," 1495.00"," 1496.95"," 1487.46"," 745076"," 11082.72"," 31637"," 332128"," 44.58",24,19,59.69,03/10/2022,F
"COLPAL"," EQ"," 09-Mar-2022"," 1430.40"," 1434.95"," 1453.75"," 1427.55"," 1449.75"," 1449.05"," 1447.73"," 607334"," 8792.54"," 22701"," 443728"," 73.06",27,19,60.15,03/09/2022,T
"COLPAL"," EQ"," 08-Mar-2022"," 1401.25"," 1400.00"," 1437.00"," 1388.00"," 1425.25"," 1430.40"," 1407.76"," 469997"," 6616.41"," 20767"," 303081"," 64.49",23,19,59.85,03/08/2022,T
"COLPAL"," EQ"," 04-Mar-2022"," 1441.35"," 1438.00"," 1445.55"," 1417.10"," 1441.00"," 1439.30"," 1436.17"," 222087"," 3189.55"," 12441"," 111405"," 50.16",18,19,59.92,03/04/2022,F
"COLPAL"," EQ"," 03-Mar-2022"," 1447.50"," 1454.70"," 1454.70"," 1432.10"," 1436.00"," 1441.35"," 1444.69"," 330843"," 4779.65"," 19301"," 191953"," 58.02",17,19,60.15,03/03/2022,F
"COLPAL"," EQ"," 02-Mar-2022"," 1450.40"," 1435.00"," 1450.00"," 1421.10"," 1446.30"," 1447.50"," 1440.85"," 394137"," 5678.91"," 25249"," 246319"," 62.50",16,19,60.32,03/02/2022,F
"COLPAL"," EQ"," 28-Feb-2022"," 1409.75"," 1409.00"," 1454.90"," 1398.00"," 1439.00"," 1450.40"," 1435.08"," 785968"," 11279.28"," 25998"," 531615"," 67.64",30,19,60.46,02/28/2022,T
"COLPAL"," EQ"," 25-Feb-2022"," 1397.35"," 1398.00"," 1418.95"," 1396.00"," 1411.00"," 1409.75"," 1410.82"," 280686"," 3959.98"," 14179"," 142435"," 50.75",20,19,60.11,02/25/2022,F
"COLPAL"," EQ"," 24-Feb-2022"," 1432.25"," 1414.00"," 1425.00"," 1392.00"," 1392.00"," 1397.35"," 1406.08"," 477460"," 6713.48"," 30978"," 288767"," 60.48",15,19,60.10,02/24/2022,F
"COLPAL"," EQ"," 23-Feb-2022"," 1422.80"," 1427.00"," 1435.15"," 1420.00"," 1433.95"," 1432.25"," 1429.35"," 268523"," 3838.13"," 14079"," 185797"," 69.19",19,19,59.99,02/23/2022,F
"COLPAL"," EQ"," 22-Feb-2022"," 1410.90"," 1390.10"," 1426.20"," 1390.00"," 1425.85"," 1422.80"," 1410.01"," 300023"," 4230.37"," 17480"," 136192"," 45.39",17,19,60.04,02/22/2022,F
"COLPAL"," EQ"," 21-Feb-2022"," 1410.45"," 1410.45"," 1417.65"," 1393.55"," 1410.00"," 1410.90"," 1406.28"," 307113"," 4318.86"," 18798"," 179080"," 58.31",16,19,60.18,02/21/2022,F
"COLPAL"," EQ"," 18-Feb-2022"," 1420.20"," 1419.90"," 1423.15"," 1407.35"," 1411.00"," 1410.45"," 1414.80"," 290096"," 4104.28"," 15905"," 206686"," 71.25",18,19,60.23,02/18/2022,F
"COLPAL"," EQ"," 17-Feb-2022"," 1428.40"," 1433.25"," 1434.10"," 1411.10"," 1418.60"," 1420.20"," 1422.04"," 263567"," 3748.04"," 25833"," 153912"," 58.40",10,19,60.06,02/17/2022,F
"COLPAL"," EQ"," 16-Feb-2022"," 1425.45"," 1435.00"," 1438.40"," 1416.70"," 1433.00"," 1428.40"," 1427.79"," 246533"," 3519.98"," 14730"," 160416"," 65.07",17,19,60.07,02/16/2022,F
"COLPAL"," EQ"," 15-Feb-2022"," 1413.30"," 1415.00"," 1433.10"," 1401.80"," 1424.90"," 1425.45"," 1419.31"," 329109"," 4671.09"," 21563"," 196560"," 59.72",15,19,60.08,02/15/2022,F
