symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"CONCOR"," EQ"," 23-Mar-2022"," 615.20"," 615.60"," 627.00"," 611.35"," 614.05"," 614.95"," 618.74"," 716804"," 4435.17"," 27024"," 388685"," 54.22",27,37,44.95,03/23/2022,F
"CONCOR"," EQ"," 22-Mar-2022"," 614.90"," 610.00"," 617.10"," 607.60"," 613.30"," 615.20"," 613.30"," 1045609"," 6412.70"," 25699"," 696769"," 66.64",41,37,44.66,03/22/2022,T
"CONCOR"," EQ"," 21-Mar-2022"," 616.10"," 619.90"," 628.30"," 610.00"," 613.00"," 614.90"," 616.40"," 1047910"," 6459.28"," 29344"," 477937"," 45.61",36,37,44.55,03/21/2022,F
"CONCOR"," EQ"," 17-Mar-2022"," 616.05"," 618.00"," 622.00"," 612.70"," 616.20"," 616.10"," 617.08"," 865280"," 5339.48"," 30021"," 430388"," 49.74",29,37,44.56,03/17/2022,F
"CONCOR"," EQ"," 16-Mar-2022"," 589.95"," 595.20"," 618.75"," 593.00"," 616.20"," 616.05"," 611.77"," 1442863"," 8827.02"," 33828"," 660891"," 45.80",43,37,44.37,03/16/2022,T
"CONCOR"," EQ"," 15-Mar-2022"," 599.05"," 599.60"," 604.00"," 586.85"," 590.85"," 589.95"," 595.80"," 624447"," 3720.44"," 21180"," 297402"," 47.63",29,37,44.27,03/15/2022,F
"CONCOR"," EQ"," 14-Mar-2022"," 596.40"," 596.95"," 604.85"," 588.90"," 598.00"," 599.05"," 598.96"," 922125"," 5523.19"," 15989"," 419484"," 45.49",58,37,44.29,03/14/2022,T
"CONCOR"," EQ"," 11-Mar-2022"," 592.90"," 588.65"," 601.85"," 580.95"," 599.55"," 596.40"," 589.63"," 1135613"," 6695.89"," 23136"," 650468"," 57.28",49,37,44.61,03/11/2022,T
"CONCOR"," EQ"," 10-Mar-2022"," 594.60"," 598.25"," 603.00"," 590.25"," 592.40"," 592.90"," 596.58"," 864553"," 5157.77"," 19017"," 409605"," 47.38",45,37,44.22,03/10/2022,T
"CONCOR"," EQ"," 09-Mar-2022"," 569.45"," 571.00"," 596.70"," 570.10"," 594.30"," 594.60"," 582.03"," 700987"," 4079.98"," 19235"," 291474"," 41.58",36,37,44.09,03/09/2022,F
"CONCOR"," EQ"," 08-Mar-2022"," 573.55"," 570.00"," 579.15"," 556.00"," 568.20"," 569.45"," 566.75"," 1106111"," 6268.85"," 25892"," 706346"," 63.86",43,38,44.44,03/08/2022,T
"CONCOR"," EQ"," 04-Mar-2022"," 595.65"," 590.00"," 594.00"," 578.00"," 578.85"," 579.95"," 587.00"," 740709"," 4347.99"," 20061"," 370575"," 50.03",37,37,44.28,03/04/2022,F
"CONCOR"," EQ"," 03-Mar-2022"," 601.30"," 604.50"," 611.40"," 592.85"," 596.90"," 595.65"," 602.45"," 808715"," 4872.13"," 18572"," 335904"," 41.54",44,38,43.88,03/03/2022,F
"CONCOR"," EQ"," 02-Mar-2022"," 599.20"," 595.05"," 608.00"," 589.40"," 601.45"," 601.30"," 600.59"," 575424"," 3455.96"," 16527"," 218524"," 37.98",35,38,43.97,03/02/2022,F
"CONCOR"," EQ"," 28-Feb-2022"," 578.60"," 577.80"," 601.15"," 570.10"," 599.45"," 599.20"," 591.16"," 1242329"," 7344.21"," 32015"," 609137"," 49.03",39,38,44.36,02/28/2022,T
"CONCOR"," EQ"," 25-Feb-2022"," 558.35"," 570.00"," 591.05"," 565.30"," 576.30"," 578.60"," 581.81"," 772903"," 4496.80"," 25450"," 269463"," 34.86",30,38,44.40,02/25/2022,F
"CONCOR"," EQ"," 24-Feb-2022"," 585.20"," 570.00"," 575.70"," 556.00"," 562.00"," 558.35"," 567.15"," 1933204"," 10964.07"," 45944"," 718455"," 37.16",42,38,44.69,02/24/2022,F
"CONCOR"," EQ"," 23-Feb-2022"," 574.65"," 578.25"," 593.85"," 576.50"," 584.90"," 585.20"," 588.25"," 891349"," 5243.39"," 27390"," 219444"," 24.62",33,38,45.05,02/23/2022,F
"CONCOR"," EQ"," 22-Feb-2022"," 588.55"," 575.50"," 578.95"," 564.05"," 576.35"," 574.65"," 569.24"," 2185096"," 12438.38"," 58983"," 1345752"," 61.59",37,38,45.30,02/22/2022,F
"CONCOR"," EQ"," 21-Feb-2022"," 593.60"," 590.10"," 597.75"," 584.00"," 586.85"," 588.55"," 590.25"," 760162"," 4486.82"," 20649"," 323363"," 42.54",37,38,45.42,02/21/2022,F
"CONCOR"," EQ"," 18-Feb-2022"," 599.55"," 599.00"," 603.85"," 585.85"," 594.70"," 593.60"," 599.35"," 1520502"," 9113.11"," 20554"," 176620"," 11.62",74,38,45.54,02/18/2022,F
"CONCOR"," EQ"," 17-Feb-2022"," 600.95"," 600.95"," 606.50"," 593.05"," 597.95"," 599.55"," 600.89"," 1067084"," 6411.99"," 33381"," 625269"," 58.60",32,38,46.08,02/17/2022,F
"CONCOR"," EQ"," 16-Feb-2022"," 598.25"," 598.00"," 608.45"," 593.00"," 599.85"," 600.95"," 601.36"," 1029921"," 6193.52"," 24612"," 480890"," 46.69",42,37,46.12,02/16/2022,T
"CONCOR"," EQ"," 15-Feb-2022"," 588.35"," 593.85"," 600.15"," 584.40"," 596.50"," 598.25"," 591.97"," 1112068"," 6583.07"," 57064"," 620640"," 55.81",19,37,46.22,02/15/2022,F
