symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"COROMANDEL"," EQ"," 25-Mar-2022"," 808.85"," 814.00"," 814.00"," 790.55"," 792.50"," 793.75"," 800.20"," 160900"," 1287.53"," 11342"," 63797"," 39.65",14,23,47.99,03/25/2022,F
"COROMANDEL"," EQ"," 24-Mar-2022"," 822.55"," 823.20"," 827.85"," 802.10"," 805.00"," 808.85"," 812.87"," 440707"," 3582.38"," 20151"," 301546"," 68.42",22,23,48.14,03/24/2022,F
"COROMANDEL"," EQ"," 23-Mar-2022"," 830.80"," 832.00"," 838.70"," 818.60"," 821.40"," 822.55"," 830.42"," 441619"," 3667.28"," 16432"," 309424"," 70.07",27,23,47.48,03/23/2022,T
"COROMANDEL"," EQ"," 22-Mar-2022"," 854.75"," 860.00"," 860.50"," 825.25"," 830.00"," 830.80"," 836.69"," 625966"," 5237.41"," 24677"," 343122"," 54.81",25,23,46.82,03/22/2022,T
"COROMANDEL"," EQ"," 21-Mar-2022"," 849.45"," 853.00"," 867.85"," 841.35"," 852.00"," 854.75"," 854.74"," 991267"," 8472.79"," 48523"," 279513"," 28.20",20,23,46.84,03/21/2022,F
"COROMANDEL"," EQ"," 17-Mar-2022"," 799.80"," 810.00"," 855.75"," 801.30"," 848.00"," 849.45"," 836.04"," 1124743"," 9403.26"," 38396"," 372648"," 33.13",29,23,47.17,03/17/2022,F
"COROMANDEL"," EQ"," 16-Mar-2022"," 777.55"," 781.60"," 801.70"," 778.75"," 800.45"," 799.80"," 791.29"," 495585"," 3921.51"," 21235"," 150881"," 30.45",23,22,47.50,03/16/2022,F
"COROMANDEL"," EQ"," 15-Mar-2022"," 766.90"," 766.05"," 781.70"," 760.00"," 773.90"," 777.55"," 770.71"," 341088"," 2628.80"," 19961"," 142383"," 41.74",17,23,47.25,03/15/2022,F
"COROMANDEL"," EQ"," 14-Mar-2022"," 778.15"," 784.00"," 786.90"," 762.00"," 764.85"," 766.90"," 770.78"," 394873"," 3043.61"," 21195"," 193845"," 49.09",19,23,47.13,03/14/2022,F
"COROMANDEL"," EQ"," 11-Mar-2022"," 765.25"," 770.50"," 786.00"," 759.30"," 778.90"," 778.15"," 774.48"," 650333"," 5036.69"," 33196"," 318826"," 49.03",20,23,46.67,03/11/2022,F
"COROMANDEL"," EQ"," 10-Mar-2022"," 755.20"," 762.00"," 774.85"," 757.35"," 764.00"," 765.25"," 769.35"," 393270"," 3025.61"," 23871"," 183998"," 46.79",16,23,46.28,03/10/2022,F
"COROMANDEL"," EQ"," 09-Mar-2022"," 758.40"," 764.05"," 768.40"," 752.95"," 754.25"," 755.20"," 757.15"," 422520"," 3199.11"," 23028"," 229194"," 54.24",18,23,45.90,03/09/2022,F
"COROMANDEL"," EQ"," 08-Mar-2022"," 759.10"," 763.95"," 763.95"," 752.15"," 759.00"," 758.40"," 758.87"," 283870"," 2154.21"," 14005"," 160124"," 56.41",20,23,45.42,03/08/2022,F
"COROMANDEL"," EQ"," 04-Mar-2022"," 781.60"," 776.85"," 783.80"," 755.00"," 759.95"," 760.35"," 770.50"," 279164"," 2150.96"," 14924"," 134243"," 48.09",19,23,44.97,03/04/2022,F
"COROMANDEL"," EQ"," 03-Mar-2022"," 786.10"," 784.00"," 793.50"," 772.55"," 779.55"," 781.60"," 783.58"," 287460"," 2252.48"," 17349"," 129484"," 45.04",17,23,44.68,03/03/2022,F
"COROMANDEL"," EQ"," 02-Mar-2022"," 773.90"," 763.15"," 795.95"," 763.15"," 784.50"," 786.10"," 782.35"," 317907"," 2487.15"," 23203"," 166763"," 52.46",14,23,44.41,03/02/2022,F
"COROMANDEL"," EQ"," 28-Feb-2022"," 758.55"," 758.00"," 775.65"," 747.40"," 771.65"," 773.90"," 768.61"," 271221"," 2084.62"," 13510"," 144686"," 53.35",20,23,44.01,02/28/2022,F
"COROMANDEL"," EQ"," 25-Feb-2022"," 733.85"," 743.00"," 765.00"," 742.15"," 759.00"," 758.55"," 757.33"," 335928"," 2544.09"," 14049"," 178427"," 53.11",24,23,43.61,02/25/2022,T
"COROMANDEL"," EQ"," 24-Feb-2022"," 790.85"," 751.30"," 776.55"," 729.55"," 730.20"," 733.85"," 748.23"," 416197"," 3114.12"," 25772"," 158343"," 38.05",16,23,43.81,02/24/2022,F
"COROMANDEL"," EQ"," 23-Feb-2022"," 790.80"," 791.50"," 797.60"," 784.05"," 787.65"," 790.85"," 790.79"," 146408"," 1157.77"," 8829"," 67982"," 46.43",17,23,44.01,02/23/2022,F
"COROMANDEL"," EQ"," 22-Feb-2022"," 786.40"," 780.00"," 797.45"," 756.85"," 787.15"," 790.80"," 788.98"," 266131"," 2099.71"," 11260"," 110661"," 41.58",24,23,44.26,02/22/2022,F
"COROMANDEL"," EQ"," 21-Feb-2022"," 803.65"," 803.00"," 803.00"," 783.00"," 786.00"," 786.40"," 792.65"," 259292"," 2055.27"," 12985"," 106605"," 41.11",20,23,44.08,02/21/2022,F
"COROMANDEL"," EQ"," 18-Feb-2022"," 801.15"," 791.00"," 814.10"," 791.00"," 802.80"," 803.65"," 805.09"," 446439"," 3594.25"," 12220"," 209758"," 46.98",37,23,44.33,02/18/2022,T
"COROMANDEL"," EQ"," 17-Feb-2022"," 801.20"," 802.00"," 806.10"," 792.05"," 798.50"," 801.15"," 798.11"," 430157"," 3433.12"," 17468"," 133665"," 31.07",25,23,44.29,02/17/2022,F
