symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"CROMPTON"," EQ"," 25-Mar-2022"," 378.25"," 378.85"," 379.00"," 366.55"," 376.90"," 374.55"," 373.07"," 1918113"," 7155.88"," 33127"," 1065564"," 55.55",58,43,59.17,03/25/2022,F
"CROMPTON"," EQ"," 24-Mar-2022"," 386.75"," 384.95"," 387.80"," 375.60"," 376.00"," 378.25"," 381.56"," 2043527"," 7797.28"," 39307"," 1512141"," 74.00",52,42,59.13,03/24/2022,T
"CROMPTON"," EQ"," 23-Mar-2022"," 387.30"," 389.30"," 392.80"," 384.50"," 385.95"," 386.75"," 387.90"," 1913969"," 7424.27"," 33653"," 1237808"," 64.67",57,42,58.75,03/23/2022,T
"CROMPTON"," EQ"," 22-Mar-2022"," 394.20"," 393.00"," 394.15"," 380.55"," 386.35"," 387.30"," 385.29"," 2203247"," 8488.83"," 43524"," 1238851"," 56.23",51,42,58.52,03/22/2022,F
"CROMPTON"," EQ"," 21-Mar-2022"," 390.50"," 394.10"," 397.50"," 386.40"," 393.50"," 394.20"," 392.76"," 1586950"," 6232.85"," 45616"," 791395"," 49.87",35,42,58.23,03/21/2022,F
"CROMPTON"," EQ"," 17-Mar-2022"," 393.50"," 396.00"," 400.30"," 386.60"," 391.40"," 390.50"," 393.02"," 3219413"," 12652.81"," 37698"," 2008058"," 62.37",85,42,57.70,03/17/2022,T
"CROMPTON"," EQ"," 16-Mar-2022"," 393.05"," 398.25"," 402.20"," 386.20"," 393.00"," 393.50"," 394.22"," 1475668"," 5817.36"," 35721"," 628528"," 42.59",41,41,57.55,03/16/2022,F
"CROMPTON"," EQ"," 15-Mar-2022"," 404.60"," 405.00"," 406.25"," 384.75"," 393.25"," 393.05"," 393.82"," 2742566"," 10800.74"," 72860"," 1899853"," 69.27",38,41,57.76,03/15/2022,F
"CROMPTON"," EQ"," 14-Mar-2022"," 403.70"," 405.00"," 412.15"," 402.00"," 404.05"," 404.60"," 407.30"," 863665"," 3517.75"," 34126"," 335722"," 38.87",25,41,57.73,03/14/2022,F
"CROMPTON"," EQ"," 11-Mar-2022"," 399.20"," 399.20"," 404.65"," 393.75"," 404.00"," 403.70"," 399.54"," 1664103"," 6648.73"," 34446"," 816667"," 49.08",48,42,58.24,03/11/2022,F
"CROMPTON"," EQ"," 10-Mar-2022"," 384.85"," 390.00"," 404.15"," 389.15"," 398.10"," 399.20"," 397.76"," 1724745"," 6860.39"," 60146"," 974969"," 56.53",29,41,58.71,03/10/2022,F
"CROMPTON"," EQ"," 09-Mar-2022"," 386.50"," 393.50"," 393.50"," 380.65"," 384.35"," 384.85"," 386.03"," 1351764"," 5218.19"," 40490"," 751218"," 55.57",33,42,58.62,03/09/2022,F
"CROMPTON"," EQ"," 08-Mar-2022"," 376.00"," 379.50"," 388.20"," 372.35"," 386.50"," 386.50"," 379.62"," 1206284"," 4579.28"," 61359"," 588018"," 48.75",20,42,58.91,03/08/2022,F
"CROMPTON"," EQ"," 04-Mar-2022"," 401.15"," 399.30"," 399.50"," 383.50"," 388.00"," 388.95"," 388.13"," 2986658"," 11592.19"," 71236"," 1954998"," 65.46",42,42,59.15,03/04/2022,F
"CROMPTON"," EQ"," 03-Mar-2022"," 407.45"," 407.45"," 414.20"," 398.60"," 401.35"," 401.15"," 403.35"," 2269283"," 9153.05"," 46060"," 1222280"," 53.86",49,42,59.16,03/03/2022,F
"CROMPTON"," EQ"," 02-Mar-2022"," 428.50"," 426.70"," 431.45"," 404.45"," 405.90"," 407.45"," 414.72"," 2314459"," 9598.46"," 74540"," 1311672"," 56.67",31,42,59.38,03/02/2022,F
"CROMPTON"," EQ"," 28-Feb-2022"," 417.35"," 415.00"," 430.75"," 411.05"," 429.90"," 428.50"," 422.17"," 2665823"," 11254.24"," 81134"," 1718119"," 64.45",33,42,58.86,02/28/2022,F
"CROMPTON"," EQ"," 25-Feb-2022"," 405.50"," 416.00"," 423.60"," 407.30"," 417.10"," 417.35"," 417.97"," 3597759"," 15037.73"," 78113"," 1931467"," 53.69",46,42,58.98,02/25/2022,F
"CROMPTON"," EQ"," 24-Feb-2022"," 407.80"," 400.25"," 419.55"," 394.40"," 402.00"," 405.50"," 406.03"," 7089213"," 28784.51"," 134798"," 3690629"," 52.06",53,41,58.91,02/24/2022,F
"CROMPTON"," EQ"," 23-Feb-2022"," 380.00"," 378.00"," 410.75"," 375.85"," 408.50"," 407.80"," 400.67"," 8360203"," 33496.87"," 158203"," 3711091"," 44.39",53,41,58.99,02/23/2022,F
"CROMPTON"," EQ"," 22-Feb-2022"," 392.30"," 386.00"," 394.45"," 370.55"," 378.65"," 380.00"," 381.66"," 2316833"," 8842.48"," 45098"," 1062785"," 45.87",51,41,59.18,02/22/2022,F
"CROMPTON"," EQ"," 21-Feb-2022"," 391.30"," 389.15"," 394.60"," 381.50"," 393.20"," 392.30"," 388.58"," 1569988"," 6100.62"," 49217"," 1025822"," 65.34",32,41,59.46,02/21/2022,F
"CROMPTON"," EQ"," 18-Feb-2022"," 394.95"," 390.30"," 393.65"," 381.20"," 391.00"," 391.30"," 387.13"," 2231774"," 8639.78"," 35784"," 1569311"," 70.32",62,41,59.27,02/18/2022,T
"CROMPTON"," EQ"," 17-Feb-2022"," 398.45"," 398.45"," 401.85"," 390.50"," 392.20"," 394.95"," 394.08"," 1959651"," 7722.55"," 41298"," 1213869"," 61.94",47,40,59.10,02/17/2022,T
"CROMPTON"," EQ"," 16-Feb-2022"," 380.00"," 386.50"," 401.20"," 379.25"," 397.85"," 398.45"," 394.42"," 2931909"," 11563.92"," 57581"," 1835773"," 62.61",51,40,58.80,02/16/2022,T
"CROMPTON"," EQ"," 15-Feb-2022"," 369.80"," 373.00"," 381.65"," 354.40"," 380.85"," 380.00"," 363.21"," 6432331"," 23362.99"," 118518"," 3697288"," 57.48",54,40,59.07,02/15/2022,F
"CROMPTON"," EQ"," 14-Feb-2022"," 385.20"," 383.00"," 383.00"," 368.00"," 370.75"," 369.80"," 370.96"," 2397379"," 8893.34"," 82954"," 1643931"," 68.57",29,40,58.97,02/14/2022,F
"CROMPTON"," EQ"," 11-Feb-2022"," 398.05"," 398.00"," 398.05"," 382.65"," 383.50"," 385.20"," 388.76"," 1298647"," 5048.60"," 58522"," 623858"," 48.04",22,40,58.65,02/11/2022,F
"CROMPTON"," EQ"," 10-Feb-2022"," 406.85"," 407.00"," 407.40"," 396.05"," 398.50"," 398.05"," 399.81"," 1351120"," 5401.98"," 37160"," 875773"," 64.82",36,40,59.08,02/10/2022,F
"CROMPTON"," EQ"," 09-Feb-2022"," 406.20"," 407.40"," 412.00"," 405.85"," 407.50"," 406.85"," 407.92"," 1492958"," 6090.08"," 39473"," 995676"," 66.69",38,41,59.28,02/09/2022,F
"CROMPTON"," EQ"," 08-Feb-2022"," 409.70"," 410.00"," 411.30"," 404.35"," 406.00"," 406.20"," 406.90"," 849599"," 3457.02"," 23346"," 422118"," 49.68",36,41,59.18,02/08/2022,F
"CROMPTON"," EQ"," 07-Feb-2022"," 413.00"," 414.00"," 414.65"," 408.60"," 409.45"," 409.70"," 410.73"," 919414"," 3776.32"," 25957"," 469831"," 51.10",35,41,59.42,02/07/2022,F
"CROMPTON"," EQ"," 04-Feb-2022"," 411.65"," 412.00"," 417.80"," 410.50"," 412.15"," 413.00"," 414.82"," 665129"," 2759.09"," 19382"," 285086"," 42.86",34,41,59.38,02/04/2022,F
"CROMPTON"," EQ"," 03-Feb-2022"," 412.55"," 414.00"," 414.00"," 405.70"," 412.75"," 411.65"," 409.19"," 1657387"," 6781.78"," 41058"," 1019146"," 61.49",40,41,59.64,02/03/2022,F
"CROMPTON"," EQ"," 02-Feb-2022"," 414.80"," 415.50"," 417.95"," 409.55"," 412.50"," 412.55"," 413.70"," 3177292"," 13144.58"," 41751"," 2304304"," 72.52",76,41,59.33,02/02/2022,T
"CROMPTON"," EQ"," 01-Feb-2022"," 424.45"," 427.20"," 427.90"," 410.65"," 412.45"," 414.80"," 417.14"," 2570821"," 10723.82"," 32191"," 1977159"," 76.91",80,40,59.04,02/01/2022,T
"CROMPTON"," EQ"," 31-Jan-2022"," 414.85"," 417.90"," 427.55"," 413.35"," 425.05"," 424.45"," 419.90"," 3276800"," 13759.42"," 50553"," 2616343"," 79.84",65,40,58.73,01/31/2022,T
"CROMPTON"," EQ"," 28-Jan-2022"," 411.95"," 412.40"," 422.35"," 411.95"," 418.40"," 414.85"," 416.87"," 1670053"," 6962.03"," 34470"," 1064895"," 63.76",48,39,58.32,01/28/2022,T
"CROMPTON"," EQ"," 27-Jan-2022"," 420.25"," 417.90"," 417.90"," 408.50"," 410.30"," 411.95"," 411.07"," 2238682"," 9202.66"," 50502"," 1835778"," 82.00",44,39,58.43,01/27/2022,T
"CROMPTON"," EQ"," 25-Jan-2022"," 412.60"," 408.80"," 425.60"," 397.15"," 419.80"," 420.25"," 413.97"," 863783"," 3575.80"," 30893"," 421844"," 48.84",28,39,58.30,01/25/2022,F
"CROMPTON"," EQ"," 24-Jan-2022"," 420.05"," 420.00"," 421.20"," 405.00"," 407.00"," 412.60"," 413.19"," 826559"," 3415.22"," 29460"," 416375"," 50.37",28,39,58.54,01/24/2022,F
"CROMPTON"," EQ"," 21-Jan-2022"," 433.85"," 432.65"," 433.80"," 418.05"," 420.95"," 420.05"," 421.39"," 1487786"," 6269.39"," 34741"," 984819"," 66.19",43,39,58.51,01/21/2022,T
"CROMPTON"," EQ"," 20-Jan-2022"," 435.55"," 436.00"," 436.00"," 427.10"," 434.50"," 433.85"," 432.59"," 1577796"," 6825.44"," 21799"," 1043636"," 66.15",72,39,58.27,01/20/2022,T
"CROMPTON"," EQ"," 19-Jan-2022"," 435.30"," 437.00"," 439.60"," 429.05"," 436.00"," 435.55"," 434.25"," 1461755"," 6347.62"," 24414"," 994203"," 68.01",60,38,58.07,01/19/2022,T
"CROMPTON"," EQ"," 18-Jan-2022"," 444.60"," 446.95"," 451.75"," 416.30"," 451.00"," 435.30"," 439.60"," 2445048"," 10748.44"," 36766"," 1770922"," 72.43",67,38,58.20,01/18/2022,T
"CROMPTON"," EQ"," 17-Jan-2022"," 446.65"," 443.70"," 450.70"," 443.50"," 444.50"," 444.60"," 445.75"," 889473"," 3964.79"," 21170"," 662627"," 74.50",42,37,58.04,01/17/2022,T
"CROMPTON"," EQ"," 14-Jan-2022"," 448.65"," 445.60"," 451.95"," 445.00"," 445.50"," 446.65"," 447.26"," 1133406"," 5069.31"," 23026"," 866254"," 76.43",49,37,57.93,01/14/2022,T
"CROMPTON"," EQ"," 13-Jan-2022"," 444.50"," 443.95"," 450.75"," 442.80"," 448.40"," 448.65"," 446.20"," 1639648"," 7316.09"," 26215"," 1289368"," 78.64",63,37,57.63,01/13/2022,T
"CROMPTON"," EQ"," 12-Jan-2022"," 444.05"," 443.05"," 449.35"," 442.40"," 444.00"," 444.50"," 445.63"," 781432"," 3482.27"," 22141"," 521836"," 66.78",35,37,57.35,01/12/2022,F
"CROMPTON"," EQ"," 11-Jan-2022"," 445.05"," 441.00"," 451.95"," 438.45"," 443.05"," 444.05"," 442.88"," 1864439"," 8257.27"," 28449"," 1409142"," 75.58",66,37,57.19,01/11/2022,T
"CROMPTON"," EQ"," 10-Jan-2022"," 444.80"," 442.05"," 446.95"," 439.00"," 445.75"," 445.05"," 443.85"," 759025"," 3368.95"," 22956"," 500633"," 65.96",33,36,56.91,01/10/2022,F
"CROMPTON"," EQ"," 07-Jan-2022"," 441.15"," 438.10"," 448.50"," 438.00"," 444.05"," 444.80"," 444.27"," 1091678"," 4850.01"," 33445"," 509892"," 46.71",33,36,56.94,01/07/2022,F
"CROMPTON"," EQ"," 06-Jan-2022"," 443.05"," 440.15"," 444.25"," 433.75"," 442.35"," 441.15"," 439.91"," 914616"," 4023.45"," 29275"," 504770"," 55.19",31,36,57.33,01/06/2022,F
"CROMPTON"," EQ"," 05-Jan-2022"," 436.05"," 435.80"," 450.00"," 434.40"," 442.05"," 443.05"," 444.45"," 1154263"," 5130.18"," 41249"," 377308"," 32.69",28,36,57.15,01/05/2022,F
"CROMPTON"," EQ"," 04-Jan-2022"," 441.45"," 441.45"," 443.05"," 435.05"," 435.80"," 436.05"," 439.26"," 535329"," 2351.48"," 26982"," 331209"," 61.87",20,36,57.47,01/04/2022,F
"CROMPTON"," EQ"," 03-Jan-2022"," 437.45"," 436.05"," 443.90"," 436.05"," 442.05"," 441.45"," 441.57"," 349612"," 1543.77"," 23749"," 170871"," 48.87",15,36,57.46,01/03/2022,F
"CROMPTON"," EQ"," 31-Dec-2021"," 432.20"," 433.00"," 440.05"," 430.95"," 436.90"," 437.45"," 437.24"," 634761"," 2775.42"," 28347"," 337566"," 53.18",22,36,57.56,12/31/2021,F
"CROMPTON"," EQ"," 30-Dec-2021"," 430.30"," 432.30"," 434.95"," 428.75"," 432.50"," 432.20"," 431.93"," 667589"," 2883.51"," 24560"," 325270"," 48.72",27,36,57.44,12/30/2021,F
"CROMPTON"," EQ"," 29-Dec-2021"," 435.30"," 436.00"," 436.00"," 425.60"," 430.90"," 430.30"," 429.97"," 598761"," 2574.49"," 24267"," 309313"," 51.66",25,37,57.37,12/29/2021,F
"CROMPTON"," EQ"," 28-Dec-2021"," 432.80"," 433.00"," 439.95"," 432.30"," 433.05"," 435.30"," 435.22"," 532862"," 2319.14"," 15344"," 277781"," 52.13",35,36,57.50,12/28/2021,F
"CROMPTON"," EQ"," 27-Dec-2021"," 431.20"," 428.65"," 434.85"," 419.15"," 434.25"," 432.80"," 430.86"," 589846"," 2541.42"," 23182"," 252982"," 42.89",25,36,57.58,12/27/2021,F
"CROMPTON"," EQ"," 24-Dec-2021"," 431.45"," 431.45"," 432.50"," 423.05"," 428.65"," 431.20"," 427.46"," 1015915"," 4342.60"," 33881"," 535391"," 52.70",30,36,57.81,12/24/2021,F
"CROMPTON"," EQ"," 23-Dec-2021"," 414.65"," 419.50"," 434.00"," 414.90"," 432.10"," 431.45"," 426.02"," 1954762"," 8327.71"," 62954"," 1001371"," 51.23",31,36,57.88,12/23/2021,F
