symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"CUB"," EQ"," 23-Mar-2022"," 120.00"," 121.00"," 127.30"," 120.55"," 125.40"," 125.60"," 124.73"," 7430540"," 9268.46"," 35904"," 3453304"," 46.47",207,143,50.85,03/23/2022,F
"CUB"," EQ"," 22-Mar-2022"," 119.80"," 119.80"," 120.80"," 117.70"," 120.65"," 120.00"," 119.33"," 2225261"," 2655.47"," 10435"," 1299729"," 58.41",213,141,51.14,03/22/2022,T
"CUB"," EQ"," 21-Mar-2022"," 120.65"," 121.30"," 121.80"," 119.20"," 119.75"," 119.80"," 120.50"," 1499728"," 1807.10"," 11879"," 849934"," 56.67",126,139,50.85,03/21/2022,F
"CUB"," EQ"," 17-Mar-2022"," 120.45"," 121.50"," 122.80"," 120.10"," 120.65"," 120.65"," 121.35"," 2949099"," 3578.66"," 13103"," 2120395"," 71.90",225,140,51.12,03/17/2022,T
"CUB"," EQ"," 16-Mar-2022"," 119.65"," 121.90"," 121.90"," 119.75"," 120.20"," 120.45"," 120.55"," 2763689"," 3331.72"," 15602"," 1566959"," 56.70",177,138,50.86,03/16/2022,T
"CUB"," EQ"," 15-Mar-2022"," 120.35"," 121.45"," 121.95"," 119.00"," 119.20"," 119.65"," 120.55"," 3074427"," 3706.26"," 21948"," 1677827"," 54.57",140,138,50.83,03/15/2022,T
"CUB"," EQ"," 14-Mar-2022"," 123.10"," 122.95"," 123.80"," 120.00"," 120.20"," 120.35"," 121.00"," 1632775"," 1975.66"," 12934"," 1092315"," 66.90",126,137,50.76,03/14/2022,F
"CUB"," EQ"," 11-Mar-2022"," 123.30"," 123.00"," 124.70"," 121.85"," 122.80"," 123.10"," 123.53"," 2167812"," 2677.83"," 18614"," 1286333"," 59.34",116,137,50.62,03/11/2022,F
"CUB"," EQ"," 10-Mar-2022"," 120.70"," 123.20"," 126.00"," 122.20"," 123.15"," 123.30"," 124.20"," 4767210"," 5921.01"," 44080"," 2182473"," 45.78",108,138,50.38,03/10/2022,F
"CUB"," EQ"," 09-Mar-2022"," 117.20"," 119.35"," 121.05"," 116.75"," 121.00"," 120.70"," 119.56"," 1954593"," 2336.91"," 13597"," 757071"," 38.73",144,139,50.71,03/09/2022,F
