symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"CUMMINSIND"," EQ"," 23-Mar-2022"," 1051.85"," 1064.40"," 1097.00"," 1050.00"," 1085.90"," 1087.05"," 1072.31"," 1118357"," 11992.25"," 42992"," 475236"," 42.49",26,29,39.48,03/23/2022,F
"CUMMINSIND"," EQ"," 22-Mar-2022"," 1054.00"," 1059.30"," 1059.30"," 1031.15"," 1053.90"," 1051.85"," 1043.34"," 661241"," 6898.97"," 26525"," 266955"," 40.37",25,29,39.44,03/22/2022,F
"CUMMINSIND"," EQ"," 21-Mar-2022"," 1023.30"," 1033.15"," 1076.85"," 1020.80"," 1057.00"," 1054.00"," 1059.52"," 1739686"," 18432.24"," 56997"," 403756"," 23.21",31,29,39.19,03/21/2022,F
"CUMMINSIND"," EQ"," 17-Mar-2022"," 1026.50"," 1031.00"," 1042.20"," 1012.15"," 1026.25"," 1023.30"," 1025.31"," 769485"," 7889.60"," 26356"," 443177"," 57.59",29,29,39.94,03/17/2022,F
"CUMMINSIND"," EQ"," 16-Mar-2022"," 1030.95"," 1039.45"," 1047.10"," 1014.75"," 1026.80"," 1026.50"," 1027.39"," 526200"," 5406.11"," 14353"," 240793"," 45.76",37,29,39.57,03/16/2022,T
"CUMMINSIND"," EQ"," 15-Mar-2022"," 1031.35"," 1038.25"," 1050.95"," 1021.95"," 1035.45"," 1030.95"," 1035.43"," 1164730"," 12059.98"," 48869"," 428934"," 36.83",24,29,39.36,03/15/2022,F
"CUMMINSIND"," EQ"," 14-Mar-2022"," 995.65"," 996.00"," 1047.20"," 996.00"," 1031.00"," 1031.35"," 1029.67"," 1164727"," 11992.85"," 47201"," 242387"," 20.81",25,29,39.61,03/14/2022,F
"CUMMINSIND"," EQ"," 11-Mar-2022"," 994.65"," 987.00"," 1008.00"," 981.30"," 995.00"," 995.65"," 996.42"," 424501"," 4229.81"," 17617"," 149493"," 35.22",24,29,39.96,03/11/2022,F
"CUMMINSIND"," EQ"," 10-Mar-2022"," 1000.35"," 1010.35"," 1028.00"," 982.25"," 989.35"," 994.65"," 1004.04"," 893014"," 8966.24"," 32835"," 298563"," 33.43",27,29,39.74,03/10/2022,F
"CUMMINSIND"," EQ"," 09-Mar-2022"," 945.45"," 947.90"," 1002.20"," 945.00"," 998.00"," 1000.35"," 987.72"," 1044481"," 10316.57"," 28349"," 606722"," 58.09",37,29,40.07,03/09/2022,T
"CUMMINSIND"," EQ"," 08-Mar-2022"," 942.55"," 947.00"," 952.45"," 925.10"," 947.90"," 945.45"," 938.44"," 325198"," 3051.79"," 19371"," 147187"," 45.26",17,29,39.92,03/08/2022,F
"CUMMINSIND"," EQ"," 04-Mar-2022"," 951.00"," 942.00"," 967.00"," 938.05"," 951.00"," 949.70"," 954.10"," 667925"," 6372.68"," 32162"," 374527"," 56.07",21,29,39.42,03/04/2022,F
"CUMMINSIND"," EQ"," 03-Mar-2022"," 963.25"," 985.00"," 985.00"," 948.45"," 952.00"," 951.00"," 966.35"," 270549"," 2614.44"," 11501"," 137493"," 50.82",24,29,38.85,03/03/2022,F
"CUMMINSIND"," EQ"," 02-Mar-2022"," 957.25"," 950.95"," 969.90"," 945.15"," 963.15"," 963.25"," 961.48"," 389889"," 3748.72"," 16965"," 166389"," 42.68",23,29,38.50,03/02/2022,F
