symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"DABUR"," EQ"," 25-Mar-2022"," 523.75"," 526.00"," 527.15"," 517.70"," 522.90"," 519.80"," 521.92"," 1185395"," 6186.85"," 33496"," 611382"," 51.58",35,47,56.92,03/25/2022,F
"DABUR"," EQ"," 24-Mar-2022"," 522.85"," 520.90"," 530.80"," 519.65"," 523.30"," 523.75"," 526.34"," 2528645"," 13309.23"," 41177"," 1208521"," 47.79",61,47,56.53,03/24/2022,F
"DABUR"," EQ"," 23-Mar-2022"," 534.00"," 538.50"," 538.50"," 522.10"," 523.80"," 522.85"," 527.70"," 3708515"," 19569.98"," 59221"," 2377993"," 64.12",63,47,56.64,03/23/2022,T
"DABUR"," EQ"," 22-Mar-2022"," 549.55"," 549.00"," 549.00"," 531.30"," 535.30"," 534.00"," 535.69"," 2369464"," 12692.91"," 54683"," 1348133"," 56.90",43,47,56.54,03/22/2022,F
"DABUR"," EQ"," 21-Mar-2022"," 560.25"," 554.50"," 560.95"," 547.10"," 548.25"," 549.55"," 552.64"," 1119604"," 6187.39"," 35861"," 675193"," 60.31",31,47,56.48,03/21/2022,F
"DABUR"," EQ"," 17-Mar-2022"," 564.70"," 566.20"," 570.70"," 555.65"," 561.50"," 560.25"," 561.03"," 1988370"," 11155.35"," 49562"," 1127282"," 56.69",40,47,56.58,03/17/2022,F
"DABUR"," EQ"," 16-Mar-2022"," 556.65"," 563.50"," 566.00"," 559.40"," 564.10"," 564.70"," 562.46"," 1685983"," 9483.05"," 29229"," 845721"," 50.16",58,46,56.53,03/16/2022,F
"DABUR"," EQ"," 15-Mar-2022"," 540.60"," 539.85"," 558.75"," 539.80"," 557.70"," 556.65"," 552.95"," 2726150"," 15074.36"," 52455"," 1669550"," 61.24",52,46,56.56,03/15/2022,T
"DABUR"," EQ"," 14-Mar-2022"," 547.55"," 546.40"," 548.40"," 532.25"," 538.70"," 540.60"," 537.53"," 3049209"," 16390.48"," 62658"," 2135154"," 70.02",49,46,56.66,03/14/2022,T
"DABUR"," EQ"," 11-Mar-2022"," 545.70"," 545.50"," 549.55"," 540.85"," 548.45"," 547.55"," 546.75"," 1238386"," 6770.91"," 28907"," 684901"," 55.31",43,45,56.56,03/11/2022,F
"DABUR"," EQ"," 10-Mar-2022"," 528.10"," 538.95"," 547.00"," 531.55"," 543.90"," 545.70"," 539.94"," 1658773"," 8956.35"," 42935"," 901558"," 54.35",39,45,56.48,03/10/2022,F
"DABUR"," EQ"," 09-Mar-2022"," 521.55"," 520.00"," 533.05"," 516.50"," 527.00"," 528.10"," 523.96"," 2952144"," 15468.10"," 82703"," 1975277"," 66.91",36,45,56.36,03/09/2022,F
"DABUR"," EQ"," 08-Mar-2022"," 505.95"," 506.00"," 522.80"," 505.00"," 520.00"," 521.55"," 514.08"," 2161459"," 11111.64"," 36341"," 1159454"," 53.64",59,45,56.42,03/08/2022,F
"DABUR"," EQ"," 04-Mar-2022"," 562.90"," 557.00"," 561.20"," 537.00"," 538.50"," 539.05"," 548.25"," 2103625"," 11533.07"," 35966"," 1296689"," 61.64",58,45,56.18,03/04/2022,T
"DABUR"," EQ"," 03-Mar-2022"," 565.25"," 566.30"," 570.75"," 560.00"," 563.00"," 562.90"," 565.92"," 2166986"," 12263.43"," 35645"," 1495174"," 69.00",61,44,56.02,03/03/2022,T
"DABUR"," EQ"," 02-Mar-2022"," 563.35"," 562.95"," 570.00"," 558.70"," 565.00"," 565.25"," 563.97"," 1871881"," 10556.85"," 32975"," 1063583"," 56.82",57,44,55.85,03/02/2022,T
"DABUR"," EQ"," 28-Feb-2022"," 544.85"," 542.80"," 570.10"," 526.95"," 564.60"," 563.35"," 552.61"," 7992990"," 44170.02"," 73181"," 5993500"," 74.98",109,45,56.12,02/28/2022,T
"DABUR"," EQ"," 25-Feb-2022"," 533.70"," 536.00"," 546.90"," 533.45"," 545.50"," 544.85"," 540.97"," 1284779"," 6950.29"," 43330"," 589028"," 45.85",30,43,55.74,02/25/2022,F
"DABUR"," EQ"," 24-Feb-2022"," 543.25"," 532.00"," 539.55"," 526.40"," 533.40"," 533.70"," 534.61"," 3036292"," 16232.19"," 45570"," 2117887"," 69.75",67,44,55.82,02/24/2022,T
"DABUR"," EQ"," 23-Feb-2022"," 550.05"," 550.05"," 551.00"," 540.60"," 544.00"," 543.25"," 545.96"," 940986"," 5137.44"," 29722"," 507910"," 53.98",32,43,55.63,02/23/2022,F
"DABUR"," EQ"," 22-Feb-2022"," 553.60"," 542.90"," 551.85"," 542.20"," 549.75"," 550.05"," 548.80"," 1465489"," 8042.66"," 25123"," 977193"," 66.68",58,44,55.93,02/22/2022,T
"DABUR"," EQ"," 21-Feb-2022"," 547.80"," 545.45"," 554.90"," 541.70"," 551.30"," 553.60"," 550.29"," 1157096"," 6367.39"," 22120"," 608529"," 52.59",52,43,55.72,02/21/2022,F
"DABUR"," EQ"," 18-Feb-2022"," 554.40"," 551.00"," 554.70"," 545.50"," 546.20"," 547.80"," 549.16"," 1383430"," 7597.31"," 23328"," 761840"," 55.07",59,43,55.71,02/18/2022,F
"DABUR"," EQ"," 17-Feb-2022"," 561.85"," 562.10"," 565.10"," 553.15"," 553.85"," 554.40"," 558.83"," 1222505"," 6831.73"," 21530"," 641801"," 52.50",57,43,55.72,02/17/2022,F
"DABUR"," EQ"," 16-Feb-2022"," 562.45"," 562.45"," 566.70"," 556.00"," 561.00"," 561.85"," 561.65"," 1053001"," 5914.14"," 30745"," 486363"," 46.19",34,43,55.90,02/16/2022,F
"DABUR"," EQ"," 15-Feb-2022"," 553.10"," 552.50"," 563.90"," 550.90"," 562.25"," 562.45"," 558.56"," 1349136"," 7535.72"," 40313"," 767255"," 56.87",33,43,56.27,02/15/2022,F
"DABUR"," EQ"," 14-Feb-2022"," 560.85"," 551.10"," 559.90"," 546.25"," 553.20"," 553.10"," 552.28"," 1256655"," 6940.27"," 31883"," 691206"," 55.00",39,43,56.39,02/14/2022,F
"DABUR"," EQ"," 11-Feb-2022"," 564.60"," 562.00"," 563.75"," 555.55"," 559.90"," 560.85"," 559.92"," 1053326"," 5897.79"," 25348"," 645579"," 61.29",42,43,56.36,02/11/2022,F
"DABUR"," EQ"," 10-Feb-2022"," 570.50"," 570.50"," 571.15"," 560.35"," 564.00"," 564.60"," 563.27"," 2044201"," 11514.44"," 60174"," 1115479"," 54.57",34,44,56.54,02/10/2022,F
"DABUR"," EQ"," 09-Feb-2022"," 562.25"," 564.40"," 574.45"," 562.00"," 571.50"," 570.50"," 570.08"," 1381438"," 7875.24"," 27333"," 600426"," 43.46",51,44,56.80,02/09/2022,F
"DABUR"," EQ"," 08-Feb-2022"," 566.70"," 566.70"," 569.90"," 561.25"," 564.00"," 562.25"," 563.95"," 820398"," 4626.65"," 30198"," 491591"," 59.92",27,44,57.15,02/08/2022,F
"DABUR"," EQ"," 07-Feb-2022"," 569.00"," 570.00"," 570.75"," 559.60"," 566.90"," 566.70"," 564.86"," 2481096"," 14014.65"," 38146"," 857498"," 34.56",65,45,56.98,02/07/2022,F
"DABUR"," EQ"," 04-Feb-2022"," 556.45"," 560.00"," 570.25"," 556.00"," 568.05"," 569.00"," 563.77"," 2712529"," 15292.54"," 43839"," 1660466"," 61.21",62,44,57.46,02/04/2022,T
"DABUR"," EQ"," 03-Feb-2022"," 557.45"," 549.95"," 559.20"," 548.65"," 557.50"," 556.45"," 555.54"," 1798123"," 9989.33"," 30902"," 979905"," 54.50",58,44,57.40,02/03/2022,F
"DABUR"," EQ"," 02-Feb-2022"," 546.45"," 550.50"," 562.75"," 545.00"," 558.00"," 557.45"," 554.98"," 1157446"," 6423.62"," 24971"," 372305"," 32.17",46,43,57.45,02/02/2022,F
