symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"DALBHARAT"," EQ"," 25-Mar-2022"," 1388.45"," 1400.00"," 1403.35"," 1351.40"," 1363.00"," 1360.40"," 1370.06"," 171297"," 2346.87"," 11678"," 71184"," 41.56",15,16,40.57,03/25/2022,F
"DALBHARAT"," EQ"," 24-Mar-2022"," 1412.50"," 1404.95"," 1412.10"," 1381.15"," 1384.90"," 1388.45"," 1396.69"," 165414"," 2310.32"," 9792"," 83867"," 50.70",17,16,40.15,03/24/2022,T
"DALBHARAT"," EQ"," 23-Mar-2022"," 1422.45"," 1427.00"," 1440.75"," 1390.10"," 1397.80"," 1412.50"," 1419.01"," 145765"," 2068.43"," 8033"," 71375"," 48.97",18,17,40.23,03/23/2022,T
"DALBHARAT"," EQ"," 22-Mar-2022"," 1425.15"," 1425.15"," 1431.95"," 1397.05"," 1424.00"," 1422.45"," 1419.38"," 208200"," 2955.14"," 14273"," 81171"," 38.99",15,16,40.03,03/22/2022,F
"DALBHARAT"," EQ"," 21-Mar-2022"," 1460.25"," 1460.00"," 1460.00"," 1412.35"," 1421.90"," 1425.15"," 1435.06"," 277487"," 3982.12"," 15154"," 111054"," 40.02",18,17,39.75,03/21/2022,T
"DALBHARAT"," EQ"," 17-Mar-2022"," 1473.60"," 1490.00"," 1523.40"," 1450.60"," 1459.00"," 1460.25"," 1491.11"," 352511"," 5256.34"," 21655"," 177102"," 50.24",16,16,39.83,03/17/2022,F
"DALBHARAT"," EQ"," 16-Mar-2022"," 1423.80"," 1451.80"," 1482.00"," 1425.75"," 1475.00"," 1473.60"," 1462.23"," 405627"," 5931.21"," 17088"," 197579"," 48.71",24,16,39.71,03/16/2022,T
"DALBHARAT"," EQ"," 15-Mar-2022"," 1407.40"," 1421.75"," 1474.90"," 1405.05"," 1410.00"," 1423.80"," 1442.02"," 389816"," 5621.22"," 21788"," 114618"," 29.40",18,16,39.76,03/15/2022,F
"DALBHARAT"," EQ"," 14-Mar-2022"," 1429.85"," 1415.00"," 1429.00"," 1378.15"," 1424.70"," 1407.40"," 1403.97"," 313954"," 4407.81"," 17206"," 117639"," 37.47",18,16,39.98,03/14/2022,F
"DALBHARAT"," EQ"," 11-Mar-2022"," 1482.15"," 1473.50"," 1480.00"," 1402.00"," 1426.00"," 1429.85"," 1431.02"," 449351"," 6430.29"," 30629"," 160957"," 35.82",15,16,40.16,03/11/2022,F
