symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"DEEPAKNTR"," EQ"," 25-Mar-2022"," 2240.35"," 2238.00"," 2251.70"," 2210.00"," 2235.00"," 2228.35"," 2223.47"," 503809"," 11202.04"," 27513"," 177533"," 35.24",18,15,31.16,03/25/2022,T
"DEEPAKNTR"," EQ"," 24-Mar-2022"," 2220.55"," 2210.00"," 2262.00"," 2204.50"," 2238.00"," 2240.35"," 2243.96"," 432601"," 9707.40"," 25243"," 104346"," 24.12",17,15,30.94,03/24/2022,F
"DEEPAKNTR"," EQ"," 23-Mar-2022"," 2255.45"," 2271.00"," 2280.00"," 2210.05"," 2220.00"," 2220.55"," 2232.78"," 792579"," 17696.58"," 39550"," 258808"," 32.65",20,15,31.06,03/23/2022,T
"DEEPAKNTR"," EQ"," 22-Mar-2022"," 2269.80"," 2280.00"," 2285.55"," 2190.00"," 2250.30"," 2255.45"," 2234.60"," 1023348"," 22867.71"," 52355"," 199986"," 19.54",20,15,30.92,03/22/2022,F
"DEEPAKNTR"," EQ"," 21-Mar-2022"," 2228.90"," 2245.80"," 2294.30"," 2221.00"," 2265.05"," 2269.80"," 2275.49"," 805901"," 18338.17"," 49562"," 178663"," 22.17",16,15,30.93,03/21/2022,F
"DEEPAKNTR"," EQ"," 17-Mar-2022"," 2222.85"," 2252.00"," 2254.95"," 2210.00"," 2225.00"," 2228.90"," 2232.72"," 1613841"," 36032.49"," 51781"," 847945"," 52.54",31,15,31.09,03/17/2022,T
"DEEPAKNTR"," EQ"," 16-Mar-2022"," 2200.25"," 2222.00"," 2249.60"," 2215.00"," 2224.95"," 2222.85"," 2230.12"," 572603"," 12769.72"," 36119"," 125514"," 21.92",16,14,30.65,03/16/2022,F
"DEEPAKNTR"," EQ"," 15-Mar-2022"," 2207.65"," 2249.00"," 2272.75"," 2180.00"," 2191.00"," 2200.25"," 2231.34"," 2029388"," 45282.49"," 107237"," 312144"," 15.38",19,14,30.59,03/15/2022,F
"DEEPAKNTR"," EQ"," 14-Mar-2022"," 2050.65"," 2070.05"," 2238.00"," 2031.20"," 2231.00"," 2207.65"," 2168.35"," 2378873"," 51582.40"," 118946"," 414492"," 17.42",20,14,30.69,03/14/2022,F
"DEEPAKNTR"," EQ"," 11-Mar-2022"," 2012.15"," 2010.00"," 2060.00"," 1989.90"," 2055.00"," 2050.65"," 2036.02"," 576754"," 11742.84"," 36883"," 121105"," 21.00",16,14,31.04,03/11/2022,F
"DEEPAKNTR"," EQ"," 10-Mar-2022"," 1974.65"," 2075.00"," 2090.00"," 2004.00"," 2011.25"," 2012.15"," 2045.24"," 828882"," 16952.63"," 57448"," 261319"," 31.53",14,14,31.23,03/10/2022,F
"DEEPAKNTR"," EQ"," 09-Mar-2022"," 1888.00"," 1908.00"," 1984.20"," 1898.10"," 1978.95"," 1974.65"," 1955.32"," 782868"," 15307.60"," 49475"," 210692"," 26.91",16,14,31.16,03/09/2022,F
"DEEPAKNTR"," EQ"," 08-Mar-2022"," 1830.65"," 1839.00"," 1899.80"," 1825.00"," 1884.00"," 1888.00"," 1856.82"," 571706"," 10615.54"," 45483"," 141199"," 24.70",13,14,31.14,03/08/2022,F
