symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"DELTACORP"," EQ"," 25-Mar-2022"," 313.05"," 315.00"," 323.00"," 314.35"," 320.25"," 320.15"," 319.06"," 13786602"," 43987.05"," 111003"," 2576523"," 18.69",124,125,18.79,03/25/2022,F
"DELTACORP"," EQ"," 24-Mar-2022"," 306.15"," 305.80"," 314.70"," 303.25"," 313.50"," 313.05"," 310.48"," 5508043"," 17101.34"," 45996"," 1280465"," 23.25",120,125,18.73,03/24/2022,F
"DELTACORP"," EQ"," 23-Mar-2022"," 304.55"," 306.75"," 319.50"," 303.70"," 305.80"," 306.15"," 312.04"," 11167590"," 34847.79"," 94551"," 2036195"," 18.23",118,125,18.68,03/23/2022,F
"DELTACORP"," EQ"," 22-Mar-2022"," 312.75"," 312.75"," 312.75"," 297.50"," 303.60"," 304.55"," 304.54"," 14331683"," 43645.35"," 117892"," 2832458"," 19.76",122,125,18.67,03/22/2022,F
"DELTACORP"," EQ"," 21-Mar-2022"," 285.35"," 287.70"," 318.85"," 284.75"," 309.40"," 312.75"," 307.03"," 22746266"," 69838.40"," 165518"," 4188459"," 18.41",137,125,18.57,03/21/2022,F
"DELTACORP"," EQ"," 17-Mar-2022"," 283.05"," 286.10"," 288.00"," 283.00"," 285.50"," 285.35"," 285.55"," 2298939"," 6564.67"," 17940"," 688011"," 29.93",128,124,18.84,03/17/2022,T
"DELTACORP"," EQ"," 16-Mar-2022"," 277.40"," 281.30"," 285.00"," 280.10"," 282.15"," 283.05"," 282.63"," 1798437"," 5082.84"," 14938"," 381227"," 21.20",120,123,18.62,03/16/2022,F
"DELTACORP"," EQ"," 15-Mar-2022"," 287.25"," 288.70"," 288.70"," 274.35"," 276.55"," 277.40"," 281.59"," 3184246"," 8966.44"," 23642"," 844671"," 26.53",135,123,18.79,03/15/2022,T
"DELTACORP"," EQ"," 14-Mar-2022"," 282.00"," 282.00"," 288.95"," 276.50"," 285.60"," 287.25"," 284.57"," 4153463"," 11819.71"," 35481"," 826207"," 19.89",117,123,18.58,03/14/2022,F
"DELTACORP"," EQ"," 11-Mar-2022"," 273.35"," 272.00"," 286.00"," 271.40"," 280.50"," 282.00"," 281.10"," 8214707"," 23091.69"," 57931"," 897501"," 10.93",142,123,18.59,03/11/2022,F
"DELTACORP"," EQ"," 10-Mar-2022"," 273.15"," 275.90"," 278.85"," 271.05"," 272.65"," 273.35"," 275.04"," 3458082"," 9511.03"," 26748"," 505154"," 14.61",129,122,18.60,03/10/2022,F
"DELTACORP"," EQ"," 09-Mar-2022"," 260.20"," 263.00"," 275.00"," 262.25"," 273.50"," 273.15"," 269.54"," 4143873"," 11169.45"," 33228"," 784331"," 18.93",125,122,18.58,03/09/2022,T
"DELTACORP"," EQ"," 08-Mar-2022"," 250.80"," 252.00"," 261.25"," 251.65"," 260.40"," 260.20"," 258.07"," 2490488"," 6427.16"," 19782"," 389017"," 15.62",126,122,18.46,03/08/2022,F
"DELTACORP"," EQ"," 04-Mar-2022"," 264.70"," 261.90"," 265.85"," 256.35"," 259.20"," 258.40"," 260.45"," 3374741"," 8789.63"," 23441"," 325623"," 9.65",144,121,18.42,03/04/2022,F
"DELTACORP"," EQ"," 03-Mar-2022"," 262.50"," 265.05"," 269.40"," 262.55"," 265.00"," 264.70"," 265.88"," 2366248"," 6291.29"," 19700"," 368801"," 15.59",120,121,18.56,03/03/2022,F
"DELTACORP"," EQ"," 02-Mar-2022"," 263.15"," 259.60"," 264.65"," 257.10"," 262.70"," 262.50"," 261.44"," 2692625"," 7039.67"," 19679"," 433032"," 16.08",137,121,18.59,03/02/2022,F
"DELTACORP"," EQ"," 28-Feb-2022"," 259.00"," 258.70"," 265.00"," 256.00"," 263.95"," 263.15"," 261.51"," 4502455"," 11774.57"," 28624"," 818516"," 18.18",157,120,18.66,02/28/2022,F
"DELTACORP"," EQ"," 25-Feb-2022"," 244.65"," 255.45"," 262.50"," 252.60"," 261.40"," 259.00"," 258.73"," 4371266"," 11309.73"," 31677"," 791226"," 18.10",138,119,18.67,02/25/2022,F
"DELTACORP"," EQ"," 24-Feb-2022"," 268.00"," 256.00"," 263.95"," 242.40"," 243.90"," 244.65"," 251.83"," 7105332"," 17893.45"," 53455"," 1582253"," 22.27",133,118,18.82,02/24/2022,T
"DELTACORP"," EQ"," 23-Feb-2022"," 257.85"," 261.50"," 269.50"," 260.30"," 268.00"," 268.00"," 265.64"," 3911332"," 10390.18"," 27906"," 488270"," 12.48",140,118,18.74,02/23/2022,F
"DELTACORP"," EQ"," 22-Feb-2022"," 265.30"," 256.50"," 261.50"," 249.60"," 257.00"," 257.85"," 257.37"," 5733515"," 14756.60"," 33678"," 970167"," 16.92",170,117,18.94,02/22/2022,F
"DELTACORP"," EQ"," 21-Feb-2022"," 272.70"," 271.80"," 272.45"," 261.65"," 265.00"," 265.30"," 266.84"," 3359259"," 8963.80"," 25642"," 534819"," 15.92",131,116,19.01,02/21/2022,F
"DELTACORP"," EQ"," 18-Feb-2022"," 275.45"," 272.70"," 277.90"," 271.30"," 272.45"," 272.70"," 274.95"," 1611060"," 4429.56"," 12552"," 339511"," 21.07",128,115,19.21,02/18/2022,T
"DELTACORP"," EQ"," 17-Feb-2022"," 273.45"," 274.90"," 280.95"," 272.30"," 274.90"," 275.45"," 276.77"," 2846940"," 7879.57"," 24465"," 362937"," 12.75",116,115,19.18,02/17/2022,F
"DELTACORP"," EQ"," 16-Feb-2022"," 277.25"," 279.85"," 279.85"," 272.05"," 273.05"," 273.45"," 276.36"," 2471997"," 6831.61"," 19414"," 422947"," 17.11",127,114,19.28,02/16/2022,F
"DELTACORP"," EQ"," 15-Feb-2022"," 258.00"," 260.00"," 279.00"," 256.00"," 276.40"," 277.25"," 266.73"," 5363984"," 14307.26"," 39877"," 854252"," 15.93",135,114,19.30,02/15/2022,F
"DELTACORP"," EQ"," 14-Feb-2022"," 278.15"," 269.00"," 273.75"," 256.20"," 256.55"," 258.00"," 266.18"," 3659736"," 9741.59"," 41690"," 827509"," 22.61",88,113,19.39,02/14/2022,F
"DELTACORP"," EQ"," 11-Feb-2022"," 288.25"," 285.00"," 285.70"," 276.80"," 277.60"," 278.15"," 280.98"," 2875657"," 8079.96"," 23329"," 546227"," 18.99",123,114,19.41,02/11/2022,F
"DELTACORP"," EQ"," 10-Feb-2022"," 284.75"," 286.00"," 290.00"," 283.25"," 287.10"," 288.25"," 286.49"," 2392907"," 6855.33"," 17827"," 489891"," 20.47",134,114,19.37,02/10/2022,T
"DELTACORP"," EQ"," 09-Feb-2022"," 278.50"," 278.95"," 285.90"," 278.95"," 285.90"," 284.75"," 283.47"," 2379062"," 6743.93"," 18712"," 564745"," 23.74",127,113,19.42,02/09/2022,T
