symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"DIVISLAB"," EQ"," 25-Mar-2022"," 4494.65"," 4502.00"," 4520.00"," 4420.00"," 4464.90"," 4454.15"," 4459.96"," 270912"," 12082.58"," 26141"," 149101"," 55.04",10,10,47.79,03/25/2022,F
"DIVISLAB"," EQ"," 24-Mar-2022"," 4553.55"," 4544.00"," 4549.95"," 4466.75"," 4489.00"," 4494.65"," 4514.87"," 467266"," 21096.44"," 44876"," 229029"," 49.01",10,10,47.45,03/24/2022,F
"DIVISLAB"," EQ"," 23-Mar-2022"," 4448.55"," 4465.00"," 4573.85"," 4460.25"," 4560.00"," 4553.55"," 4542.42"," 574783"," 26109.06"," 48508"," 289746"," 50.41",12,10,47.50,03/23/2022,T
"DIVISLAB"," EQ"," 22-Mar-2022"," 4456.25"," 4456.25"," 4493.75"," 4410.00"," 4458.15"," 4448.55"," 4451.68"," 292831"," 13035.89"," 34378"," 148330"," 50.65",9,10,47.40,03/22/2022,F
"DIVISLAB"," EQ"," 21-Mar-2022"," 4504.35"," 4525.00"," 4542.45"," 4427.50"," 4453.05"," 4456.25"," 4483.77"," 356749"," 15995.81"," 36107"," 178062"," 49.91",10,10,47.54,03/21/2022,F
"DIVISLAB"," EQ"," 17-Mar-2022"," 4402.25"," 4439.95"," 4519.90"," 4431.35"," 4512.95"," 4504.35"," 4484.51"," 438327"," 19656.84"," 36590"," 286683"," 65.40",12,10,47.56,03/17/2022,T
"DIVISLAB"," EQ"," 16-Mar-2022"," 4386.25"," 4422.00"," 4457.20"," 4370.00"," 4404.00"," 4402.25"," 4410.50"," 227588"," 10037.78"," 28149"," 97078"," 42.66",8,10,47.76,03/16/2022,F
"DIVISLAB"," EQ"," 15-Mar-2022"," 4393.80"," 4365.10"," 4478.20"," 4365.10"," 4382.00"," 4386.25"," 4418.20"," 403394"," 17822.76"," 35910"," 154836"," 38.38",11,11,48.08,03/15/2022,F
"DIVISLAB"," EQ"," 14-Mar-2022"," 4339.40"," 4340.00"," 4404.50"," 4325.10"," 4385.50"," 4393.80"," 4378.09"," 492612"," 21566.99"," 38826"," 254854"," 51.74",13,11,48.21,03/14/2022,T
"DIVISLAB"," EQ"," 11-Mar-2022"," 4300.90"," 4298.00"," 4353.00"," 4250.00"," 4344.50"," 4339.40"," 4313.25"," 352915"," 15222.11"," 37081"," 136495"," 38.68",10,11,48.22,03/11/2022,F
"DIVISLAB"," EQ"," 10-Mar-2022"," 4234.05"," 4267.50"," 4334.00"," 4252.25"," 4290.00"," 4300.90"," 4303.29"," 414284"," 17827.84"," 40155"," 199891"," 48.25",10,11,48.57,03/10/2022,F
"DIVISLAB"," EQ"," 09-Mar-2022"," 4164.25"," 4180.00"," 4279.60"," 4150.00"," 4235.00"," 4234.05"," 4236.57"," 385251"," 16321.43"," 39678"," 191595"," 49.73",10,11,48.68,03/09/2022,F
"DIVISLAB"," EQ"," 08-Mar-2022"," 4074.95"," 4069.90"," 4175.00"," 4066.00"," 4170.40"," 4164.25"," 4119.83"," 414138"," 17061.80"," 45350"," 198323"," 47.89",9,11,48.84,03/08/2022,F
"DIVISLAB"," EQ"," 04-Mar-2022"," 4160.45"," 4100.00"," 4157.80"," 4063.00"," 4098.00"," 4094.70"," 4110.96"," 429937"," 17674.56"," 48538"," 155545"," 36.18",9,11,48.91,03/04/2022,F
"DIVISLAB"," EQ"," 03-Mar-2022"," 4160.90"," 4200.00"," 4226.80"," 4143.30"," 4158.75"," 4160.45"," 4172.53"," 421554"," 17589.49"," 42120"," 234103"," 55.53",10,11,49.07,03/03/2022,F
"DIVISLAB"," EQ"," 02-Mar-2022"," 4265.00"," 4230.00"," 4310.85"," 4135.30"," 4160.00"," 4160.90"," 4207.77"," 576094"," 24240.72"," 57973"," 264913"," 45.98",10,11,48.85,03/02/2022,F
