symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"DIXON"," EQ"," 25-Mar-2022"," 4323.15"," 4342.60"," 4415.90"," 4266.00"," 4275.00"," 4278.20"," 4338.36"," 175998"," 7635.42"," 26924"," 52682"," 29.93",7,8,33.31,03/25/2022,F
"DIXON"," EQ"," 24-Mar-2022"," 4386.40"," 4375.00"," 4400.00"," 4300.00"," 4316.05"," 4323.15"," 4345.83"," 136201"," 5919.06"," 19543"," 42710"," 31.36",7,9,33.25,03/24/2022,F
"DIXON"," EQ"," 23-Mar-2022"," 4374.00"," 4412.90"," 4448.40"," 4361.25"," 4374.00"," 4386.40"," 4409.43"," 238711"," 10525.79"," 26863"," 90867"," 38.07",9,9,33.13,03/23/2022,F
"DIXON"," EQ"," 22-Mar-2022"," 4508.40"," 4488.85"," 4499.00"," 4343.60"," 4370.00"," 4374.00"," 4401.16"," 333424"," 14674.52"," 38246"," 124815"," 37.43",9,9,32.87,03/22/2022,F
"DIXON"," EQ"," 21-Mar-2022"," 4478.60"," 4507.00"," 4528.00"," 4421.15"," 4496.00"," 4508.40"," 4471.58"," 198594"," 8880.28"," 23384"," 56940"," 28.67",8,9,32.69,03/21/2022,F
"DIXON"," EQ"," 17-Mar-2022"," 4413.20"," 4488.00"," 4545.00"," 4454.00"," 4483.25"," 4478.60"," 4489.50"," 816551"," 36659.09"," 57846"," 361395"," 44.26",14,9,32.57,03/17/2022,T
"DIXON"," EQ"," 16-Mar-2022"," 4284.20"," 4325.00"," 4499.95"," 4322.00"," 4420.00"," 4413.20"," 4444.31"," 533766"," 23722.24"," 50361"," 95169"," 17.83",11,9,32.24,03/16/2022,F
"DIXON"," EQ"," 15-Mar-2022"," 4336.60"," 4376.00"," 4423.00"," 4253.05"," 4275.20"," 4284.20"," 4340.47"," 340580"," 14782.76"," 38086"," 77488"," 22.75",9,8,32.28,03/15/2022,F
"DIXON"," EQ"," 14-Mar-2022"," 4153.95"," 4160.00"," 4459.95"," 4115.00"," 4332.00"," 4336.60"," 4312.43"," 492943"," 21257.83"," 50745"," 130300"," 26.43",10,8,32.27,03/14/2022,F
"DIXON"," EQ"," 11-Mar-2022"," 4125.35"," 4125.00"," 4194.95"," 4095.00"," 4163.00"," 4153.95"," 4140.28"," 184965"," 7658.07"," 22425"," 63781"," 34.48",8,8,32.26,03/11/2022,F
"DIXON"," EQ"," 10-Mar-2022"," 4092.35"," 4224.00"," 4224.00"," 4095.00"," 4122.00"," 4125.35"," 4143.92"," 309356"," 12819.45"," 36247"," 96908"," 31.33",9,9,32.19,03/10/2022,F
"DIXON"," EQ"," 09-Mar-2022"," 4073.75"," 4080.00"," 4150.00"," 4052.00"," 4099.00"," 4092.35"," 4094.19"," 243486"," 9968.77"," 33868"," 70185"," 28.83",7,9,32.20,03/09/2022,F
"DIXON"," EQ"," 08-Mar-2022"," 4060.65"," 4051.00"," 4136.95"," 4003.00"," 4075.00"," 4073.75"," 4068.54"," 198639"," 8081.70"," 27941"," 54277"," 27.32",7,9,32.17,03/08/2022,F
"DIXON"," EQ"," 04-Mar-2022"," 4222.20"," 4200.00"," 4222.10"," 4130.00"," 4148.00"," 4151.65"," 4176.65"," 213189"," 8904.17"," 27088"," 39533"," 18.54",8,9,32.57,03/04/2022,F
"DIXON"," EQ"," 03-Mar-2022"," 4280.80"," 4332.25"," 4378.20"," 4209.05"," 4219.00"," 4222.20"," 4284.73"," 188372"," 8071.23"," 23329"," 44400"," 23.57",8,9,32.71,03/03/2022,F
"DIXON"," EQ"," 02-Mar-2022"," 4318.25"," 4282.20"," 4344.00"," 4241.00"," 4281.45"," 4280.80"," 4290.52"," 202688"," 8696.37"," 24601"," 46779"," 23.08",8,9,32.86,03/02/2022,F
"DIXON"," EQ"," 28-Feb-2022"," 4434.15"," 4340.00"," 4351.00"," 4242.25"," 4339.95"," 4318.25"," 4293.88"," 345385"," 14830.42"," 38854"," 82678"," 23.94",9,9,32.75,02/28/2022,F
"DIXON"," EQ"," 25-Feb-2022"," 4049.60"," 4132.00"," 4454.55"," 4128.00"," 4389.00"," 4434.15"," 4312.03"," 660996"," 28502.33"," 62370"," 196713"," 29.76",11,9,32.68,02/25/2022,F
"DIXON"," EQ"," 24-Feb-2022"," 4237.45"," 4095.00"," 4158.85"," 4002.00"," 4060.00"," 4049.60"," 4070.33"," 544656"," 22169.31"," 52628"," 206991"," 38.00",10,9,32.72,02/24/2022,T
"DIXON"," EQ"," 23-Feb-2022"," 4159.50"," 4200.00"," 4285.00"," 4180.00"," 4248.00"," 4237.45"," 4242.79"," 381395"," 16181.77"," 41424"," 144411"," 37.86",9,9,32.41,02/23/2022,F
"DIXON"," EQ"," 22-Feb-2022"," 4086.80"," 3970.00"," 4182.10"," 3936.95"," 4178.00"," 4159.50"," 4062.05"," 397077"," 16129.46"," 37550"," 99780"," 25.13",11,9,32.47,02/22/2022,F
"DIXON"," EQ"," 21-Feb-2022"," 4069.60"," 4050.00"," 4207.75"," 3974.05"," 4093.90"," 4086.80"," 4098.37"," 444662"," 18223.89"," 52763"," 139231"," 31.31",8,9,32.49,02/21/2022,F
"DIXON"," EQ"," 18-Feb-2022"," 4193.50"," 4165.00"," 4220.50"," 4038.60"," 4058.00"," 4069.60"," 4138.18"," 344777"," 14267.50"," 38871"," 142125"," 41.22",9,9,32.57,02/18/2022,F
"DIXON"," EQ"," 17-Feb-2022"," 4272.90"," 4288.00"," 4329.95"," 4183.55"," 4198.00"," 4193.50"," 4261.13"," 282927"," 12055.89"," 26319"," 106889"," 37.78",11,9,32.44,02/17/2022,T
"DIXON"," EQ"," 16-Feb-2022"," 4297.95"," 4330.00"," 4352.00"," 4225.10"," 4259.35"," 4272.90"," 4283.27"," 265377"," 11366.81"," 36470"," 93072"," 35.07",7,9,32.31,02/16/2022,F
"DIXON"," EQ"," 15-Feb-2022"," 4146.50"," 4181.90"," 4319.95"," 4144.10"," 4310.00"," 4297.95"," 4222.30"," 301791"," 12742.52"," 34792"," 112786"," 37.37",9,9,32.17,02/15/2022,F
"DIXON"," EQ"," 14-Feb-2022"," 4364.55"," 4202.25"," 4273.45"," 4129.00"," 4142.00"," 4146.50"," 4194.03"," 331141"," 13888.17"," 44642"," 113177"," 34.18",7,9,31.96,02/14/2022,F
