symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"DLF"," EQ"," 23-Mar-2022"," 358.65"," 361.55"," 367.25"," 355.65"," 356.00"," 356.95"," 361.28"," 7304162"," 26388.40"," 73142"," 1440463"," 19.72",100,93,24.14,03/23/2022,F
"DLF"," EQ"," 22-Mar-2022"," 353.90"," 353.50"," 360.85"," 345.20"," 358.45"," 358.65"," 352.04"," 5561409"," 19578.66"," 57573"," 552550"," 9.94",97,93,24.01,03/22/2022,F
"DLF"," EQ"," 21-Mar-2022"," 363.05"," 364.95"," 366.00"," 352.80"," 353.00"," 353.90"," 359.57"," 4873329"," 17523.05"," 52688"," 1203223"," 24.69",92,93,24.16,03/21/2022,F
"DLF"," EQ"," 17-Mar-2022"," 355.50"," 358.50"," 364.95"," 357.35"," 362.50"," 363.05"," 362.24"," 8990234"," 32565.84"," 83219"," 2880727"," 32.04",108,93,24.06,03/17/2022,T
"DLF"," EQ"," 16-Mar-2022"," 341.15"," 347.80"," 356.40"," 346.50"," 355.70"," 355.50"," 351.97"," 6167428"," 21707.57"," 68675"," 1643919"," 26.65",90,92,24.06,03/16/2022,F
"DLF"," EQ"," 15-Mar-2022"," 343.40"," 347.00"," 353.45"," 335.40"," 339.65"," 341.15"," 345.37"," 8151180"," 28151.76"," 84423"," 2156478"," 26.46",97,92,23.88,03/15/2022,T
"DLF"," EQ"," 14-Mar-2022"," 353.75"," 353.75"," 356.00"," 341.00"," 343.90"," 343.40"," 345.72"," 10079369"," 34846.68"," 60240"," 5841017"," 57.95",167,92,23.78,03/14/2022,T
"DLF"," EQ"," 11-Mar-2022"," 354.65"," 352.05"," 356.90"," 349.15"," 353.40"," 353.75"," 353.55"," 3891664"," 13759.02"," 38512"," 397470"," 10.21",101,91,23.35,03/11/2022,F
"DLF"," EQ"," 10-Mar-2022"," 339.20"," 349.10"," 360.70"," 346.70"," 353.00"," 354.65"," 355.45"," 11010864"," 39138.35"," 107675"," 2452697"," 22.28",102,91,23.63,03/10/2022,F
"DLF"," EQ"," 09-Mar-2022"," 329.60"," 331.35"," 342.20"," 329.00"," 339.60"," 339.20"," 335.57"," 6387930"," 21436.01"," 65094"," 1020740"," 15.98",98,91,23.50,03/09/2022,F
"DLF"," EQ"," 08-Mar-2022"," 313.60"," 314.00"," 331.35"," 312.10"," 330.00"," 329.60"," 319.07"," 14780062"," 47158.37"," 140624"," 5245278"," 35.49",105,91,23.69,03/08/2022,T
"DLF"," EQ"," 04-Mar-2022"," 339.05"," 334.90"," 336.35"," 326.65"," 327.95"," 327.60"," 331.11"," 7924031"," 26237.47"," 71229"," 2357234"," 29.75",111,91,23.37,03/04/2022,T
"DLF"," EQ"," 03-Mar-2022"," 346.85"," 353.00"," 354.20"," 336.50"," 339.45"," 339.05"," 343.30"," 7492305"," 25721.05"," 82465"," 1898874"," 25.34",91,91,23.33,03/03/2022,F
"DLF"," EQ"," 02-Mar-2022"," 350.75"," 346.40"," 350.50"," 340.10"," 346.70"," 346.85"," 345.14"," 6854294"," 23657.20"," 67666"," 1328596"," 19.38",101,90,23.29,03/02/2022,F
"DLF"," EQ"," 28-Feb-2022"," 348.80"," 341.60"," 352.40"," 340.10"," 351.15"," 350.75"," 348.27"," 8850697"," 30824.61"," 79671"," 2219043"," 25.07",111,90,23.38,02/28/2022,T
"DLF"," EQ"," 25-Feb-2022"," 320.50"," 335.00"," 351.50"," 330.15"," 349.40"," 348.80"," 345.21"," 16385276"," 56563.96"," 133933"," 4157727"," 25.37",122,90,23.24,02/25/2022,T
"DLF"," EQ"," 24-Feb-2022"," 344.20"," 325.50"," 339.45"," 318.05"," 319.15"," 320.50"," 328.01"," 15926498"," 52240.69"," 160465"," 3543180"," 22.25",99,89,23.23,02/24/2022,F
"DLF"," EQ"," 23-Feb-2022"," 324.35"," 330.15"," 345.45"," 328.95"," 344.40"," 344.20"," 339.27"," 16434369"," 55756.08"," 150952"," 3044437"," 18.52",109,89,23.16,02/23/2022,F
"DLF"," EQ"," 22-Feb-2022"," 346.50"," 331.00"," 338.35"," 323.25"," 324.80"," 324.35"," 328.39"," 19176808"," 62975.34"," 133357"," 9328273"," 48.64",144,89,23.17,02/22/2022,T
"DLF"," EQ"," 21-Feb-2022"," 359.65"," 356.00"," 357.80"," 344.40"," 344.90"," 346.50"," 351.40"," 7926195"," 27852.93"," 63646"," 3006237"," 37.93",125,88,22.70,02/21/2022,T
"DLF"," EQ"," 18-Feb-2022"," 365.60"," 363.50"," 367.00"," 357.65"," 359.20"," 359.65"," 362.53"," 3470414"," 12581.33"," 39870"," 837309"," 24.13",87,87,22.41,02/18/2022,F
"DLF"," EQ"," 17-Feb-2022"," 367.85"," 370.90"," 370.90"," 362.40"," 364.70"," 365.60"," 366.90"," 4698952"," 17240.66"," 53204"," 1076541"," 22.91",88,87,22.38,02/17/2022,T
"DLF"," EQ"," 16-Feb-2022"," 371.55"," 374.60"," 376.10"," 366.50"," 367.05"," 367.85"," 372.08"," 6547019"," 24359.83"," 65034"," 1350198"," 20.62",101,87,22.45,02/16/2022,F
"DLF"," EQ"," 15-Feb-2022"," 355.05"," 358.00"," 373.25"," 347.75"," 372.50"," 371.55"," 359.23"," 10050051"," 36102.78"," 121721"," 2789977"," 27.76",83,86,22.52,02/15/2022,F
"DLF"," EQ"," 14-Feb-2022"," 378.60"," 369.85"," 371.80"," 352.40"," 353.00"," 355.05"," 364.73"," 7374254"," 26896.03"," 83826"," 2086241"," 28.29",88,86,22.50,02/14/2022,T
"DLF"," EQ"," 11-Feb-2022"," 391.15"," 386.50"," 388.75"," 377.10"," 377.65"," 378.60"," 381.63"," 4872433"," 18594.59"," 56233"," 1536165"," 31.53",87,86,22.25,02/11/2022,T
"DLF"," EQ"," 10-Feb-2022"," 386.35"," 388.80"," 394.60"," 382.00"," 391.00"," 391.15"," 389.69"," 4747069"," 18498.90"," 49850"," 1739056"," 36.63",95,86,22.13,02/10/2022,T
