symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"DRREDDY"," EQ"," 25-Mar-2022"," 4328.50"," 4327.00"," 4375.00"," 4290.00"," 4350.00"," 4361.45"," 4334.52"," 864397"," 37467.50"," 67057"," 351846"," 40.70",13,11,46.46,03/25/2022,F
"DRREDDY"," EQ"," 24-Mar-2022"," 4127.30"," 4113.00"," 4348.55"," 4101.45"," 4322.05"," 4328.50"," 4283.58"," 1738147"," 74454.88"," 142757"," 643466"," 37.02",12,11,46.35,03/24/2022,F
"DRREDDY"," EQ"," 23-Mar-2022"," 4030.35"," 4040.00"," 4188.95"," 4040.00"," 4110.00"," 4127.30"," 4147.67"," 1044114"," 43306.40"," 66562"," 412236"," 39.48",16,10,46.57,03/23/2022,F
"DRREDDY"," EQ"," 22-Mar-2022"," 4004.95"," 4021.00"," 4056.95"," 3970.00"," 4028.90"," 4030.35"," 3991.12"," 1290222"," 51494.28"," 35850"," 989142"," 76.66",36,10,46.62,03/22/2022,T
"DRREDDY"," EQ"," 21-Mar-2022"," 4042.15"," 4074.00"," 4082.95"," 3996.75"," 4003.00"," 4004.95"," 4036.80"," 401639"," 16213.38"," 34131"," 220897"," 55.00",12,10,45.87,03/21/2022,T
"DRREDDY"," EQ"," 17-Mar-2022"," 3943.80"," 3965.10"," 4050.00"," 3946.20"," 4037.70"," 4042.15"," 4017.10"," 772587"," 31035.63"," 57304"," 468172"," 60.60",13,10,45.41,03/17/2022,T
"DRREDDY"," EQ"," 16-Mar-2022"," 3899.85"," 3974.00"," 3974.00"," 3890.00"," 3927.45"," 3943.80"," 3924.46"," 358776"," 14080.00"," 31280"," 147084"," 41.00",11,10,45.33,03/16/2022,F
"DRREDDY"," EQ"," 15-Mar-2022"," 3957.30"," 3958.00"," 3999.00"," 3880.00"," 3891.00"," 3899.85"," 3930.50"," 471294"," 18524.19"," 50876"," 266590"," 56.57",9,10,45.66,03/15/2022,F
"DRREDDY"," EQ"," 14-Mar-2022"," 3975.60"," 3961.00"," 3994.65"," 3925.00"," 3955.00"," 3957.30"," 3960.49"," 570058"," 22577.11"," 50486"," 319418"," 56.03",11,10,45.26,03/14/2022,T
"DRREDDY"," EQ"," 11-Mar-2022"," 3892.50"," 3893.00"," 3996.00"," 3873.00"," 3974.95"," 3975.60"," 3956.77"," 1113263"," 44049.28"," 78077"," 638281"," 57.33",14,10,44.93,03/11/2022,T
"DRREDDY"," EQ"," 10-Mar-2022"," 3930.45"," 3975.00"," 3986.50"," 3875.55"," 3882.00"," 3892.50"," 3916.32"," 712099"," 27888.11"," 67193"," 392878"," 55.17",11,10,44.53,03/10/2022,T
"DRREDDY"," EQ"," 09-Mar-2022"," 3868.55"," 3901.50"," 3981.30"," 3882.20"," 3930.00"," 3930.45"," 3949.86"," 809369"," 31968.92"," 65248"," 449002"," 55.48",12,10,44.19,03/09/2022,T
"DRREDDY"," EQ"," 08-Mar-2022"," 3769.40"," 3750.00"," 3886.95"," 3737.85"," 3875.30"," 3868.55"," 3818.26"," 784169"," 29941.62"," 70586"," 421167"," 53.71",11,10,43.92,03/08/2022,T
"DRREDDY"," EQ"," 04-Mar-2022"," 3718.85"," 3710.00"," 3873.95"," 3654.00"," 3826.00"," 3828.65"," 3775.00"," 1208050"," 45603.90"," 108769"," 325709"," 26.96",11,10,43.73,03/04/2022,F
"DRREDDY"," EQ"," 03-Mar-2022"," 3853.15"," 3879.00"," 3894.25"," 3700.00"," 3734.65"," 3718.85"," 3771.57"," 1334725"," 50340.06"," 121731"," 813067"," 60.92",11,10,44.20,03/03/2022,T
"DRREDDY"," EQ"," 02-Mar-2022"," 4063.40"," 4061.35"," 4063.40"," 3825.00"," 3854.20"," 3853.15"," 3911.81"," 1540635"," 60266.78"," 141663"," 862796"," 56.00",11,10,43.89,03/02/2022,T
"DRREDDY"," EQ"," 28-Feb-2022"," 4176.60"," 4150.00"," 4150.00"," 4052.50"," 4064.95"," 4063.40"," 4072.50"," 982850"," 40026.53"," 100648"," 631375"," 64.24",10,10,43.79,02/28/2022,F
"DRREDDY"," EQ"," 25-Feb-2022"," 4092.50"," 4114.00"," 4201.00"," 4102.10"," 4180.00"," 4176.60"," 4150.39"," 305433"," 12676.67"," 37985"," 107298"," 35.13",8,10,43.27,02/25/2022,F
"DRREDDY"," EQ"," 24-Feb-2022"," 4200.95"," 4050.00"," 4149.00"," 4049.95"," 4083.00"," 4092.50"," 4088.26"," 697127"," 28500.35"," 82004"," 333371"," 47.82",9,10,43.27,02/24/2022,F
"DRREDDY"," EQ"," 23-Feb-2022"," 4218.50"," 4260.00"," 4260.65"," 4190.85"," 4204.00"," 4200.95"," 4213.33"," 371484"," 15651.85"," 48503"," 193379"," 52.06",8,10,43.35,02/23/2022,F
"DRREDDY"," EQ"," 22-Feb-2022"," 4298.25"," 4189.95"," 4235.60"," 4155.70"," 4209.00"," 4218.50"," 4201.08"," 480840"," 20200.45"," 46522"," 249416"," 51.87",10,10,43.49,02/22/2022,F
"DRREDDY"," EQ"," 21-Feb-2022"," 4321.15"," 4376.00"," 4416.65"," 4282.60"," 4299.00"," 4298.25"," 4339.73"," 587951"," 25515.51"," 53900"," 108637"," 18.48",11,10,43.40,02/21/2022,F
"DRREDDY"," EQ"," 18-Feb-2022"," 4301.00"," 4280.00"," 4343.00"," 4264.60"," 4320.05"," 4321.15"," 4316.37"," 358108"," 15457.28"," 40563"," 187280"," 52.30",9,10,43.92,02/18/2022,F
"DRREDDY"," EQ"," 17-Feb-2022"," 4316.45"," 4322.90"," 4335.25"," 4293.20"," 4300.00"," 4301.00"," 4314.63"," 229031"," 9881.85"," 25017"," 105990"," 46.28",9,10,43.79,02/17/2022,F
"DRREDDY"," EQ"," 16-Feb-2022"," 4277.55"," 4278.00"," 4372.80"," 4243.55"," 4318.00"," 4316.45"," 4321.41"," 380613"," 16447.85"," 39631"," 163542"," 42.97",10,10,43.72,02/16/2022,F
"DRREDDY"," EQ"," 15-Feb-2022"," 4204.60"," 4234.00"," 4294.45"," 4188.60"," 4290.00"," 4277.55"," 4254.44"," 358011"," 15231.37"," 47036"," 178396"," 49.83",8,10,43.86,02/15/2022,F
"DRREDDY"," EQ"," 14-Feb-2022"," 4325.40"," 4250.00"," 4266.60"," 4166.75"," 4202.60"," 4204.60"," 4224.18"," 449386"," 18982.87"," 61917"," 208490"," 46.39",7,10,44.11,02/14/2022,F
"DRREDDY"," EQ"," 11-Feb-2022"," 4370.70"," 4311.00"," 4349.55"," 4280.15"," 4325.00"," 4325.40"," 4311.95"," 337538"," 14554.46"," 39425"," 179520"," 53.19",9,10,44.24,02/11/2022,F
"DRREDDY"," EQ"," 10-Feb-2022"," 4368.75"," 4385.00"," 4388.75"," 4333.70"," 4362.25"," 4370.70"," 4360.54"," 237865"," 10372.21"," 33156"," 122082"," 51.32",7,10,44.32,02/10/2022,F
"DRREDDY"," EQ"," 09-Feb-2022"," 4321.95"," 4322.20"," 4395.00"," 4311.50"," 4364.00"," 4368.75"," 4361.79"," 198880"," 8674.72"," 24276"," 76973"," 38.70",8,10,44.54,02/09/2022,F
"DRREDDY"," EQ"," 08-Feb-2022"," 4309.20"," 4309.00"," 4379.35"," 4280.05"," 4313.95"," 4321.95"," 4331.35"," 396403"," 17169.61"," 36968"," 138857"," 35.03",11,10,44.91,02/08/2022,F
"DRREDDY"," EQ"," 07-Feb-2022"," 4351.95"," 4320.00"," 4350.00"," 4250.05"," 4298.90"," 4309.20"," 4302.80"," 255958"," 11013.36"," 29851"," 87603"," 34.23",9,10,45.15,02/07/2022,F
"DRREDDY"," EQ"," 04-Feb-2022"," 4374.65"," 4404.55"," 4406.50"," 4337.00"," 4345.00"," 4351.95"," 4364.83"," 246993"," 10780.81"," 37945"," 95208"," 38.55",7,10,45.41,02/04/2022,F
"DRREDDY"," EQ"," 03-Feb-2022"," 4415.35"," 4418.00"," 4436.95"," 4360.00"," 4369.00"," 4374.65"," 4390.03"," 221537"," 9725.53"," 28400"," 78922"," 35.62",8,10,45.52,02/03/2022,F
"DRREDDY"," EQ"," 02-Feb-2022"," 4309.45"," 4325.00"," 4429.75"," 4315.10"," 4418.15"," 4415.35"," 4378.33"," 305001"," 13353.95"," 30649"," 139923"," 45.88",10,10,45.75,02/02/2022,F
"DRREDDY"," EQ"," 01-Feb-2022"," 4302.80"," 4320.00"," 4326.40"," 4258.00"," 4312.10"," 4309.45"," 4293.76"," 371663"," 15958.33"," 40851"," 165410"," 44.51",9,10,45.94,02/01/2022,F
"DRREDDY"," EQ"," 31-Jan-2022"," 4218.60"," 4249.95"," 4368.60"," 4240.05"," 4296.70"," 4302.80"," 4321.78"," 618555"," 26732.61"," 50488"," 265967"," 43.00",12,10,46.02,01/31/2022,F
"DRREDDY"," EQ"," 28-Jan-2022"," 4256.35"," 4248.80"," 4380.00"," 4175.45"," 4225.00"," 4218.60"," 4286.68"," 1302984"," 55854.81"," 110193"," 377315"," 28.96",12,10,45.85,01/28/2022,F
"DRREDDY"," EQ"," 27-Jan-2022"," 4402.85"," 4340.00"," 4365.15"," 4232.00"," 4254.00"," 4256.35"," 4286.65"," 705506"," 30242.55"," 82990"," 356171"," 50.48",9,10,45.73,01/27/2022,F
"DRREDDY"," EQ"," 25-Jan-2022"," 4364.35"," 4364.35"," 4418.95"," 4301.00"," 4417.00"," 4402.85"," 4372.66"," 340902"," 14906.49"," 42258"," 170978"," 50.15",8,10,45.63,01/25/2022,F
"DRREDDY"," EQ"," 24-Jan-2022"," 4496.15"," 4486.10"," 4489.80"," 4311.00"," 4350.20"," 4364.35"," 4388.32"," 556498"," 24420.92"," 62200"," 277705"," 49.90",9,10,45.81,01/24/2022,F
"DRREDDY"," EQ"," 21-Jan-2022"," 4591.55"," 4561.25"," 4570.00"," 4435.00"," 4501.50"," 4496.15"," 4495.93"," 557548"," 25066.96"," 76363"," 283610"," 50.87",7,10,45.71,01/21/2022,F
"DRREDDY"," EQ"," 20-Jan-2022"," 4684.95"," 4712.00"," 4712.00"," 4570.00"," 4597.10"," 4591.55"," 4608.08"," 317739"," 14641.66"," 40089"," 117005"," 36.82",8,10,45.62,01/20/2022,F
"DRREDDY"," EQ"," 19-Jan-2022"," 4693.55"," 4695.00"," 4734.40"," 4654.95"," 4677.00"," 4684.95"," 4688.51"," 307887"," 14435.30"," 30153"," 135529"," 44.02",10,10,45.78,01/19/2022,F
"DRREDDY"," EQ"," 18-Jan-2022"," 4672.40"," 4670.00"," 4724.45"," 4621.00"," 4691.25"," 4693.55"," 4679.88"," 424528"," 19867.42"," 35714"," 222674"," 52.45",12,10,45.69,01/18/2022,T
"DRREDDY"," EQ"," 17-Jan-2022"," 4689.20"," 4665.50"," 4699.95"," 4605.50"," 4666.40"," 4672.40"," 4660.49"," 538649"," 25103.68"," 30373"," 322276"," 59.83",18,10,45.93,01/17/2022,T
"DRREDDY"," EQ"," 14-Jan-2022"," 4725.95"," 4720.20"," 4723.00"," 4660.55"," 4685.95"," 4689.20"," 4688.82"," 318860"," 14950.76"," 27039"," 156164"," 48.98",12,10,45.80,01/14/2022,T
"DRREDDY"," EQ"," 13-Jan-2022"," 4693.40"," 4700.00"," 4759.60"," 4684.60"," 4732.25"," 4725.95"," 4729.67"," 454051"," 21475.13"," 46876"," 230690"," 50.81",10,10,45.75,01/13/2022,F
"DRREDDY"," EQ"," 12-Jan-2022"," 4669.25"," 4680.00"," 4703.30"," 4634.00"," 4688.00"," 4693.40"," 4673.02"," 237769"," 11110.99"," 29501"," 104664"," 44.02",8,10,45.43,01/12/2022,F
"DRREDDY"," EQ"," 11-Jan-2022"," 4699.05"," 4710.00"," 4739.90"," 4660.55"," 4665.00"," 4669.25"," 4692.93"," 309432"," 14521.44"," 46460"," 158914"," 51.36",7,10,45.25,01/11/2022,F
"DRREDDY"," EQ"," 10-Jan-2022"," 4708.40"," 4728.40"," 4728.40"," 4655.15"," 4697.60"," 4699.05"," 4686.91"," 315019"," 14764.66"," 28301"," 174183"," 55.29",11,10,45.13,01/10/2022,T
"DRREDDY"," EQ"," 07-Jan-2022"," 4739.45"," 4769.45"," 4769.45"," 4690.00"," 4706.50"," 4708.40"," 4721.36"," 267123"," 12611.85"," 34280"," 92235"," 34.53",8,10,45.00,01/07/2022,F
"DRREDDY"," EQ"," 06-Jan-2022"," 4790.40"," 4790.40"," 4836.05"," 4728.30"," 4733.95"," 4739.45"," 4764.57"," 381643"," 18183.63"," 35851"," 126192"," 33.07",11,10,45.34,01/06/2022,F
"DRREDDY"," EQ"," 05-Jan-2022"," 4835.45"," 4880.00"," 4904.60"," 4757.05"," 4790.00"," 4790.40"," 4819.50"," 536802"," 25871.18"," 51862"," 183129"," 34.11",10,10,45.79,01/05/2022,F
"DRREDDY"," EQ"," 04-Jan-2022"," 4853.15"," 4861.00"," 4892.90"," 4825.00"," 4839.00"," 4835.45"," 4848.58"," 253438"," 12288.14"," 40265"," 125218"," 49.41",6,10,46.26,01/04/2022,F
"DRREDDY"," EQ"," 03-Jan-2022"," 4907.00"," 4907.00"," 4930.30"," 4847.70"," 4857.00"," 4853.15"," 4872.80"," 292601"," 14257.87"," 31353"," 118577"," 40.53",9,10,46.37,01/03/2022,F
"DRREDDY"," EQ"," 31-Dec-2021"," 4904.70"," 4904.00"," 4931.05"," 4876.50"," 4905.65"," 4907.00"," 4905.22"," 288568"," 14154.89"," 28594"," 104591"," 36.24",10,10,46.36,12/31/2021,F
"DRREDDY"," EQ"," 30-Dec-2021"," 4833.15"," 4830.00"," 4927.95"," 4825.05"," 4898.95"," 4904.70"," 4890.99"," 553146"," 27054.34"," 55754"," 210741"," 38.10",10,10,46.36,12/30/2021,F
"DRREDDY"," EQ"," 29-Dec-2021"," 4743.80"," 4743.80"," 4848.15"," 4743.80"," 4822.00"," 4833.15"," 4816.63"," 505604"," 24353.06"," 43249"," 146565"," 28.99",12,10,46.52,12/29/2021,F
"DRREDDY"," EQ"," 28-Dec-2021"," 4736.90"," 4736.90"," 4773.60"," 4703.05"," 4749.95"," 4743.80"," 4742.43"," 668594"," 31707.60"," 31978"," 457955"," 68.50",21,10,46.61,12/28/2021,T
"DRREDDY"," EQ"," 27-Dec-2021"," 4638.65"," 4624.10"," 4745.00"," 4621.10"," 4734.00"," 4736.90"," 4708.89"," 339268"," 15975.74"," 36889"," 138704"," 40.88",9,10,46.28,12/27/2021,F
"DRREDDY"," EQ"," 24-Dec-2021"," 4694.80"," 4725.00"," 4730.00"," 4611.00"," 4624.00"," 4638.65"," 4659.94"," 251826"," 11734.94"," 24496"," 85323"," 33.88",10,10,46.33,12/24/2021,F
"DRREDDY"," EQ"," 23-Dec-2021"," 4648.50"," 4673.70"," 4700.00"," 4655.10"," 4693.70"," 4694.80"," 4686.36"," 166240"," 7790.61"," 24228"," 83603"," 50.29",7,10,46.55,12/23/2021,F
"DRREDDY"," EQ"," 22-Dec-2021"," 4620.90"," 4640.00"," 4679.30"," 4610.00"," 4641.00"," 4648.50"," 4651.59"," 213679"," 9939.47"," 25688"," 90783"," 42.49",8,10,46.71,12/22/2021,F
"DRREDDY"," EQ"," 21-Dec-2021"," 4560.70"," 4561.05"," 4629.20"," 4543.80"," 4620.00"," 4620.90"," 4603.23"," 258754"," 11911.03"," 26693"," 79991"," 30.91",10,10,46.86,12/21/2021,F
"DRREDDY"," EQ"," 20-Dec-2021"," 4517.95"," 4496.20"," 4575.00"," 4462.00"," 4561.05"," 4560.70"," 4528.55"," 341777"," 15477.53"," 42976"," 79535"," 23.27",8,10,47.20,12/20/2021,F
"DRREDDY"," EQ"," 17-Dec-2021"," 4597.35"," 4630.00"," 4648.00"," 4496.80"," 4512.00"," 4517.95"," 4540.97"," 483512"," 21956.14"," 45128"," 237516"," 49.12",11,10,47.53,12/17/2021,T
"DRREDDY"," EQ"," 16-Dec-2021"," 4600.30"," 4630.00"," 4638.95"," 4570.00"," 4600.95"," 4597.35"," 4600.31"," 201321"," 9261.39"," 26363"," 112082"," 55.67",8,10,47.68,12/16/2021,F
"DRREDDY"," EQ"," 15-Dec-2021"," 4646.55"," 4645.10"," 4646.55"," 4572.30"," 4610.00"," 4600.30"," 4596.92"," 307545"," 14137.61"," 17014"," 188982"," 61.45",18,10,47.63,12/15/2021,T
"DRREDDY"," EQ"," 14-Dec-2021"," 4599.80"," 4596.00"," 4660.00"," 4577.10"," 4644.00"," 4646.55"," 4635.65"," 239183"," 11087.68"," 25787"," 76545"," 32.00",9,10,47.40,12/14/2021,F
"DRREDDY"," EQ"," 13-Dec-2021"," 4593.30"," 4678.00"," 4678.00"," 4566.45"," 4597.00"," 4599.80"," 4606.93"," 271005"," 12485.02"," 25771"," 96035"," 35.44",11,10,47.48,12/13/2021,F
"DRREDDY"," EQ"," 10-Dec-2021"," 4594.25"," 4610.00"," 4619.50"," 4573.50"," 4584.80"," 4593.30"," 4594.23"," 160513"," 7374.33"," 19663"," 52347"," 32.61",8,10,47.74,12/10/2021,F
"DRREDDY"," EQ"," 09-Dec-2021"," 4570.70"," 4600.00"," 4617.95"," 4565.35"," 4604.45"," 4594.25"," 4588.74"," 226177"," 10378.68"," 24187"," 76310"," 33.74",9,10,47.99,12/09/2021,F
"DRREDDY"," EQ"," 08-Dec-2021"," 4520.70"," 4527.25"," 4589.70"," 4527.25"," 4570.70"," 4570.70"," 4564.91"," 195856"," 8940.65"," 20684"," 76212"," 38.91",9,10,48.53,12/08/2021,F
"DRREDDY"," EQ"," 07-Dec-2021"," 4498.70"," 4520.00"," 4550.00"," 4441.30"," 4526.05"," 4520.70"," 4492.60"," 532500"," 23923.11"," 44576"," 217034"," 40.76",12,10,48.82,12/07/2021,F
