symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"EICHERMOT"," EQ"," 23-Mar-2022"," 2380.40"," 2393.00"," 2413.70"," 2363.00"," 2385.90"," 2394.10"," 2393.02"," 439287"," 10512.20"," 28322"," 158669"," 36.12",16,15,39.70,03/23/2022,F
"EICHERMOT"," EQ"," 22-Mar-2022"," 2378.75"," 2378.75"," 2404.80"," 2329.00"," 2375.00"," 2380.40"," 2368.10"," 661123"," 15656.08"," 44454"," 342837"," 51.86",15,15,39.76,03/22/2022,F
"EICHERMOT"," EQ"," 21-Mar-2022"," 2436.95"," 2448.95"," 2448.95"," 2372.00"," 2375.00"," 2378.75"," 2397.51"," 480116"," 11510.85"," 45851"," 220428"," 45.91",10,15,39.39,03/21/2022,F
"EICHERMOT"," EQ"," 17-Mar-2022"," 2357.90"," 2378.90"," 2463.00"," 2375.30"," 2436.00"," 2436.95"," 2433.37"," 1229513"," 29918.61"," 62133"," 666630"," 54.22",20,15,39.39,03/17/2022,T
"EICHERMOT"," EQ"," 16-Mar-2022"," 2305.25"," 2338.70"," 2373.85"," 2322.40"," 2349.00"," 2357.90"," 2354.96"," 758341"," 17858.61"," 39694"," 469405"," 61.90",19,15,39.27,03/16/2022,T
"EICHERMOT"," EQ"," 15-Mar-2022"," 2313.55"," 2320.00"," 2354.95"," 2280.10"," 2305.50"," 2305.25"," 2319.61"," 611025"," 14173.37"," 56515"," 257049"," 42.07",11,15,39.02,03/15/2022,F
"EICHERMOT"," EQ"," 14-Mar-2022"," 2290.75"," 2290.00"," 2320.75"," 2235.80"," 2313.50"," 2313.55"," 2279.00"," 681806"," 15538.36"," 58247"," 270616"," 39.69",12,15,38.93,03/14/2022,F
"EICHERMOT"," EQ"," 11-Mar-2022"," 2303.00"," 2290.00"," 2315.00"," 2255.15"," 2295.00"," 2290.75"," 2286.79"," 621070"," 14202.58"," 41700"," 278338"," 44.82",15,15,39.10,03/11/2022,F
"EICHERMOT"," EQ"," 10-Mar-2022"," 2293.05"," 2375.00"," 2393.45"," 2291.75"," 2302.00"," 2303.00"," 2334.00"," 1021481"," 23841.39"," 84705"," 470835"," 46.09",12,15,39.21,03/10/2022,F
"EICHERMOT"," EQ"," 09-Mar-2022"," 2256.05"," 2275.00"," 2308.35"," 2219.00"," 2295.00"," 2293.05"," 2270.85"," 1577642"," 35825.88"," 80301"," 785674"," 49.80",20,15,39.39,03/09/2022,T
"EICHERMOT"," EQ"," 08-Mar-2022"," 2259.65"," 2251.00"," 2264.45"," 2159.55"," 2256.00"," 2256.05"," 2215.43"," 1533255"," 33968.20"," 73962"," 776063"," 50.62",21,15,39.28,03/08/2022,T
"EICHERMOT"," EQ"," 04-Mar-2022"," 2409.50"," 2400.00"," 2400.90"," 2300.00"," 2338.00"," 2339.25"," 2343.15"," 862528"," 20210.34"," 81309"," 330813"," 38.35",11,15,39.18,03/04/2022,F
