symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"ESCORTS"," EQ"," 23-Mar-2022"," 1840.65"," 1840.10"," 1858.85"," 1836.50"," 1854.85"," 1856.40"," 1851.23"," 722768"," 13380.09"," 11262"," 468620"," 64.84",64,39,56.69,03/23/2022,T
"ESCORTS"," EQ"," 22-Mar-2022"," 1847.15"," 1849.90"," 1849.90"," 1833.10"," 1842.70"," 1840.65"," 1839.69"," 887701"," 16330.93"," 10902"," 601204"," 67.73",81,39,56.47,03/22/2022,T
"ESCORTS"," EQ"," 21-Mar-2022"," 1837.50"," 1840.00"," 1849.25"," 1825.50"," 1846.50"," 1847.15"," 1840.96"," 630054"," 11599.06"," 16054"," 455257"," 72.26",39,38,56.36,03/21/2022,T
"ESCORTS"," EQ"," 17-Mar-2022"," 1827.35"," 1833.00"," 1844.00"," 1829.65"," 1836.95"," 1837.50"," 1837.85"," 674657"," 12399.18"," 14531"," 445548"," 66.04",46,38,55.96,03/17/2022,T
"ESCORTS"," EQ"," 16-Mar-2022"," 1809.80"," 1816.90"," 1834.80"," 1806.10"," 1826.95"," 1827.35"," 1824.70"," 1457895"," 26602.19"," 37105"," 1019352"," 69.92",39,38,55.84,03/16/2022,T
"ESCORTS"," EQ"," 15-Mar-2022"," 1808.35"," 1805.10"," 1814.80"," 1795.05"," 1811.70"," 1809.80"," 1803.83"," 1584013"," 28572.85"," 37513"," 1106955"," 69.88",42,38,55.59,03/15/2022,T
"ESCORTS"," EQ"," 14-Mar-2022"," 1818.20"," 1821.85"," 1831.50"," 1805.05"," 1812.00"," 1808.35"," 1819.28"," 719866"," 13096.35"," 19883"," 416747"," 57.89",36,38,55.15,03/14/2022,F
"ESCORTS"," EQ"," 11-Mar-2022"," 1816.30"," 1815.00"," 1820.00"," 1802.10"," 1818.90"," 1818.20"," 1812.47"," 553138"," 10025.48"," 16803"," 328469"," 59.38",33,38,55.14,03/11/2022,F
"ESCORTS"," EQ"," 10-Mar-2022"," 1774.85"," 1781.10"," 1821.85"," 1776.00"," 1817.90"," 1816.30"," 1805.03"," 1038233"," 18740.40"," 27290"," 482682"," 46.49",38,38,54.91,03/10/2022,F
"ESCORTS"," EQ"," 09-Mar-2022"," 1771.75"," 1763.00"," 1780.90"," 1752.30"," 1777.95"," 1774.85"," 1764.29"," 993783"," 17533.19"," 23388"," 544490"," 54.79",42,38,54.47,03/09/2022,T
"ESCORTS"," EQ"," 08-Mar-2022"," 1797.15"," 1792.05"," 1802.85"," 1741.10"," 1765.05"," 1771.75"," 1764.18"," 1569716"," 27692.66"," 28813"," 940560"," 59.92",54,37,54.10,03/08/2022,T
"ESCORTS"," EQ"," 04-Mar-2022"," 1827.15"," 1815.00"," 1833.00"," 1800.20"," 1829.00"," 1828.65"," 1821.41"," 1511571"," 27531.86"," 28646"," 787707"," 52.11",53,37,53.67,03/04/2022,F
"ESCORTS"," EQ"," 03-Mar-2022"," 1868.55"," 1871.90"," 1875.00"," 1809.25"," 1826.70"," 1827.15"," 1847.63"," 2604026"," 48112.84"," 46773"," 1321534"," 50.75",56,37,53.42,03/03/2022,F
"ESCORTS"," EQ"," 02-Mar-2022"," 1850.95"," 1872.05"," 1882.00"," 1852.20"," 1867.60"," 1868.55"," 1866.75"," 2077119"," 38774.55"," 44078"," 1310154"," 63.08",47,36,53.24,03/02/2022,T
"ESCORTS"," EQ"," 28-Feb-2022"," 1835.10"," 1831.00"," 1856.90"," 1825.10"," 1850.00"," 1850.95"," 1846.29"," 1192549"," 22017.94"," 16085"," 817617"," 68.56",74,36,52.50,02/28/2022,T
"ESCORTS"," EQ"," 25-Feb-2022"," 1795.20"," 1811.00"," 1844.90"," 1749.60"," 1843.05"," 1835.10"," 1814.66"," 1900491"," 34487.49"," 31734"," 1031547"," 54.28",60,35,51.90,02/25/2022,T
"ESCORTS"," EQ"," 24-Feb-2022"," 1858.20"," 1847.00"," 1852.40"," 1781.10"," 1785.00"," 1795.20"," 1814.81"," 2213011"," 40161.87"," 36057"," 1376551"," 62.20",61,35,51.46,02/24/2022,T
"ESCORTS"," EQ"," 23-Feb-2022"," 1860.05"," 1861.95"," 1865.75"," 1855.05"," 1862.25"," 1858.20"," 1858.30"," 865902"," 16091.09"," 17948"," 737787"," 85.20",48,35,51.30,02/23/2022,T
"ESCORTS"," EQ"," 22-Feb-2022"," 1861.05"," 1852.00"," 1863.95"," 1850.50"," 1859.45"," 1860.05"," 1856.35"," 306649"," 5692.47"," 7938"," 137528"," 44.85",39,35,50.60,02/22/2022,F
