symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"EXIDEIND"," EQ"," 23-Mar-2022"," 154.85"," 155.10"," 156.45"," 154.00"," 154.40"," 154.45"," 155.02"," 2597898"," 4027.16"," 31036"," 1568207"," 60.36",84,86,42.68,03/23/2022,F
"EXIDEIND"," EQ"," 22-Mar-2022"," 154.85"," 154.50"," 155.50"," 152.80"," 155.00"," 154.85"," 154.13"," 1458193"," 2247.51"," 16767"," 585476"," 40.15",87,86,42.25,03/22/2022,F
"EXIDEIND"," EQ"," 21-Mar-2022"," 156.30"," 158.50"," 158.50"," 154.25"," 154.85"," 154.85"," 155.66"," 2357568"," 3669.75"," 32264"," 1017838"," 43.17",73,86,42.00,03/21/2022,F
"EXIDEIND"," EQ"," 17-Mar-2022"," 156.30"," 158.90"," 158.90"," 155.25"," 156.45"," 156.30"," 156.92"," 2197416"," 3448.20"," 21274"," 1153885"," 52.51",103,86,42.28,03/17/2022,T
"EXIDEIND"," EQ"," 16-Mar-2022"," 154.00"," 155.90"," 157.25"," 155.35"," 156.35"," 156.30"," 156.10"," 1643101"," 2564.96"," 17082"," 680411"," 41.41",96,85,42.32,03/16/2022,F
"EXIDEIND"," EQ"," 15-Mar-2022"," 154.65"," 155.00"," 156.60"," 152.70"," 153.90"," 154.00"," 155.05"," 2121787"," 3289.90"," 25479"," 697939"," 32.89",83,85,42.52,03/15/2022,F
"EXIDEIND"," EQ"," 14-Mar-2022"," 153.65"," 154.35"," 155.00"," 152.05"," 154.50"," 154.65"," 153.85"," 1586858"," 2441.30"," 20875"," 603621"," 38.04",76,85,42.49,03/14/2022,F
"EXIDEIND"," EQ"," 11-Mar-2022"," 151.20"," 152.65"," 156.35"," 152.25"," 153.50"," 153.65"," 153.99"," 4255136"," 6552.62"," 38769"," 1134995"," 26.67",110,86,42.97,03/11/2022,F
"EXIDEIND"," EQ"," 10-Mar-2022"," 147.95"," 150.95"," 153.75"," 150.25"," 151.30"," 151.20"," 151.59"," 2753399"," 4173.75"," 29032"," 667428"," 24.24",95,85,43.18,03/10/2022,F
"EXIDEIND"," EQ"," 09-Mar-2022"," 145.00"," 146.45"," 148.65"," 144.70"," 147.95"," 147.95"," 146.68"," 1705458"," 2501.63"," 23288"," 675110"," 39.59",73,85,43.53,03/09/2022,F
"EXIDEIND"," EQ"," 08-Mar-2022"," 141.30"," 139.95"," 145.50"," 139.50"," 145.00"," 145.00"," 142.61"," 1964741"," 2801.86"," 24608"," 612030"," 31.15",80,85,43.61,03/08/2022,F
"EXIDEIND"," EQ"," 04-Mar-2022"," 148.35"," 148.00"," 148.00"," 144.55"," 145.00"," 144.90"," 145.92"," 2448993"," 3573.45"," 29808"," 987677"," 40.33",82,86,43.58,03/04/2022,F
"EXIDEIND"," EQ"," 03-Mar-2022"," 148.40"," 150.90"," 150.95"," 147.80"," 148.40"," 148.35"," 148.95"," 1795477"," 2674.34"," 22256"," 839475"," 46.75",81,86,43.66,03/03/2022,F
"EXIDEIND"," EQ"," 02-Mar-2022"," 149.05"," 149.05"," 150.30"," 147.05"," 148.95"," 148.40"," 148.74"," 1947892"," 2897.24"," 40104"," 902543"," 46.33",49,86,43.68,03/02/2022,F
"EXIDEIND"," EQ"," 28-Feb-2022"," 149.00"," 148.30"," 149.75"," 146.55"," 149.30"," 149.05"," 148.45"," 1821075"," 2703.43"," 24983"," 678613"," 37.26",73,86,43.75,02/28/2022,F
"EXIDEIND"," EQ"," 25-Feb-2022"," 141.40"," 144.90"," 149.40"," 144.20"," 149.20"," 149.00"," 147.62"," 2338779"," 3452.44"," 33399"," 878912"," 37.58",70,86,43.76,02/25/2022,F
"EXIDEIND"," EQ"," 24-Feb-2022"," 152.95"," 147.00"," 149.95"," 140.50"," 142.50"," 141.40"," 144.65"," 4633642"," 6702.74"," 66604"," 1933503"," 41.73",70,86,43.91,02/24/2022,F
"EXIDEIND"," EQ"," 23-Feb-2022"," 151.10"," 152.50"," 154.10"," 152.45"," 153.10"," 152.95"," 153.33"," 1875620"," 2875.88"," 20143"," 843849"," 44.99",93,86,43.87,02/23/2022,T
"EXIDEIND"," EQ"," 22-Feb-2022"," 154.25"," 152.20"," 152.30"," 146.00"," 151.40"," 151.10"," 150.70"," 2522328"," 3801.16"," 34898"," 1067732"," 42.33",72,86,43.83,02/22/2022,F
"EXIDEIND"," EQ"," 21-Feb-2022"," 156.45"," 156.00"," 156.30"," 154.00"," 154.35"," 154.25"," 155.00"," 1531378"," 2373.61"," 22261"," 649599"," 42.42",69,86,43.76,02/21/2022,F
"EXIDEIND"," EQ"," 18-Feb-2022"," 158.05"," 157.30"," 158.75"," 156.10"," 156.80"," 156.45"," 157.33"," 1432065"," 2253.09"," 19699"," 571116"," 39.88",73,86,43.82,02/18/2022,F
"EXIDEIND"," EQ"," 17-Feb-2022"," 159.50"," 160.35"," 160.75"," 157.60"," 157.90"," 158.05"," 158.98"," 1243004"," 1976.18"," 18202"," 549342"," 44.19",68,87,43.88,02/17/2022,F
"EXIDEIND"," EQ"," 16-Feb-2022"," 159.45"," 160.45"," 161.70"," 159.05"," 159.25"," 159.50"," 160.23"," 1690833"," 2709.16"," 18922"," 655772"," 38.78",89,87,43.75,02/16/2022,F
"EXIDEIND"," EQ"," 15-Feb-2022"," 156.20"," 157.90"," 159.95"," 154.70"," 159.80"," 159.45"," 157.49"," 3987927"," 6280.57"," 40700"," 2109718"," 52.90",98,87,43.84,02/15/2022,T
"EXIDEIND"," EQ"," 14-Feb-2022"," 163.75"," 161.10"," 161.90"," 155.60"," 156.00"," 156.20"," 158.64"," 3533761"," 5605.81"," 52243"," 1717103"," 48.59",68,86,43.45,02/14/2022,F
"EXIDEIND"," EQ"," 11-Feb-2022"," 166.30"," 165.55"," 166.60"," 163.15"," 163.60"," 163.75"," 164.78"," 2377545"," 3917.67"," 28005"," 1265647"," 53.23",85,86,43.28,02/11/2022,F
"EXIDEIND"," EQ"," 10-Feb-2022"," 167.25"," 167.70"," 167.75"," 165.70"," 166.20"," 166.30"," 166.56"," 2019215"," 3363.17"," 22672"," 1076671"," 53.32",89,86,42.99,02/10/2022,T
"EXIDEIND"," EQ"," 09-Feb-2022"," 166.55"," 167.40"," 168.00"," 166.40"," 167.30"," 167.25"," 167.17"," 2270689"," 3795.85"," 32010"," 1192997"," 52.54",71,86,42.79,02/09/2022,F
"EXIDEIND"," EQ"," 08-Feb-2022"," 167.00"," 168.30"," 169.25"," 165.25"," 166.20"," 166.55"," 166.71"," 3906146"," 6511.77"," 36213"," 2087370"," 53.44",108,87,42.51,02/08/2022,T
"EXIDEIND"," EQ"," 07-Feb-2022"," 171.15"," 170.50"," 171.15"," 166.50"," 167.00"," 167.00"," 167.95"," 3368057"," 5656.63"," 55399"," 1541720"," 45.77",61,86,42.24,02/07/2022,F
"EXIDEIND"," EQ"," 04-Feb-2022"," 173.55"," 174.30"," 175.30"," 170.55"," 171.20"," 171.15"," 172.78"," 3406622"," 5885.92"," 30114"," 1998559"," 58.67",113,87,42.13,02/04/2022,T
"EXIDEIND"," EQ"," 03-Feb-2022"," 175.05"," 175.05"," 176.35"," 173.10"," 173.35"," 173.55"," 174.59"," 1537584"," 2684.44"," 24495"," 576444"," 37.49",63,87,41.87,02/03/2022,F
"EXIDEIND"," EQ"," 02-Feb-2022"," 175.05"," 177.20"," 177.60"," 174.50"," 175.00"," 175.05"," 175.61"," 2443235"," 4290.44"," 32259"," 946820"," 38.75",76,86,42.32,02/02/2022,F
"EXIDEIND"," EQ"," 01-Feb-2022"," 173.65"," 173.55"," 178.65"," 172.30"," 174.65"," 175.05"," 175.50"," 6892546"," 12096.32"," 77172"," 1915239"," 27.79",89,87,42.23,02/01/2022,F
"EXIDEIND"," EQ"," 31-Jan-2022"," 175.35"," 178.85"," 181.30"," 171.65"," 173.25"," 173.65"," 175.87"," 7301500"," 12841.26"," 62142"," 2776081"," 38.02",117,87,42.36,01/31/2022,F
"EXIDEIND"," EQ"," 28-Jan-2022"," 173.65"," 174.90"," 178.75"," 174.25"," 175.50"," 175.35"," 177.13"," 1915829"," 3393.57"," 24066"," 608948"," 31.79",80,86,42.24,01/28/2022,F
"EXIDEIND"," EQ"," 27-Jan-2022"," 175.15"," 174.00"," 176.85"," 171.75"," 173.60"," 173.65"," 173.85"," 3367347"," 5854.10"," 47708"," 1249009"," 37.09",71,87,42.09,01/27/2022,F
"EXIDEIND"," EQ"," 25-Jan-2022"," 173.00"," 171.40"," 175.75"," 170.05"," 175.50"," 175.15"," 174.08"," 1910925"," 3326.63"," 25637"," 794975"," 41.60",75,87,42.03,01/25/2022,F
"EXIDEIND"," EQ"," 24-Jan-2022"," 176.10"," 175.95"," 177.50"," 170.30"," 173.00"," 173.00"," 173.62"," 2816377"," 4889.83"," 37544"," 1139517"," 40.46",75,87,41.88,01/24/2022,F
