symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_pric,average_pr,tottrades,turnover,numtrades,delivery,pdelivery,action,avgaction,avgdel,ddate,lottery
"FEDERALBNK"," EQ"," 23-Mar-2022"," 98.85"," 99.00"," 100.00"," 98.15"," 98.75"," 98.55"," 99.06"," 11438626"," 11331.26"," 33174"," 2203511"," 19.26",345,320,29.61,03/23/2022,F
"FEDERALBNK"," EQ"," 22-Mar-2022"," 97.35"," 97.50"," 99.20"," 96.50"," 99.00"," 98.85"," 97.82"," 11871146"," 11611.99"," 34217"," 2236262"," 18.84",347,319,30.04,03/22/2022,F
"FEDERALBNK"," EQ"," 21-Mar-2022"," 98.05"," 98.45"," 98.45"," 96.80"," 97.50"," 97.35"," 97.54"," 10129862"," 9880.88"," 33684"," 3057161"," 30.18",301,319,30.39,03/21/2022,F
"FEDERALBNK"," EQ"," 17-Mar-2022"," 98.35"," 99.65"," 100.30"," 97.75"," 97.95"," 98.05"," 99.05"," 18789951"," 18611.68"," 50903"," 4892516"," 26.04",369,317,30.95,03/17/2022,F
"FEDERALBNK"," EQ"," 16-Mar-2022"," 93.45"," 94.95"," 98.70"," 94.55"," 98.30"," 98.35"," 97.17"," 23649366"," 22981.18"," 74233"," 7249670"," 30.65",319,316,31.17,03/16/2022,F
"FEDERALBNK"," EQ"," 15-Mar-2022"," 94.90"," 95.35"," 95.80"," 93.00"," 93.15"," 93.45"," 94.51"," 12684289"," 11988.28"," 38852"," 2175359"," 17.15",326,317,31.54,03/15/2022,F
"FEDERALBNK"," EQ"," 14-Mar-2022"," 95.30"," 95.35"," 96.00"," 93.80"," 94.60"," 94.90"," 94.76"," 15504240"," 14692.50"," 46644"," 4838429"," 31.21",332,316,31.65,03/14/2022,F
"FEDERALBNK"," EQ"," 11-Mar-2022"," 94.70"," 94.40"," 95.75"," 93.80"," 95.35"," 95.30"," 94.97"," 15023756"," 14267.34"," 47591"," 3412977"," 22.72",316,315,31.95,03/11/2022,F
"FEDERALBNK"," EQ"," 10-Mar-2022"," 92.45"," 95.20"," 97.25"," 93.75"," 94.60"," 94.70"," 95.62"," 25939107"," 24802.29"," 80188"," 6796262"," 26.20",323,315,32.10,03/10/2022,F
"FEDERALBNK"," EQ"," 09-Mar-2022"," 89.65"," 90.80"," 93.00"," 89.50"," 92.25"," 92.45"," 91.35"," 23549931"," 21513.98"," 73429"," 6872137"," 29.18",321,314,32.04,03/09/2022,F
"FEDERALBNK"," EQ"," 08-Mar-2022"," 87.40"," 87.00"," 90.40"," 86.05"," 90.20"," 89.65"," 88.18"," 29047023"," 25614.40"," 81664"," 9518334"," 32.77",356,313,32.01,03/08/2022,T
"FEDERALBNK"," EQ"," 04-Mar-2022"," 95.75"," 95.30"," 95.65"," 92.85"," 93.15"," 93.25"," 93.92"," 13385957"," 12572.46"," 55343"," 2620028"," 19.57",242,310,31.82,03/04/2022,F
"FEDERALBNK"," EQ"," 03-Mar-2022"," 96.05"," 97.45"," 97.50"," 95.30"," 95.85"," 95.75"," 96.00"," 12419175"," 11922.12"," 47406"," 3296013"," 26.54",262,310,31.94,03/03/2022,F
"FEDERALBNK"," EQ"," 02-Mar-2022"," 97.00"," 96.00"," 97.75"," 94.65"," 96.20"," 96.05"," 95.97"," 15548463"," 14921.71"," 58384"," 3450786"," 22.19",266,309,32.07,03/02/2022,F
"FEDERALBNK"," EQ"," 28-Feb-2022"," 96.75"," 96.10"," 97.30"," 95.00"," 96.95"," 97.00"," 96.68"," 14455709"," 13975.63"," 51515"," 3210734"," 22.21",281,311,32.07,02/28/2022,F
"FEDERALBNK"," EQ"," 25-Feb-2022"," 93.85"," 95.45"," 97.60"," 95.00"," 96.50"," 96.75"," 96.64"," 28249018"," 27301.02"," 86288"," 8223791"," 29.11",327,311,32.07,02/25/2022,F
"FEDERALBNK"," EQ"," 24-Feb-2022"," 100.30"," 97.00"," 97.55"," 92.60"," 92.80"," 93.85"," 95.44"," 39643527"," 37835.06"," 100253"," 12865817"," 32.45",395,310,32.13,02/24/2022,T
"FEDERALBNK"," EQ"," 23-Feb-2022"," 99.45"," 99.45"," 102.10"," 99.45"," 100.15"," 100.30"," 100.88"," 21482751"," 21671.44"," 54033"," 5619195"," 26.16",398,307,32.10,02/23/2022,F
"FEDERALBNK"," EQ"," 22-Feb-2022"," 99.75"," 97.75"," 100.05"," 96.15"," 99.10"," 99.45"," 98.32"," 25227553"," 24802.72"," 59238"," 5492564"," 21.77",426,305,32.07,02/22/2022,F
"FEDERALBNK"," EQ"," 21-Feb-2022"," 97.90"," 97.80"," 101.85"," 97.00"," 99.90"," 99.75"," 100.11"," 35843421"," 35883.13"," 92860"," 6841522"," 19.09",386,304,32.10,02/21/2022,F
"FEDERALBNK"," EQ"," 18-Feb-2022"," 98.50"," 97.00"," 98.95"," 96.95"," 97.80"," 97.90"," 98.11"," 10075699"," 9885.06"," 31275"," 2349646"," 23.32",322,302,32.15,02/18/2022,F
"FEDERALBNK"," EQ"," 17-Feb-2022"," 99.60"," 99.70"," 100.20"," 98.05"," 98.20"," 98.50"," 99.02"," 13437785"," 13306.21"," 39152"," 4229116"," 31.47",343,302,32.29,02/17/2022,F
"FEDERALBNK"," EQ"," 16-Feb-2022"," 100.45"," 101.00"," 101.50"," 98.95"," 99.10"," 99.60"," 100.05"," 16016476"," 16025.10"," 54701"," 3824852"," 23.88",293,300,32.31,02/16/2022,F
"FEDERALBNK"," EQ"," 15-Feb-2022"," 96.20"," 96.80"," 100.95"," 94.40"," 100.25"," 100.45"," 97.39"," 20803245"," 20259.77"," 59567"," 3664020"," 17.61",349,299,32.37,02/15/2022,F
"FEDERALBNK"," EQ"," 14-Feb-2022"," 102.95"," 100.00"," 100.45"," 95.45"," 95.75"," 96.20"," 97.65"," 23369759"," 22819.56"," 75346"," 7586017"," 32.46",310,297,32.64,02/14/2022,F
"FEDERALBNK"," EQ"," 11-Feb-2022"," 104.45"," 103.90"," 106.00"," 102.30"," 102.65"," 102.95"," 104.57"," 28714979"," 30027.63"," 77259"," 10759472"," 37.47",372,296,32.48,02/11/2022,T
"FEDERALBNK"," EQ"," 10-Feb-2022"," 102.15"," 102.50"," 105.00"," 100.90"," 104.35"," 104.45"," 103.74"," 30117303"," 31244.57"," 111002"," 10823596"," 35.94",271,295,32.41,02/10/2022,F
"FEDERALBNK"," EQ"," 09-Feb-2022"," 99.00"," 99.70"," 103.00"," 99.70"," 101.90"," 102.15"," 101.85"," 22966546"," 23390.34"," 73588"," 6408046"," 27.90",312,295,32.28,02/09/2022,F
"FEDERALBNK"," EQ"," 08-Feb-2022"," 99.50"," 99.85"," 100.05"," 97.00"," 98.70"," 99.00"," 98.45"," 9556428"," 9408.16"," 35131"," 1833799"," 19.19",272,294,32.28,02/08/2022,F
"FEDERALBNK"," EQ"," 07-Feb-2022"," 98.90"," 99.00"," 100.50"," 97.80"," 99.50"," 99.50"," 99.43"," 24264144"," 24124.97"," 55680"," 13099985"," 53.99",436,295,32.51,02/07/2022,T
"FEDERALBNK"," EQ"," 04-Feb-2022"," 101.00"," 101.00"," 101.20"," 98.25"," 98.90"," 98.90"," 99.63"," 9864599"," 9828.53"," 35932"," 2505633"," 25.40",275,291,32.20,02/04/2022,F
"FEDERALBNK"," EQ"," 03-Feb-2022"," 101.40"," 101.25"," 101.90"," 100.80"," 100.95"," 101.00"," 101.22"," 10269350"," 10394.17"," 39698"," 3980011"," 38.76",259,291,32.31,02/03/2022,F
"FEDERALBNK"," EQ"," 02-Feb-2022"," 100.25"," 101.00"," 102.20"," 100.30"," 101.20"," 101.40"," 101.20"," 12593978"," 12744.84"," 56245"," 4371423"," 34.71",224,289,32.61,02/02/2022,F
"FEDERALBNK"," EQ"," 01-Feb-2022"," 100.60"," 101.10"," 102.00"," 98.25"," 100.35"," 100.25"," 100.31"," 14525052"," 14569.43"," 64282"," 3497966"," 24.08",226,291,32.55,02/01/2022,F
"FEDERALBNK"," EQ"," 31-Jan-2022"," 100.20"," 101.50"," 101.70"," 99.80"," 100.50"," 100.60"," 100.78"," 14174495"," 14285.61"," 54455"," 4414390"," 31.14",260,293,32.59,01/31/2022,F
"FEDERALBNK"," EQ"," 28-Jan-2022"," 100.10"," 100.75"," 102.75"," 99.60"," 100.10"," 100.20"," 101.37"," 28438564"," 28827.51"," 80871"," 9543319"," 33.56",352,295,32.78,01/28/2022,T
"FEDERALBNK"," EQ"," 27-Jan-2022"," 95.85"," 95.40"," 100.50"," 94.00"," 100.25"," 100.10"," 97.89"," 31055664"," 30399.86"," 101928"," 9354546"," 30.12",305,293,32.61,01/27/2022,F
"FEDERALBNK"," EQ"," 25-Jan-2022"," 92.00"," 92.00"," 97.65"," 90.80"," 95.75"," 95.85"," 95.23"," 41665022"," 39677.95"," 113451"," 8277119"," 19.87",367,294,32.33,01/25/2022,F
